,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
FLNC,-0.0038516624,0.23874319,-0.049236447,0.1051462,-0.116199225,-0.015363275
LRP4,-0.111514896,-0.15751839,0.27050808,0.07516993,0.073517874,-0.012087868
ITGA2,0.09275732,-0.16972023,0.19105166,0.07409492,-0.18644726,0.20944
ENTPD3,-0.012332268,-0.14254579,0.22809638,0.012682039,0.034197606,0.037723325
C1QTNF1,-0.016304243,-0.16254048,0.3349936,-0.15449066,-0.009618297,-0.0065305443
NRIP3,0.077626914,0.03602575,0.0734777,0.07904957,-0.041478626,0.2726833
FBLN1,0.052545525,0.11125563,0.17448343,-0.020752627,-0.22827482,-0.09744793
VCAM1,0.17958224,0.11646231,0.106727704,0.041582838,-0.08646482,-0.009102031
RNF150,-0.0007350694,0.16481817,0.1385963,0.101606116,0.05937358,0.055553854
IL11RA,0.008457515,0.26143393,0.061423704,0.019890891,0.10474476,0.08972541
HERC5,0.13371103,-0.17828989,0.081189714,0.09138377,-0.038539514,-0.120460756
RHBDL2,-0.16716202,-0.16616464,0.26953542,-0.009161284,0.19000895,0.042732008
AHR,0.15651353,0.20207404,0.04918422,0.070671774,-0.04896926,-0.08249098
MMP2,0.039604194,0.27288625,0.094081394,-0.06382725,-0.0878787,0.044914145
DTNA,-0.023297083,0.04614752,0.1107606,0.004390226,0.1446191,-0.1373111
ECM1,0.13451351,0.09046991,0.1277458,-0.034882914,-0.15119119,-0.01556176
KCNG1,-0.12494748,0.00633255,0.06598694,0.12332768,0.08345819,0.055271596
HEY1,-0.10010255,-0.16270505,0.21403302,0.07824828,0.09285171,-0.006850692
GCNT1,0.054985885,0.05385726,-0.0046040644,0.119262084,0.017184967,-0.014342854
GPR137B,0.13425131,-0.19216728,0.14866757,-0.002914646,-0.28161636,0.270531
ITGB2,0.3384243,-0.06100595,-0.037206564,0.07450248,0.09667018,0.0020886713
DKK3,0.03864645,0.28179047,0.01164052,-0.0070163757,-0.09184598,0.01727877
EDIL3,-0.008737235,0.24190497,-0.03407891,0.04843168,-0.11103913,0.17848288
CLIC3,0.060931653,0.0674843,0.07909326,-0.049729705,-0.14697105,0.22013563
CNTNAP1,-0.032863818,0.11582585,0.16151641,0.15722382,-0.0758554,-0.04734639
IGFBP3,0.0021272057,0.17803258,0.03395906,0.04644169,-0.08019642,-0.0130854845
TBX2,-0.09616606,-0.1294731,0.3241525,-0.032716136,0.06623685,-0.04972196
HK2,-0.06819337,0.08010922,-0.13373043,0.20327103,-0.054131534,0.047560774
FGFR1,-0.08050351,-0.0864993,0.2838177,0.009543449,-0.1908051,-0.080335714
LDLR,-0.0687646,0.059610527,0.044375367,0.178982,-0.11441117,-0.015997216
IL18,0.3069103,-0.05892731,0.0073863044,0.05697298,0.16319957,-0.024681836
THY1,0.09110429,0.29687813,0.03450047,-0.0065417746,-0.050421994,0.061835926
NFIX,-0.0725184,0.26998192,0.1348117,0.0050922357,-0.10735115,-0.12184152
LTBP4,0.02610522,0.21677707,0.13255154,-0.09551061,0.0022508726,-0.03472071
PDZRN3,-0.015160671,0.293098,-0.00940587,0.012451239,0.0035892776,0.11387819
SLC7A8,0.20276158,0.08496418,-0.028278606,0.093991145,-0.008966294,-0.009958792
LRRC15,0.016182264,0.024943575,0.1456138,-0.048972905,-0.21496381,0.07528351
ITGA10,-0.11493533,-0.102561936,0.26329744,0.07063053,-0.008198364,0.005102746
ADAMTSL2,-0.027454328,-0.015970685,0.32993942,-0.058601663,0.01980239,0.017302841
HSPB6,-0.024469465,0.21379228,0.013764789,0.015999844,-0.015944032,-0.0010838341
PODN,0.101431824,0.3301623,0.008447577,-0.025384884,-0.041846372,0.105918184
COL13A1,-0.1414692,-0.12403129,0.3459786,-0.0077030533,0.12887156,-0.0023879248
BASP1,0.010694996,0.17990293,-0.059132196,0.10087029,0.0032666232,0.16857792
SLC20A2,0.012074026,-0.08847738,0.23088294,-0.035667446,0.009569295,-0.019128622
FEZ1,-0.04309406,0.10565437,0.090826675,-0.0021262977,0.16249844,0.058246475
PLEK,0.3224627,-0.14819469,-0.037223905,0.084506646,0.009770308,0.091270275
CLDN5,0.17322424,0.06299306,0.12748279,-0.10970082,0.15485865,0.06505973
THBS3,-0.002946955,0.30527142,0.041005842,0.0017179528,0.026284125,0.11520027
LXN,0.013866405,-0.14616826,0.15325965,-0.05317505,-0.05915958,-0.05280462
NDRG2,0.024215229,0.038299076,0.13834572,-0.13013348,0.13861498,-0.114374116
SNCAIP,-0.0840809,-0.07753928,0.23004094,0.07264579,0.096548505,-0.030088175
DPP4,0.07028381,-0.20605323,0.13474941,0.0017569563,-0.25109294,0.3149077
