,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
COL18A1,0.0448069750312968,0.024949151970627886,0.04602325683112461,0.022387905814729693,-0.05188661862756776,0.028404895356604072,-0.0014338103883787222,-0.09124301093548039
TNFAIP6,0.04140049472025312,0.06031342699174825,0.02153818920016656,0.023016451316622805,0.014266881024533388,0.049774951166526395,0.018727112939898767,0.017348074123096552
HSPA2,-0.024565249726702473,-0.019260472265324246,0.045006347544710446,0.0040110430723609165,0.012742527409889662,-0.054168404375040516,0.01896816927523264,0.026213543506733317
NT5E,0.03380221588113274,-0.004096246028957902,0.04800961624853878,-0.03619776724209335,0.057776004104680256,-0.008167154051459385,-0.0737818766495574,-0.00444721190855968
PHOSPHO1,-0.05223635088679991,-0.03920937439339442,0.042528120860001094,-0.01972173460613593,-0.062418171047561824,0.0919787868801544,0.031851845191015,0.046922614758987194
RGS5,0.041608044731209895,0.026754904745224885,0.05341594984172773,0.005210430198832892,-0.06937393633288584,0.013781002660351004,-0.017230883667138874,-0.007179127992423204
SYTL2,-0.023524078610970025,-3.977431105462608e-05,0.04048425292448872,-0.022199190033577645,0.011677708793710237,0.037919858882614635,-0.027305639567589402,0.07056731093680749
BAALC,0.02171165794432264,0.015488678292537259,0.014102598774582357,-0.013161400689523619,-0.017543643684550206,0.0132359607500406,-0.019284384801478448,-0.015528377186675065
SLCO2B1,0.08161227389414243,-0.031130222314358472,0.008650769865972957,0.055251437287620185,-0.020806043759742772,-0.024425053684362243,0.056640415333400855,0.055510528713163323
NID2,0.019871112655493132,0.058487713877681105,0.02261231910798446,0.0875621252998754,0.03729396759928251,0.03471259839906449,-0.04938204931594496,-0.03280220839920093
SLIT2,-0.006908776312052202,-0.004775832925453667,0.07961631577164642,0.010472294729516978,-0.029032190164151414,-0.0012621849398375487,0.04618903441685932,-0.05182172065076998
CA3,-0.039575165476708696,-0.031525671070385224,0.021025540077200488,0.0039404840098242145,-0.06339621260768623,0.06563133721624195,0.012758396659439751,0.03277595887836239
OSMR,0.06024969502040558,0.013988989078299765,0.027656355913953313,-0.005857466703926823,0.05184086996422006,0.038387136661241154,-0.01475294136949009,0.015436840387179292
EGR1,0.026904852520123528,-0.011740868686550703,0.039775900728414304,0.00998907666887175,-0.006830553005364105,-0.010658032430404332,-0.039760140507878614,0.0001609906671594906
FZD1,0.02254575379800277,0.08761966187180989,0.02464439226440724,0.022193435257017866,0.036051637237392395,0.02245462734567515,-0.02451602122847228,0.03515403789197231
TGFB3,0.0226615417324367,0.06675013555610826,0.034518902753992206,0.03870560263271168,0.039695646184998316,0.03482694570368927,-0.0008304970413350824,-0.051045529546639816
