,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
STC2,-0.005080932910124897,-0.0002109668978487072,0.00636798038385587,-0.001341555965745896,0.010533932748495038,0.008550883595755074,-0.03544290349182577,-0.023905613178312253
MXRA5,0.024779860640844364,0.043457357558306674,0.024786386343109503,-0.012361654920274351,0.054904251216708784,-0.00027327188142765337,-0.005909310880217504,-0.015000252967045598
KAZALD1,-0.03566591010195504,-0.007573041939233596,0.02494866096593486,-0.0060169136438237986,-0.04101701848379602,9.749922635349652e-05,0.02752174265950044,-0.02700929458361302
ROR2,-0.009407059140284602,0.05792854246462529,0.003519087051162783,0.043330529717652125,0.018141844948324985,-0.010888096302181714,0.030507778663459082,-0.03156835759593313
BAIAP2L2,-0.03017909995482419,-0.016327826490845795,0.022124363784426553,0.0006473434565701063,-0.02431158175192013,-0.0040307793251654735,0.031428559766667974,-0.009748272494438794
TNFRSF19,-0.014364846113111228,0.012073386595713671,0.030960198092649483,0.03269998965438009,0.03312507671254139,-0.023154393601261043,0.03676765809851439,0.00613602376627431
RCOR2,-0.04735917572565016,-0.014759288386869834,0.010117042795476554,0.022058807977001358,-0.028326218342172936,0.02609263812644047,0.0501044618929766,-0.0353427905741198
LUM,0.014759622483442007,0.032453131295282364,0.024157212589511496,-0.04411843589365378,0.054168212902142236,-0.0029652670165944157,0.005276416529317778,-0.05137126904867776
SERPINA1,0.04326113257352728,-0.0021319291437000678,-0.03063381421067636,0.03605685333060086,-0.00884966087676663,-0.020557285135666258,0.013390400158763388,-0.019224370252173058
EFEMP1,0.015153361130728826,0.03975486661157406,0.016597803709059118,0.008931395309215754,-0.013159315502886461,0.004481596895140039,0.014328475180528072,-0.03659085067403805
OMD,-0.02563963769051406,-0.00921322965939937,0.0404661501500839,-0.02690856106506393,0.016999564523231647,0.0008413016786286062,0.042133210321887445,-0.027989668394632086
NCAM1,-0.032205516050619,-0.02992643694353398,0.04379061635873577,-0.004655812590779724,-0.009605498935403701,-0.0009283211614907663,0.0025000600874085233,-0.029695239452769976
SPON1,-0.012502369732624963,0.0413871230296328,0.03122364179505571,0.0015001237337028354,0.014408182407667175,-0.013926968133611644,0.035145451279539254,-0.0021548781833546143
CXCL12,0.04207402737506749,0.016026080591017778,0.02866067858702873,0.006307783090921732,-0.012311605350142633,-0.014871167506479741,0.014076748821605941,0.020673588140988103
GPRC5C,-0.02868898071959419,-0.014086352718595044,0.034330459636364725,-0.006144168507915477,-0.012941440918051347,0.016615878460753374,0.06687180154017669,-0.006761168174592234
