,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,group
DOG2::37_0625_tumor,6.356253,0.62182313,-1.9053694,-3.2402987,-1.1588717,-0.519412,-0.25098285,-0.4016442,DOG2
DOG2::37_1015__Tumor,2.3092132,-0.56369096,2.5674064,-0.2306972,-0.88374346,-1.9550314,-0.5015339,-0.5673127,DOG2
DOG2::38_0630_tumor,-1.0815179,3.4572723,0.14666978,0.92526937,-2.3646653,1.0230492,-0.69755787,1.1845931,DOG2
DOG2::38_1016__Tumor,-3.1794853,0.7503057,1.1951174,0.98554814,0.4672219,1.9337294,1.3998677,-1.1788849,DOG2
DOG2::39_0701_tumor,-1.275444,-2.608995,-1.1837194,1.1809756,1.4518371,-1.4467748,0.041575566,4.1117544,DOG2
DOG2::39_1103__Tumor,-4.1122127,0.59463257,-0.92780954,0.6126857,-1.957686,2.5678318,2.3838055,-0.2740546,DOG2
DOG2::3_0207_Tumor,4.2750874,-2.913472,-1.3075002,0.7140647,-0.6120324,-2.1046147,-0.45732728,2.93251,DOG2
DOG2::3_0212__Tumor,-0.16353238,0.427975,0.70285684,2.5186253,1.6753415,-0.8357109,-0.8936106,-0.9060918,DOG2
DOG2::40_1101_tumor,1.4535596,1.0816888,-1.3566655,-1.2668662,3.174564,-1.3437346,-0.27111065,-0.13123927,DOG2
DOG2::40_1107__Tumor,3.0013134,-2.2765498,-2.5207913,2.0231783,0.22687584,-1.0533113,0.9229798,3.8776767,DOG2
DOG2::41_1407__Tumor,-1.53616,4.7617245,-1.855845,0.09918067,-2.1066933,-2.726779,-0.047882397,-1.3667108,DOG2
DOG2::41_2007_tumor,-4.674982,2.7113464,0.22351992,1.2885712,-2.454386,-0.2683083,-0.867984,-1.2142248,DOG2
DOG2::42_0715_tumor,1.360424,-3.0400891,0.9546638,-2.4351237,-2.2152698,-0.261584,-1.1197661,-0.06024841,DOG2
DOG2::42_1409__Tumor,-3.6408236,1.6681464,1.2315335,-1.1240628,-0.52225304,1.5708497,1.6156776,0.4739198,DOG2
DOG2::43_1401_tumor,2.6878424,-0.38820207,0.47840565,-0.17179433,1.3296199,0.28689492,-1.0746523,1.1990721,DOG2
DOG2::43_1410__Tumor,-5.470874,1.6727191,-2.9573498,1.0900441,-1.948993,2.9775183,0.09154129,-0.9698889,DOG2
DOG2::44_0713_tumor,2.811343,0.13788413,-1.4268304,1.0239154,0.2077553,-2.8679712,-0.9180679,2.1764631,DOG2
DOG2::44_1412__Tumor,-3.7099845,2.1828141,4.2195,0.51346713,-2.0108013,1.396654,0.7334722,-0.47950843,DOG2
DOG2::45_1024_tumor,-3.0519414,1.1894103,-1.284056,0.96873146,0.73383504,-1.9162092,0.3888997,1.1398369,DOG2
DOG2::46_1405_tumor,4.9063025,-2.140297,0.20129178,-1.7314345,1.6261022,-0.31104875,-1.1913058,-1.2305927,DOG2
DOG2::46_1703__Tumor,-0.44454917,-1.1036183,2.8148334,1.489148,-1.4357146,2.6455173,-0.08784419,-0.0148455845,DOG2
DOG2::47_1709__Tumor,8.393624,-2.8480613,-5.374652,-4.8812394,-3.0922203,-1.0568742,-3.7300656,-1.3617755,DOG2
DOG2::47_2321_tumor,2.2948148,2.545038,1.9425476,-0.872619,-1.3109099,0.13305844,-0.14030027,-0.02025084,DOG2
DOG2::48_0705_tumor,0.45319358,2.8137882,-0.81746435,1.1852075,1.1414797,-0.7158741,1.4650844,-2.000325,DOG2
DOG2::48_1712__Tumor,2.1478956,-0.42390135,-0.79023194,1.3843747,2.0773206,-1.929233,-0.8418551,1.8599916,DOG2
DOG2::49_1803__Tumor,2.148085,2.3126936,-0.78663266,0.5691009,-1.7680826,-3.4768872,-0.33471763,-0.53354686,DOG2
DOG2::49_1903_tumor,-3.3596106,3.1398654,-3.709303,0.50475484,0.07877181,-0.5375709,1.3324574,-0.8418481,DOG2
DOG2::4_0214__Tumor,-1.2254857,-1.287172,2.0651002,-1.9268161,-0.47482955,0.05566859,-1.4923446,-0.59520036,DOG2
DOG2::4_0215_Tumor,-4.3071675,0.44876194,2.3336036,-0.84755576,-2.430021,2.73905,0.012482071,-1.9099581,DOG2
DOG2::50_0703_tumor,-0.6352989,0.6622737,0.35854095,2.3761108,2.072989,0.4542712,0.19056624,-0.9660835,DOG2
DOG2::50_1805__Tumor,-0.9076681,0.7353133,2.4729888,1.9279269,0.8540221,1.0546751,0.029396703,-0.93036485,DOG2
DOG2::51_0803_tumor,3.0498035,1.2217066,-2.039615,0.5102171,0.31904593,-0.9909352,1.7427561,-1.2837814,DOG2
DOG2::51_1902__Tumor,0.7945104,-1.4223987,-4.512628,0.3943987,2.028531,-0.6437943,-0.9423988,-1.5511941,DOG2
DOG2::52_2006__Tumor,1.5764679,1.9488132,-0.8478595,0.9465957,-0.6303824,-2.1373038,0.53762776,-2.0591671,DOG2
DOG2::52_2317_tumor,0.09654432,0.91415054,-2.7852767,-2.741955,3.6738486,-1.2235562,0.108886026,2.2394276,DOG2
DOG2::53_0717_tumor,-1.0687828,-1.0008663,-0.41867653,1.4123421,-1.294673,-0.44110164,0.16789319,2.3610685,DOG2
DOG2::53_2011__Tumor,-2.8578339,-1.0327322,1.6241232,2.1325636,0.76544815,0.054733086,-0.21467438,0.29390278,DOG2
DOG2::54_1013_tumor,-0.9025002,-3.4526021,-2.848348,0.09907532,4.3916783,-0.4187014,0.33423024,2.645075,DOG2
DOG2::54_2303__Tumor,-0.57025206,4.1824555,-3.5183399,1.1424772,-1.0171077,-2.0890496,1.5595616,-0.9179668,DOG2
DOG2::55_2307_tumor,3.0717988,2.3317869,-0.62834543,1.675349,-0.45000267,1.0857329,-0.21938315,-1.8493997,DOG2
DOG2::55_2308__Tumor,-0.0698377,2.687363,-4.566578,0.54473627,-1.1304103,-1.4934293,-0.6996305,-1.7350814,DOG2
DOG2::56_1001_tumor,1.0643373,-3.5139897,4.319725,-0.95067817,-3.2213292,0.7373851,-0.3285353,-0.6218429,DOG2
