,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11
EPHB3,-0.0041055577,0.420118,0.10233879,0.007615928,-0.100102074,-0.02451782,-0.004735742,0.0042508757,0.14668934,-0.13135383,0.057459716
ESPL1,-0.0007146128,-0.09397049,0.36842626,0.025741743,-0.02303969,0.020335946,0.0004023063,0.0950842,0.020389544,0.0018144504,-0.011341285
EVI2A,0.15807189,0.15027627,-0.05937612,-0.21467473,0.23435281,0.08512582,-0.055987,0.00082556286,-0.1614145,-0.12520973,-0.029761728
EXO1,-0.0011206289,-0.10624816,0.30322507,0.011869022,0.10756124,0.009058797,-0.008628309,0.1404974,-0.053346105,0.023723317,-0.05545533
F5,0.08978712,0.055443656,-0.11161584,-0.023653202,0.18065828,0.21281253,0.036261454,0.13140573,-0.11282527,-0.019874392,-0.0395615
FAM107A,0.0047583003,-0.0045859506,-0.10290976,0.18876512,-0.19284926,-0.0062815044,0.1600234,0.15127255,0.016354755,0.1454427,0.08023758
FANCA,-0.032196824,-0.08915961,0.2901203,-0.0035183725,0.049770795,0.0013123953,0.0007072936,-0.089445926,-0.07247203,0.07716563,-0.018076444
FANCD2,-6.599508e-05,0.014224766,0.36828107,-0.025988245,0.013387759,0.001735063,0.0030279835,-0.046990052,-0.09377897,-0.0032042963,-0.08441054
FANCM,0.0012261358,0.017028444,0.3848927,-0.11029092,0.0326972,-0.0058194245,0.00014579983,-0.00090991583,-0.117251396,-0.062462084,0.001443394
FCER1G,0.31462395,0.008873266,-0.004301324,-0.069425076,0.0049374765,-0.00036665,-0.033030152,-0.05539814,0.0479868,-0.12640972,-0.06355982
FGR,0.2825984,0.0003344403,-0.022062926,-0.045333833,0.05401193,-0.094102785,0.07713657,-0.003279131,-0.06974721,0.10446311,0.0021126152
FN1,0.004147136,0.2055296,-0.06490351,0.01647084,0.059290197,0.1032627,0.09819618,0.30200908,-0.13659038,-0.10956528,-0.16744858
GAB2,0.10862314,-0.08686434,-0.0907715,0.051276386,-0.031699963,0.08410355,0.2034162,0.13718417,-0.23738201,-0.027407985,0.006857573
GABRA2,0.0009537235,0.07300985,0.08930174,0.02819231,-0.0056379694,-0.0043107825,0.014922615,-0.18254104,-0.051801123,0.25648296,-0.013829012
GAS6,0.074812606,0.17899486,-0.14263806,0.1264026,-0.17973585,-0.032148995,0.11043428,0.14777309,0.057574347,-0.028875904,0.105048664
GBP1,0.223392,-0.06400236,0.0044366755,-0.06653339,-0.0072627827,-0.08084897,0.045230128,0.19553922,0.015819367,0.15450333,0.21551369
GIMAP6,0.3176302,0.0048624887,-0.019617472,-0.008381705,-0.0008242699,-0.043071125,0.048601136,-0.08952274,-0.029624047,-0.0051067933,0.09868247
GLUL,0.14260705,-0.10106167,-0.060351733,0.019035945,-0.120924376,0.026885184,0.047051106,0.10814546,-0.16353184,0.0017365925,-0.08466708
GMFG,0.20517896,-0.10597484,-0.119596735,-0.04962183,0.10907314,0.004014489,0.12635586,-0.069612116,0.068063,-0.0047643865,0.09677595
GPRC5C,-0.005309346,0.11346221,0.023253195,0.30742776,0.2754218,-0.00063026784,0.003722392,-0.1504455,0.15822972,-0.11550871,0.004263548
GPSM3,0.26853484,-0.107108355,-0.0037593485,0.0045822463,-0.0063056094,0.049565278,0.09690328,-0.0011181223,0.054860745,0.017011344,0.0066024703
GTSE1,0.0018357295,-0.012377339,0.3742803,-0.013908871,-0.0032335948,0.00063761673,0.007658781,0.0074127475,0.06713686,-0.014468881,-0.030496947
HCLS1,0.27390552,-0.042227,-0.037585646,-0.06196729,-0.032649953,0.005414796,0.17264332,-0.00079695845,0.016964747,-0.05309874,0.010334829
HELLS,-0.0006197045,-0.0046452787,0.35795608,-0.010293074,0.03598877,0.0263132,0.006890812,-0.0047387485,-0.023514409,0.025715893,0.03653686
HHIP,0.00013144477,0.12514445,0.103250675,0.022646915,-0.011437697,0.0090289,0.116288655,-0.1681606,-0.031746317,0.20910919,-0.07237163
HNMT,0.16946666,0.0024968626,-0.0470897,-0.007468197,0.007439887,0.008643485,0.04478816,0.14871703,-0.06391295,-0.081739575,0.0025585352
HSP90AA1,0.00026021598,0.004517938,0.27302358,0.0038077645,-0.008530051,-0.00116018,0.0040362026,0.02192269,-0.044422995,0.29456186,-0.124016315
HSPH1,-0.00030879656,-0.008566301,0.22388722,-6.463668e-05,0.004891423,0.060004,0.11155939,0.02772735,0.015074699,0.24510834,-0.23524715
IFI30,0.18269746,-0.0588778,-0.031133443,0.06260392,-0.016575737,0.32685912,-0.05536092,-0.030064126,0.042350505,-0.0016135569,0.01960228
IFI35,0.18979521,-0.05534398,0.0006665215,0.0038495923,0.090782575,-0.0017620593,-0.019867402,0.31110463,0.2551699,0.023671297,0.39937168
IFITM5,0.0010537661,-0.027233496,0.0034175147,0.3280353,0.38138866,0.0016476491,-0.002473115,-0.28962582,0.097917795,0.0069880076,0.028082825
IGFBP3,-0.053331014,0.12735677,0.030217364,-0.074896924,0.057108868,-0.09726161,0.3285769,0.14007461,0.22739357,0.029356506,-0.22110404
IL18,0.30711848,-0.006294343,-0.00026010006,-0.0014644446,0.0013916536,-0.064991735,0.003475386,-0.05749822,-0.09491205,-0.08666205,0.01832996
IL1RN,0.24753325,-0.07754914,0.023283433,-0.07486763,0.010308622,-0.0071890755,0.0023880561,0.11828823,0.009231862,0.1738337,-0.13173367
INPP5D,0.2850381,-0.007387735,0.001935593,0.053258542,0.035459314,0.08077117,0.045141492,-0.08444294,-0.12764527,-0.018210076,0.00047797448
IRF5,0.29725453,-0.07924356,-0.006777904,0.0072577335,-0.012059514,0.0023095405,0.05889577,0.021532187,0.067709826,0.056231476,-6.247435e-05
ITGBL1,0.030393394,0.2578979,-0.1284126,-0.0034067924,0.10354712,0.0013813593,0.0031853677,0.16490233,-0.2146822,0.065848164,0.0083855
KCNQ1,0.29714,0.011861156,-0.00813448,0.059095945,0.05332469,-0.08145601,0.109597154,0.001179964,-0.0057502077,-0.08486231,-0.096627824
