,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
CD74,0.31676516,0.035209235,-0.03254646,0.038587697,-0.19451119,0.020848585,0.043633617,0.022949776
CD80,0.26059878,0.027083505,-0.009291719,-0.03782126,-0.12507643,-0.025415014,0.014622332,0.044902224
CD86,0.30533352,0.05786544,0.001795995,-0.04336608,-0.1573924,0.017516868,0.16160132,0.05329214
CDC20,7.7845194e-05,-0.005913842,0.33193204,-0.058220204,0.00028067626,0.17164345,0.039312568,-0.0059763524
CDC6,0.0010450213,-0.05559457,0.36135533,-0.097908296,-0.0019365253,0.044893965,-0.00285432,0.007727897
CDCA2,-0.0027463452,0.0025066496,0.3656577,-0.044361822,0.00210847,0.010714004,0.098591335,-0.068361625
CDCA8,0.0018971964,-0.0012214816,0.38061732,-0.012245917,-0.0015547121,0.123368815,0.0025807202,0.00089687103
CEP72,-0.0009203992,-0.02100047,0.25407666,0.042058125,-0.0077372952,0.11633309,-0.051284213,-0.02091659
CHST2,0.044711426,-0.0047879363,0.13728517,0.10740214,0.011940394,-0.19895604,-0.23290874,-0.25427765
CLEC12A,0.3015492,0.055244874,-0.03480171,0.058122173,-0.13917606,0.05628607,0.01059392,0.04067654
CLSPN,0.0013052465,-0.019657755,0.38386285,-0.005056745,-0.0026112308,-0.0045966487,0.05737627,0.0014238161
CLTCL1,0.0036647082,0.11244228,0.1704384,0.110003404,-0.0025350943,0.15522523,-0.15355171,-0.13119736
CSF1R,0.25062588,-0.07468738,-0.0010923675,0.015655875,0.30190364,0.015298401,0.037376888,0.0035019882
CSF2RB,0.25870734,0.011158134,-0.0013316957,-0.02022903,0.12726682,-0.17007516,0.08834301,-0.086613946
CTSH,0.22964711,0.00053390104,-0.0046745758,0.014689779,-0.097066335,0.07749927,0.007858859,0.23171704
CXCL14,0.05302181,0.23177736,-0.11831377,0.10509663,0.0010015545,-0.10765276,0.083737075,0.08329792
CYP4V2,0.2261613,0.0046375333,-0.060281504,-0.011425719,-0.0020294911,-0.071396165,0.05318441,0.17749397
CYSLTR2,0.19692804,-0.005776576,-0.007917833,0.008023038,-0.11558979,-0.16476656,0.0741937,-0.028889455
DAPP1,0.28341562,0.00196461,-0.0035091178,-0.021987485,-0.091606945,-0.086115815,0.0072229104,0.010098693
DENND1C,0.3319511,-0.011129654,-0.017265163,0.008766168,0.0077257943,0.048588444,-0.009425884,-0.016019756
DEPDC1,-0.04634448,-0.004607142,0.371434,-0.05156282,-0.0024258257,0.0027574878,0.10515891,-0.007688258
DNAJB1,-0.035389725,0.048485216,0.1340921,0.015793515,0.00439386,0.072487764,-0.15469044,0.205245
DNASE1L3,0.1440587,-0.020692602,-0.060734443,0.16418108,-0.009510356,-0.1544235,-0.081143,0.01595538
DOCK2,0.33675802,0.006046671,0.03238027,0.0063767033,-0.08988633,-0.01884478,0.046668146,0.042232424
DOK2,0.28292847,-0.0034269413,-0.0032744617,-0.04075224,-0.09082026,0.015386025,0.0020988914,-0.103406325
DRD1,-0.010272913,0.038148586,0.040427435,0.09806547,-0.03779337,-0.17348906,-0.105417185,-0.04422826
DTX3L,0.17391185,-0.010806812,0.06687051,0.0410164,-0.091147624,-0.035982512,0.03076054,0.38771233
E2F1,-0.043295033,-0.062099505,0.27615893,-0.05652835,-0.004428949,0.12322642,-0.016102545,-0.07332065
E2F7,-0.0010937504,0.118632294,0.36415452,-0.008545004,0.00436572,0.015836915,0.07436516,-0.05127604
E2F8,0.00046566836,-0.044884503,0.36439523,0.007611943,-0.006500651,-0.012081414,0.04951958,-0.005252974
ECT2,-0.0022822167,0.0038364255,0.38281485,-0.097738184,0.0017380408,-0.013622048,0.12796699,0.0075192065
EGR1,0.020962445,0.0028172191,0.004494997,0.03174371,0.030872714,-0.2478605,0.009861461,0.048205294
EHD3,0.061462518,-0.123549685,-0.005195134,0.08827278,0.101762876,-0.29597172,0.026382415,0.16766587
ELOVL4,-0.055688974,-0.009195872,0.14990513,0.14103732,0.019478904,0.1460012,0.10947009,-0.040614225
ENPP5,0.14523391,-0.087544315,-0.046701506,0.010962309,0.0874527,-0.13917068,-0.120202616,0.16778855
EPAS1,0.08960487,0.009815518,-0.06169648,0.14413391,0.00498649,-0.37835583,-0.030486386,0.21711709
EPHA2,-0.0028374942,-0.10938486,0.1428103,0.1023728,0.034915127,0.06733293,0.19456878,0.016656749
EPHB3,-0.008310672,0.30815226,0.08889071,0.11388229,0.0015389042,0.18986547,0.09272786,0.025441652
ESPL1,-0.0016762691,-0.061180923,0.36938453,-0.009042222,0.027008936,0.023471346,-0.03619355,0.0995887
EVI2A,0.16738623,0.07291942,-0.05949711,-0.18061844,0.046134718,-0.09204098,0.32745147,-0.10109479
EXO1,-0.0032711376,-0.09305341,0.3070971,-0.04116089,0.008808633,-0.03994645,0.080819145,0.10395623
F5,0.103794314,-0.0061767465,-0.086803935,-0.03702013,0.19420907,-0.21830712,0.17132452,0.023085741
FAM107A,0.019813452,0.027924865,-0.079919875,0.20051302,-0.009026305,-0.1077702,-0.23380035,0.19831124
FANCA,-0.046949416,-0.09084048,0.2802086,-0.0036937054,-0.0017218956,-0.00898782,-0.005115959,-0.11225472
FANCD2,-0.0005455872,0.0039152973,0.37111968,-0.006859783,0.0044545177,0.0014627241,0.05889798,-0.08220922
FANCM,0.0041673603,0.023064807,0.3767594,-0.08029275,-0.023026634,-0.013794293,0.10047592,-0.054229006
FCER1G,0.31492552,0.002412679,-0.0035015396,-0.065260924,-0.0027550992,0.09784737,0.093899995,-0.018612452
FGR,0.27740404,0.0028350567,-0.006732,0.009100316,-0.12670377,-0.10480477,0.007917602,-0.033922568
FN1,0.026852686,0.16485806,-0.004521946,1.1952202e-05,0.13664971,-0.23650151,0.19381592,0.20376816
GAB2,0.13386035,-0.04704595,-0.051789556,0.03317977,0.07128223,-0.34936112,-0.04831187,0.08423507
GABRA2,-0.00045732697,0.013102877,0.085780144,0.13923454,-0.027371239,0.0039513144,-0.061824862,-0.2061048
GAS6,0.08658276,0.17165586,-0.12508483,0.16485976,-0.0084047355,-0.01888532,-0.08377598,0.20168607
GBP1,0.22642154,0.0036707679,0.003122054,-0.024844797,-0.13318211,-0.07746886,-0.10909037,0.16510166
GIMAP6,0.32358712,-0.0028878537,-0.023744551,0.053078197,-0.07710335,-0.0011956334,0.0016872943,-0.064129725
GLUL,0.15148355,-0.021407519,-0.0058553703,-0.010145861,0.02402997,-0.17645122,-0.06428053,0.115271464
GMFG,0.2152595,-0.09234554,-0.11053917,-0.008371876,-0.0040789675,-0.07782029,-0.019701349,-0.088250585
GPRC5C,-0.03144296,-0.089132786,0.0037444783,0.30725858,0.021966154,0.10059641,0.23110697,-0.09473972
GPSM3,0.28209284,-0.08216138,-0.0016238645,0.0122221885,0.0118969465,-0.024678428,-0.09760793,0.005643543
GTSE1,0.001325143,-0.006770084,0.3735284,-0.015295636,0.0013512467,0.07370534,-0.010736627,0.0059578647
HCLS1,0.2904372,0.002470031,-0.002751164,-0.014447589,0.00042887084,-0.09909006,-0.08726586,-0.007890952
HELLS,-0.0018809033,-0.024524042,0.35132188,0.0002743692,0.010976304,0.0025220003,0.008698001,-0.023188142
HHIP,-0.000101648184,0.07256714,0.10676019,0.13828616,0.015538281,-0.017644487,-0.07791278,-0.21657208
HNMT,0.17802705,0.013725535,-0.014114013,-0.021628836,0.010191409,-0.12740858,0.050039995,0.12317203
HSP90AA1,-0.0022587029,0.00835815,0.2811336,0.030004533,-0.0058293557,-0.0039880583,-0.04785044,-0.014567762
HSPH1,-0.00065040577,-0.0033400632,0.24128708,0.008936941,0.08081419,-0.06592168,-0.10819019,-0.0419295
IFI30,0.20580305,-0.1193028,-0.048493747,0.006494076,0.27730218,0.07802387,-0.007906942,0.010591753
IFI35,0.20456098,-0.036272738,-0.003755049,-0.002308021,-0.06966601,0.077446334,0.0005544817,0.33822715
IFITM5,0.00032435436,-0.23795395,-0.002056868,0.33495927,0.0024006935,0.096517816,0.22807938,-0.21363623
IGFBP3,-0.026501484,0.18009306,0.07628429,0.013833184,-0.0018512923,-0.09858848,-0.06309005,0.0020834436
IL18,0.30192164,-0.019190444,0.00022130768,0.008613696,-0.09243655,-0.018259479,0.054603126,-0.013073397
IL1RN,0.23926945,-0.018299593,0.037166618,-0.07587362,-0.04175195,-0.030357815,-0.0393296,0.075166166
INPP5D,0.2904168,-0.07127612,0.0026877555,0.068360515,0.033840053,-0.083396584,0.062023733,-0.071370326
IRF5,0.29608613,-0.056449555,-0.0018894623,0.008889308,-0.0026778113,-0.0015831745,-0.07717748,0.04742991
ITGBL1,0.020096071,0.17468494,-0.10911707,0.03181029,0.00025334817,-0.20721117,0.2000197,0.08322254
KCNQ1,0.28478384,-0.0035226182,0.00032305045,0.07785906,-0.07001333,-0.063462034,0.083684094,0.001967547
KIAA0040,0.107062556,-0.12141316,-0.047398385,0.0471147,0.4076668,-0.1106518,-0.0013149452,0.024609571
KIF15,-0.0023611556,0.037935745,0.40060076,-0.018490782,-0.0038040688,-0.008010869,0.09860772,-0.045827456
KIF22,0.0044106487,-0.009690936,0.35891232,-0.006425512,-0.0029040873,0.11650929,-0.0117839435,0.0016558293
KIF23,-0.0033598212,-0.00054517534,0.38566723,-0.08982987,-0.0025330486,0.0147938505,0.083908945,-0.002869478
KIF4A,-0.00022099793,-0.008703504,0.388601,-0.067335084,0.0043773367,0.05623792,-0.0007960681,0.062145453
LAMA3,0.011048877,0.01663896,-0.013217744,0.105591565,0.0021609792,-0.16460441,0.042959787,0.25592592
LAPTM5,0.28342488,-0.059146725,0.0002758338,-0.040920302,0.22166312,0.043974444,-0.006719152,-0.004177764
LCP1,0.28015843,-0.082005754,0.0009036984,-0.08732409,0.19380926,-0.0018466724,0.066941425,-0.058375493
LGR4,-0.09745733,-0.048431247,0.11814693,0.22667614,-0.043682933,-0.10829922,0.0973386,-0.13123302
LHX2,-0.05004022,0.065053925,0.17941342,0.16153313,-0.0010610969,0.19801652,-0.0066821696,0.037901197
LIMS2,0.090586506,0.14928998,-0.13243608,0.11451336,-0.112592556,-0.15202764,-0.011405552,-0.022248467
LY96,0.22250257,0.08561142,-0.07333182,-0.08316981,0.041026704,-0.014092839,0.06209766,0.03549968
MAP1LC3C,0.0034900142,0.08113034,-0.10781251,-0.0073733414,0.092693865,-0.18572643,0.038451456,-0.00021373136
MCAM,-0.0014991183,-0.048608918,0.087935776,0.14012761,-0.034691095,-0.42994565,0.02043508,-0.29739067
MCM2,-0.032741323,0.007555075,0.35651192,0.036005966,0.0006428455,0.067445956,-0.03194558,0.09520733
MCM5,0.0018856245,-0.03487172,0.32279286,0.00695626,0.0017191584,0.1289619,-0.12518114,0.048232198
MCTP1,0.20302412,0.03737277,-0.012652085,-0.0018145688,-0.059970945,-0.24847437,0.0147633655,-0.13984576
MOSPD2,0.13346604,-0.018012552,0.008666559,0.0052321083,0.0061080237,-0.13560748,-0.0120565565,0.3422647
MS4A7,0.30069855,0.050307456,-0.0069815605,0.0033031632,-0.16996774,0.012648821,0.1786752,-0.049635913
MSI1,-0.039843615,-0.07617531,0.09399627,0.24113683,-0.08320931,0.06931645,-0.064487964,0.012076355
MXRA5,0.041373957,0.2954307,-0.00050808117,-0.0051906523,0.03896772,-0.04633904,0.2035311,0.19826223
MYBL2,0.0020728568,-0.055950996,0.3119089,-0.08262491,0.00049081596,0.13450256,0.09429514,-0.09204292
MYO1G,0.30593663,0.0008733047,-0.001739109,0.021733081,-0.0047019124,0.056461748,-0.06645577,0.004701445
NCF4,0.3006471,-0.077237755,-0.0077051744,0.012786008,0.14562146,0.09431924,-0.042266864,-0.00046820613
NDUFB9,-0.0020532913,-0.15819193,0.10816892,0.010107918,-0.009812244,0.11418527,-0.036699638,-0.05204814
NETO1,-0.020516045,-0.00023008551,0.13504909,0.1237476,-0.0021875466,0.02004834,-0.053215966,-0.323558
NFAM1,0.3185086,-0.0306674,0.0027648855,0.009125241,0.074275404,0.06691745,-0.038647123,-0.0039210087
NR2F1,-0.005169184,0.17065975,0.13912708,0.094476044,0.02219176,-0.063347735,-0.14172986,-0.17813985
OAS1,0.21160741,-0.020190934,0.015281302,-0.0037646561,-0.108287156,0.097116254,0.09202587,0.32931188
OAS2,0.19658183,-0.0022876991,0.0050590658,-0.020996448,-0.09068885,-0.036446583,0.08086941,0.29503816
OSBPL3,0.13914531,0.10103364,0.11626569,0.02523105,0.048433747,-0.22456886,-0.11560454,0.088230245
OSR2,-0.08287503,0.11689977,0.081176706,0.09206888,-0.09474491,-0.01173738,-0.13280676,-0.08139168
PAG1,0.18254556,0.09061203,0.08629751,0.017350957,-0.05311834,-0.07197176,-0.05669279,-0.030063946
PAPPA,0.006323561,0.03986874,-0.010596597,0.009273108,0.08222749,-0.28106654,0.12072541,0.16103357
PARP12,0.22653373,-0.021904208,-0.00083988777,-0.033864345,-0.038385827,-0.027469702,-0.008109643,0.29729122
PARP14,0.22130257,-0.0041273655,0.06433665,0.036508515,-0.13196065,-0.036071945,0.09546861,0.28538302
PARP15,0.19867328,-0.06666801,-0.0049473895,-0.0023681668,-0.05039935,-0.19344643,0.0010935599,0.20959882
PARP9,0.20516941,0.0014417314,0.020020794,0.031631783,-0.09895411,-0.02524778,0.029660784,0.3762126
PARVG,0.33989486,0.0047910823,-0.00016963323,0.0426116,-0.0038264077,0.056813486,-0.011031032,-0.0025227317
PIK3AP1,0.28252283,-0.07782023,0.0030846114,-0.006542719,0.08303017,-0.05201039,0.08953594,0.06816154
PIK3CG,0.23266965,-0.07086049,0.050145365,-0.00046740542,0.26830694,-0.11488132,-0.0003729407,0.012312116
PLK4,0.00028296027,0.0010239441,0.39562204,-0.07931014,-0.018396556,-0.0624481,0.055883396,-0.0059185456
POLE,-0.004428168,-0.0039120447,0.36610943,0.04176508,-0.0041309795,0.08031498,0.009242232,-0.008021071
POLE2,-0.0015883228,-0.010580888,0.31477106,-0.05263838,0.00184917,0.04935614,0.013794911,-0.11812315
POLQ,-0.03196179,-0.003221404,0.33332112,-0.0070679206,-0.051392276,-0.026915599,0.018065857,-0.060224526
PRDM1,0.18975413,-0.0527744,0.032708567,0.001806813,0.26325318,-0.15695009,-0.038024984,-0.06644336
PRKAR2B,0.12991121,-0.0030320168,-0.058359705,0.035343938,-0.085795276,-0.22147754,0.0063285846,-0.0087069925
PTAFR,0.2839582,-0.030056793,-0.019309606,-0.031590573,-0.052158885,-0.07344621,-0.01456273,0.014945634
PTK2B,0.25329366,-0.038842753,0.0012757882,-0.059964683,0.17171457,-0.038904537,-0.013541525,-0.021816134
PTPN6,0.32482746,-0.023331495,-0.0045273267,-0.012883447,-0.0011017091,0.0050221924,-0.028162643,-0.011581163
PTPRC,0.3120997,-0.041837763,0.03346876,-0.02502922,0.065390594,-0.053923115,0.02944882,-0.0022392173
PTPRJ,0.22838251,-0.110991105,0.0061657443,-0.006368561,0.17215618,-0.1442553,-0.0021177202,0.0052827243
PTPRO,0.26992097,-0.00025960925,-0.0034639763,0.0887696,-0.09534532,-0.037310112,0.092446275,0.014965402
PYCARD,0.31153488,-0.0015259449,-0.047923017,0.008957905,-0.0079366565,0.12363277,-0.0762702,0.06361166
RAB30,0.001973005,0.16830309,-0.00030944776,0.013012439,-0.007727804,-0.18302383,0.1803306,0.26608875
RASSF5,0.21056673,-0.017219458,0.0008174014,0.038461756,-0.012648515,-0.008157918,-0.028888118,0.025537528
RCOR2,-0.05769428,-0.14144947,0.10159519,0.20997913,-0.046964407,0.16247462,0.32589427,-0.20302309
RECQL4,-0.00061470625,-0.017349072,0.23834328,0.0019844766,-0.013427988,0.20323333,-0.025446508,-0.103985325
RELN,0.0011256507,0.059245482,-0.012040767,0.040119972,0.011631061,-0.33284965,0.13827904,-0.16718723
RETSAT,0.09371545,0.0019120119,-2.1107926e-05,-0.09709843,0.16270277,-0.034277137,-0.004180063,0.3228661
RGS18,0.27793464,-0.0037781,-0.06694776,0.033940606,-0.12362498,-0.07686384,0.08766261,-0.011764835
RNASEL,0.13337699,0.0072668507,0.015287296,0.06939384,0.0023070634,-0.15697871,-0.04649143,0.37384835
RRM2,0.0038589218,-0.0050996877,0.33402324,-0.1399452,0.06300898,-0.012386526,0.14405301,-0.045959357
RYR2,-0.053741563,-0.0069596907,0.055436153,0.21967342,-0.036380805,-0.0067868843,-0.15432425,-0.2330094
SAMD9L,0.21942855,0.03760847,0.03064332,-0.013843329,-0.10812773,-0.09522054,0.06341043,0.30655533
SAMSN1,0.30654407,0.0023735692,0.00861598,-0.048347935,-0.18452354,0.016252793,0.06222535,0.02080016
SCML2,-0.044710476,0.0072632087,0.18975562,0.19601919,-0.042758446,0.16211459,-0.20983939,-0.056700133
SCTR,0.1267631,0.025491806,-0.08803965,0.07829602,-0.0035385317,-0.10924035,0.1474738,-0.020786673
SERPINB8,0.11274512,-0.08560971,-0.0064445683,-0.06700822,0.31343222,-0.008045385,-0.019102672,0.05592092
SERPINB9,0.16691744,-0.05571735,-0.0041591357,0.07188977,-0.16794448,-0.17441331,-0.09762972,0.17315902
SERPING1,0.1281803,0.011417987,-0.102680415,0.113954045,0.009297824,-0.18832208,0.0026709328,0.22233756
SFRP4,0.08132576,0.19415636,-0.09494107,0.008094546,0.1589293,-0.031919733,0.013967189,0.1719284
SH3D19,-0.053826507,0.14366859,-0.05631481,-8.2301456e-05,0.0071028243,-0.29713956,0.22154608,0.11605307
SH3TC1,0.25538453,0.010938261,-0.0057399753,0.07556205,0.042141613,-0.16433012,-0.10554729,-0.042982217
SIM2,-0.0056095812,0.15812112,0.15086871,0.13992576,-0.08104239,0.24246223,-0.14741929,-0.019346282
SLC13A5,-0.0009741334,-0.05897139,0.052081503,0.2556978,-0.009790526,0.1272905,0.23922105,-0.3332015
SLC43A2,0.26718873,0.02026153,-0.00012920753,-0.0702541,0.109728016,-0.06801583,-0.019271672,-0.057602737
SLC6A6,0.122957274,0.018054508,0.017947922,-0.04904518,0.13367657,-0.22338654,0.0024794992,0.17275724
SLC8A1,0.0996853,0.005164434,-0.0028998516,0.0212389,-0.024233323,-0.22487845,0.011153905,0.07324879
SLCO2B1,0.34030262,0.051798757,0.034581818,0.094431795,-0.12428987,-0.0045563504,0.058011703,0.005543959
SLCO3A1,0.073369965,0.031496484,-0.0025477721,0.039742876,0.10573645,-0.34127134,-0.08634791,0.14092316
SMO,-0.048723746,0.047465898,0.16376923,0.29587772,-0.0025825845,0.17661259,-0.010958081,0.03542662
SP100,0.17177959,-0.0007680833,0.001796899,0.004059461,-0.13521275,-0.10461546,0.0015436092,0.34296912
SPAG5,-0.002268821,-0.0026761694,0.36965322,-0.04882931,-0.0027915603,0.104046196,0.05290441,-0.0010790424
SRM,-0.008531204,0.01721649,0.12660813,-0.027577735,-0.044895455,0.15546843,0.18958725,-0.20262806
ST6GALNAC3,0.0035278322,-0.022225618,0.1703054,0.22584687,0.021143707,0.0047929552,-0.13502884,-0.13474043
ST8SIA5,-0.06184839,0.0051617357,0.09600152,0.10201193,0.13002452,0.137381,0.0063708853,-0.10456722
STC1,-0.0032564152,0.031982776,0.11517673,-0.01919953,0.016779523,-0.1492618,-0.062679455,-0.12272733
SUSD1,0.111724816,-0.18660583,-0.00067884556,0.09148381,0.0576851,-0.21199952,0.032490112,0.059257872
SYK,0.2546688,-0.06645565,-0.0068936106,-0.0006124304,0.24197792,0.012763203,-0.017537542,-0.0448915
SYTL1,0.16608113,0.0047971993,-0.022397961,-0.0022922845,0.1856688,0.124326065,-0.20372818,-0.019085165
TAGAP,0.2941717,0.0020566378,-0.0038855344,-0.012448583,-0.028632369,-0.004960147,-0.0044697053,0.04055191
TAPBPL,0.20099592,-0.03600079,-0.0046703313,0.046906557,-0.0022512798,-0.040055383,-0.052432526,0.20992833
TBC1D9,0.20342486,-0.08723986,0.027865028,0.010737354,0.31012982,-0.05426293,0.09243554,0.0029844828
TK1,0.0013104051,-0.068053186,0.2792771,-0.10890536,0.028499123,0.15325573,0.002304562,0.00095231354
TLR1,0.30069345,0.025151554,0.020921674,0.012090073,-0.11638688,-0.027819958,0.13009377,-0.0040613557
TLR3,0.16983153,-0.0164809,0.0017795551,0.06563282,-0.057866637,-0.13829848,0.085696064,0.3187146
TLR7,0.31488276,0.03386929,-0.00035672553,0.08607328,-0.09551114,0.0014598037,0.10305555,0.12410738
TLR8,0.3173967,0.02846928,0.0011916355,-0.040804066,-0.09699042,0.045541562,0.091433674,-0.051884737
TMEM123,0.06953544,-0.08038433,0.07288263,0.08336273,-0.0043268274,-0.27474234,-0.023238359,0.19628252
TMEM86A,0.27303317,-0.061875097,-0.0059613506,-0.0014795013,0.10274258,0.012725751,0.040846445,0.033337813
TNFAIP8,0.2410664,0.05356472,0.06480101,-0.033605527,-0.008754581,-0.0231273,-0.08001651,-0.10381926
TNFAIP8L2,0.2989785,-0.04359498,-0.058992624,0.0018400084,-0.11479915,0.07981795,-0.00211841,-0.00635833
TNFSF8,0.2858947,0.05658632,-0.0032744587,0.038803264,-0.16604832,0.0079779755,0.0037270738,0.06828369
TOP2A,-0.0006178879,0.015868165,0.41890994,0.006898868,0.0037020606,0.0056532687,-0.002829693,0.018933881
TRIB3,-0.0006877233,-0.008740532,0.1501011,-0.021393185,-0.012252182,0.15009443,-0.076865636,0.09787099
TRIM14,0.21170671,0.0030036157,0.10699825,-0.07275229,-0.07146242,0.010152338,0.018766299,0.25429848
TRIM22,0.2896195,-0.00080799486,0.00085336197,0.035517376,-0.18241562,0.016363833,0.10745597,0.16122389
TRIP13,-0.008355685,-0.0016411546,0.3218985,-0.051417425,0.0072630593,0.05693723,0.016818635,0.001541435
TSPAN33,0.1150621,-0.13442591,0.10763359,0.24204458,-0.08355967,0.13419478,-0.027063781,-0.111932166
TYMS,-0.043496925,-0.06822979,0.31255573,0.03138613,-0.00072573865,-0.005273012,-0.004142917,0.017248811
UBE2S,-0.0075970814,-0.033720605,0.24552554,-0.06795076,-0.0042183446,0.20220459,-0.012944865,-0.08550673
UBE2T,-0.04731829,-0.109005414,0.3048897,-0.070967905,-0.006508884,0.058593903,-0.041853726,-0.0037405875
UHRF1,-0.00045005674,0.036505014,0.37240598,-0.0015019582,0.022442032,0.027698347,-0.005460045,0.024532193
VAV1,0.33161408,0.00039199565,0.000297872,-0.022269985,0.0026747189,0.032940436,0.0005033932,-0.010280198
ZMAT1,0.14258692,-0.08143592,-0.00017775172,0.09700601,0.048870143,-0.15346678,-0.13141532,0.061246548
A4GALT,0.081754826,0.14907782,-0.12052256,0.051531177,-0.085643485,-0.16436942,0.011095299,-0.045064166
AADAT,-0.02985203,-0.109162115,0.102652825,0.0464006,-0.014357194,-0.011921139,0.119179875,0.0028119697
ABCA3,0.20972799,-0.110093154,0.011974179,0.14819455,-0.074521765,-0.06775812,0.006100056,-0.12964325
ABI3BP,0.061237436,0.26898327,-0.0062193396,0.13113008,-0.020023532,-0.1617166,0.033885084,-0.15067616
ABLIM2,-0.000577892,-0.17524102,-0.024141861,0.2063077,0.07864528,-0.07337876,-0.03038823,0.00048470576
ACOT7,0.022985993,-0.031671733,0.20574142,-0.1175463,0.007927248,0.11531563,0.02714973,-0.098538026
ACTA2,0.056877468,0.20828424,-0.00024130601,0.003904665,0.0055489796,-0.13591628,-0.08369853,0.09507873
ADAM12,0.0045957845,0.09724655,0.0993491,-0.036830857,0.14775877,-0.17334495,0.13640249,-0.03559148
ADAM22,-0.020723356,-0.044366438,0.13818242,0.21222538,-0.09213326,-0.044817604,0.1410108,-0.13488509
ADAMTS2,0.0022429759,0.0881015,-0.1151946,0.15408453,0.001387633,-0.15432939,0.3268938,0.02338729
ADAMTSL2,-0.0015612876,-0.04739602,-0.013545936,0.29784015,0.07064501,-0.13653453,0.16549097,0.041881725
AEBP1,0.0054597673,0.2953074,-0.071084246,0.026692364,0.13350515,0.013471403,0.13592665,0.18093953
AGTR1,-0.0006366618,0.14128387,0.016785057,0.077062376,-0.0014594068,-0.1427906,-0.032153558,0.1051633
