,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,group
DOG2::14_0614__Tumor,7.2191987,-2.8645146,-0.154179,-1.8735657,-0.26269546,-0.35499886,0.75404966,0.081829056,-0.9122853,-0.90500927,-2.2710485,DOG2
DOG2::15_0615__Tumor,2.5340433,-0.3799995,0.08144548,1.1362462,-1.0921893,0.24564888,0.98364025,0.4390519,-1.6750009,-0.96451795,0.52221465,DOG2
DOG2::16_0211_tumor,-2.8908966,0.83304334,-3.130269,-1.6906297,0.7780448,0.20277475,2.3749418,-0.06322422,0.4567553,0.5850288,0.69213945,DOG2
DOG2::16_0616__Tumor,-0.49420527,2.1679215,0.28063887,-1.7533776,-0.06341203,-0.01922849,-0.9808291,0.12335687,-0.82556343,-0.042892195,0.5591593,DOG2
DOG2::17_0226_tumor,1.2040032,-1.400594,2.6331532,1.9594505,-0.93344265,1.0179853,-1.3739405,-0.4007279,-0.35587528,-1.621431,0.55054164,DOG2
DOG2::17_0620__Tumor,0.72093076,-0.35134622,0.60959536,-0.20679827,0.91088295,1.2567288,-0.45815682,-0.47842184,0.93948483,-0.2213916,-0.291831,DOG2
DOG2::18_0301_tumor,-2.3390656,-1.6923728,0.08278547,-4.944812,0.6262713,0.16806357,-2.4349964,2.7261355,-1.3777385,1.952722,-0.5114085,DOG2
DOG2::19_0303_tumor,-1.614159,0.25605637,4.8072424,-1.7678758,0.3644521,-2.5367143,-0.2802358,-0.9301593,-0.6414285,-1.9120685,0.18503377,DOG2
DOG2::19_0621__Tumor,-1.1420273,0.09931978,2.0374749,2.0879722,-0.7169556,-0.57856715,-0.115578994,-3.0401766,-0.9224371,0.5456263,-0.46511826,DOG2
DOG2::1_0201_tumor,-0.4658178,1.323162,2.1810522,1.2196823,0.06952594,-2.9422212,2.1325123,-0.36302406,-0.4746231,1.4965926,0.41664565,DOG2
DOG2::1_0202_tumor,-1.0298452,0.9758513,-2.8483756,1.5814565,0.44738522,0.4054719,1.4383609,-2.1977813,-0.032856233,-0.6486214,0.71766484,DOG2
DOG2::20_0307_tumor,0.42124304,2.3155642,-4.020833,-2.6068566,-0.43099117,-2.0103784,3.242508,0.6983118,-2.8917277,-0.2059098,-1.3272188,DOG2
DOG2::21_0311_tumor,6.5317926,0.20769309,-2.377609,-3.6154754,-1.133211,-0.49439195,0.54029334,-0.74109554,-1.412926,0.38735744,1.1816851,DOG2
DOG2::21_0631__Tumor,-1.9450852,-1.1087557,1.305463,0.90776145,-0.042443335,0.94292283,1.9833089,1.0604662,0.67310715,-0.5912383,-0.3329761,DOG2
DOG2::22_0317_tumor,4.8384233,1.0494796,0.043786515,-1.5879601,0.4952218,-0.9172072,0.50565547,-0.24755096,0.040947344,-0.3557799,1.720136,DOG2
DOG2::22_0640__Tumor,-0.28377357,0.076245636,2.1833215,2.2133894,0.042554915,0.7287092,-0.8413397,-2.5326192,-0.3545819,-0.32213527,-0.40242383,DOG2
DOG2::23_0329_tumor,0.47465613,-0.9187504,1.3385195,-2.0014613,-0.29291403,3.3247814,1.0059088,-0.38129115,1.230185,0.056710117,-0.9205711,DOG2
DOG2::23_0642__Tumor,3.1780338,-0.46961862,1.8015981,1.5032097,-0.020466404,-0.7206421,1.1033926,-0.45138478,-0.8019303,0.5883061,-0.29052746,DOG2
DOG2::24_0405_tumor,-0.8142334,2.7310708,0.9668857,-3.1028147,0.54369044,-0.30073565,-1.1887584,0.37190798,-0.24600622,-0.6902881,-0.50928265,DOG2
DOG2::24_0704__Tumor,-4.0753984,-0.036801443,-0.66574305,0.9697883,0.4163688,-0.3093195,2.9901686,1.5291369,0.14706837,-0.98736084,1.3065238,DOG2
DOG2::25_0505_tumor,-1.3613093,0.8732536,-0.13914272,-3.7632554,0.09718109,1.3378174,-1.3348684,2.1853268,-1.3010128,0.87422323,0.96077067,DOG2
DOG2::25_0706__Tumor,3.2880986,-0.2755385,0.15258776,1.5788845,-0.09433846,-0.49575484,0.42374423,0.8731754,-0.31350437,-1.0432512,-0.16600436,DOG2
DOG2::26_0509_tumor,2.1440241,0.73355174,0.7034836,-0.6756494,0.6184813,1.6408592,0.52040577,-0.6071391,0.7231563,0.88445896,0.34688693,DOG2
DOG2::26_0722__Tumor,0.10241549,-0.10257343,1.2722071,0.0322594,0.33681193,-1.3012246,0.6719295,-0.6325844,0.04805206,0.40023932,-0.3815964,DOG2
DOG2::27_0511_tumor,0.73280036,-0.63889873,-0.41512096,1.1138986,-0.32760027,1.3535397,0.89759016,0.89085823,-0.1539685,-0.1206121,-0.15879138,DOG2
DOG2::27_0723__Tumor,0.8344977,-0.33894038,-0.913167,2.3820097,0.7488557,-0.1837341,-1.9138302,3.5510812,-0.1755028,-0.025955904,-0.507725,DOG2
DOG2::28_0513_tumor,2.2740805,0.78094935,0.4384384,0.23772675,0.7648102,-0.61420417,-1.2725698,-1.1298258,-0.6376752,1.250423,-0.8417888,DOG2
DOG2::28_0725__Tumor,-3.5253286,0.9023232,3.0765882,0.79657686,-0.009107956,0.8560108,-0.017429989,-0.6554655,-0.09862785,-1.1899714,0.9196149,DOG2
DOG2::29_0515_tumor,-0.30950534,0.8896689,-0.2160661,1.1588256,-1.6407329,1.4978511,2.6829405,-0.74501824,-0.6159965,1.7101191,-0.83783925,DOG2
DOG2::29_0729__Tumor,-0.68892795,-2.5220132,-2.780673,2.1415157,1.111048,3.2679176,-4.1642666,3.1738894,0.056588765,0.6444537,1.9966296,DOG2
DOG2::2_0203_Tumor,4.499821,-3.3728895,3.8915005,-0.8826097,-1.3421743,-2.7781448,-0.48539317,-1.3332387,-0.03647477,2.1461349,2.7371497,DOG2
DOG2::2_0209__Tumor,-3.1019769,-0.84138453,1.7384151,1.5957512,-0.45100784,1.2704227,0.7114459,-1.445145,0.5889855,-0.7074066,0.13283762,DOG2
DOG2::30_0517_tumor,-0.8079287,-0.7777044,1.4969088,1.0662032,-0.1253499,0.1780125,0.050673902,-2.0089326,0.7108069,-0.47086713,0.19446743,DOG2
DOG2::30_0814_RNAla_Ter__tumor,-0.42852768,-1.3375489,0.97444236,1.9115202,-0.23268351,1.1624442,-1.0471257,2.2431695,1.2836195,-0.15638418,0.48771423,DOG2
DOG2::31_0519_tumor,1.4510107,-0.37495962,-3.2737918,0.45312324,-0.29499787,-0.189401,0.9071347,1.96641,1.2737126,-0.20480911,2.2643142,DOG2
DOG2::32_0523_tumor,4.595677,1.7085928,-2.2076056,-2.4097216,0.44551492,-0.8152727,-0.43246913,0.16869241,-0.50446683,0.39796215,0.19087447,DOG2
DOG2::32_0904__Tumor,-2.032496,1.3877752,-0.29536122,1.3091508,1.0148191,1.0440694,-0.3168038,-1.1438956,-0.389723,0.12181596,-0.35866275,DOG2
DOG2::33_0524_tumor,1.3284214,0.5539783,-3.5027418,-0.42039433,0.65177786,3.0114944,1.171612,0.38802344,-1.3319869,-0.60800123,0.48117366,DOG2
DOG2::33_1002__Tumor,2.1408346,-3.4490972,1.8564208,1.9946451,-0.352613,-0.036630455,-0.6252589,1.6899436,0.24762209,-0.447132,0.5115073,DOG2
DOG2::34_0601_tumor,2.3240469,-1.1930383,-4.7163134,3.187463,-0.0700711,0.15449218,-0.6149451,1.499195,-0.89239436,0.09620488,-0.5540104,DOG2
DOG2::34_1004__Tumor,0.7496597,0.39941987,-0.2890738,0.69369835,0.23085803,1.2070367,0.21719974,1.6988715,-0.8327565,-0.20931068,0.04180409,DOG2
DOG2::35_0603_tumor,6.42114,-3.7493067,1.5683695,-2.9714398,0.12531619,-1.3050301,1.006336,1.6109433,0.036906652,-1.1137662,0.7992665,DOG2
DOG2::35_1007__Tumor,-1.4190631,-1.9314246,2.781957,1.095201,-0.38495284,0.24526995,0.0019576915,-0.68412584,-0.27914855,-0.42450783,-0.16592078,DOG2
DOG2::36_0607_tumor,-1.1203904,1.1420032,2.1432874,0.85246366,-0.9074906,-0.68963736,1.1332109,-1.0376868,-0.45114124,1.5235515,-1.4708985,DOG2
DOG2::36_1014__Tumor,2.3940122,-2.8687637,1.185641,0.55222505,-1.6735878,4.27576,1.3909429,-0.9856254,-1.1020983,-0.7318415,-1.1465068,DOG2
DOG2::37_0625_tumor,6.1686797,-0.49243417,-2.0350616,-3.427957,-0.4456112,0.020687025,-1.5800654,0.37355366,-1.8557019,1.4703872,0.2808525,DOG2
DOG2::37_1015__Tumor,2.1239643,-1.02704,2.1319308,-0.67694306,0.6950545,-0.51404655,2.9387913,0.13721165,-0.29576597,-0.37694383,0.15363638,DOG2
DOG2::38_0630_tumor,-0.92300117,2.537283,0.34716493,0.34106803,-2.5938027,-2.629567,-1.7826604,0.51451457,-0.9278113,1.0656391,1.6867557,DOG2
DOG2::38_1016__Tumor,-3.0466902,1.6823895,1.5528804,1.0295186,-0.075813435,-0.1374839,-1.9151253,-1.7400962,-0.09586744,-0.68727756,-0.7906985,DOG2
DOG2::39_0701_tumor,-1.0504526,-1.967991,-1.5251735,3.07943,-0.13328159,1.3620648,0.14786455,3.1865065,-0.50336057,-0.19939415,-0.7833397,DOG2
DOG2::39_1103__Tumor,-3.4424317,1.5991251,-0.51407313,1.0738014,1.0013847,-2.6055539,-2.8266985,-0.77951735,1.0433645,-0.80180186,-2.1716049,DOG2
DOG2::3_0207_Tumor,4.4952044,-2.6692212,-1.7138748,2.036869,-0.2918267,0.096089624,0.93886423,2.2616072,-1.5369451,-0.40705162,0.2719487,DOG2
DOG2::3_0212__Tumor,-0.27986702,0.6264674,0.53409034,1.8787683,-0.2611609,1.2564871,2.012786,-0.5681486,-0.21471006,1.2902335,-1.4413202,DOG2
DOG2::40_1101_tumor,0.86843306,0.34009457,-1.5272757,-1.5584033,0.18145894,3.0665853,1.5706229,0.73965114,0.103914425,-0.40645388,0.28094336,DOG2
DOG2::40_1107__Tumor,3.5089455,-1.1643194,-2.696841,3.6278238,0.015700787,0.5381947,-0.90426636,2.8171327,-1.3318701,0.0063484632,-0.2385342,DOG2
DOG2::41_1407__Tumor,-1.9940959,2.9254034,-2.276555,-1.7057593,-0.9215901,-2.582335,2.2780032,-0.52015096,-2.2742345,-0.89160705,1.2762754,DOG2
DOG2::41_2007_tumor,-4.74443,1.9704052,0.22971526,-0.08317108,-0.83495635,-2.9915214,0.8926008,-1.1257364,-0.3415228,1.0464139,0.83443016,DOG2
DOG2::42_0715_tumor,1.5135137,-3.1024494,0.94881487,-1.9492646,0.60525256,-1.0829179,-0.73180836,0.29935917,0.17345507,1.4092739,0.86563265,DOG2
DOG2::42_1409__Tumor,-3.2620227,1.5022639,1.3694569,-0.5457527,0.2825568,-1.184625,-2.3992865,0.9075163,0.516229,-0.5247435,-2.5713663,DOG2
DOG2::43_1401_tumor,2.4905798,-0.6015728,0.41541457,0.018536484,-0.8171758,1.6428171,0.07892809,0.7663233,0.59749705,0.5968424,0.9593755,DOG2
DOG2::43_1410__Tumor,-5.1616864,2.020538,-2.3835979,0.027738677,0.6264089,-2.5187273,-1.9329668,-1.4101528,2.994742,1.982066,0.062399246,DOG2
DOG2::44_0713_tumor,2.792672,-0.58351487,-1.9979522,1.0321337,0.06021162,0.38960978,2.4885855,2.8784945,-0.79227674,1.5365512,-0.91694295,DOG2
DOG2::44_1412__Tumor,-3.4400704,2.0633907,4.338032,0.044832144,-0.41117358,-2.5949988,-0.9718874,-0.5067912,0.253237,-0.27958384,-0.33618227,DOG2
DOG2::45_1024_tumor,-2.9788024,0.90869,-1.6425602,0.7914448,1.1309242,0.13183846,1.6889795,2.194481,0.22895713,1.316635,-2.3563802,DOG2
DOG2::46_1405_tumor,4.5819397,-2.338553,0.1155666,-1.5399994,0.04833383,2.4197037,1.1546218,-0.88833904,0.22331005,0.07635993,-0.1425577,DOG2
DOG2::46_1703__Tumor,-0.09939681,-0.2243743,3.2474678,1.6853689,-0.50130373,-1.4925376,-1.2029335,-1.2968994,1.5828161,-0.8161963,0.5502975,DOG2
DOG2::47_1709__Tumor,7.9115524,-4.9131384,-5.482299,-4.726717,-2.0706923,-0.9519104,0.3765488,-1.458606,-1.4206232,0.62209326,2.2533023,DOG2
DOG2::47_2321_tumor,2.208632,1.649891,1.8701955,-1.6409103,-0.95164883,-1.0272312,-0.6949437,0.2848192,-0.65016276,1.134134,0.79985684,DOG2
DOG2::48_0705_tumor,0.31418976,3.0456872,-0.9063564,-0.09249204,0.7339786,0.71093696,0.40933833,-1.1739058,-1.2256168,0.33692706,-0.7351426,DOG2
DOG2::48_1712__Tumor,1.9049665,-0.48488906,-1.1395773,1.6559727,-0.7279946,2.133269,1.5715449,1.5514947,-1.1001197,0.17282735,0.9419562,DOG2
DOG2::49_1803__Tumor,1.9512519,1.0861765,-1.375812,-0.90107626,0.62731606,-1.6153177,3.5269897,0.9340146,-1.6114703,1.2945251,-0.18413998,DOG2
DOG2::49_1903_tumor,-3.431849,2.8269808,-3.6930275,-0.41552827,0.48573592,-0.7080119,0.0789663,-0.3151199,-0.4456212,-0.38783222,-0.4531736,DOG2
DOG2::4_0214__Tumor,-1.3553431,-2.0949771,1.8911778,-1.5489932,-0.40097407,-0.2603083,0.7604085,-0.26764053,0.8659572,0.23114325,-1.4269478,DOG2
DOG2::4_0215_Tumor,-4.062539,0.6669231,2.8252587,-1.3936819,0.16905372,-2.5128744,-2.2708268,-2.0779085,1.314921,1.2194737,0.24800254,DOG2
DOG2::50_0703_tumor,-0.79090154,1.4258081,0.4556744,1.9230181,-0.26445416,1.5505095,0.5339915,-1.4503068,-0.056713022,-0.12157796,-0.06817018,DOG2
DOG2::50_1805__Tumor,-0.9685504,1.2914138,2.684511,1.3485601,-0.34185523,0.40683532,0.32627147,-1.3270516,0.4825641,-0.27561322,0.3979945,DOG2
DOG2::51_0803_tumor,3.0484285,1.4546041,-2.1906064,0.09694347,0.8083951,0.23232725,0.7656647,-0.86408514,-1.4330742,-1.3114606,-0.91896397,DOG2
DOG2::51_1902__Tumor,0.42593074,-0.9032709,-4.3743668,0.45017484,-1.0549843,2.3664265,-0.5671279,-2.153385,-1.9526716,0.42063186,0.88965476,DOG2
DOG2::52_2006__Tumor,1.2866527,1.7171541,-1.1456337,-0.5824926,0.6945208,-0.5872466,2.0684235,-1.2793934,-1.7070568,0.26152867,0.50782657,DOG2
DOG2::52_2317_tumor,-0.27161872,-0.18490502,-3.0815535,-1.5248046,-0.7698169,3.4824424,-0.76630247,2.7963989,-0.9861119,-0.28839418,-1.2849194,DOG2
DOG2::53_0717_tumor,-0.6628769,-0.64449173,-0.44737178,1.851561,0.917162,-1.404735,0.73009,2.2358854,1.3058138,0.2517402,-0.02154057,DOG2
DOG2::53_2011__Tumor,-2.7962575,-0.20912158,1.7015537,2.3209407,-0.09837628,0.32838836,0.7051597,-0.33059898,0.3756274,-0.71898353,0.39718366,DOG2
DOG2::54_1013_tumor,-1.013393,-2.001988,-2.6617196,1.822238,0.44794205,4.505214,-1.4186656,1.7327609,-0.2935078,-0.47505257,1.8005557,DOG2
DOG2::54_2303__Tumor,-0.74316317,3.6303246,-3.7379532,-0.35225168,0.18344186,-1.5279424,0.6783458,-0.2911455,-2.33147,-0.72695386,1.0963647,DOG2
DOG2::55_2307_tumor,3.0035338,2.259428,-0.5674255,0.18170452,-0.43727466,-0.5112437,0.19305019,-1.9743629,0.5306075,1.132115,-0.18488473,DOG2
DOG2::55_2308__Tumor,-0.39950478,1.6888673,-4.717768,-1.2449397,0.01604975,-1.2475209,1.7897931,-1.1280828,-0.18428022,0.85476255,0.765584,DOG2
DOG2::56_1001_tumor,1.4875029,-2.8827553,4.350929,-0.35993612,0.78218365,-2.3598049,-0.42919028,-0.8645615,0.4162696,-0.031795964,-0.33726496,DOG2
DOG2::57_0709_tumor,-2.0290792,-3.4831722,1.8061802,1.2376065,0.14201324,0.57702094,-0.3001086,-0.22097734,0.13779308,0.6316941,0.07958942,DOG2
DOG2::58_1104_tumor,-3.9541054,1.3715113,4.4463735,1.1640494,-0.58077514,-1.3023407,-0.55617404,-3.0562868,0.14419973,0.6067598,-0.7336518,DOG2
DOG2::59_1003_tumor,-2.537005,2.1789072,1.4070303,-1.982151,0.38207236,-2.0255194,-2.136999,0.6511067,0.68515354,-1.562735,0.4427225,DOG2
DOG2::5_0220__Tumor,1.3776814,-0.057358284,0.123344906,-2.149627,-0.39824808,2.6472914,-2.2568278,-2.1832428,1.7403451,-1.2959616,-0.08368323,DOG2
DOG2::5_0817_Tumor,-2.6875165,1.3612367,1.5239844,0.09846386,1.3991457,-3.3750281,1.3263118,-0.42293173,-0.078650065,-0.34356597,0.9937898,DOG2
DOG2::60_1415_tumor,-0.57295907,-0.08682903,3.184664,0.20124958,0.8035697,0.26042584,1.0959221,-0.7558985,0.41572127,-1.4389107,-0.065631196,DOG2
DOG2::61_1005_tumor,-2.6418333,-2.462019,0.35651833,2.0268545,-1.433654,-2.2874827,-0.81633884,4.1545167,0.043941587,-0.13569124,-1.5473628,DOG2
DOG2::62_2003_tumor,-0.13196298,-1.6876744,2.5328846,1.7053841,0.4249334,0.880379,-0.842083,-1.2461321,-0.5977233,0.12784639,-0.43245813,DOG2
DOG2::63_1411_tumor,-6.2038627,-0.053847276,2.988036,1.5840434,0.17864805,-1.8556944,-3.3882403,-1.5682913,1.2844276,-0.8684871,0.9761943,DOG2
DOG2::64_1009_tumor,-4.9384937,-1.3042463,2.7430675,0.3399998,-1.2948403,-3.449853,-3.5047314,-0.8516873,1.3293539,-1.4923613,0.11775072,DOG2
DOG2::65_2009_tumor,-2.6575665,-1.6487285,2.7687817,-0.29172164,-0.09519752,-3.2132277,-0.20350324,-0.8424348,-0.047526073,-0.6368436,-1.182613,DOG2
DOG2::66_0206_tumor,4.5202856,0.39569837,-3.9366689,1.0605747,-0.33587065,3.3555865,-0.4508598,0.9279489,-0.7227483,0.09574882,0.9269105,DOG2
DOG2::67_1909_tumor,4.894672,0.18372077,-0.679674,-1.8534552,1.3582257,1.1725341,2.3419628,0.5902868,0.39285585,0.8383097,0.9144823,DOG2
DOG2::68_0210_tumor,2.3642113,2.2638302,-2.4296885,-2.937426,0.039317083,-0.20104074,2.292379,0.41677365,-1.7209327,-0.5790769,-0.38661253,DOG2
DOG2::69_0222_tumor,-1.2610096,-0.20717114,-1.467936,-0.06164598,0.3451421,3.79629,0.46486878,-0.121162295,0.60837615,0.1791479,-0.6530256,DOG2
DOG2::6_0305__Tumor,-4.0498123,2.1143692,1.1619478,1.2825582,1.0384983,-2.8192801,-1.6213218,-1.4522374,1.0356213,0.95185274,-0.3201546,DOG2
DOG2::6_1012_Tumor,-4.749047,-0.9908931,-4.867356,2.9220116,-1.0111309,-0.948819,1.7330004,2.944767,0.35244867,0.83389074,-0.15662569,DOG2
DOG2::70_0225_tumor,2.787129,-0.14174801,0.93213737,-0.92382306,0.34399775,1.8882467,0.39149264,-1.2448587,-1.3061368,-0.4056385,-0.46835622,DOG2
DOG2::71_0643_tumor,0.66063935,0.29460496,1.3268564,0.8110318,-1.2720227,3.336533,0.42676166,-1.0746565,-0.17365599,1.2218628,-1.0407181,DOG2
DOG2::72_0732_tumor,4.7102804,-0.80120325,-3.7093089,2.8513935,-1.0666549,-0.8047746,-0.96417797,2.072647,-1.7546484,0.35921797,0.5033177,DOG2
DOG2::73_0813_tumor,-0.8967736,-0.42705905,1.0432782,1.989454,0.34674534,0.4824166,1.2966914,0.8701295,1.3803445,0.0076477462,1.2646842,DOG2
