,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
BTK,0.07741901238623508,-0.026637612685224594,-0.013169840605096388,0.032508598722650675,0.035160174129765,-0.04789790322724836,0.017255026889160786,0.021506688885288318,-0.03447948388552366,-0.00117845321431571,0.04643556418809353,-0.0072292121978267815
BUB1,-0.03951927893497123,-0.04036664112167473,-0.04798712400795865,0.09365137475369155,0.023710001218454346,0.013739053130910513,-0.0535460022835786,0.022854253855112156,-0.012142519638176752,-0.019456252538491058,0.0013513981043272762,-0.003972443246455085
C1S,0.04864483483925883,0.05400369412330466,0.04463168027889038,-0.00599144945240771,0.0058267598028729686,0.05170822202647969,0.011912181726659046,-0.011507294837666153,0.02391811931884872,-0.005600382550858971,-0.0033137385719956055,0.060555367565419384
C3AR1,0.07692677371760143,0.0063875584147925525,-0.020648915161423576,0.03634866627535281,-0.04081296449483019,0.02450915463995362,0.031802464299407925,0.04280946312351194,-0.035314046855694545,-0.04136505957229669,0.04025817473275446,-0.026242187076240348
CAPG,0.04549119779972061,-0.022509586574736597,-0.005088181173112063,-0.000377958468363158,0.1022437300523463,-0.0018210652857289073,0.01033686636185524,-0.0025073645091797424,-0.029181799543425747,0.040224098669493405,0.09718407867589501,-0.03735019158556808
CARD9,0.06374280612489777,-0.020409225681596494,0.005795431761120878,0.025265972324082953,-0.005428135331837272,-0.010767287668281729,0.06342918449367754,0.017571716467880538,0.008335291195181529,0.07256539111074217,-0.05823087209413422,-0.005090913364456193
CASP8,0.041515342087063575,-0.005254929903878557,0.0016085141074608112,0.02579436138307639,0.0006047945322269133,0.035196065260354785,-0.08194472299475132,0.04782818841714546,-0.044666595960085265,0.025221749827463245,0.026102130915753377,-0.02180046760286047
CBX7,0.05601320299494696,0.005396519404076856,0.025615233942465974,-0.012855502136767116,-0.03284144924422858,0.05163143917685934,-0.03760156102504591,-0.05113564219414467,-0.04831703603339457,0.0057042720156163,0.0330134803693594,0.04564246832881943
CCNA2,-0.03877307871220064,-0.01520915143834621,-0.049669609148925695,0.10041904015751231,0.023198222317699118,0.016933971589637976,-0.03475745486840039,0.023326237584370572,0.0040641395965265465,-0.021439315974098087,-0.005603063385805343,0.04423295079616569
CCNB3,-0.02679081152730415,-0.028592461796140035,-0.038353248963397375,0.06750918100882251,-0.0011184081559405638,0.021677830717656374,-0.017350110043448233,-0.04244194803415706,0.016837501999344424,-0.028804142219459455,0.02580789602810267,0.016867014008112868
CCR2,0.0677572388232431,0.006028675055419902,-0.009985098151838994,0.028974897407306445,-0.06344169283201659,0.019497903022478294,-0.0058161621240470866,0.003771011778480403,-0.02399736110875836,-0.01827826293453516,0.015428740932718479,-0.008389000290099159
CD244,0.06079293202984085,-0.02219544439935022,-0.019699122096638832,0.014636500640834223,-0.05472192739999551,-0.003995495154926022,-0.007697425652628277,0.013582744321034027,-0.026441967689597657,0.015259478607160728,0.03472382223229878,0.020818050498832917
CD74,0.07708127130945829,0.003640613876536956,-0.02177898161896424,0.025401925220557824,-0.06309896491450863,0.027208706104489166,0.03383243465768129,0.036460293645656575,0.010390575032190248,-0.012102905314957155,0.021910063505050842,-0.01500041996107002
CD80,0.06772928597061396,0.0013491511615200229,-0.03215880615841435,0.015562041976760924,-0.03594552308483427,0.02223448575032622,-0.01511142638288119,0.005608141701882247,-0.02685284801316974,0.040036347007288885,0.05141803764961968,-0.031182304779524675
CD86,0.06936822351483495,0.009797529867415344,-0.027882535055828068,0.03456119763589793,-0.0294778321335602,0.03654596187692573,0.03809578405806871,0.06300046884670496,-0.011223553459211843,0.00446572516196898,-0.00968131101924058,-0.0040162057536023334
CDC20,-0.04201336203792827,-0.021265381724131064,-0.04478750826556391,0.0863069041640314,0.030119976230833664,0.022743609403036092,0.02026062252322354,0.03920088404060812,0.03455524324385818,0.00040842889578022925,-0.001884363730988728,0.04149996684057959
CDC6,-0.03310299201290467,-0.03236874639998337,-0.05803481577854383,0.08489340041724673,0.026694493945388822,0.041169239334131386,-0.014813851498483143,-0.000809568021622388,0.0010848114903556465,-0.016224024643455036,0.028105687095369758,0.06149738833310437
CDCA2,-0.04323626496508404,-0.014083519461266562,-0.041174930727243556,0.09323891719946695,0.031160980816303134,0.018584065462022993,-0.02148197124841402,0.017686450131754766,0.0023528437600526704,-0.0239318687757819,-0.017078506616446533,0.07611508621405352
CDCA8,-0.04160819030338219,-0.021581747753725185,-0.043515214858953016,0.09883944715578476,0.01627718880596366,0.032221717563505614,0.010230556645356199,0.0022125796090685483,0.00019041332234561413,-0.0281237831785252,0.09988681469799623,0.06713911869363287
CEP72,-0.03605334373651414,-0.021210532727309155,-0.0281576240473685,0.06991778952083486,-0.005317321260401143,0.017455625583145496,0.003918956497735876,-0.022655563017524836,-0.009674599970992934,0.035519154268732325,0.0492358383179293,-0.010022740586217575
CHST2,0.0060580242574140965,-0.004863935867891917,-0.0033449488988824753,0.06090998959263341,-0.0341344847171889,-0.06848813220915188,-0.05171243489231575,-0.0806601839438117,0.05575943257519422,-0.019124386433369698,0.04766454920248877,-0.05684018526964076
CLEC12A,0.06950307174952017,0.005987095747640481,-0.012771359572807355,0.024382633800888318,-0.05478639038195732,0.02739543325269806,0.031079430536357054,0.021880022960153192,-0.007194197203499178,0.007071331619953642,-0.02244053083181855,0.02886291399283706
CLSPN,-0.03656084981475461,-0.022854944577726195,-0.026580954437500373,0.09941928561175148,0.014899312551823357,0.030104728894463202,-0.03717311458142908,0.013049152446288834,-0.009145251064347121,-0.04061491970167681,0.028930619089411636,0.010294803651077662
CLTCL1,-0.021669093560852972,0.021733157421691403,-0.015229872797205309,0.07119265348620032,-0.021352856347356383,-0.014280512996185218,0.04960919716061771,-0.0618278224321984,-0.05312667109554643,-0.024845523329317082,0.07929458340106946,0.014566269248078884
