,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
PIK3AP1,0.28315488,-0.07305421,0.0041133366,0.047760632,-0.0838513,-0.05881727
PIK3CG,0.25610524,-0.06424451,0.041769158,0.08294071,-0.06671841,-0.22258353
PLK4,0.0028217088,0.008659512,0.38535124,-0.08238124,-0.026467238,0.008128265
POLE,-0.02652959,-0.006809465,0.36635837,-0.0004218075,0.034057472,0.007800985
POLE2,-0.0013232656,-0.007063804,0.30976734,-0.09409433,0.10566327,-0.0071622087
POLQ,-0.029260179,0.006400692,0.32615712,-0.041169126,0.027336353,0.040690947
PRDM1,0.222213,-0.045712337,0.0066602263,0.06953297,0.0016558734,-0.22181416
PRKAR2B,0.15382655,0.027737975,-0.08200672,0.05334505,-0.04125645,0.08588793
PTAFR,0.2856223,-0.025719598,-0.032723133,-0.028835393,-0.059672166,0.054698892
PTK2B,0.27018914,-0.04189021,0.0003094659,-0.0077410094,-0.0050996086,-0.15146478
PTPN6,0.32205224,-0.029987272,-0.007415271,-0.030714655,0.0020522266,0.0033116688
PTPRC,0.32010454,-0.0367281,0.024081018,-0.0010708694,-0.017291684,-0.049456492
PTPRJ,0.25014606,-0.083031915,0.0038832284,0.058721907,-0.0788004,-0.14787902
PTPRO,0.2602662,0.009344453,-0.0032783742,0.0764515,-0.0035317086,0.10671553
PYCARD,0.2951644,-0.04106887,-0.042116698,-0.006281905,-0.0069549084,0.026713321
RAB30,0.005222248,0.17667443,0.00021385844,0.11656717,-0.29235095,0.018904857
RASSF5,0.20853308,-0.01792202,0.00051184226,0.027396323,-0.01612264,0.030111598
RCOR2,-0.07862026,-0.11014137,0.12968019,0.16045721,0.33445293,0.06527067
RECQL4,-0.010237519,-0.04169955,0.24817972,-0.07574988,0.16294879,0.010586649
RELN,0.05496152,0.12647566,-0.026908066,0.09041746,0.044347018,-0.010653588
RETSAT,0.08635573,-0.019686151,0.0021128077,0.021045774,-0.3483742,-0.13544482
RGS18,0.27590394,0.0060439324,-0.07149114,0.018385317,0.0044531627,0.12157277
RNASEL,0.124748394,0.00473126,0.020780152,0.1518413,-0.39623785,0.0078372
RRM2,0.019652715,0.0019767694,0.3369011,-0.10627928,0.0018351811,-0.07343972
RYR2,-0.043280892,0.0010464714,0.028219737,0.11087839,0.27105325,0.062353164
SAMD9L,0.20072109,0.033835318,0.03575,0.026998665,-0.33344415,0.11281359
SAMSN1,0.29159743,0.0020735858,0.010184611,-0.082579084,-0.019784551,0.16331226
SCML2,-0.06612545,-0.0066276523,0.19452158,0.084565885,0.1451354,0.06571716
SCTR,0.1354907,0.059384745,-0.088201374,0.104647614,0.015339764,0.00922544
SERPINB8,0.12528431,-0.104124896,-0.0063122245,0.02537429,-0.07791579,-0.2732609
SERPINB9,0.16427328,-0.037763376,-0.013837269,0.080062136,-0.21044958,0.17609392
SERPING1,0.13116087,0.030107459,-0.101512365,0.18550093,-0.24305831,0.0021871745
SFRP4,0.08578495,0.1759151,-0.09051122,0.0852121,-0.17446692,-0.13181815
SH3D19,-0.013613912,0.18751344,-0.061780866,0.11427066,-0.19285643,-0.0073628905
SH3TC1,0.27476433,0.02907272,-0.02672593,0.07193133,-0.005121781,-0.010898238
SIM2,-0.054788306,0.117457576,0.14596497,0.0048763743,0.12275439,0.07271257
SLC13A5,-0.004490145,-0.015810814,0.07054153,0.16914701,0.45083585,0.03196514
SLC43A2,0.28675467,0.02897873,-0.0014958659,-0.044522632,-0.0030685521,-0.101503074
SLC6A6,0.14210199,0.03385199,0.008386185,0.050909597,-0.26581603,-0.111350484
SLC8A1,0.11934021,0.03161045,-0.009636026,0.07279183,-0.13979879,0.04152912
SLCO2B1,0.32610524,0.058931652,0.03903169,0.05322036,0.0014761776,0.13298087
SLCO3A1,0.10983598,0.062914334,-0.018746492,0.13996485,-0.2528625,-0.06807012
SMO,-0.08007309,0.034306467,0.17720695,0.21762444,0.102017805,0.043489642
SP100,0.15222287,-0.005018253,0.0028256103,0.057375118,-0.3619002,0.14418833
