canine_gene,human_gene_symbol,available_DOG2,available_TARGET_OS,available_GSE21257,available_GSE39055,gse39055_best_detected_fraction_p_lt_0_01,is_primary_frozen_gene,DOG2_robust_variability,DOG2_variability_percentile,TARGET_OS_robust_variability,TARGET_OS_variability_percentile,GSE21257_robust_variability,GSE21257_variability_percentile,GSE39055_robust_variability,GSE39055_variability_percentile,minimum_four_cohort_variability_percentile,median_four_cohort_variability_percentile,minimum_three_cohort_variability_percentile,median_three_cohort_variability_percentile
SUCNR1_3,SUCNR1,True,True,True,True,0.027027027027027,False,0.4319082067698009,0.09849601887348865,1.0140311881201476,0.8998818665091554,0.23155380599999997,0.49429097605893185,0.04397059999999975,0.18190757128810225,0.09849601887348865,0.33809927367351705,0.09849601887348865,0.49429097605893185
SUGCT_3,SUGCT,True,True,False,False,,False,0.49320334517509834,0.19197876732527278,0.6118565983390043,0.558476077968104,,,,,0.19197876732527278,0.37522742264668835,0.19197876732527278,0.37522742264668835
SULF1_3,SULF1,True,True,True,True,0.2702702702702703,False,0.8736463390077511,0.8330875847832497,0.8616690031140664,0.8192557590076787,0.7675687939999989,0.9550644567219153,0.3012345189999994,0.4939364142903966,0.4939364142903966,0.8261716718954641,0.8192557590076787,0.8330875847832497
SULF2_3,SULF2,True,True,True,True,0.5675675675675675,False,0.672441884214392,0.6127985844883516,0.7237501929798693,0.7088009450679268,0.6309163239999993,0.9082872928176795,1.4531815399999992,0.9616519174041298,0.6127985844883516,0.8085441189428031,0.6127985844883516,0.7088009450679268
SULT1C4_3,SULT1C4,True,True,False,True,0.1351351351351351,True,0.6407862007750151,0.5576526098496019,0.6113927250813695,0.5558180744240993,,,0.047691247999999575,0.1969845952146837,0.1969845952146837,0.5558180744240993,0.5558180744240993,0.5567353421368506
SUPT3H_3,SUPT3H,True,True,True,True,0.4864864864864865,False,0.6456521192958444,0.565614862872309,0.6749549566148618,0.6458948611931482,0.4840866469999998,0.8044198895027624,0.5198323170000005,0.6365126188135037,0.565614862872309,0.6412037400033259,0.565614862872309,0.6458948611931482
SUPT7L_1,SUPT7L,True,True,True,True,0.1351351351351351,False,0.5734573363691484,0.40106163373636095,0.2980018568147975,0.17542823390431186,0.06960726899999958,0.2294659300184162,0.06133974299999956,0.23729924614880368,0.17542823390431186,0.23338258808360995,0.17542823390431186,0.2294659300184162
SUSD1_3,SUSD1,True,True,True,True,0.6486486486486487,True,0.5450339694624695,0.3258625774107933,0.5225515630692104,0.41405788541051386,0.3749883470000004,0.6931860036832412,1.8107855799999992,0.9895116355293346,0.3258625774107933,0.5536219445468775,0.3258625774107933,0.41405788541051386
SUSD2_3,SUSD2,True,True,True,True,0.972972972972973,False,0.7895784593590851,0.7676201710409909,0.9068737498139381,0.8484937979917306,0.06417984000000043,0.21141804788213628,1.00501429,0.8629957391019338,0.21141804788213628,0.8080569845163608,0.21141804788213628,0.7676201710409909
SUSD5_3,SUSD5,True,True,False,False,,False,0.863894088546317,0.8271896195812445,1.095603747722929,0.9232132309509746,,,,,0.8271896195812445,0.8752014252661096,0.8271896195812445,0.8752014252661096
SV2A_3,SV2A,True,True,True,True,0.5135135135135135,False,0.624345300219693,0.5219699203774698,0.958580844418389,0.8762551683402244,0.33462993100000027,0.6394106813996316,1.0616178639999996,0.883316945263848,0.5219699203774698,0.757832924869928,0.5219699203774698,0.6394106813996316
SV2C_3,SV2C,True,True,True,True,0.027027027027027,False,0.680881818641078,0.6245945148923622,0.0500587498205689,0.03071470761961016,0.037408077999999456,0.08876611418047882,0.02151043299999955,0.04195345788266142,0.03071470761961016,0.06535978603157012,0.03071470761961016,0.08876611418047882
SVEP1_3,SVEP1,True,True,False,True,0.4054054054054054,False,0.9645593509159203,0.8832202890002949,0.8688148687368156,0.8260484347312463,,,0.36116273300000046,0.5319567354965585,0.5319567354965585,0.8260484347312463,0.8260484347312463,0.8546343618657706
