endpoint,step,phase,gene,gene_symbol_clean,p,c_index,selected_before
OS,1,forward,ABCC3_3,ABCC3,0.003646289447030088,0.5949468297753259,0
OS,1,forward,LOC102154334_3,LOC102154334,0.26482104815865626,0.5368993363716319,0
OS,1,forward,DSN1_3,DSN1,0.003206044831794323,0.5959862477012873,0
OS,1,forward,ORC6_3,ORC6,0.009031551887850197,0.5943871431998081,0
OS,1,forward,GSAP_3,GSAP,0.004409602722441966,0.5845526505157111,0
OS,1,forward,SCTR_3,SCTR,0.005322319780215048,0.5738786279683378,0
OS,1,forward,PSAT1_3,PSAT1,0.0102813196091021,0.5766370832333892,0
OS,1,forward,SRM_3,SRM,0.029855371553006983,0.5847925161909331,0
OS,1,forward,TMEM59L_3,TMEM59L,0.016127792015370106,0.5608859038938194,0
OS,1,forward,SULT1C4_3,SULT1C4,0.00016662806234202625,0.619812904773327,0
OS,1,forward,XG_3,XG,0.001885572595253155,0.586711441592708,0
OS,1,forward,LMO2_3,LMO2,0.00032277625045953385,0.6152554569441113,0
OS,1,forward,LOC119875957_1,LOC119875957,0.005939520873157373,0.5873510833932998,0
OS,1,forward,INPP5D_3,INPP5D,0.0003932982756720841,0.6103781882145998,0
OS,1,forward,NCKAP1L_3,NCKAP1L,0.0011969738904474554,0.6070200687614936,0
OS,1,forward,LOC119877532,LOC119877532,0.0009906765637173434,0.6071799792116415,0
OS,1,forward,UHRF1_3,UHRF1,0.006430067866446243,0.5853522027664508,0
OS,1,forward,CDT1_3,CDT1,0.009092586335672904,0.5784760534100903,0
OS,1,forward,DENND1C_3,DENND1C,0.0008838099576586945,0.6086991284880467,0
OS,1,forward,FAM107A_3,FAM107A,0.0008528452437186073,0.6011833373310946,0
OS,1,forward,SKA3_3,SKA3,0.0038497804435008104,0.5963060686015831,0
OS,1,forward,PTPN6_3,PTPN6,0.0008947287302249625,0.6098185016390821,0
OS,1,forward,STX3_3,STX3,0.0549367389222966,0.5606460382185976,0
OS,1,forward,OSR2_3,OSR2,0.011316262946565618,0.5873910610058367,0
OS,1,forward,MCM2_3,MCM2,0.018752283501103573,0.5708803070280642,0
OS,1,forward,LOC119866898_3,LOC119866898,0.0017692810128478987,0.6015831134564644,0
OS,1,forward,JCHAIN_3,JCHAIN,0.0443727606381071,0.5875909490685216,0
OS,1,forward,CCNA2_3,CCNA2,0.008046067833534142,0.5871112177180778,0
OS,1,forward,GTSE1_3,GTSE1,0.003882110038174687,0.5923882625729592,0
OS,1,forward,KLHL9_3,KLHL9,0.004499137005651719,0.5934276804989206,0
OS,1,forward,RBM44_3,RBM44,0.00803582378417915,0.5897097625329816,0
OS,1,forward,SLC6A11_3,SLC6A11,0.06392889557664502,0.5851523147037659,0
OS,1,forward,FAM83D_3,FAM83D,0.009356802763102827,0.5960662029263613,0
OS,1,forward,AURKA_3,AURKA,0.005107387796480585,0.59462700887503,0
OS,1,forward,TONSL_3,TONSL,0.0004949118146689507,0.6067802030862717,0
OS,1,forward,UBE2C_3,UBE2C,0.00611501855070927,0.598544814903654,0
OS,1,forward,STMN1_3,STMN1,0.012591198815523588,0.5651235308227393,0
OS,1,forward,SUSD1_3,SUSD1,0.026207421553122254,0.5740785160310227,0
OS,1,forward,ELOVL4_3,ELOVL4,0.0007087797731355025,0.6214919644998801,0
OS,1,forward,CBLN3_3,CBLN3,0.004785952369493447,0.6014232030063165,0
OS,1,forward,TRANK1_3,TRANK1,0.013160302452507818,0.5827936355640841,0
OS,1,forward,TMEM140_3,TMEM140,0.004720393449541661,0.5959862477012873,0
OS,1,forward,PIK3AP1_3,PIK3AP1,0.0019361202776319011,0.604141680658831,0
OS,1,forward,SPN_3,SPN,0.009488816580828716,0.5814343967378268,0
OS,1,forward,PRDM1_3,PRDM1,0.0038134053811361124,0.5941472775245862,0
OS,1,forward,ITGBL1_3,ITGBL1,0.0023394856594533453,0.5842328296154153,0
OS,1,forward,LDLRAD4_3,LDLRAD4,0.044763176759678884,0.5484928440073559,0
OS,1,forward,STC1_3,STC1,0.011063022384691507,0.5819141280882706,0
OS,1,forward,RETSAT_3,RETSAT,0.006633288405033239,0.5833533221396018,0
OS,1,forward,EPHA2_3,EPHA2,0.0015543235210641307,0.6150955464939634,0
OS,1,forward,HSP70_3,HSP70,0.006024891225728723,0.5847125609658591,0
OS,1,forward,IFIT2_3,IFIT2,0.006997855797637682,0.5878308147437435,0
OS,1,forward,LOC119874749_2,LOC119874749,0.007586603580928959,0.5698408891021028,0
OS,1,forward,B2M_3,B2M,0.0016015173645311232,0.6058207403853841,0
OS,1,forward,SIVA1_3,SIVA1,0.016053891652706598,0.5623250979451507,0
OS,1,forward,PRKAR2B_3,PRKAR2B,0.0003410828863583416,0.6247701287279124,0
OS,1,forward,RASSF5_3,RASSF5,0.002675025621087861,0.5894299192452227,0
OS,1,forward,PARP4_3,PARP4,0.00952799977446046,0.5516910530103142,0
OS,1,forward,HNMT_3,HNMT,0.0031795643762010336,0.6003038298552811,0
OS,1,forward,DEPDC1_3,DEPDC1,0.008736760899543563,0.5850323818661549,0
OS,1,forward,RAB30_3,RAB30,0.0009947550829130796,0.5947869193251779,0
OS,1,forward,VWA5A_3,VWA5A,0.004212425434246603,0.6061405612856801,0
OS,1,forward,FCMR_3,FCMR,0.02738672398372101,0.5860717997921164,0
OS,1,forward,TYMS_3,TYMS,0.031794526907011386,0.5704805309026945,0
OS,1,forward,PARP12_3,PARP12,0.005594139821436819,0.5969457104021748,0
OS,1,forward,TDRD7_3,TDRD7,0.00012587892309824566,0.6142160390181498,0
OS,1,forward,TMCC3_3,TMCC3,0.013826771059778444,0.5546493963380507,0
OS,1,forward,CYTH4_3,CYTH4,0.0013779217241872664,0.5850323818661549,0
OS,1,forward,CDC6_3,CDC6,0.009496972382423832,0.5968657551771008,0
OS,1,forward,PAPSS2_3,PAPSS2,0.0063113856486783785,0.5609658591188934,0
OS,1,forward,LAG3_3,LAG3,0.00502143561902809,0.5814343967378268,0
OS,1,forward,LOC111091730_3,LOC111091730,0.00043814788894953514,0.6069001359238826,0
OS,1,forward,REXO5_3,REXO5,0.024682301439314304,0.575277844407132,0
OS,1,forward,GMFG_3,GMFG,0.002016674321006121,0.5943871431998081,0
OS,1,forward,GPRC5C_3,GPRC5C,0.00011750688352476054,0.6238906212520988,0
OS,1,forward,ARRB1_3,ARRB1,0.0023996777919021777,0.5700807547773247,0
OS,1,forward,SERTM1_3,SERTM1,0.002431264194389441,0.5921483968977372,0
OS,1,forward,LAPTM5_3,LAPTM5,0.0015965636381843967,0.6117374270408571,0
OS,1,forward,RNASEL_3,RNASEL,0.008086149300941646,0.5899896058207403,0
OS,1,forward,E2F8_3,E2F8,0.01007461857681716,0.5944670984248821,0
OS,1,forward,LOC106559420_3,LOC106559420,0.0037006804139311797,0.5994243223794675,0
OS,1,forward,NCF4_3,NCF4,0.00819617686570943,0.5999040537299113,0
OS,1,forward,ATP8B4_3,ATP8B4,0.00331670047940487,0.5778364116094987,0
OS,1,forward,TROAP_3,TROAP,0.0024739971936393046,0.5930279043735508,0
OS,1,forward,LOC106557828_3,LOC106557828,0.02045039587842733,0.5780762772847206,0
OS,1,forward,HELLS_3,HELLS,0.026391385354562803,0.5795154713360519,0
OS,1,forward,TNFRSF14_3,TNFRSF14,0.0034946129814284336,0.6153354121691853,0
OS,1,forward,STING1_3,STING1,0.000812904206234289,0.6221316063004717,0
OS,1,forward,RRM2_3,RRM2,0.04025827908906439,0.575197889182058,0
OS,1,forward,UBE2T_3,UBE2T,0.009101739815084338,0.5783960981850164,0
OS,1,forward,PBK_3,PBK,0.006626420068584651,0.5832733669145279,0
OS,1,forward,TAF9B_3,TAF9B,0.03454692623000949,0.575277844407132,0
OS,1,forward,LOC106559497_3,LOC106559497,0.016288538671181966,0.5712001279283602,0
OS,1,forward,FAXDC2_3,FAXDC2,0.04544593630427897,0.5803949788118653,0
OS,1,forward,LOC119878234,LOC119878234,0.0074847176914216995,0.567562165187495,0
OS,1,forward,PTK2B_3,PTK2B,0.007771455759131716,0.5855121132165987,0
OS,1,forward,ANXA3_3,ANXA3,0.003308905082992243,0.6014232030063165,0
OS,1,forward,ADA2_3,ADA2,0.0031294247367685537,0.6106180538898217,0
OS,1,forward,PARP9_3,PARP9,0.0021257462567355603,0.6019828895818342,0
OS,1,forward,SLC13A5_3,SLC13A5,0.0051409919155168795,0.5670424562245143,0
OS,1,forward,SLC6A6_3,SLC6A6,0.005543809002960995,0.5782361877348685,0
OS,1,forward,ORC1_3,ORC1,0.022389650564759698,0.5876709042935956,0
OS,1,forward,SYTL1_3,SYTL1,0.015611052944755984,0.588790277444631,0
OS,1,forward,BIRC5_3,BIRC5,0.023145061914624822,0.5644039337970737,0
OS,1,forward,KIF22_3,KIF22,0.013130037546833876,0.5843927400655633,0
OS,1,forward,NCAPG_3,NCAPG,0.023586405764761613,0.5840729191652675,0
OS,1,forward,DBF4B_3,DBF4B,0.004074823788958006,0.5910290237467019,0
OS,1,forward,GBP6_3,GBP6,0.008225595367416657,0.6074998001119373,0
OS,1,forward,FN1_3,FN1,0.01635733681146383,0.5614455904693372,0
OS,1,forward,RENBP_3,RENBP,0.005112821341682087,0.5889501878947789,0
OS,1,forward,PIANP_3,PIANP,0.02996607535266923,0.5468137842808027,0
OS,1,forward,ANKRD22_3,ANKRD22,0.008427841576589197,0.5915087550971456,0
OS,1,forward,PTPRJ_3,PTPRJ,0.00921967841811425,0.5901495162708883,0
OS,1,forward,CCNB3_3,CCNB3,0.0004417066041846678,0.6136563524426322,0
OS,1,forward,IGFBP5_3,IGFBP5,0.009085588081566575,0.5819940833133446,0
OS,1,forward,CSRP2_3,CSRP2,0.11178233655921396,0.5464939633805069,0
OS,1,forward,TOP2A_3,TOP2A,0.011542635225633778,0.5949468297753259,0
OS,1,forward,PTPRC_4,PTPRC,0.0016006956104786991,0.6148556808187415,0
OS,1,forward,DTX3L_3,DTX3L,0.0037444438292259124,0.5917486207723675,0
OS,1,forward,ATAD2_3,ATAD2,0.002192880297811498,0.5871112177180778,0
OS,1,forward,KIF15_3,KIF15,0.014349577719607638,0.582953546014232,0
OS,1,forward,APOBR_3,APOBR,0.03131424133777397,0.5586471575917487,0
OS,1,forward,H2AX_3,H2AX,0.006335855406631872,0.5740785160310227,0
OS,1,forward,LOC119879410,LOC119879410,0.032397715178755594,0.5525705604861277,0
OS,1,forward,CHST2_3,CHST2,0.014175026449622569,0.5412169185256257,0
OS,1,forward,ADAM19_3,ADAM19,0.028473711948689716,0.581194531062605,0
OS,1,forward,NCAPH_3,NCAPH,0.004613598844233926,0.5886303669944831,0
OS,1,forward,POLQ_3,POLQ,0.005229183276505685,0.5680818741504757,0
OS,1,forward,SLC5A6_3,SLC5A6,0.01539793407316161,0.5697609338770289,0
OS,1,forward,MTFR2_3,MTFR2,0.02245654912217864,0.5817542176381226,0
OS,1,forward,TYROBP_3,TYROBP,0.0017338276799328265,0.6064603821859759,0
OS,1,forward,TRIM14_3,TRIM14,0.0008385987905367224,0.604221635883905,0
OS,1,forward,CDC20_3,CDC20,0.017204724234809957,0.5737586951307267,0
OS,1,forward,ST8SIA5_3,ST8SIA5,0.019661090828622066,0.5919085312225154,0
OS,1,forward,CDCA7_3,CDCA7,0.015207728493394764,0.5663228591988486,0
OS,1,forward,HSD11B1_3,HSD11B1,0.09047193754416843,0.5398576796993684,0
OS,1,forward,ADAMTS1_3,ADAMTS1,0.03491448519774916,0.5594467098424882,0
OS,1,forward,LPXN_3,LPXN,0.004158642232607191,0.6210921883745103,0
OS,1,forward,ARL4D_3,ARL4D,0.009823459004288238,0.592628128248181,0
OS,1,forward,TMEM178A_3,TMEM178A,0.14788278331046986,0.5025585672023667,0
OS,1,forward,MAP1LC3C_3,MAP1LC3C,0.0018605333510894348,0.5843527624530263,0
OS,1,forward,KIF18B_3,KIF18B,0.006486923796694979,0.5976653074278404,0
OS,1,forward,LOC119876044,LOC119876044,0.0031832718886709455,0.6094587031262493,0
OS,1,forward,CENPT_3,CENPT,0.01057237384002193,0.5998240985048373,0
OS,1,forward,EVI2A_3,EVI2A,0.008266699654224099,0.5979051731030622,0
OS,1,forward,ARHGDIB_3,ARHGDIB,0.0042515125229572615,0.5808747101623091,0
OS,1,forward,NMRAL1_3,NMRAL1,0.047609133181756476,0.5586471575917487,0
OS,1,forward,SPAG5_3,SPAG5,0.010174212543469846,0.5794355161109779,0
OS,1,forward,HSP90AA1_3,HSP90AA1,0.020629669286767863,0.5729591428799872,0
OS,1,forward,GPRIN1_3,GPRIN1,0.03465302161322668,0.5705604861277684,0
OS,1,forward,LOC489911_3,LOC489911,0.006990615533788522,0.5731190533301351,0
OS,1,forward,CLTCL1_3,CLTCL1,0.014565505597684577,0.5668825457743664,0
OS,1,forward,CENPI_3,CENPI,0.02849496868593025,0.5671224114495882,0
OS,1,forward,IFI35_3,IFI35,0.004235327926285684,0.5871911729431518,0
OS,1,forward,LAMA3_3,LAMA3,0.013911125505269746,0.5770368593587591,0
OS,1,forward,FGL2_3,FGL2,0.00017661390951298782,0.6356440393379708,0
OS,1,forward,ITGAX_3,ITGAX,0.035313724876790645,0.5568081874150476,0
OS,1,forward,TK1_3,TK1,0.016557813064811473,0.5726393219796914,0
OS,1,forward,KIF4A_3,KIF4A,0.005008873002091329,0.5943871431998081,0
OS,1,forward,CD244_3,CD244,0.007240933125336244,0.6140961061805389,0
OS,1,forward,TRIM34_3,TRIM34,0.01212034030619037,0.5993443671543935,0
OS,1,forward,PID1_3,PID1,0.005155040125597099,0.5792756056608299,0
OS,1,forward,HSPH1_3,HSPH1,0.008119952435588494,0.5755177100823539,0
OS,1,forward,ZBED2_3,ZBED2,0.008266745694524836,0.5630446949708163,0
OS,1,forward,SYK_3,SYK,0.006147873489349388,0.5858319341168945,0
OS,1,forward,JAML_3,JAML,0.0023504303854934906,0.6266090989046135,0
OS,1,forward,CCNB2_3,CCNB2,0.015162711906347019,0.5828735907891581,0
OS,1,forward,PAG1_3,PAG1,0.0025501549467112665,0.5779163668345726,0
OS,1,forward,LOC111090004_3,LOC111090004,0.015956364234098942,0.5612057247941153,0
OS,1,forward,PLCXD2_3,PLCXD2,0.012445963157834786,0.559926441192932,0
OS,1,forward,GAB2_3,GAB2,0.0072807561290067595,0.5704805309026945,0
OS,1,forward,BTK_3,BTK,0.0013932682537355452,0.6009434716558727,0
OS,1,forward,UBA7_3,UBA7,0.005450185455548207,0.5991045014791717,0
OS,1,forward,MCAM_3,MCAM,0.1429684969632781,0.5329815303430079,0
OS,1,forward,PAPPA_3,PAPPA,0.008940098195292775,0.575277844407132,0
OS,1,forward,PIK3CG_3,PIK3CG,0.0056224953556642384,0.5875909490685216,0
OS,1,forward,RAB29_3,RAB29,0.011209814035883474,0.5935875909490685,0
OS,1,forward,GBP1_3,GBP1,0.012211211645902687,0.6091788598384904,0
OS,1,forward,PRKX_3,PRKX,0.03654457554146988,0.5474534260813945,0
OS,1,forward,SH3D19_3,SH3D19,0.0024582658778016003,0.5730390981050612,0
OS,1,forward,STK39_3,STK39,0.008259706017351844,0.577116814583833,0
OS,1,forward,PGAP1_3,PGAP1,0.01779905519775015,0.5699208443271768,0
OS,1,forward,CEP72_3,CEP72,0.00932777949516782,0.583033501239306,0
OS,1,forward,KIF23_3,KIF23,0.022480988582138352,0.592548173023107,0
OS,1,forward,MCTP1_3,MCTP1,0.010995938148489683,0.6150155912688894,0
OS,1,forward,NSMCE2_3,NSMCE2,0.004509136165661005,0.5763972175581674,0
OS,1,forward,FERMT3_3,FERMT3,0.0051741741726477105,0.6021428000319821,0
OS,1,forward,IGFBP3_3,IGFBP3,0.08453481778410649,0.5552090829135684,0
OS,1,forward,DOCK2_3,DOCK2,0.005175790292858209,0.6059006956104581,0
OS,1,forward,EHD3_3,EHD3,0.03720640607887054,0.5516110977852403,0
OS,1,forward,OSBPL3_3,OSBPL3,0.004899834786132291,0.6037419045334612,0
OS,1,forward,SLCO3A1_3,SLCO3A1,0.01237703766511961,0.5828735907891581,0
OS,1,forward,C1S_3,C1S,0.03602444297737475,0.5661629487487008,0
OS,1,forward,DRAM1_3,DRAM1,0.007438234801267457,0.598544814903654,0
OS,1,forward,CDCA2_3,CDCA2,0.004893513714320779,0.5981450387782842,0
OS,1,forward,MYO1G_3,MYO1G,0.008696322834042812,0.6040617254337571,0
OS,1,forward,LOC488622_3,LOC488622,0.00828267579050225,0.5951866954505477,0
OS,1,forward,PTAFR_3,PTAFR,0.006386630635185543,0.5921483968977372,0
OS,1,forward,FAS_3,FAS,0.0006582804841835946,0.6029423522827216,0
OS,1,forward,TIMD4_3,TIMD4,0.005752867399303541,0.6024626209322779,0
OS,1,forward,CLSPN_3,CLSPN,0.015547833717867771,0.5874310386183738,0
OS,1,forward,DAPP1_3,DAPP1,0.008150122011134445,0.6112576956904133,0
OS,1,forward,CASP12_3,CASP12,0.015418572214899793,0.5993443671543935,0
OS,1,forward,LY96_3,LY96,0.00438715465075195,0.5807147997121612,0
OS,1,forward,ATP8A1_3,ATP8A1,0.019603684036664255,0.5863916206924122,0
OS,1,forward,LPAR5_3,LPAR5,0.029998303385071996,0.5971455984648597,0
OS,1,forward,EGR1_3,EGR1,0.16855210508648144,0.548252978332134,0
OS,1,forward,DLA-79_3,DLA-79,0.02633581747597155,0.5758375309826497,0
OS,1,forward,PPA1_3,PPA1,0.024073924365068416,0.5602462620932278,0
OS,1,forward,SERPINB9_3,SERPINB9,0.023841355210781907,0.5962261133765091,0
OS,1,forward,P4HA1_3,P4HA1,0.030984316735063293,0.5800751579115695,0
OS,1,forward,NALCN_3,NALCN,0.04145151445751986,0.5621651874950028,0
OS,1,forward,VAV1_3,VAV1,0.0032784400804304393,0.5999840089549852,0
