gene,p,endpoint,fold
PSMB8_3,0.0029433049149513732,DFI,1
BTLA_3,0.00294814683414624,DFI,1
GAB2_3,0.0029875400066583097,DFI,1
F5_3,0.003010709050132789,DFI,1
HOXD11_3,0.003074530468906348,DFI,1
ITGAX_3,0.003087576922311551,DFI,1
SPC25_3,0.0030958742200848776,DFI,1
KYNU_3,0.003109342351418502,DFI,1
FAM180A_3,0.0031118420574624468,DFI,1
FOLH1B_3,0.003112481256023538,DFI,1
PEG10_3,0.0031270698148689905,DFI,1
AURKA_3,0.003157384176843959,DFI,1
NFAM1_3,0.003174766528789561,DFI,1
OSR2_3,0.003197481459038992,DFI,1
IRF5_3,0.003218083397438199,DFI,1
PSAT1_3,0.003238791801604654,DFI,1
CEP72_3,0.003258711340026859,DFI,1
LAG3_3,0.003271884539420851,DFI,1
GAMT_3,0.003273227489442572,DFI,1
PLK4_3,0.0032775947244658528,DFI,1
C6H16orf54_3,0.003299497956668674,DFI,1
IL15RA_3,0.0033630616365907065,DFI,1
TASL_3,0.0034019234337901135,DFI,1
GIMAP2_3,0.0034270672438760624,DFI,1
FGFR3_3,0.0034296941015044755,DFI,1
OLFML1_3,0.0034626331598087406,DFI,1
LOC111092837_3,0.0034711724685921957,DFI,1
LPAR5_3,0.0035098089072428335,DFI,1
ENPP3_3,0.0035333124046428954,DFI,1
COL4A5_3,0.0035477836935021495,DFI,1
IRF1_3,0.0035873986435953657,DFI,1
PTPRO_3,0.003600485178533128,DFI,1
CD48_3,0.0036240388820404793,DFI,1
GSDMD_3,0.0036664665272244283,DFI,1
ARHGAP30_3,0.0036722553682189446,DFI,1
LOC611446_3,0.0037027669009582122,DFI,1
KBTBD12_3,0.003703696207530867,DFI,1
THEMIS2_3,0.0037711889234158923,DFI,1
SNX10_3,0.0038187645405752322,DFI,1
NR1H3_3,0.0038263026892529353,DFI,1
RNASEL_3,0.003837229746681829,DFI,1
CASP4_3,0.0038567698628893077,DFI,1
CDCA8_3,0.0039035124528546553,DFI,1
LOC119878294,0.003928285528866838,DFI,1
RASSF5_3,0.003928657362751384,DFI,1
TMEM117_3,0.003934322601496458,DFI,1
CSTF2T_3,0.003953575359779538,DFI,1
LOC608379_3,0.003956499491655462,DFI,1
TMEM144_3,0.00397712798965821,DFI,1
GLUL_3,0.004005604306569986,DFI,1
TTC39C_3,0.004031441114972656,DFI,1
FANCD2_3,0.004062984724480635,DFI,1
LOC119877400,0.004096738918285744,DFI,1
GLRX_3,0.004115130667907404,DFI,1
EMB_3,0.0042004385085246156,DFI,1
LOC119878257,0.004224441581299775,DFI,1
CLEC12A_3,0.004262302003959785,DFI,1
ECM1_3,0.00428609116968926,DFI,1
DENND2D_3,0.004323295528086541,DFI,1
LOC484343_3,0.004324974362986293,DFI,1
CARD11_3,0.004384034173292351,DFI,1
CLTCL1_3,0.004432160664207133,DFI,1
GJB2_3,0.004442084955261663,DFI,1
MYBL2_3,0.004464023251803388,DFI,1
CASP12_3,0.004551318416340396,DFI,1
SP100_3,0.0045549128325817955,DFI,1
P3H2_3,0.004570606515889464,DFI,1
BTG2_3,0.004577988627736303,DFI,1
ATP8A1_3,0.004604271193993305,DFI,1
MYO1F_3,0.004606629277186388,DFI,1
CAPG_3,0.004618096052742567,DFI,1
IGFBP7_3,0.004618547193029938,DFI,1
LOC489911_3,0.004666390140437513,DFI,1
TRIM14_3,0.004676607355301567,DFI,1
TLR1_3,0.004696342257032802,DFI,1
CLEC2B_3,0.004700704671019105,DFI,1
TAF9B_3,0.004716337024989896,DFI,1
IL2RG_3,0.004771613527422175,DFI,1
LOC119878923,0.004822396684231096,DFI,1
CRLF1_3,0.004825001754461544,DFI,1
CFI_3,0.004826142685591135,DFI,1
GPR156_3,0.004828110454408736,DFI,1
UBE2S_3,0.004831858407075151,DFI,1
LURAP1L_3,0.004900115567179555,DFI,1
SAMSN1_3,0.00490039692504303,DFI,1
IL15_3,0.0049036675324111096,DFI,1
IL2RB_3,0.004907935876993271,DFI,1
CD2_3,0.004917510965130118,DFI,1
WNT5B_3,0.004955407773895908,DFI,1
P4HA1_3,0.0049588477973658215,DFI,1
LOC100686511_3,0.004971189877432586,DFI,1
PLPP2_3,0.004985165663728521,DFI,1
PDE10A_3,0.004995700109782162,DFI,1
CA14_3,0.005032512611454928,DFI,1
PER1_3,0.005065168768517791,DFI,1
LOC606863_3,0.005157489367409835,DFI,1
CSRP2_3,0.005169298311946488,DFI,1
LIPA_3,0.005177551012113584,DFI,1
LOC119876150,0.005190314460696894,DFI,1
DLA-DMB_3,0.0052313372312351725,DFI,1
GATA6_3,0.0052514651272078374,DFI,1
LOC119869019_2,0.005254910889966359,DFI,1
KLHL9_3,0.005260999844158313,DFI,1
SASH3_3,0.005265371355877955,DFI,1
LOC102156332_4,0.0052687093347093435,DFI,1
KCNA3_3,0.005284671680375208,DFI,1
MATN4_3,0.005312965671598738,DFI,1
TNFSF8_3,0.00531461934851986,DFI,1
EHD3_3,0.005315768369163502,DFI,1
KIAA1549L_3,0.005380147898928349,DFI,1
UNC13D_3,0.005382213515344868,DFI,1
EGR2_3,0.005386327431207946,DFI,1
C1RL_3,0.005396825682360327,DFI,1
LOC111090004_3,0.005396959150963813,DFI,1
GIMAP8_3,0.005451019568365538,DFI,1
CD40_3,0.0054712777890948095,DFI,1
DEPDC1_3,0.005474768253292831,DFI,1
NCF1_3,0.005481351719760695,DFI,1
RGS4_3,0.005485834597836309,DFI,1
LOC100688849_3,0.0055125134946218774,DFI,1
RNLS_3,0.005609418002789861,DFI,1
WWC1_3,0.005642987825412514,DFI,1
IL1RN_3,0.00572480267878808,DFI,1
LAT2_3,0.005751888024982337,DFI,1
LOC100687459_3,0.005756998036630647,DFI,1
CCL5_3,0.00579791679026733,DFI,1
MZB1_3,0.005867991417303581,DFI,1
LOC100856137_3,0.005871209542645824,DFI,1
LOC102157159_3,0.0059730397893813176,DFI,1
DRAM1_3,0.005974736493982638,DFI,1
FAM83D_3,0.006013297171194708,DFI,1
HLA-DRB1_3,0.006026843986910417,DFI,1
LAMA3_3,0.006041133346247159,DFI,1
MGST2_3,0.006059645422328519,DFI,1
DSN1_3,0.006077781555335729,DFI,1
DTX3L_3,0.006085054251022659,DFI,1
CCR7_3,0.006141356589733606,DFI,1
SEPTIN1_3,0.006150520340196363,DFI,1
TMEM150B_3,0.006152580336297796,DFI,1
C1S_3,0.006154602234443312,DFI,1
PRKCH_3,0.006164406390723729,DFI,1
COL4A6_3,0.006241931456850954,DFI,1
CENPW_3,0.006316959132254719,DFI,1
SLC46A3_3,0.00635279531360885,DFI,1
IFI35_3,0.006355891072201846,DFI,1
MACROH2A2_3,0.006360902078729731,DFI,1
ORC1_3,0.006413485855147793,DFI,1
CD53_3,0.0064423721315671565,DFI,1
PSMB9_3,0.0064472839784256225,DFI,1
GALNT6_3,0.006459355374631924,DFI,1
AURKB_3,0.0064816141515741605,DFI,1
DUSP2_3,0.00654166925380613,DFI,1
ABCC3_3,0.006544588312945936,DFI,1
LOC119866215_2,0.006555079901016579,DFI,1
DLGAP5_3,0.006604704354073982,DFI,1
CD74_3,0.006606793310095468,DFI,1
DLA-DRA_3,0.00661626331636569,DFI,1
DPF1_3,0.006617809965938178,DFI,1
CENPK_3,0.006622697932311474,DFI,1
ADAMTS1_3,0.006657433187756603,DFI,1
ABHD2_3,0.006672057923280598,DFI,1
BARX1_3,0.006773519309365087,DFI,1
DOCK11_3,0.006807593449904388,DFI,1
WNT16_2,0.006838299786204563,DFI,1
HYAL1_3,0.0068669472063314285,DFI,1
APCDD1_3,0.006901913527812788,DFI,1
IFIT2_3,0.006922854167042143,DFI,1
LOC111092892_3,0.006923436207382058,DFI,1
TROAP_3,0.006925672775341607,DFI,1
CTSZ_3,0.006943470901472137,DFI,1
TNFSF4_3,0.006946573581742651,DFI,1
ABCB1_3,0.006950435218739274,DFI,1
SIVA1_3,0.006973869127973218,DFI,1
