analysis_set,cohort,n_samples,n_genes,effective_rank,component,variance_explained,cumulative_variance_explained
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,2,0.10278068668651495,0.2893094101270065
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,3,0.07206542584656188,0.3613748359735684
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,4,0.055950956930198366,0.41732579290376676
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,5,0.047323796350816336,0.4646495892545831
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,6,0.03751619594007476,0.5021657851946578
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,7,0.03007901973893444,0.5322448049335923
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,8,0.025918423604468242,0.5581632285380606
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,9,0.024439906741843348,0.5826031352799039
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,10,0.023866839289419867,0.6064699745693238
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,11,0.02074770673737432,0.6272176813066982
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,12,0.02016341204668461,0.6473810933533828
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,13,0.01824395405665794,0.6656250474100407
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,14,0.01773741387083073,0.6833624612808714
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,15,0.01665646487871561,0.700018926159587
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,16,0.015866391044318754,0.7158853172039058
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,17,0.015341417771059677,0.7312267349749655
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,18,0.014175834765158712,0.7454025697401242
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,19,0.013243315135481479,0.7586458848756057
four_cohort_core_plus_frozen,GSE21257,53,722,28.11441733195016,20,0.012938113230009415,0.7715839981056151
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,1,0.14810916794532925,0.14810916794532925
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,2,0.10748906721807586,0.2555982351634051
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,3,0.05744644139285382,0.3130446765562589
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,4,0.04941341560530639,0.36245809216156527
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,5,0.041960417806532084,0.40441850996809736
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,6,0.04123089123806536,0.4456494012061627
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,7,0.03997092200628506,0.48562032321244775
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,8,0.036499651984885445,0.5221199751973332
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,9,0.03443050120547524,0.5565504764028084
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,10,0.03110451830130881,0.5876549947041172
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,11,0.030256820602373335,0.6179118153064905
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,12,0.02976264673086724,0.6476744620373578
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,13,0.02751484077407367,0.6751893028114314
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,14,0.02566388086829552,0.7008531836797269
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,15,0.023149505049877873,0.7240026887296048
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,16,0.02270449095750306,0.7467071796871079
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,17,0.021105147251364753,0.7678123269384727
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,18,0.019481828239362384,0.7872941551778351
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,19,0.019077408083231308,0.8063715632610664
four_cohort_core_plus_frozen,GSE39055,37,722,25.613498869353556,20,0.016052401247332378,0.8224239645083988
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,1,0.15510761779708543,0.15510761779708543
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,2,0.1276278826915153,0.28273550048860074
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,3,0.0683299945501438,0.3510654950387445
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,4,0.050581990616940305,0.4016474856556848
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,5,0.04101533113242203,0.4426628167881068
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,6,0.03059828366017212,0.47326110044827896
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,7,0.028783445525289244,0.5020445459735682
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,8,0.025510541090337104,0.5275550870639053
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,9,0.020259655453545196,0.5478147425174505
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,10,0.019918346343506293,0.5677330888609569
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,11,0.015711595101105265,0.5834446839620622
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,12,0.01477795599180431,0.5982226399538665
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,13,0.01408688951405725,0.6123095294679237
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,14,0.012374813250384921,0.6246843427183086
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,15,0.01167813750870216,0.6363624802270108
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,16,0.011171507046782467,0.6475339872737933
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,17,0.0101775052408626,0.6577114925146559
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,18,0.00976214648257545,0.6674736389972313
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,19,0.009234842193034217,0.6767084811902655
four_cohort_detection_aware,DOG2,186,438,46.476620445905176,20,0.008358339954803404,0.6850668211450689
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,1,0.13058018878033026,0.13058018878033026
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,2,0.11755055271851993,0.24813074149885017
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,3,0.07821029103375271,0.3263410325326029
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,4,0.04856496494226329,0.3749059974748662
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,5,0.0419944272568214,0.4169004247316876
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,6,0.031322060734339886,0.4482224854660275
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,7,0.02917041796205426,0.47739290342808177
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,8,0.02590508880187647,0.5032979922299582
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,9,0.02336435498937195,0.5266623472193301
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,10,0.02058757880012902,0.5472499260194592
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,11,0.019453479003467094,0.5667034050229263
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,12,0.01896908358168381,0.5856724886046101
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,13,0.018078608528882514,0.6037510971334926
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,14,0.016682622361597982,0.6204337194950906
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,15,0.014893896270193375,0.635327615765284
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,16,0.014581841037500352,0.6499094568027843
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,17,0.01365482315399614,0.6635642799567805
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,18,0.012737418615651785,0.6763016985724323
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,19,0.012433674479422818,0.6887353730518551
four_cohort_detection_aware,TARGET_OS,88,438,39.45923390300817,20,0.011629442257371399,0.7003648153092265
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,1,0.17294922146096248,0.17294922146096248
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,2,0.10745921574884659,0.28040843720980907
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,3,0.07262417437712716,0.3530326115869362
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,4,0.056039759753865194,0.40907237134080143
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,5,0.05258222062252628,0.4616545919633277
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,6,0.03656435456710103,0.49821894653042875
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,7,0.03157549009659877,0.5297944366270275
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,8,0.0282068617006747,0.5580012983277022
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,9,0.02561899117516125,0.5836202895028634
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,10,0.024313341159712756,0.6079336306625761
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,11,0.02207532450908961,0.6300089551716657
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,12,0.020158586051668207,0.6501675412233339
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,13,0.019660140505643506,0.6698276817289773
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,14,0.018540276863160537,0.6883679585921378
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,15,0.018406384109831753,0.7067743427019696
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,16,0.016684591220566185,0.7234589339225358
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,17,0.015359510515243138,0.7388184444377789
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,18,0.014126420854741807,0.7529448652925207
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,19,0.013863282969824697,0.7668081482623454
four_cohort_detection_aware,GSE21257,53,438,28.224708601699255,20,0.013246430175086194,0.7800545784374316
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,1,0.17576071960059994,0.17576071960059994
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,2,0.10482269902583477,0.2805834186264347
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,3,0.06307499932164336,0.34365841794807805
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,4,0.05539622145245867,0.3990546394005367
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,5,0.044086852608540325,0.44314149200907704
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,6,0.04248086266187386,0.4856223546709509
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,7,0.0410649680510972,0.5266873227220481
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,8,0.033771111943017414,0.5604584346650655
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,9,0.0325026351010398,0.5929610697661053
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,10,0.03151478183721647,0.6244758516033218
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,11,0.03119148499988127,0.655667336603203
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,12,0.02941590258146683,0.6850832391846698
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,13,0.027875008410155225,0.7129582475948251
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,14,0.024812719915194254,0.7377709675100194
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,15,0.023417396367058946,0.7611883638770783
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,16,0.022077079569341723,0.78326544344642
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,17,0.02095337243079198,0.804218815877212
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,18,0.01896053109282002,0.823179346970032
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,19,0.016418606233017025,0.8395979532030491
four_cohort_detection_aware,GSE39055,37,438,23.424744441146284,20,0.01513392135926435,0.8547318745623135
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,1,0.19026400193561632,0.19026400193561632
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,2,0.11288345028346569,0.303147452219082
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,3,0.06932262508042904,0.37247007729951104
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,4,0.04798129013746031,0.42045136743697137
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,5,0.03878664148224927,0.4592380089192206
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,6,0.02983977031264379,0.4890777792318644
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,7,0.028928016899621975,0.5180057961314863
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,8,0.02361867853564822,0.5416244746671346
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,9,0.017822043194334215,0.5594465178614688
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,10,0.01661444607995947,0.5760609639414283
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,11,0.015363850148376297,0.5914248140898045
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,12,0.014470529832498505,0.605895343922303
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,13,0.013085872469567975,0.618981216391871
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,14,0.01166292270646281,0.6306441390983338
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,15,0.010804506432181404,0.6414486455305153
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,16,0.010435463070737916,0.6518841086012532
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,17,0.00897492687912019,0.6608590354803734
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,18,0.008593436829048933,0.6694524723094223
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,19,0.008145058831001696,0.677597531140424
three_cohort_no_ffpe,DOG2,186,723,45.253654739388004,20,0.007853974365559575,0.6854515055059835
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,1,0.1389051850208646,0.1389051850208646
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,2,0.12378666276709291,0.2626918477879575
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,3,0.072202676199245,0.33489452398720254
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,4,0.04974777693288401,0.38464230092008656
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,5,0.0379745296557007,0.42261683057578725
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,6,0.03270138382746215,0.4553182144032494
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,7,0.03019985063630195,0.4855180650395513
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,8,0.023837896928607646,0.5093559619681589
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,9,0.023022128605997907,0.5323780905741569
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,10,0.019376408053802287,0.5517544986279591
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,11,0.017943175217996963,0.569697673845956
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,12,0.01670841743527401,0.58640609128123
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,13,0.016088943709720964,0.6024950349909509
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,14,0.015252076536830679,0.6177471115277816
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,15,0.015065758861856937,0.6328128703896385
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,16,0.013523955922600183,0.6463368263122387
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,17,0.0132370841998977,0.6595739105121363
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,18,0.012034765081577947,0.6716086755937143
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,19,0.011767844499997113,0.6833765200937114
three_cohort_no_ffpe,TARGET_OS,88,723,39.40372581941895,20,0.011500342874140547,0.694876862967852
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,1,0.19449585375697268,0.19449585375697268
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,2,0.10383396253755056,0.29832981629452326
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,3,0.0675606336883651,0.36589044998288833
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,4,0.05995839802300245,0.4258488480058908
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,5,0.048716780924520274,0.47456562893041104
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,6,0.03613610444801859,0.5107017333784296
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,7,0.027792373693392745,0.5384941070718223
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,8,0.025900871198189984,0.5643949782700123
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,9,0.02390927249484025,0.5883042507648525
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,10,0.02250028967180829,0.6108045404366608
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,11,0.020123792360343853,0.6309283327970047
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,12,0.019342114786292896,0.6502704475832976
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,13,0.018303388472824516,0.6685738360561221
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,14,0.01758015512853024,0.6861539911846524
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,15,0.016897120520534475,0.7030511117051869
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,16,0.01529465634229321,0.7183457680474801
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,17,0.014982998650514705,0.7333287666979947
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,18,0.014613749336402101,0.7479425160343969
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,19,0.013020059343142798,0.7609625753775396
three_cohort_no_ffpe,GSE21257,53,723,27.590487282222742,20,0.012149436033947938,0.7731120114114876
