module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M34,IFI30_3,IFI30,IFI30,strict_symbol_concordant_one_to_one,0.057977973992392386,-0.057977973992392386,0.057977973992392386,True,True,1,-0.005605233031002937
M34,IFI35_3,IFI35,IFI35,strict_symbol_concordant_one_to_one,0.06057165481638005,-0.06057165481638005,0.06057165481638005,True,True,1,-0.00585598662629763
M34,IL18_3,IL18,IL18,strict_symbol_concordant_one_to_one,0.07738829122211503,-0.07738829122211503,0.07738829122211503,True,True,1,-0.007481796556533563
M34,IL1RN_3,IL1RN,IL1RN,strict_symbol_concordant_one_to_one,0.06837576452362157,-0.06837576452362157,0.06837576452362157,True,True,1,-0.006610477521656282
M34,IL34_3,IL34,IL34,strict_symbol_concordant_one_to_one,0.04685212862423385,-0.04685212862423385,0.04685212862423385,True,True,1,-0.004529601171848696
M34,INPP5D_3,INPP5D,INPP5D,strict_symbol_concordant_one_to_one,0.0774976740389577,-0.0774976740389577,0.0774976740389577,True,True,1,-0.0074923715410625345
M34,IRF5_3,IRF5,IRF5,strict_symbol_concordant_one_to_one,0.0794607074542069,-0.0794607074542069,0.0794607074542069,True,True,1,-0.007682154987817005
M34,JAML_3,JAML,JAML,strict_symbol_concordant_one_to_one,0.0726809452399857,-0.0726809452399857,0.0726809452399857,True,True,1,-0.007026696638919116
M34,JCHAIN_3,JCHAIN,JCHAIN,strict_symbol_concordant_one_to_one,0.051949841400426224,-0.051949841400426224,0.051949841400426224,True,True,1,-0.005022441229340676
M34,KBTBD12_3,KBTBD12,KBTBD12,strict_symbol_concordant_one_to_one,0.0341395803619888,-0.0341395803619888,0.0341395803619888,True,True,1,-0.003300568997714689
M34,KCNQ1_3,KCNQ1,KCNQ1,strict_symbol_concordant_one_to_one,0.0760476523483408,-0.0760476523483408,0.0760476523483408,True,True,1,-0.0073521853821432335
M34,KIAA0040_3,KIAA0040,KIAA0040,strict_symbol_concordant_one_to_one,0.04527419579517175,-0.04527419579517175,0.04527419579517175,True,True,1,-0.004377048735033236
M34,LAMA3_3,LAMA3,LAMA3,strict_symbol_concordant_one_to_one,0.028219125745963167,-0.028219125745963167,0.028219125745963167,True,True,1,-0.0027281873588417068
M34,LAPTM5_3,LAPTM5,LAPTM5,strict_symbol_concordant_one_to_one,0.0771987842497218,-0.0771987842497218,0.0771987842497218,True,True,1,-0.007463475275741598
M34,LCP1_3,LCP1,LCP1,strict_symbol_concordant_one_to_one,0.07677484873950369,-0.07677484873950369,0.07677484873950369,True,True,1,-0.007422489757254845
M34,LPAR5_3,LPAR5,LPAR5,strict_symbol_concordant_one_to_one,0.06343921260822288,-0.06343921260822288,0.06343921260822288,True,True,1,-0.006133218280774834
M34,LY96_3,LY96,LY96,strict_symbol_concordant_one_to_one,0.061254181667947855,-0.061254181667947855,0.061254181667947855,True,True,1,-0.005921972410027435
M34,MARCHF1_3,MARCHF1,MARCHF1,strict_symbol_concordant_one_to_one,0.07539020881176084,-0.07539020881176084,0.07539020881176084,True,True,1,-0.007288624619779566
M34,MCTP1_3,MCTP1,MCTP1,strict_symbol_concordant_one_to_one,0.0599621281460907,-0.0599621281460907,0.0599621281460907,True,True,1,-0.0057970584025202445
M34,MILR1_3,MILR1,MILR1,strict_symbol_concordant_one_to_one,0.08330960559715458,-0.08330960559715458,0.08330960559715458,True,True,1,-0.00805426131575884
M34,MOSPD2_3,MOSPD2,MOSPD2,strict_symbol_concordant_one_to_one,0.054643151038396336,-0.054643151038396336,0.054643151038396336,True,True,1,-0.005282826805205219
M34,MS4A7_3,MS4A7,MS4A7,strict_symbol_concordant_one_to_one,0.06687443233088115,-0.06687443233088115,0.06687443233088115,True,True,1,-0.006465330731974379
M34,MYO1G_3,MYO1G,MYO1G,strict_symbol_concordant_one_to_one,0.07965617441524005,-0.07965617441524005,0.07965617441524005,True,True,1,-0.007701052472344432
M34,NCF4_3,NCF4,NCF4,strict_symbol_concordant_one_to_one,0.07363912941410493,-0.07363912941410493,0.07363912941410493,True,True,1,-0.007119332604143809
M34,NCKAP1L_3,NCKAP1L,NCKAP1L,strict_symbol_concordant_one_to_one,0.07834892706807137,-0.07834892706807137,0.07834892706807137,True,True,1,-0.00757466954611451
M34,NFAM1_3,NFAM1,NFAM1,strict_symbol_concordant_one_to_one,0.08013433624006046,-0.08013433624006046,0.08013433624006046,True,True,1,-0.0077472805184469
M34,OAS1_3,OAS1,OAS1,strict_symbol_concordant_one_to_one,0.05014621769925631,-0.05014621769925631,0.05014621769925631,True,True,1,-0.004848069300673007
M34,OAS2_3,OAS2,OAS2,strict_symbol_concordant_one_to_one,0.057634837801226725,-0.057634837801226725,0.057634837801226725,True,True,1,-0.005572059082684103
M34,OSBPL3_3,OSBPL3,OSBPL3,strict_symbol_concordant_one_to_one,0.051322736732757286,-0.051322736732757286,0.051322736732757286,True,True,1,-0.004961813588271754
M34,PAG1_3,PAG1,PAG1,strict_symbol_concordant_one_to_one,0.048240223164409,-0.048240223164409,0.048240223164409,True,True,1,-0.004663800296636421
M34,PAPPA_3,PAPPA,PAPPA,strict_symbol_concordant_one_to_one,0.02728725580020625,-0.02728725580020625,0.02728725580020625,True,True,1,-0.0026380954180429306
M34,PARP12_3,PARP12,PARP12,strict_symbol_concordant_one_to_one,0.07234268476063418,-0.07234268476063418,0.07234268476063418,True,True,1,-0.006993994067901495
M34,PARP14_3,PARP14,PARP14,strict_symbol_concordant_one_to_one,0.05960841790765023,-0.05960841790765023,0.05960841790765023,True,True,1,-0.005762862169444377
M34,PARP15_3,PARP15,PARP15,strict_symbol_concordant_one_to_one,0.07335347889292403,-0.07335347889292403,0.07335347889292403,True,True,1,-0.007091716293562544
M34,PARP9_3,PARP9,PARP9,strict_symbol_concordant_one_to_one,0.05753044594874585,-0.05753044594874585,0.05753044594874585,True,True,1,-0.005561966617918602
M34,PARVG_3,PARVG,PARVG,strict_symbol_concordant_one_to_one,0.08358207369042793,-0.08358207369042793,0.08358207369042793,True,True,1,-0.008080603166829911
M34,PID1_3,PID1,PID1,strict_symbol_concordant_one_to_one,0.03564222306068913,-0.03564222306068913,0.03564222306068913,True,True,1,-0.0034458424853611464
