analysis_set,initial_factors,module_label,n_module_genes,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_core_plus_frozen,16,M11,7,Factor6,-0.054322967963188334,0.054322967963188334,0.002950984848329586,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M11,7,Factor7,0.26512973801638,0.26512973801638,0.0702937779806343,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M11,7,Factor8,0.024921821389125277,0.024921821389125277,0.0006210971813514622,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M11,7,Factor9,0.04953567010497851,0.04953567010497851,0.0024537826127492618,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M11,7,Factor10,-0.013864281053877934,0.013864281053877934,0.00019221828914091864,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M11,7,Factor11,-0.1363833860863084,0.1363833860863084,0.01860042800036706,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor1,-0.01957843925932849,0.01957843925932849,0.00038331528383121505,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M24,7,Factor2,0.04678767682298641,0.04678767682298641,0.0021890867024922196,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M24,7,Factor3,0.0887597603737989,0.0887597603737989,0.007878295061614202,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor4,0.01376556642814136,0.01376556642814136,0.0001894908190875725,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M24,7,Factor5,-0.026370179940950228,0.026370179940950228,0.0006953863901180937,3,TARGET_OS;GSE21257;GSE39055,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor6,-0.015516846588808676,0.015516846588808676,0.00024077252806062346,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor7,0.12240004926724658,0.12240004926724658,0.01498177206062439,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor8,-0.14162502634240198,0.14162502634240198,0.020057648086486055,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor9,-0.016516097127983742,0.016516097127983742,0.00027278146434099284,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor10,0.10969210562513672,0.10969210562513672,0.01203235803647615,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M24,7,Factor11,-0.005479221635031122,0.005479221635031122,3.002186972579312e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor1,-0.01965133594848923,0.01965133594848923,0.0003861750045603851,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M40,78,Factor2,-0.06433355528368272,0.06433355528368272,0.0041388063354386604,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M40,78,Factor3,0.780445160807932,0.780445160807932,0.6090946490285188,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor4,0.0034991134213744543,0.0034991134213744543,1.224379473564284e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_core_plus_frozen,16,M40,78,Factor5,0.0797647000981512,0.0797647000981512,0.006362407381748003,3,TARGET_OS;GSE21257;GSE39055,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor6,-0.013768482639685446,0.013768482639685446,0.0001895711141993195,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor7,-0.02241525294295548,0.02241525294295548,0.0005024435644966743,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor8,-0.09444924442124257,0.09444924442124257,0.008920659771743621,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor9,0.10985518886414401,0.10985518886414401,0.01206816252037675,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor10,0.0007704847629042344,0.0007704847629042344,5.936467698675942e-07,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_core_plus_frozen,16,M40,78,Factor11,-0.045006298299560245,0.045006298299560245,0.0020255668866289993,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,8,M34,50,Factor1,-0.6320941468119652,0.6320941468119652,0.3995430104339462,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M34,50,Factor2,0.08916112014296385,0.08916112014296385,0.007949705345148033,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M34,50,Factor3,-0.11061468709552995,0.11061468709552995,0.012235609001242,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M34,50,Factor4,-0.12655252533867772,0.12655252533867772,0.016015541669596668,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M34,50,Factor5,0.08056426330573731,0.08056426330573731,0.006490600521996171,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,8,M34,50,Factor6,-0.18362186698775892,0.18362186698775892,0.03371699003607023,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,8,M11,5,Factor1,-0.004505068218123748,0.004505068218123748,2.0295639649948685e-05,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M11,5,Factor2,0.10251294538973735,0.10251294538973735,0.010508903972479272,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M11,5,Factor3,0.05756000443670012,0.05756000443670012,0.003313154110752937,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M11,5,Factor4,0.07942531495624282,0.07942531495624282,0.006308380655898369,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M11,5,Factor5,0.005891447698518935,0.005891447698518935,3.4709155984384056e-05,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,8,M11,5,Factor6,0.01804725040836621,0.01804725040836621,0.0003257032473022743,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,8,M40,32,Factor1,-0.2547236913340438,0.2547236913340438,0.06488415892684123,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M40,32,Factor2,-0.1186324112310022,0.1186324112310022,0.014073648994481616,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M40,32,Factor3,-0.04085308670036173,0.04085308670036173,0.0016689746929472724,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M40,32,Factor4,0.6589517874676355,0.6589517874676355,0.43421745820679186,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,8,M40,32,Factor5,-0.02749174650433771,0.02749174650433771,0.0007557961258587648,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,8,M40,32,Factor6,-0.07282690193296712,0.07282690193296712,0.00530375764515401,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M34,50,Factor1,-0.64206711414322,0.64206711414322,0.41225017906420275,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M34,50,Factor2,0.044884526638319114,0.044884526638319114,0.0020146207315459783,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M34,50,Factor3,-0.06440968445182534,0.06440968445182534,0.0041486074511837105,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M34,50,Factor4,0.001313363515180904,0.001313363515180904,1.7249237230083405e-06,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_detection_aware,12,M34,50,Factor5,0.2321887430678255,0.2321887430678255,0.05391161240741668,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M34,50,Factor6,-0.2071424989377118,0.2071424989377118,0.04290801486615994,1,DOG2,group_specific
four_cohort_detection_aware,12,M34,50,Factor7,-0.0002957534074056157,0.0002957534074056157,8.74700779920321e-08,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_detection_aware,12,M34,50,Factor8,0.03643540113122607,0.03643540113122607,0.00132753845559335,3,DOG2;TARGET_OS;GSE21257,partially_shared
