endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,gene_proliferation_correlation,gene_only_coef,gene_only_hr,gene_only_p,gene_only_c_index,gene_plus_proliferation_coef,gene_plus_proliferation_hr,gene_plus_proliferation_p,gene_plus_proliferation_c_index,gene_plus_proliferation_proliferation_p,gene_plus_proliferation_weight_coef,gene_plus_proliferation_weight_hr,gene_plus_proliferation_weight_p,gene_plus_proliferation_weight_c_index,gene_plus_proliferation_weight_proliferation_p,gene_plus_proliferation_weight_weight_p,abs_coef_ratio_after_proliferation_adjustment,retains_nominal_p05_after_proliferation,gene_only_error,gene_plus_proliferation_error,gene_plus_proliferation_weight_error,gene_only_q,gene_plus_proliferation_q,gene_plus_proliferation_weight_q
DFI,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,-0.4949807910559759,-0.3204265296418632,0.7258393790288307,0.00010609953870839539,0.5981280641806567,-0.22506285031857612,0.7984660333377412,0.018403038531000233,0.614841776853365,0.03879416546554415,-0.2345530624388334,0.7909242644074846,0.014530561209200881,0.6268712856390581,0.08914978527773203,0.005657355567536839,0.7023851944160994,True,,,,0.00027585880064182804,0.0239239500903003,0.01988392586522226
OS,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,-0.4949807910559759,-0.2943669389380789,0.7450030706463796,0.0008633197480094313,0.6050211881346446,-0.23018874953740406,0.7943836488057002,0.02579748060744012,0.6148556808187415,0.22140770048402592,-0.23493997349940385,0.7906183062546255,0.023807749678012705,0.6109264813163654,0.3203408335454573,0.23654027834756158,0.781978949021259,True,,,,0.0018705261206871011,0.03945497034079077,0.03438897175712946
DFI,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,0.5249545311317305,0.29017563323819057,1.3366622297264201,0.0006637532510616351,0.5964938344971029,0.18992225256823012,1.2091555852613234,0.049537038173588906,0.6162531570346159,0.023031791826653946,0.18994796066995845,1.2091866707556875,0.04989802201463524,0.6337922214699466,0.05846353005110929,0.006469401963972505,0.654507928349492,True,,,,0.0011505056351735008,0.05366512468805465,0.0564064596687181
OS,ELOVL4_3,ELOVL4,ELOVL4,strict_primary,high_rna_evidence,8.0,ELOVL4_3,0.5249545311317305,0.32230301999066324,1.380302971986852,0.0007087797731355025,0.6214919644998801,0.26403714637812886,1.3021765665456304,0.013951639901820424,0.6228512033261374,0.22878237482209218,0.26363562289930337,1.30165381703571,0.014183367596126244,0.630218043284429,0.3152857751879894,0.23835943431269951,0.8192202058354208,True,,,,0.0018428274101523067,0.025910188389095073,0.02836673519225249
DFI,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,0.19699770461776503,0.2797765155527945,1.3228341464423408,0.0002459796390427679,0.5906997474372307,0.23657048502723668,1.2668968497321076,0.003559291078313272,0.6178873867181697,0.003184385816832309,0.23246482870217589,1.261706069738654,0.005116695156355499,0.6350710900473934,0.009418878608960145,0.009630705723020999,0.8455694880601774,True,,,,0.0005329558845926638,0.011567696004518135,0.016323883955846066
OS,CA14_3,CA14,CA14,strict_primary,medium_rna_evidence,7.0,CA14_3,0.19699770461776503,0.2781470667678065,1.3206804111269086,0.0005236299948782918,0.5963860238266571,0.2552656906947358,1.2908045300693436,0.0021999894923347796,0.6058207403853841,0.026065148761734686,0.2641313694401195,1.3022992673895166,0.0017687568464820065,0.6090621707060063,0.0500376838185611,0.18510723336191762,0.9177364106730928,True,,,,0.0017017974833544484,0.009533287800117378,0.007664613001422027
DFI,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,0.5109602551487286,0.4014405760522177,1.4939753332799712,5.051280347377916e-06,0.6169217055415243,0.3237405198072344,1.3822885840724768,0.003033007093572367,0.6254642697964641,0.23739022136354718,0.29258278281308536,1.339883651310774,0.007868728320158362,0.6463552245542767,0.28947495540799384,0.026617825250427954,0.8064469291841679,True,,,,5.573827177453102e-05,0.011265454918983078,0.017048911360343116
OS,MEX3A_3,MEX3A,MEX3A,strict_primary,medium_rna_evidence,6.0,MEX3A_3,0.5109602551487286,0.31572581032728075,1.371254220330014,0.00042924185295505426,0.6148556808187415,0.2620480144398542,1.2995889399663716,0.01600865820378022,0.6194131286479572,0.38503830884855395,0.25485387468300585,1.2902730655361607,0.022663404345403423,0.6293264164707789,0.426077298631794,0.5140035101073843,0.8299860381012745,True,,,,0.0015943268824044874,0.02774834088655238,0.03438897175712946
DFI,NIBAN1_3,NIBAN1,NIBAN1,strict_primary,medium_rna_evidence,6.0,NIBAN1_3,-0.4790780560781248,-0.34111714270173393,0.7109756177233418,4.80052087310788e-05,0.6189273510622493,-0.25107667957693686,0.7779627154198917,0.009981574260751,0.6272470658148863,0.0570602168861438,-0.24407231056507378,0.7834309818776084,0.01247579817492866,0.6416911156247649,0.11298187701684852,0.009097264312785458,0.7360423976008539,True,,,,0.00017830506100114982,0.015168806081452275,0.018020597363785845
OS,NIBAN1_3,NIBAN1,NIBAN1,strict_primary,medium_rna_evidence,6.0,NIBAN1_3,-0.4790780560781248,-0.3816483277575631,0.6827351099793809,2.6947329270607048e-05,0.6314064124090509,-0.3422864262091913,0.7101447715013887,0.000928642275319969,0.6342048452866395,0.4115630794416508,-0.339943143426439,0.7118107927348055,0.001055358166842237,0.6362162600308017,0.5075238129412318,0.32952014110760075,0.8968634245572382,True,,,,0.0003503152805178916,0.0049578915303666845,0.005487862467579633
