endpoint,method,gene,selected_in_folds,mean_gene_rank,n_method_folds,selection_frequency,gene_symbol_clean
DFI,iamb_alpha0.10,LOC119876150,1,10.0,5,0.2,LOC119876150
DFI,iamb_alpha0.10,OSM_3,1,10.0,5,0.2,OSM
DFI,iamb_alpha0.10,ADAM19_3,1,11.0,5,0.2,ADAM19
DFI,iamb_alpha0.10,CAPG_3,1,11.0,5,0.2,CAPG
DFI,iamb_alpha0.10,CHST8_3,1,11.0,5,0.2,CHST8
DFI,iamb_alpha0.10,F5_3,1,11.0,5,0.2,F5
DFI,iamb_alpha0.10,DOHH_3,1,12.0,5,0.2,DOHH
DFI,iamb_alpha0.10,DNAJB1_3,1,13.0,5,0.2,DNAJB1
DFI,univariate_top10,CYP4V2_3,5,2.6,5,1.0,CYP4V2
DFI,univariate_top10,MEX3A_3,3,6.0,5,0.6,MEX3A
DFI,univariate_top10,PTTG1_3,2,3.5,5,0.4,PTTG1
DFI,univariate_top10,TRIP13_3,2,4.0,5,0.4,TRIP13
DFI,univariate_top10,GPR34_3,2,5.5,5,0.4,GPR34
DFI,univariate_top10,HHIP_3,2,6.0,5,0.4,HHIP
DFI,univariate_top10,LOC477699_3,2,6.5,5,0.4,LOC477699
DFI,univariate_top10,STUM_3,2,6.5,5,0.4,STUM
DFI,univariate_top10,SUGCT_3,2,7.0,5,0.4,SUGCT
DFI,univariate_top10,DNA2_3,2,8.0,5,0.4,DNA2
DFI,univariate_top10,APOBEC3Z3_4,2,8.5,5,0.4,APOBEC3Z3
DFI,univariate_top10,ATAD1_3,1,1.0,5,0.2,ATAD1
DFI,univariate_top10,KLHL9_3,1,1.0,5,0.2,KLHL9
DFI,univariate_top10,TSPAN33_3,1,1.0,5,0.2,TSPAN33
DFI,univariate_top10,CBX7_3,1,2.0,5,0.2,CBX7
DFI,univariate_top10,FMO5_3,1,2.0,5,0.2,FMO5
DFI,univariate_top10,ST6GALNAC3_3,1,2.0,5,0.2,ST6GALNAC3
DFI,univariate_top10,LOC111097086_3,1,3.0,5,0.2,LOC111097086
DFI,univariate_top10,HACD4_3,1,4.0,5,0.2,HACD4
DFI,univariate_top10,STAMBPL1_3,1,4.0,5,0.2,STAMBPL1
DFI,univariate_top10,TLR3_3,1,4.0,5,0.2,TLR3
DFI,univariate_top10,MCM10_3,1,5.0,5,0.2,MCM10
DFI,univariate_top10,PTEN_3,1,5.0,5,0.2,PTEN
DFI,univariate_top10,SGMS1_3,1,6.0,5,0.2,SGMS1
DFI,univariate_top10,LDLRAD4_3,1,7.0,5,0.2,LDLRAD4
DFI,univariate_top10,PSAT1_3,1,7.0,5,0.2,PSAT1
DFI,univariate_top10,ADAMTS4_3,1,8.0,5,0.2,ADAMTS4
DFI,univariate_top10,CA14_3,1,8.0,5,0.2,CA14
DFI,univariate_top10,MINPP1_3,1,8.0,5,0.2,MINPP1
DFI,univariate_top10,POLE2_3,1,8.0,5,0.2,POLE2
DFI,univariate_top10,IL34_3,1,9.0,5,0.2,IL34
DFI,univariate_top10,RCOR2_3,1,9.0,5,0.2,RCOR2
DFI,univariate_top10,SPC25_3,1,9.0,5,0.2,SPC25
DFI,univariate_top10,CD8B_3,1,10.0,5,0.2,CD8B
DFI,univariate_top10,LOC100855995_3,1,10.0,5,0.2,LOC100855995
OS,conditional_cox_mb,CYP4V2_3,2,1.0,5,0.4,CYP4V2
OS,conditional_cox_mb,LAG3_3,2,3.0,5,0.4,LAG3
OS,conditional_cox_mb,CSRP1_3,1,1.0,5,0.2,CSRP1
OS,conditional_cox_mb,HCN4_3,1,1.0,5,0.2,HCN4
OS,conditional_cox_mb,NIBAN1_3,1,1.0,5,0.2,NIBAN1
OS,conditional_cox_mb,EHBP1_3,1,2.0,5,0.2,EHBP1
OS,conditional_cox_mb,FAM107A_3,1,2.0,5,0.2,FAM107A
OS,conditional_cox_mb,LOC119878294,1,2.0,5,0.2,LOC119878294
OS,conditional_cox_mb,MYF6_3,1,2.0,5,0.2,MYF6
OS,conditional_cox_mb,PIANP_3,1,2.0,5,0.2,PIANP
OS,conditional_cox_mb,CA14_3,1,3.0,5,0.2,CA14
OS,conditional_cox_mb,CHST3_3,1,3.0,5,0.2,CHST3
OS,conditional_cox_mb,RNLS_3,1,3.0,5,0.2,RNLS
OS,conditional_cox_mb,ADGRE3_3,1,4.0,5,0.2,ADGRE3
OS,conditional_cox_mb,CNTNAP5_3,1,4.0,5,0.2,CNTNAP5
OS,conditional_cox_mb,LMCD1_3,1,4.0,5,0.2,LMCD1
OS,conditional_cox_mb,NUDT19_3,1,4.0,5,0.2,NUDT19
OS,conditional_cox_mb,RBPMS2_3,1,4.0,5,0.2,RBPMS2
OS,conditional_cox_mb,KCTD12_3,1,5.0,5,0.2,KCTD12
OS,conditional_cox_mb,TNFRSF6B_3,1,5.0,5,0.2,TNFRSF6B
OS,conditional_cox_mb,ADAMTS4_3,1,6.0,5,0.2,ADAMTS4
OS,conditional_cox_mb,HOXB3_3,1,7.0,5,0.2,HOXB3
OS,conditional_cox_mb,LOC119877161,1,8.0,5,0.2,LOC119877161
OS,conditional_cox_mb_plus_clinical,CYP4V2_3,2,1.0,5,0.4,CYP4V2
OS,conditional_cox_mb_plus_clinical,LAG3_3,2,3.0,5,0.4,LAG3
OS,conditional_cox_mb_plus_clinical,CSRP1_3,1,1.0,5,0.2,CSRP1
OS,conditional_cox_mb_plus_clinical,HCN4_3,1,1.0,5,0.2,HCN4
OS,conditional_cox_mb_plus_clinical,NIBAN1_3,1,1.0,5,0.2,NIBAN1
OS,conditional_cox_mb_plus_clinical,EHBP1_3,1,2.0,5,0.2,EHBP1
OS,conditional_cox_mb_plus_clinical,FAM107A_3,1,2.0,5,0.2,FAM107A
OS,conditional_cox_mb_plus_clinical,LOC119878294,1,2.0,5,0.2,LOC119878294
OS,conditional_cox_mb_plus_clinical,MYF6_3,1,2.0,5,0.2,MYF6
OS,conditional_cox_mb_plus_clinical,PIANP_3,1,2.0,5,0.2,PIANP
OS,conditional_cox_mb_plus_clinical,CA14_3,1,3.0,5,0.2,CA14
OS,conditional_cox_mb_plus_clinical,CHST3_3,1,3.0,5,0.2,CHST3
OS,conditional_cox_mb_plus_clinical,RNLS_3,1,3.0,5,0.2,RNLS
OS,conditional_cox_mb_plus_clinical,ADGRE3_3,1,4.0,5,0.2,ADGRE3
OS,conditional_cox_mb_plus_clinical,CNTNAP5_3,1,4.0,5,0.2,CNTNAP5
OS,conditional_cox_mb_plus_clinical,LMCD1_3,1,4.0,5,0.2,LMCD1
OS,conditional_cox_mb_plus_clinical,NUDT19_3,1,4.0,5,0.2,NUDT19
OS,conditional_cox_mb_plus_clinical,RBPMS2_3,1,4.0,5,0.2,RBPMS2
OS,conditional_cox_mb_plus_clinical,KCTD12_3,1,5.0,5,0.2,KCTD12
OS,conditional_cox_mb_plus_clinical,TNFRSF6B_3,1,5.0,5,0.2,TNFRSF6B
OS,conditional_cox_mb_plus_clinical,ADAMTS4_3,1,6.0,5,0.2,ADAMTS4
OS,conditional_cox_mb_plus_clinical,HOXB3_3,1,7.0,5,0.2,HOXB3
OS,conditional_cox_mb_plus_clinical,LOC119877161,1,8.0,5,0.2,LOC119877161
