endpoint,module_label,score_type,score_column,module_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,module_transfer_qc_tier,transfer_priority_score,n_module_genes,fraction_strict_symbol_concordant,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,module_proliferation_correlation,module_only_p,module_plus_proliferation_p,module_plus_proliferation_q,module_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
OS,M17,residual_after_proliferation,module_M17__residual_after_proliferation,0.25964049457441846,1.1522314633947566e-16,186,124,0.28939432886213434,1.3356182975445212,0.0016718141122456468,0.09207354998076389,0.5971056208523227,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,P4HA1;CIRBP,0.2596404945744184,9.636421703937366e-05,0.0007175681824741,0.0031938744118788,0.6375629647397457,0.8834212873688214,0.0036362199478153106
OS,M17,residual_after_proliferation_and_weight,module_M17__residual_after_proliferation_and_weight,0.25964049457441846,2.1197323630863498e-16,185,123,0.29516280005941986,1.3433450375372613,0.00141678861302122,0.0924924756384691,0.5995785036880927,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,P4HA1;CIRBP,0.2596404945744184,9.636421703937366e-05,0.0007175681824741,0.0031938744118788,0.6375629647397457,0.8834212873688214,0.005267764581092672
DFI,M20,original,module_M20__original,0.10173516110581456,0.10173516110581456,186,143,0.1896527608998003,1.2088297718092373,0.008979437007616489,0.07258502193082328,0.5716832565740603,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,VGLL2;RRAD,0.1017351611058145,0.0089794370076164,0.0110171269434289,0.0119352208553813,0.6152874758579706,1.0946091620486902,0.008979437007616489
DFI,M20,residual_after_proliferation,module_M20__residual_after_proliferation,0.10173516110581456,2.4004822154057436e-18,186,143,0.16204736197376968,1.175915933701746,0.02666777579807156,0.07311463110109477,0.5616550289704353,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,VGLL2;RRAD,0.1017351611058145,0.0089794370076164,0.0110171269434289,0.0119352208553813,0.6152874758579706,1.0946091620486902,0.02666777579807156
DFI,M20,residual_after_proliferation_and_weight,module_M20__residual_after_proliferation_and_weight,0.10173516110581456,-9.635147104937952e-17,185,142,0.13627876264402292,1.146001311427541,0.06767462101788628,0.0745847212372391,0.5476566614007372,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,VGLL2;RRAD,0.1017351611058145,0.0089794370076164,0.0110171269434289,0.0119352208553813,0.6152874758579706,1.0946091620486902,0.06767462101788628
OS,M20,original,module_M20__original,0.10173516110581456,0.10173516110581456,186,124,0.2542756093764319,1.2895271610724763,0.0005306528455320826,0.07338853908250723,0.5976653074278404,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,VGLL2;RRAD,0.1017351611058145,0.000530652845532,0.0004835604362579,0.0031938744118788,0.6202926361237707,1.1075367370418967,0.0006898486991917073
OS,M20,residual_after_proliferation,module_M20__residual_after_proliferation,0.10173516110581456,2.4004822154057436e-18,186,124,0.23076870880693182,1.2595678787985163,0.0015757800368117433,0.07301991142116743,0.5903094267210363,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,VGLL2;RRAD,0.1017351611058145,0.000530652845532,0.0004835604362579,0.0031938744118788,0.6202926361237707,1.1075367370418967,0.0036362199478153106
OS,M20,residual_after_proliferation_and_weight,module_M20__residual_after_proliferation_and_weight,0.10173516110581456,-9.635147104937952e-17,185,123,0.2156549608320682,1.2406742239378843,0.0030573684340707533,0.07280941665218833,0.5860419875172246,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,VGLL2;RRAD,0.1017351611058145,0.000530652845532,0.0004835604362579,0.0031938744118788,0.6202926361237707,1.1075367370418967,0.006624298273819965
DFI,M23,original,module_M23__original,0.4032636461012663,0.4032636461012663,186,143,0.29025658181680725,1.33677043501348,0.00013078296934607292,0.0758844804086732,0.6206358639132372,,low_transfer_readiness,2.0,4,0.5,0.5,0,RBM44;SYCE2,0.4032636461012663,0.000130782969346,0.0210186739030466,0.0210186739030466,0.6342296835537067,0.6696990197692784,0.0001545616910453589
DFI,M23,residual_after_proliferation,module_M23__residual_after_proliferation,0.4032636461012663,1.9323881834016236e-16,186,143,0.2164572984533757,1.2416700629896817,0.010031685883649959,0.08406973247905494,0.5826771653543307,,low_transfer_readiness,2.0,4,0.5,0.5,0,RBM44;SYCE2,0.4032636461012663,0.000130782969346,0.0210186739030466,0.0210186739030466,0.6342296835537067,0.6696990197692784,0.010867659707287454
