initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
12,M34,shared_non_ffpe_only,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.03769390685746054,0.31593501695071474,-0.2782411100932542
12,M34,shared_non_ffpe_only,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.035274156816787285,0.31593501695071474,-0.28066086013392744
12,M34,gse39055_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.30891951079163515,0.2757167611611261,0.033202749630509065
12,M11,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.03711882737343157,0.059464879211069514,-0.022346051837637944
12,M11,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.03711882737343157,0.03528301744099678,0.0018358099324347898
12,M11,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.059464879211069514,0.03528301744099678,0.024181861770072734
12,M11,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.03507936508787097,0.059464879211069514,-0.024385514123198546
12,M11,shared_two_or_more,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.03507936508787097,0.035100831428720634,-2.14663408496657e-05
12,M11,shared_two_or_more,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.059464879211069514,0.035100831428720634,0.02436404778234888
12,M11,ubiquitous_all_groups,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.0057708261279841395,0.013755583216812993,-0.007984757088828853
12,M11,ubiquitous_all_groups,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.0057708261279841395,0.03509833875186753,-0.029327512623883393
12,M11,ubiquitous_all_groups,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.013755583216812993,0.03509833875186753,-0.02134275553505454
12,M11,partially_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.028776494934637575,0.04685367322972173,-0.018077178295084158
12,M11,partially_shared,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.028776494934637575,3.266427002919852e-05,0.028743830664608377
12,M11,partially_shared,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.04685367322972173,3.266427002919852e-05,0.04682100895969254
12,M11,shared_non_ffpe_only,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.028776494934637575,0.04685367322972173,-0.018077178295084158
12,M11,shared_non_ffpe_only,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.028776494934637575,0.035100831428720634,-0.006324336494083059
12,M11,shared_non_ffpe_only,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.04685367322972173,0.035100831428720634,0.011752841801001099
12,M11,gse39055_shared,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.0057708261279841395,0.013755583216812993,-0.007984757088828853
12,M40,all_retained,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.3220956157240501,0.28595919931516695,0.036136416408883154
12,M40,all_retained,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.3220956157240501,0.33841314262255734,-0.01631752689850724
12,M40,all_retained,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.28595919931516695,0.33841314262255734,-0.052453943307390394
12,M40,shared_two_or_more,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.31661981380773846,0.28595919931516695,0.030660614492571514
12,M40,shared_two_or_more,four_cohort_variable_only_1500,three_cohort_no_ffpe_variable_only_1500,0.31661981380773846,0.3267122775319514,-0.010092463724212963
12,M40,shared_two_or_more,four_cohort_detection_aware_variable_only_700,three_cohort_no_ffpe_variable_only_1500,0.28595919931516695,0.3267122775319514,-0.04075307821678448
12,M40,ubiquitous_all_groups,four_cohort_variable_only_1500,four_cohort_detection_aware_variable_only_700,0.015440369382833965,0.2798486997294839,-0.26440833034664996
