endpoint,module_label,contrast,model_a,model_b,mean_repeat_c_index_a,mean_repeat_c_index_b,n_repeats,n_fold_pairs,mean_delta_c_index,median_delta_c_index,std_delta_c_index,bootstrap_repeat_mean_ci_low,bootstrap_repeat_mean_ci_high,fraction_repeat_deltas_positive,wilcoxon_repeat_p_two_sided,wilcoxon_repeat_p_greater,sign_repeat_p_two_sided,sign_repeat_p_greater,corrected_t,corrected_t_df,corrected_t_p_two_sided,corrected_standard_error,correction_factor,wilcoxon_repeat_p_two_sided_bh_q,wilcoxon_repeat_p_greater_bh_q,corrected_t_p_two_sided_bh_q,descriptive_support
DFI,M34,disjoint_residual_vs_original_residual,residual_to_disjoint_proliferation,residual_to_original_proliferation,0.603059180752875,0.603059180752875,20,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,no_consistent_positive_support
DFI,M38,disjoint_residual_vs_original_residual,residual_to_disjoint_proliferation,residual_to_original_proliferation,0.5722847415564889,0.5722847415564889,20,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,no_consistent_positive_support
DFI,M40,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6575943471191769,0.5990777535687319,20,100,0.05851659355044499,0.05854036734573875,0.00768007133878479,0.05525312322349066,0.061823949088859805,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,4.386227004971685,99.0,2.8822172996439693e-05,0.01334098611041285,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.0007589838889062453,strong_descriptive_support
DFI,M28,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6445324445280587,0.6077530718737091,20,100,0.036779372654349704,0.03653805499935514,0.007752820409017622,0.03353374488982027,0.040087964094766636,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.636529026994398,99.0,0.1049041395952102,0.02247401179427758,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.2511341523642911,strong_descriptive_support
DFI,M34,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6418075134740231,0.6077530718737091,20,100,0.03405444160031409,0.03518589573022507,0.008174910994070146,0.030560113445680846,0.037470576814492174,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.8249065285696402,99.0,0.071030709944964,0.018660923760849234,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.21084897106961056,strong_descriptive_support
DFI,M11,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6406628931488894,0.6077530718737091,20,100,0.03290982127518033,0.034404258349913786,0.007240267219485759,0.02963759272460143,0.035807121000735465,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.3148503164157892,99.0,0.1915978808970932,0.02502932909115519,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.34198556984757894,strong_descriptive_support
DFI,M25,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.639259684169693,0.6077530718737091,20,100,0.03150661229598391,0.029915719776733962,0.00919327793311925,0.027743240094290328,0.03561344506959166,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.4937703561100641,99.0,0.1384160818318928,0.021092005318696025,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.30374640179776474,strong_descriptive_support
DFI,M17,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6320489694917939,0.6077530718737091,20,100,0.024295897618084965,0.02525568242602977,0.009961690209998824,0.01987584958644231,0.028340280005978234,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.1293754772404627,99.0,0.2614685661014526,0.021512683875029793,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.4162983471447286,strong_descriptive_support
DFI,M24,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.628362028895247,0.6077530718737091,20,100,0.020608957021537994,0.02087881013134163,0.0071086028073235824,0.017682406033631252,0.023569414527503593,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,0.9489653998251143,99.0,0.34494900858418365,0.021717290246131258,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.5240571476567406,strong_descriptive_support
DFI,M38,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6165466164814684,0.6077530718737091,20,100,0.008793544607759551,0.00890205955843576,0.005898460722257103,0.006349507643613423,0.011335243229474498,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,0.4665307429627517,99.0,0.6418606395577386,0.018848799870969383,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.7568207541053933,weak_positive_descriptive_support
