endpoint,module_label,model,repeat,n_valid_folds,repeat_mean_c_index,repeat_median_c_index,repeat_min_c_index,repeat_max_c_index
DFI,M11,original_proliferation_only,15,5,0.6122817365787934,0.6243386243386243,0.5385906040268457,0.6647058823529411
DFI,M11,original_proliferation_only,16,5,0.6079107787279705,0.6068376068376068,0.5813492063492064,0.6382189239332097
DFI,M11,original_proliferation_only,17,5,0.6098568223670597,0.6064400715563506,0.560081466395112,0.6494252873563219
DFI,M11,original_proliferation_only,18,5,0.6076035932945165,0.602510460251046,0.4990825688073395,0.7449908925318761
DFI,M11,original_proliferation_only,19,5,0.5991237622538222,0.5841584158415841,0.5509090909090909,0.6964285714285714
DFI,M11,original_proliferation_only,20,5,0.6013243577168194,0.5923217550274223,0.493069306930693,0.6837121212121212
DFI,M11,residual_to_disjoint_proliferation,1,5,0.6207278917143636,0.6320939334637965,0.5427974947807933,0.6921606118546845
DFI,M11,residual_to_disjoint_proliferation,2,5,0.6060166858808744,0.5926605504587156,0.5364806866952789,0.7019748653500898
DFI,M11,residual_to_disjoint_proliferation,3,5,0.6166350780501467,0.6337209302325582,0.5716945996275605,0.6595330739299611
DFI,M11,residual_to_disjoint_proliferation,4,5,0.5998101003772147,0.6008230452674898,0.5250836120401338,0.6654545454545454
DFI,M11,residual_to_disjoint_proliferation,5,5,0.6116978982930195,0.6300174520069808,0.5355731225296443,0.6593886462882096
DFI,M11,residual_to_disjoint_proliferation,6,5,0.6158313074494159,0.6106719367588933,0.5377855887521968,0.6724890829694323
DFI,M11,residual_to_disjoint_proliferation,7,5,0.6127097387806637,0.5955734406438632,0.5836363636363636,0.6742857142857143
DFI,M11,residual_to_disjoint_proliferation,8,5,0.6082793534170571,0.5985915492957746,0.5494736842105263,0.6521739130434783
DFI,M11,residual_to_disjoint_proliferation,9,5,0.6117425947814203,0.625,0.5783898305084746,0.6423487544483986
DFI,M11,residual_to_disjoint_proliferation,10,5,0.6163792399610573,0.6363636363636364,0.5148148148148148,0.6613545816733067
DFI,M11,residual_to_disjoint_proliferation,11,5,0.6122281968569546,0.6459510357815442,0.53125,0.6624775583482945
DFI,M11,residual_to_disjoint_proliferation,12,5,0.6000470938710063,0.6266173752310537,0.5178571428571429,0.6799276672694394
DFI,M11,residual_to_disjoint_proliferation,13,5,0.614999856873461,0.6197183098591549,0.5523613963039015,0.6697936210131332
DFI,M11,residual_to_disjoint_proliferation,14,5,0.6045052239547172,0.5834896810506567,0.5606936416184971,0.6673728813559322
DFI,M11,residual_to_disjoint_proliferation,15,5,0.5942574102427313,0.6225749559082893,0.5186721991701245,0.6526845637583892
DFI,M11,residual_to_disjoint_proliferation,16,5,0.5971090742856338,0.5726495726495726,0.5584415584415584,0.6859205776173285
DFI,M11,residual_to_disjoint_proliferation,17,5,0.6094102233619095,0.6091081593927894,0.5478927203065134,0.6940966010733453
DFI,M11,residual_to_disjoint_proliferation,18,5,0.6175249737978165,0.6168582375478927,0.5394736842105263,0.6736401673640168
DFI,M11,residual_to_disjoint_proliferation,19,5,0.6159093896707906,0.6,0.5488029465930019,0.6945454545454546
DFI,M11,residual_to_disjoint_proliferation,20,5,0.6106341182348858,0.6095764272559853,0.4316831683168317,0.7276051188299817
DFI,M11,residual_to_disjoint_proliferation_and_weight,1,5,0.6029468843659701,0.5909980430528375,0.5343228200371057,0.6806883365200764
DFI,M11,residual_to_disjoint_proliferation_and_weight,2,5,0.5978709269438593,0.6073394495412844,0.5300429184549357,0.6786355475763016
DFI,M11,residual_to_disjoint_proliferation_and_weight,3,5,0.60488825860241,0.6007751937984496,0.5581854043392505,0.6634241245136187
DFI,M11,residual_to_disjoint_proliferation_and_weight,4,5,0.5920226368427335,0.6158088235294118,0.5066889632107023,0.6418181818181818
DFI,M11,residual_to_disjoint_proliferation_and_weight,5,5,0.5971180488019326,0.6055846422338569,0.5118577075098815,0.648471615720524
DFI,M11,residual_to_disjoint_proliferation_and_weight,6,5,0.603300798080438,0.5957066189624329,0.5131810193321616,0.665938864628821
DFI,M11,residual_to_disjoint_proliferation_and_weight,7,5,0.600816810283229,0.579476861167002,0.5654545454545454,0.6571428571428571
DFI,M11,residual_to_disjoint_proliferation_and_weight,8,5,0.6023369851972774,0.596830985915493,0.5347368421052632,0.6521739130434783
DFI,M11,residual_to_disjoint_proliferation_and_weight,9,5,0.5947532474722517,0.6086142322097379,0.5433526011560693,0.6298932384341637
DFI,M11,residual_to_disjoint_proliferation_and_weight,10,5,0.6049995656922794,0.6126482213438735,0.5222222222222223,0.6434262948207171
DFI,M11,residual_to_disjoint_proliferation_and_weight,11,5,0.6006474028312044,0.632768361581921,0.52734375,0.6622390891840607
DFI,M11,residual_to_disjoint_proliferation_and_weight,12,5,0.5893684889791342,0.6136783733826248,0.4962406015037593,0.6871609403254972
DFI,M11,residual_to_disjoint_proliferation_and_weight,13,5,0.6018456981707099,0.6197183098591549,0.5359342915811088,0.6547842401500938
DFI,M11,residual_to_disjoint_proliferation_and_weight,14,5,0.5952538329303334,0.5788497217068646,0.5433526011560693,0.6673728813559322
DFI,M11,residual_to_disjoint_proliferation_and_weight,15,5,0.5819609544966451,0.5784832451499118,0.516597510373444,0.6375838926174496
DFI,M11,residual_to_disjoint_proliferation_and_weight,16,5,0.5875763910566674,0.5598290598290598,0.5456349206349206,0.6750902527075813
DFI,M11,residual_to_disjoint_proliferation_and_weight,17,5,0.5979076465846689,0.5939278937381404,0.5440613026819924,0.6923076923076923
DFI,M11,residual_to_disjoint_proliferation_and_weight,18,5,0.6071188438720219,0.6055045871559633,0.5244360902255639,0.6694560669456067
DFI,M11,residual_to_disjoint_proliferation_and_weight,19,5,0.6014705778485223,0.5900990099009901,0.5395948434622467,0.6963636363636364
DFI,M11,residual_to_disjoint_proliferation_and_weight,20,5,0.6008469177285986,0.6114180478821363,0.4138613861386138,0.7294332723948812
DFI,M11,residual_to_original_proliferation,1,5,0.6207278917143636,0.6320939334637965,0.5427974947807933,0.6921606118546845
DFI,M11,residual_to_original_proliferation,2,5,0.6060166858808744,0.5926605504587156,0.5364806866952789,0.7019748653500898
DFI,M11,residual_to_original_proliferation,3,5,0.6166350780501467,0.6337209302325582,0.5716945996275605,0.6595330739299611
DFI,M11,residual_to_original_proliferation,4,5,0.5998101003772147,0.6008230452674898,0.5250836120401338,0.6654545454545454
DFI,M11,residual_to_original_proliferation,5,5,0.6116978982930195,0.6300174520069808,0.5355731225296443,0.6593886462882096
DFI,M11,residual_to_original_proliferation,6,5,0.6158313074494159,0.6106719367588933,0.5377855887521968,0.6724890829694323
DFI,M11,residual_to_original_proliferation,7,5,0.6127097387806637,0.5955734406438632,0.5836363636363636,0.6742857142857143
DFI,M11,residual_to_original_proliferation,8,5,0.6082793534170571,0.5985915492957746,0.5494736842105263,0.6521739130434783
DFI,M11,residual_to_original_proliferation,9,5,0.6117425947814203,0.625,0.5783898305084746,0.6423487544483986
DFI,M11,residual_to_original_proliferation,10,5,0.6163792399610573,0.6363636363636364,0.5148148148148148,0.6613545816733067
DFI,M11,residual_to_original_proliferation,11,5,0.6122281968569546,0.6459510357815442,0.53125,0.6624775583482945
DFI,M11,residual_to_original_proliferation,12,5,0.6000470938710063,0.6266173752310537,0.5178571428571429,0.6799276672694394
DFI,M11,residual_to_original_proliferation,13,5,0.614999856873461,0.6197183098591549,0.5523613963039015,0.6697936210131332
DFI,M11,residual_to_original_proliferation,14,5,0.6045052239547172,0.5834896810506567,0.5606936416184971,0.6673728813559322
DFI,M11,residual_to_original_proliferation,15,5,0.5942574102427313,0.6225749559082893,0.5186721991701245,0.6526845637583892
DFI,M11,residual_to_original_proliferation,16,5,0.5971090742856338,0.5726495726495726,0.5584415584415584,0.6859205776173285
DFI,M11,residual_to_original_proliferation,17,5,0.6094102233619095,0.6091081593927894,0.5478927203065134,0.6940966010733453
DFI,M11,residual_to_original_proliferation,18,5,0.6175249737978165,0.6168582375478927,0.5394736842105263,0.6736401673640168
DFI,M11,residual_to_original_proliferation,19,5,0.6159093896707906,0.6,0.5488029465930019,0.6945454545454546
DFI,M11,residual_to_original_proliferation,20,5,0.6106341182348858,0.6095764272559853,0.4316831683168317,0.7276051188299817
DFI,M17,disjoint_proliferation_only,1,5,0.6044202041257228,0.6203522504892368,0.4676409185803757,0.6787762906309751
DFI,M17,disjoint_proliferation_only,2,5,0.6055281066443412,0.5781818181818181,0.5296229802513465,0.7302752293577982
DFI,M17,disjoint_proliferation_only,3,5,0.6125819122748887,0.6143410852713178,0.5709281961471103,0.6548323471400395
DFI,M17,disjoint_proliferation_only,4,5,0.6000352172013367,0.6036363636363636,0.5761316872427984,0.6191489361702127
DFI,M17,disjoint_proliferation_only,5,5,0.61715154935101,0.5551782682512734,0.5480349344978166,0.7252964426877471
DFI,M17,disjoint_proliferation_only,6,5,0.6122750797242162,0.592057761732852,0.5588752196836555,0.6936758893280632
DFI,M17,disjoint_proliferation_only,7,5,0.6272614070537075,0.631578947368421,0.5509090909090909,0.7295238095238096
DFI,M17,disjoint_proliferation_only,8,5,0.6108119955792135,0.6027874564459931,0.5372848948374761,0.7200704225352113
DFI,M17,disjoint_proliferation_only,9,5,0.6050498151898642,0.6032608695652174,0.5009633911368016,0.7033898305084746
DFI,M17,disjoint_proliferation_only,10,5,0.6081864688767199,0.6363636363636364,0.4618473895582329,0.7332185886402753
DFI,M17,disjoint_proliferation_only,11,5,0.6091402183154572,0.6072106261859582,0.547576301615799,0.6817325800376648
DFI,M17,disjoint_proliferation_only,12,5,0.6104268727236135,0.6377952755905512,0.4702380952380952,0.678373382624769
DFI,M17,disjoint_proliferation_only,13,5,0.5914174934124731,0.5950704225352113,0.5297741273100616,0.6498054474708171
