gene,gene_symbol_clean,n,events,coef,hr_per_sd,se_coef,z,p,ci_lower,ci_upper,c_index,error,q
HSD17B14_3,HSD17B14,186,124,-0.050037307869353675,0.9511939368196084,0.0892815838783904,-0.5604437745807581,0.5751767804130595,0.7984954601997486,1.1330933618784147,0.5071559926441193,,0.7714280853179446
LOC612524_3,LOC612524,186,124,0.04556109744581223,1.0466149481606166,0.08154341352998662,0.5587342431900729,0.5763431055844083,0.8920250567681398,1.227995605506823,0.5420164707763653,,0.7727850705073858
NCCRP1_3,NCCRP1,186,124,0.04490552974368146,1.0459290460562336,0.08040575376587734,0.5584865216789809,0.5765122057173313,0.8934303924455154,1.224457527563701,0.5226273286959303,,0.7728045653047336
SYPL2_3,SYPL2,186,124,0.049613855483601914,1.050865232173072,0.08902388416007527,0.5573094900508997,0.5773159928661058,0.8826118542031366,1.2511929575058727,0.5030782761653474,,0.7735738837770099
AFAP1L1_3,AFAP1L1,186,124,-0.04973575463508944,0.951480815680119,0.08927611985448809,-0.5571003165925464,0.5774588912600682,0.7987448393416652,1.1334229631498796,0.546254097705285,,0.7735738837770099
ARG2_3,ARG2,186,124,0.0460215076949533,1.0470969313561416,0.0826288491373993,0.5569665821972962,0.5775502616279156,0.8905392857674567,1.2311775585628126,0.5122731270488526,,0.7735738837770099
ALX3_3,ALX3,186,124,0.05072882643215658,1.0520375698175486,0.09112849381593802,0.5566735968951602,0.5777504596091783,0.879959197191709,1.2577663280749691,0.51363236587511,,0.7736347879073088
ELFN1_3,ELFN1,186,124,-0.051015280960318383,0.9502641494727193,0.09188031281301355,-0.5552362568044369,0.5787330724351887,0.7936621715111497,1.137766150620201,0.5065163508435276,,0.7747430688556742
PCYT1B_3,PCYT1B,186,124,-0.049586177591605295,0.9516231460118701,0.08941254307005557,-0.554577421567733,0.5791837361048786,0.7986507467150347,1.1338956555795345,0.4947629327576557,,0.7751388331168075
DGCR6L_3,DGCR6L,186,124,0.05108237235362944,1.0524095791669128,0.09224942673056548,0.5537418948176949,0.5797554990810283,0.8783385375106747,1.2609783984444813,0.4988406492364276,,0.7756287955047225
LOC119876650,LOC119876650,186,124,-0.047762375649335664,0.9533603017863947,0.08627766634939152,-0.5535890998247024,0.5798600875193306,0.805039854281939,1.1290072909905087,0.5129527464619813,,0.7756287955047225
ARSG_3,ARSG,186,124,-0.049242805417592066,0.9519499630270809,0.08915569400581773,-0.5523237294791155,0.5807265755749322,0.7993273202727273,1.133714198331249,0.5105540897097626,,0.7761412360236601
CD247_3,CD247,186,124,-0.045516147276436915,0.9555041736573586,0.08243326893937082,-0.552157494929793,0.580840453101038,0.8129526716955172,1.1230521254976351,0.5254657391860558,,0.7761412360236601
PPEF1_3,PPEF1,186,124,-0.05217893940539588,0.9491590096974531,0.09458807386132703,-0.5516439575870208,0.5811923133872601,0.7885431439881059,1.1424902144649662,0.5322219557048053,,0.7761412360236601
CGNL1_3,CGNL1,186,124,-0.0498807842922213,0.9513428327497038,0.09042749776911425,-0.5516107989583032,0.5812150361058058,0.796828804505966,1.1358188613492253,0.5198688734308787,,0.7761412360236601
NFYA_3,NFYA,186,124,0.04950522426722583,1.0507510816049235,0.08975299128869312,0.5515718591260188,0.5812417210586616,0.8812557446163208,1.2528461144665872,0.49892060446150155,,0.7761412360236601
CHSY3_3,CHSY3,186,124,-0.047259869632715924,0.9538394914618129,0.08568981417072276,-0.5515226061589825,0.5812754742875177,0.8063730363828789,1.1282740548384824,0.528903813864236,,0.7761412360236601
LOC119877863,LOC119877863,186,124,0.04588346030556446,1.0469523923351776,0.08320611664734091,0.551443357223796,0.5813297857817215,0.8894094893161507,1.232401188634864,0.5356200527704486,,0.7761412360236601
LOC119878025,LOC119878025,186,124,0.04924197194547233,1.0504745053493738,0.0895527059717563,0.5498658182478883,0.5824114105872236,0.8813696980743656,1.2520247619131375,0.47773246981690254,,0.7770201174219462
TUBA4A_3,TUBA4A,186,124,-0.04791080066999394,0.9532188097646452,0.08715142363430618,-0.5497420314214395,0.5824963236051196,0.8035431021896142,1.1307745618289384,0.5217877988326537,,0.7770201174219462
PRAM1_3,PRAM1,186,124,-0.04951086485793954,0.9516948180512906,0.09007173302162688,-0.5496826051526246,0.5825370898005812,0.7976796385363071,1.1354470929803662,0.5227472615335412,,0.7770201174219462
CPNE2_3,CPNE2,186,124,-0.04577965645530997,0.9552524227079482,0.08329983643697687,-0.5495767868637536,0.5826096840429753,0.8113592625922017,1.1246647855772876,0.5237067242344288,,0.7770201174219462
RHOJ_3,RHOJ,186,124,-0.04953855873552716,0.9516684622964469,0.09024159600676666,-0.5489548160452811,0.5830364583641939,0.7973920317959869,1.1357937200473562,0.53282161989286,,0.777290130663006
SEPTIN3_3,SEPTIN3,186,124,0.05035454040325558,1.0516438805340822,0.09174911264983057,0.548828636582444,0.5831230560233871,0.8785605793645219,1.258825944893566,0.5048772687295114,,0.777290130663006
CYP1B1_3,CYP1B1,186,124,-0.046298804326943534,0.9547566341507489,0.08442692865790535,-0.5483890633348099,0.5834247843920507,0.809148722512943,1.126566977234875,0.5127528583992964,,0.7774850538273597
LOC119879445,LOC119879445,186,124,0.051036970669663825,1.0523617990844536,0.09316541274741946,0.5478102781343334,0.5838221804610098,0.8767232657064712,1.2631869136948963,0.5105540897097626,,0.7778073280855446
TMEM52_3,TMEM52,186,124,-0.05770820726566551,0.943925337811717,0.10559194082011097,-0.5465209448510718,0.5847078943948463,0.7674633076154547,1.1609610967999608,0.5451347245542496,,0.7783225967859053
RHOU_3,RHOU,186,124,0.05339070716023769,1.0548416988225953,0.09772108045144966,0.5463581339214066,0.5848197825937127,0.8709775381356895,1.2775197532150282,0.5245062764851683,,0.7783225967859053
GPR27_3,GPR27,186,124,-0.050391755692808,0.9508568479427582,0.09223265487086652,-0.5463548215473218,0.5848220590526213,0.7936089562814733,1.1392622753604178,0.5271447989126089,,0.7783225967859053
LOC487173_3,LOC487173,186,124,0.046921914602573236,1.0480401692513142,0.0858839438084547,0.5463409401322123,0.5848315992249292,0.8856729547258575,1.2401735770562257,0.5260254257615735,,0.7783225967859053
PPP1R26_3,PPP1R26,186,124,-0.0477300499421785,0.9533911203304385,0.08758124734121302,-0.5449802485253966,0.5857671021149342,0.8030115830239499,1.1319321508439797,0.517390261453586,,0.7792200665815759
TMEM65_3,TMEM65,186,124,-0.05368008881573284,0.947735249115773,0.09851242939370103,-0.5449067609651823,0.5858176460560287,0.7813274846817532,1.1495846748337388,0.528903813864236,,0.7792200665815759
SCRG1_3,SCRG1,186,124,-0.049611789684195086,0.9515987732638638,0.09117620681536184,-0.5441308803804747,0.5863514117030262,0.7958744184986547,1.137792853030143,0.47969137283121455,,0.7795403052270191
GAMT_3,GAMT,186,124,-0.049832594135819266,0.9513886792142713,0.09161768052256836,-0.5439189668586284,0.5864972364245404,0.7950105068058497,1.138526360580692,0.530822739266011,,0.7795403052270191
SAMD4A_3,SAMD4A,186,124,-0.04707615977390515,0.9540147372768165,0.08655663106975305,-0.5438769877257361,0.5865261256528091,0.8051521290000826,1.1304001891812172,0.507715679219637,,0.7795403052270191
LOC102154437_3,LOC102154437,186,124,-0.047534793233097505,0.9535772945183494,0.08747063222108455,-0.5434371745816579,0.586828836210827,0.8033425388423296,1.1319077636935682,0.5066762612936755,,0.7797353656800784
ARHGAP20_3,ARHGAP20,186,124,-0.04815411832652739,0.9529869030123376,0.08869938039667055,-0.5428912593433958,0.5872046743905676,0.8009139952871308,1.1339345331173278,0.4868473654753338,,0.7799176951213521
PTPRN_3,PTPRN,186,124,-0.04601551444837245,0.9550271453564365,0.08478980606688055,-0.5427010224799466,0.587335670125705,0.8088025320981751,1.127687924024641,0.4839689773726713,,0.7799176951213521
PERP_3,PERP,186,124,-0.0498546638946013,0.9513676825273097,0.09188813577758301,-0.5425582255284346,0.5874340079654025,0.7945716610776428,1.1391048934841645,0.5457743663548413,,0.7799176951213521
LOC119876004_2,LOC119876004,186,124,0.045376921878100114,1.0464222050081977,0.08397058246152463,0.5403907005038562,0.5889276197255614,0.887628130634522,1.2336240744775144,0.5196290077556568,,0.7816931506843129
B3GALNT1_3,B3GALNT1,186,124,0.047588503766071016,1.0487390143664608,0.0882869872511238,0.5390205878326114,0.5898726488608136,0.8820991524502682,1.2468592869624644,0.4973214999600224,,0.7826995007232029
PECAM1_3,PECAM1,186,124,-0.047253396658400025,0.9538456656603252,0.08769709682763369,-0.53882509647127,0.5900075451051219,0.8032120336770323,1.1327289878040148,0.5305029183657152,,0.7826995007232029
ARHGEF4_3,ARHGEF4,186,124,-0.05017024104999908,0.9510674999881876,0.0931587556270585,-0.538545633336335,0.5902004096439815,0.7923452607071247,1.141584905457172,0.5008395298632765,,0.7826995007232029
MUC13_3,MUC13,186,124,0.04250400712426601,1.0434202374798542,0.07894738023453739,0.5383840096782798,0.5903119634454397,0.8938386377297398,1.2180339336726027,0.5377388662349084,,0.7826995007232029
SLC35F2_3,SLC35F2,186,124,0.048492759242908794,1.049687771258635,0.09015917957840087,0.5378571485418223,0.590675674147088,0.8796633639999814,1.2525750897702999,0.5341808587191172,,0.7829240493558163
FBLN2_3,FBLN2,186,124,-0.04965298276475121,0.9515595747862982,0.09237863185115207,-0.5374942426594509,0.5909262607522761,0.793968275252928,1.1404304839246049,0.5337810825937475,,0.7829240493558163
NRXN2_3,NRXN2,186,124,0.04688676093542009,1.0480033274436074,0.08723794897411795,0.5374583135755588,0.5909510724537701,0.8832946190341037,1.2434254105769296,0.5383785080355001,,0.7829240493558163
ASTN1_3,ASTN1,186,124,-0.04790315418944808,0.9532260985615968,0.0892121816844868,-0.5369575464353654,0.5912969392306163,0.8003102473755864,1.1353596907681944,0.534580634844487,,0.7829669149452807
SPON1_3,SPON1,186,124,0.04721801507344853,1.0483505403871778,0.08795971842236647,0.5368140771746933,0.5913960468436577,0.8823381864433647,1.2455981985322728,0.5219477092828017,,0.7829669149452807
SLC4A8_3,SLC4A8,186,124,0.049103446320411664,1.0503289977904056,0.09148608074635182,0.5367313357378658,0.591453207549665,0.8779145820583754,1.256604032037872,0.4955624850083953,,0.7829669149452807
PDLIM3_3,PDLIM3,186,124,0.052207527150530404,1.053594369264355,0.09735192114813529,0.5362762905427306,0.5917676142005164,0.8705772930791256,1.2750862028797048,0.4814104101703046,,0.7831757731610857
SP6_3,SP6,186,124,0.04766456810333659,1.0488187890385183,0.08898811540702724,0.5356284699964845,0.5922153484579866,0.8809548233897354,1.2486688568291926,0.5256256496362037,,0.7832840410780098
LOC119878293,LOC119878293,186,124,0.04707222667657247,1.048197714182945,0.08788291468631851,0.5356243229368064,0.5922182151547143,0.8823423724065212,1.245229156366684,0.52514591828576,,0.7832840410780098
CHCHD7_3,CHCHD7,186,124,-0.05427198589161363,0.9471744533761639,0.10140625001727423,-0.5351936974532494,0.5925159240067793,0.7764487935794846,1.1554392930312347,0.5325017989925641,,0.7832840410780098
