cohort,module_label,gene,frozen_risk_loading,frozen_risk_sign,cohort_pc1_loading_aligned,cohort_pc1_sign,loading_sign_concordant
CANINE_DOG2,M24,GABRA2_3,0.3852805725917257,1.0,0.385280572591726,1.0,True
CANINE_DOG2,M24,HHIP_3,0.3979603365268194,1.0,0.39796033652681984,1.0,True
CANINE_DOG2,M24,NETO1_3,0.4228145410292093,1.0,0.4228145410292096,1.0,True
CANINE_DOG2,M24,NR2F1_3,0.340405330369038,1.0,0.34040533036903853,1.0,True
CANINE_DOG2,M24,OSR2_3,0.3626675654866067,1.0,0.36266756548660695,1.0,True
CANINE_DOG2,M24,RYR2_3,0.4009260885695502,1.0,0.40092608856955053,1.0,True
CANINE_DOG2,M40,ARL4D_3,0.0707807010223402,1.0,0.08151393408270173,1.0,True
CANINE_DOG2,M40,ATAD2_3,0.0812929387945231,1.0,0.09400678039828148,1.0,True
CANINE_DOG2,M40,BARX1_3,0.0352349466365588,1.0,0.04043321593256635,1.0,True
CANINE_DOG2,M40,BUB1_3,0.1080697916378347,1.0,0.1230867037925288,1.0,True
CANINE_DOG2,M40,C1S_3,-0.0627826655048853,-1.0,-0.07223403125270239,-1.0,True
CANINE_DOG2,M40,CALHM5_3,-0.0426000317835533,-1.0,-0.048766599791068614,-1.0,True
CANINE_DOG2,M40,CCNA2_3,0.1003485100041255,1.0,0.11424245823347698,1.0,True
CANINE_DOG2,M40,CCNB3_3,0.0982493126043871,1.0,0.11294042634554506,1.0,True
CANINE_DOG2,M40,CDC20_3,0.1048761597715563,1.0,0.11899826153927395,1.0,True
CANINE_DOG2,M40,CDC6_3,0.1033835455200157,1.0,0.11854560703047105,1.0,True
CANINE_DOG2,M40,CDCA2_3,0.0986817715782768,1.0,0.11278641445508533,1.0,True
CANINE_DOG2,M40,CDCA8_3,0.1090235308787705,1.0,0.12463150933247918,1.0,True
CANINE_DOG2,M40,CENPI_3,0.1008672286125217,1.0,0.11551444272280624,1.0,True
CANINE_DOG2,M40,CENPK_3,0.0865983343584617,1.0,0.09820003161359629,1.0,True
CANINE_DOG2,M40,CENPT_3,0.1012988126993273,1.0,0.11539444786995179,1.0,True
CANINE_DOG2,M40,CEP72_3,0.0758381836856351,1.0,0.08717199731141673,1.0,True
CANINE_DOG2,M40,CLSPN_3,0.1019028132144472,1.0,0.116621949848255,1.0,True
CANINE_DOG2,M40,CLTCL1_3,0.0586817184886356,1.0,0.06730163736661265,1.0,True
CANINE_DOG2,M40,CRYBG1_3,-0.0506572236152849,-1.0,-0.05842042737598106,-1.0,True
CANINE_DOG2,M40,CXCL14_3,-0.0644310171575864,-1.0,-0.07423211313892564,-1.0,True
CANINE_DOG2,M40,DEPDC1_3,0.1034864241656688,1.0,0.11818032652060564,1.0,True
CANINE_DOG2,M40,DLGAP5_3,0.1061661815468106,1.0,0.12106884319818854,1.0,True
CANINE_DOG2,M40,DNA2_3,0.1020277798833881,1.0,0.11757957991544526,1.0,True
CANINE_DOG2,M40,DNAJB1_3,0.0398023447798947,1.0,0.045471891304847,1.0,True
CANINE_DOG2,M40,DNPH1_3,0.0901759425318582,1.0,0.10275777832895182,1.0,True
CANINE_DOG2,M40,DSCC1_3,0.0833184330489704,1.0,0.09614272751592333,1.0,True
CANINE_DOG2,M40,DSN1_3,0.1079458053910122,1.0,0.1233821353689482,1.0,True
CANINE_DOG2,M40,E2F1_3,0.0990184470275903,1.0,0.11282177201729757,1.0,True
CANINE_DOG2,M40,E2F7_3,0.0876617796025766,1.0,0.10069189879685711,1.0,True
CANINE_DOG2,M40,E2F8_3,0.0956343061760119,1.0,0.10944541982640758,1.0,True
CANINE_DOG2,M40,ECT2_3,0.0993500067392626,1.0,0.11349089737390713,1.0,True
CANINE_DOG2,M40,ELOVL4_3,0.0706171079865341,1.0,0.08199322476973545,1.0,True
CANINE_DOG2,M40,EPHA2_3,0.0596577584757255,1.0,0.07011296005318504,1.0,True
CANINE_DOG2,M40,ESPL1_3,0.0958233321628845,1.0,0.11029223423532332,1.0,True
CANINE_DOG2,M40,EXO1_3,0.0700468717236901,1.0,0.08053714016637754,1.0,True
CANINE_DOG2,M40,FAM131C_3,0.0417195665396428,1.0,0.04875186802373618,1.0,True
CANINE_DOG2,M40,FAM180A_3,-0.0638963683121301,-1.0,-0.07353236300625997,-1.0,True
CANINE_DOG2,M40,FAM83D_3,0.0955707148225928,1.0,0.10931751381609525,1.0,True
CANINE_DOG2,M40,FANCA_3,0.0899611335993833,1.0,0.1031957064355447,1.0,True
CANINE_DOG2,M40,FANCD2_3,0.1005852223341002,1.0,0.11518961787243609,1.0,True
CANINE_DOG2,M40,FANCM_3,0.0993034472294151,1.0,0.11328782206954088,1.0,True
CANINE_DOG2,M40,FN1_3,-0.0529939948407113,-1.0,-0.060077398926332404,-1.0,True
CANINE_DOG2,M40,GAREM2_3,0.0477266189578909,1.0,0.055116851153958986,1.0,True
CANINE_DOG2,M40,GAS6_3,-0.0603217464757139,-1.0,-0.06979452052524991,-1.0,True
CANINE_DOG2,M40,GPRC5C_3,0.0331438260764811,1.0,0.039369409722598794,1.0,True
CANINE_DOG2,M40,GTSE1_3,0.1046948392623925,1.0,0.11968168299958418,1.0,True
CANINE_DOG2,M40,HELLS_3,0.0974530552804082,1.0,0.11193237903928684,1.0,True
CANINE_DOG2,M40,HSP90AA1_3,0.0685722304647132,1.0,0.07899639951744414,1.0,True
CANINE_DOG2,M40,HSPH1_3,0.0558958510966223,1.0,0.06485625999627623,1.0,True
CANINE_DOG2,M40,IFITM5_3,0.0323007301226845,1.0,0.03784287583018161,1.0,True
CANINE_DOG2,M40,ITGBL1_3,-0.0691572518457842,-1.0,-0.08000464496672204,-1.0,True
CANINE_DOG2,M40,KIF15_3,0.0940305190143322,1.0,0.1075957237919162,1.0,True
CANINE_DOG2,M40,KIF18B_3,0.1038694045004842,1.0,0.11866399411712172,1.0,True
CANINE_DOG2,M40,KIF22_3,0.1077163625087104,1.0,0.1229675431123152,1.0,True
CANINE_DOG2,M40,KIF23_3,0.1025598231153888,1.0,0.11684230645543923,1.0,True
CANINE_DOG2,M40,KIF4A_3,0.1036849935749224,1.0,0.11894576577033622,1.0,True
CANINE_DOG2,M40,LGR4_3,0.0383649079877684,1.0,0.045411942835483304,1.0,True
CANINE_DOG2,M40,LHX2_3,0.0662395958747118,1.0,0.07659317688078773,1.0,True
CANINE_DOG2,M40,LIMS2_3,-0.0660354797522659,-1.0,-0.07637585758846413,-1.0,True
CANINE_DOG2,M40,MACROH2A2_3,0.074742023049038,1.0,0.08675429922527345,1.0,True
CANINE_DOG2,M40,MAP1LC3C_3,-0.0663473112250084,-1.0,-0.07630721264149515,-1.0,True
CANINE_DOG2,M40,MCM2_3,0.0995103824814667,1.0,0.11456662954485392,1.0,True
CANINE_DOG2,M40,MCM5_3,0.0992996621097692,1.0,0.11399725344857183,1.0,True
CANINE_DOG2,M40,MEX3A_3,0.0663309067001227,1.0,0.07710892794266443,1.0,True
CANINE_DOG2,M40,MIS18A_3,0.1027588953244507,1.0,0.11758174430781371,1.0,True
CANINE_DOG2,M40,MSI1_3,0.0396941646878837,1.0,0.04677707602652115,1.0,True
CANINE_DOG2,M40,MTFR2_3,0.1005354254637019,1.0,0.11468190467969173,1.0,True
CANINE_DOG2,M40,MXRA5_3,-0.039513208716628,-1.0,-0.044912062546246044,-1.0,True
