endpoint,gene,gene_symbol_clean,human_gene_symbol,candidate_transfer_set,rna_evidence_tier,rna_evidence_priority_score,expression_column_used,score_type,score_column,gene_proliferation_correlation_raw,score_proliferation_correlation_after_residualization,n,events,coef,hr,p,se,c_index,error,gene_proliferation_correlation,gene_only_p,gene_plus_proliferation_p,gene_plus_proliferation_q,gene_plus_proliferation_c_index,abs_coef_ratio_after_proliferation_adjustment,q
OS,GPRC5C_3,GPRC5C,GPRC5C,strict_primary,high_rna_evidence,10.0,GPRC5C_3,residual_after_proliferation_and_weight,candidate_3__residual_after_proliferation_and_weight,0.18268370447899504,1.156217652592554e-16,185,123,0.33273639060003973,1.3947795729976729,0.00034927495368763137,0.09305456304678525,0.6170057550457972,,0.182683704478995,0.0001175068835247,0.00090497735663,0.0049578915303666,0.6429199648197009,0.8832102843303439,0.004540574397939208
DFI,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,original,candidate_4__original,0.6944130844723984,0.6944130844723984,186,143,0.3460230054278186,1.4134351321235583,2.2471320493326843e-05,0.08163221559007935,0.6195216164017233,,0.6944130844723984,2.2471320493326843e-05,0.0156191442170408,0.0213735657706874,0.6181845193879068,0.7449186432481979,0.00011685086656529957
DFI,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,residual_after_proliferation,candidate_4__residual_after_proliferation,0.6944130844723984,1.608323084321848e-16,186,143,0.18838810414163548,1.2073019833364798,0.025339262874594523,0.08424508667425254,0.5751002822760363,,0.6944130844723984,2.2471320493326843e-05,0.0156191442170408,0.0213735657706874,0.6181845193879068,0.7449186432481979,0.031372420701878935
DFI,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,residual_after_proliferation_and_weight,candidate_4__residual_after_proliferation_and_weight,0.6944130844723984,2.8845221645407997e-16,185,142,0.18871934263389153,1.2077019544643974,0.02592799632584818,0.08473053209253466,0.5748138117806364,,0.6944130844723984,2.2471320493326843e-05,0.0156191442170408,0.0213735657706874,0.6181845193879068,0.7449186432481979,0.03933639687537152
OS,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,original,candidate_4__original,0.6944130844723984,0.6944130844723984,186,124,0.31298781765569955,1.3675048715109521,0.0006659566064395727,0.09196803340080731,0.60997841208923,,0.6944130844723984,0.0006659566064395,0.0298504484764957,0.0408479821257309,0.6091788598384904,0.8165290132397304,0.0018428274101523067
OS,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,residual_after_proliferation,candidate_4__residual_after_proliferation,0.6944130844723984,1.608323084321848e-16,186,124,0.17028078449353057,1.1856377132717733,0.06638065844035915,0.09275338124911289,0.5797553370112737,,0.6944130844723984,0.0006659566064395,0.0298504484764957,0.0408479821257309,0.6091788598384904,0.8165290132397304,0.07503900519344947
OS,DSCC1_3,DSCC1,DSCC1,strict_primary,high_rna_evidence,10.0,DSCC1_3,residual_after_proliferation_and_weight,candidate_4__residual_after_proliferation_and_weight,0.6944130844723984,2.8845221645407997e-16,185,123,0.17049214427217999,1.1858883358812453,0.0675281264483418,0.09325975325853174,0.5791521439572019,,0.6944130844723984,0.0006659566064395,0.0298504484764957,0.0408479821257309,0.6091788598384904,0.8165290132397304,0.07980596762076758
DFI,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,original,candidate_5__original,-0.4949807910559759,-0.49498079105597603,186,143,-0.3204265296418631,0.7258393790288308,0.00010609953870839558,0.08266507157811892,0.5981280641806567,,-0.4949807910559759,0.0001060995387083,0.0184030385310002,0.0239239500903003,0.614841776853365,0.7023851944160994,0.00027585880064182847
DFI,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,residual_after_proliferation,candidate_5__residual_after_proliferation,-0.4949807910559759,-9.481904750852686e-17,186,143,-0.19289860323918484,0.8245655781791542,0.023907600259028248,0.0854058592840604,0.561283613133264,,-0.4949807910559759,0.0001060995387083,0.0184030385310002,0.0239239500903003,0.614841776853365,0.7023851944160994,0.03107988033673672
DFI,ACSS3_3,ACSS3,ACSS3,strict_primary,high_rna_evidence,10.0,ACSS3_3,residual_after_proliferation_and_weight,candidate_5__residual_after_proliferation_and_weight,-0.4949807910559759,-3.50478475942118e-16,185,142,-0.17360839088480975,0.8406260300244316,0.04252962591246766,0.08559304832622686,0.5540510042879712,,-0.4949807910559759,0.0001060995387083,0.0184030385310002,0.0239239500903003,0.614841776853365,0.7023851944160994,0.05265572732019805
