endpoint,module_label,score_column,n_genes_used,module_pc1_explained_variance,module_proliferation_correlation,module_only_coef,module_only_hr,module_only_p,module_only_c_index,module_plus_proliferation_coef,module_plus_proliferation_hr,module_plus_proliferation_p,module_plus_proliferation_c_index,module_plus_proliferation_proliferation_p,module_plus_proliferation_weight_coef,module_plus_proliferation_weight_hr,module_plus_proliferation_weight_p,module_plus_proliferation_weight_c_index,module_plus_proliferation_weight_proliferation_p,module_plus_proliferation_weight_weight_p,abs_coef_ratio_after_proliferation_adjustment,retains_nominal_p05_after_proliferation,module_only_error,module_plus_proliferation_error,module_plus_proliferation_weight_error,module_transfer_qc_tier,transfer_priority_score,n_module_genes,fraction_strict_symbol_concordant,fraction_broad_transferable,n_high_or_medium_rna_evidence,dfi_full_module_p,dfi_full_module_c_index,os_full_module_p,os_full_module_c_index,strict_human_symbols,module_only_q,module_plus_proliferation_q,module_plus_proliferation_weight_q
DFI,M38,module_M38_score,8,0.4528041173359407,-0.5311270765832267,-0.3957507844785002,0.6731744405535002,8.137949615866122e-06,0.6060020799286882,-0.32101346935967295,0.7254134800692627,0.0011225139694594432,0.6187045015599465,0.07610556613857476,-0.2992155235503414,0.7413996031399286,0.0026960080750368467,0.6343940419769803,0.1337485792484137,0.018071696818246642,0.8111505572444735,True,,,,high_primary_transfer_readiness,9.0,8,0.75,0.875,1,8.137949615866122e-06,0.6060020799286882,0.0001928756851798,0.6048612776844967,ACSS3;MTURN;JAZF1;MAOB;TMCC3;STON1,2.6425323353562583e-05,0.0024321136004954603,0.004779932312431483
DFI,M39,module_M39_score,5,0.49562689101106494,0.5934459965539054,0.3441797829769538,1.4108322563316678,1.0163585905216378e-05,0.6150646263556678,0.2701730567139451,1.3101911684934255,0.0024708227738489017,0.6253899866290299,0.07392531645985725,0.27074594823179293,1.3109419809471228,0.003008708438407805,0.6405627021740766,0.14285112388129534,0.009205062327023554,0.7849765444591376,True,,,,high_primary_transfer_readiness,10.0,5,1.0,1.0,1,1.016358590521632e-05,0.6150646263556678,0.0039496389635895,0.5843927400655633,PRRT4;SPSB4;FAM81A;CLCN5;PGAP1,2.6425323353562583e-05,0.0032120696060035725,0.004779932312431483
DFI,M40,module_M40_score,144,0.5021573032723196,0.9806006814043283,0.38284455970703957,1.466450066923514,6.446286154722649e-06,0.6334868518793642,0.6708754479329391,1.9559489027499601,0.0016898822563685453,0.647749220026742,0.14197329742302292,0.6560486043277941,1.9271622889372304,0.0022873410870908354,0.6620777853005341,0.1193092425507586,0.010639108411666898,1.7523442110456176,True,,,,high_primary_transfer_readiness,9.0,144,0.7708333333333334,0.8402777777777778,12,6.446286154722608e-06,0.6334868518793642,0.0002454688349548,0.6242104421523946,GPRC5C;DSCC1;ELOVL4;MEX3A;NIBAN1;TRIP13;EPHA2;MYOF;TSPAN33;RCOR2;POLE2;ST6GALNAC3;UBE2S;SCML2;MYBL2;SPC25;TONSL;ATAD2;HSPH1;NSMCE2;FAM131C;NDUFB9;DNPH1;FANCA;RECQL4;FANCM;ECT2;LHX2;MIS18A;DLGAP5;FANCD2;CDCA8;BUB1;FAM180A;PLK4;SMO;DSN1;ORC6;SULT1C4;UHRF1;SKA3;GTSE1;CCNA2;ITGBL1;RAB30;DEPDC1;CDC6;UBE2T;SLC13A5;CCNB3;POLQ;MAP1LC3C;KIF18B;KIF4A;SH3D19;CEP72;CDCA2;CXCL14;LGR4;SFRP4;MXRA5;GAREM2;BARX1;TRIB3;SIM2;ESPL1;GAS6;CRYBG1;CALHM5;IFITM5;LIMS2;DNA2;STUM;RELN;DNAJB1;EXO1;MSI1;E2F1;MCM5;CENPK;POLE;E2F7;FAM83D;MCM2;SIVA1;TYMS;REXO5;E2F8;HELLS;RRM2;ORC1;KIF22;NCAPG;TOP2A;KIF15;FN1;MTFR2;CDC20;ST8SIA5;ARL4D;CENPT;SPAG5;NMRAL1;HSP90AA1;CLTCL1;CENPI;TK1;KIF23;C1S;CLSPN;MACROH2A2,2.6425323353562583e-05,0.003106636625821131,0.004779932312431483
OS,M11,module_M11_score,8,0.49449542756390563,0.10123328410559211,0.22513687418913053,1.2524941385795554,0.007405928761241284,0.5759174862077237,0.21033973921119428,1.23409725997301,0.016578612857473907,0.6058207403853841,0.0158410058243462,0.2011781050558822,1.2228425468694784,0.023313339437327513,0.6139255896895518,0.025007587993818234,0.33818979008276495,0.9342749381627035,True,,,,high_primary_transfer_readiness,10.0,8,0.875,1.0,1,1.680461601153752e-05,0.6192987668994205,0.0074059287612412,0.5759174862077237,ADAMTS4;ANGPT2;MCAM;DRD1;STC1;ADAMTS1;IGFBP3,0.008023089491344724,0.019592906104287346,0.027552128425932517
OS,M17,module_M17_score,5,0.5229397637600028,0.25964049457441846,0.3527516491489177,1.4229777018233372,9.636421703937366e-05,0.6148556808187415,0.3116283160126117,1.3656470095605382,0.0007175681824741875,0.6375629647397457,0.046510404722076494,0.3231329856122906,1.3814490515385558,0.0005122855260310121,0.6388100834886925,0.0777388490490383,0.1919359168991677,0.8834212873688214,True,,,,medium_sensitivity_transfer_readiness,5.0,5,0.4,0.6,1,0.0001546958588125,0.5990194621898678,9.636421703937366e-05,0.6148556808187415,P4HA1;CIRBP,0.00033806766646435923,0.003193874411878869,0.0034181932082805993
OS,M20,module_M20_score,4,0.6027393079486077,0.10173516110581457,0.25427560937643195,1.2895271610724766,0.0005306528455320798,0.5976653074278404,0.2816195787181134,1.325274461468054,0.000483560436257973,0.6202926361237707,0.005685841681521114,0.28148734363672745,1.3250992252782243,0.0005258758781970153,0.6197616924698063,0.012107811178088068,0.2899985143949102,1.1075367370418967,True,,,,high_sensitivity_transfer_readiness,1.0,4,0.5,0.75,0,0.0089794370076164,0.5716832565740603,0.000530652845532,0.5976653074278404,VGLL2;RRAD,0.0006898486991917037,0.003193874411878869,0.0034181932082805993
OS,M23,module_M23_score,4,0.5696919728493952,0.4032636461012663,0.1967700628859408,1.2174640683447775,0.01495894924165325,0.5807947549372352,0.12200906779656279,1.1297643462071267,0.1656433206781238,0.6007036059806509,0.05736806108749218,0.11451204607924727,1.121326148566254,0.20301784775493334,0.604360865688579,0.07563645134166767,0.33328760406068453,0.6200590984579104,False,,,,low_transfer_readiness,2.0,4,0.5,0.5,0,0.000130782969346,0.6206358639132372,0.0149589492416532,0.5807947549372352,RBM44;SYCE2,0.01495894924165325,0.1656433206781238,0.20301784775493334
OS,M24,module_M24_score,7,0.4433167275165085,0.38834755867836485,0.30985007237481493,1.363220714365667,0.00018000398462129252,0.6063004717358279,0.26377556387216183,1.3018359844832386,0.0031917368850146563,0.6067802030862717,0.1431949039315276,0.251935271811151,1.2865127609487592,0.006354008041209232,0.6154656723676745,0.1526985537519085,0.5896140058738149,0.8513006366288068,True,,,,high_primary_transfer_readiness,10.0,7,1.0,1.0,1,4.804690131708406e-06,0.6262071014708067,0.0001800039846212,0.6063004717358279,GABRA2;HHIP;OSR2;NETO1;RYR2;CHST2;NR2F1,0.00041789731788957634,0.005471235299965773,0.009928758363015388
OS,M25,module_M25_score,6,0.5040150084188719,-0.27511300106719366,-0.27451222112024115,0.7599427168408527,0.00047827019022018367,0.6036619493083873,-0.2336281194381512,0.7916561626998401,0.00526130265042508,0.6199728152234748,0.09769269148672516,-0.22901827668987823,0.7953139976649697,0.006873755789779884,0.6234903136905244,0.12618949145079683,0.4111692493045974,0.8510663695945908,True,,,,medium_sensitivity_transfer_readiness,3.0,6,0.6666666666666666,0.6666666666666666,0,1.4739471228528751e-05,0.626578517307978,0.0004782701902201,0.6036619493083873,STK39;SERTM1;KCTD12;ENC1,0.0006898486991917037,0.007107221114203706,0.009928758363015388
OS,M27,module_M27_score,8,0.439051918494457,0.29832212360607696,0.30235175254694596,1.3530370772517915,0.000395403511709792,0.5999040537299113,0.26348573650097745,1.3014587314539101,0.0033669140307481683,0.6174142480211082,0.07613807094619088,0.25100918314966564,1.285321887580262,0.006270171024070602,0.6217070600632244,0.09798523779183535,0.5175450575709363,0.8714543053957201,True,,,,high_sensitivity_transfer_readiness,5.0,8,0.5,0.75,2,3.640847642739951e-05,0.6167731392066558,0.0003954035117097,0.5999040537299113,CA14;LEPR;HK2;DLG2,0.000642530706528412,0.005471235299965773,0.009928758363015388
