analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,interpretable,factor,signed_cosine,absolute_cosine,squared_cosine,active_group_count,active_groups,activity_class
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor6,0.04689312700154368,0.04689312700154368,0.0021989653599829052,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,8,M40,111,64,0.5765765765765766,True,Factor7,-0.023468077571434855,0.023468077571434855,0.0005507506648988837,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor1,-0.5341508505776682,0.5341508505776682,0.2853171311728464,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor2,0.11224910416134294,0.11224910416134294,0.012599861385024017,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor3,-0.030437665217820237,0.030437665217820237,0.0009264514639121038,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor4,0.03005308386159062,0.03005308386159062,0.0009031878495917986,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor5,-0.05735739962488857,0.05735739962488857,0.003289871291729167,1,GSE21257,group_specific
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor6,-0.05813923743212453,0.05813923743212453,0.00338017092918895,3,DOG2;TARGET_OS;GSE21257,partially_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor7,0.06633538571014005,0.06633538571014005,0.004400383397313053,4,DOG2;TARGET_OS;GSE21257;GSE39055,ubiquitous_shared
four_cohort_variable_only_1500,12,M34,162,100,0.6172839506172839,True,Factor8,0.04226977582516716,0.04226977582516716,0.001786733948309886,3,DOG2;TARGET_OS;GSE21257,partially_shared
