gene,gene_symbol_clean,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score
TGFBR3_3,TGFBR3,-0.0552511359778636,0.9462474813248888,0.5358382883619945,0.7211820839326979,0.5399643440796316,-0.0969914095142449,0.9075638025137024,0.2996420146464791,0.5685160276388046,0.5494523067082434,True,6349.0
SDF2L1_3,SDF2L1,-0.0512240946941591,0.950065741983358,0.5363835912037839,0.7216564545846267,0.5300103996434408,-0.0296687908985622,0.970767007176226,0.7400140229849413,0.8627044945758778,0.5109938434476693,True,8004.0
MAP3K20_3,MAP3K20,0.0525831750940953,1.0539902241689063,0.5364794083382115,0.7216564545846267,0.5065369187342148,0.0804810948908657,1.0838083569333028,0.3857782123011354,0.636723169723828,0.4975613656352443,True,6744.0
RASL11B_3,RASL11B,0.0509873597062042,1.052309591696733,0.536937248666154,0.7220780643708365,0.5262962412717278,0.031031938964238,1.031518448991257,0.7240679951589126,0.8552686196816125,0.5241864555848724,True,7950.0
WNT9A_3,WNT9A,-0.0508258562980664,0.9504441699879076,0.5371646581942949,0.7221890307340099,0.5121824394592185,-0.0827315754462822,0.9205982252254992,0.3424786101372214,0.5991578203940192,0.5242664108099464,True,6577.0
STAC2_3,STAC2,-0.0500696073863024,0.9511632142110898,0.5373471037052356,0.7221890307340099,0.5205764373792898,-0.0534097127411146,0.9479915286965784,0.5422313361181328,0.7495594914544275,0.5216278883825058,True,7337.0
HEPHL1_3,HEPHL1,-0.0498524089230114,0.951369827836824,0.5374530766722502,0.7221890307340099,0.5219135343931065,-0.1370249425294729,0.8719484772602817,0.119461044520293,0.3723848021206141,0.5537698888622371,True,5325.0
ABHD12B_3,ABHD12B,0.0499743281046968,1.051244108600918,0.537603176267923,0.7221966365770055,0.5358787698707473,-0.0054717207746522,0.9945432218231354,0.9509638705842188,0.9820345435720634,0.4905253058287359,False,8563.0
NSMF_3,NSMF,0.0488786884116558,1.0500929545686406,0.5384773447128066,0.7230379538505084,0.5004456990046056,0.0583147449862929,1.0600485881876127,0.5107062019079189,0.7317969491479795,0.5117933956984089,True,7211.0
ANO5_3,ANO5,0.0505167714296872,1.0518145036400683,0.5386767616965662,0.7230379538505084,0.529490417471401,0.1371291757746636,1.146976300503507,0.133787996979954,0.3930537104759206,0.5727192772047653,True,5425.0
LOC119876347,LOC119876347,0.0513367047872472,1.0526772750967808,0.5388202749799975,0.7230379538505084,0.4900460555638092,0.0604620070859992,1.062327235896287,0.5206516067487343,0.7362603443382421,0.49020548492844,True,7260.0
SLC35F2_3,SLC35F2,0.0540712140462372,1.0555597701608177,0.5388675307251178,0.7230379538505084,0.5340959738523251,0.0484927592429087,1.049687771258635,0.590675674147088,0.7829240493558163,0.5341808587191172,True,7498.0
LOC119875667_2,LOC119875667,-0.0573570851718307,0.9442568290462956,0.5392130651492802,0.7230379538505084,0.4778636161045907,-0.0734882604144961,0.9291470535287736,0.4547349365350605,0.6867033170266694,0.505836731430399,True,7038.0
HOXB7_3,HOXB7,0.0506228832924602,1.0519261195581229,0.5392429932401521,0.7230379538505084,0.4899717723963749,0.0618492149906311,1.063801927250495,0.4702811722952287,0.7009033605611349,0.5060366194930839,True,7081.0
TMEM74_3,TMEM74,-0.0492576280172382,0.9519358527584714,0.5393152840357021,0.7230379538505084,0.5078740157480315,-0.1681346473733141,0.8452400176740501,0.059537542170959,0.2627429045496868,0.5529703366114975,True,4862.0
CHRNA1_3,CHRNA1,0.0505626097651231,1.051862718171131,0.5393863135724792,0.7230379538505084,0.5167508542564255,0.1491207620515368,1.160813162924088,0.0757851801263787,0.3011707152847107,0.5142720076757016,True,4988.0
LRP4_3,LRP4,0.0483232929075762,1.0495098995908518,0.5399287300273998,0.723571066774859,0.5306046649829149,0.0841368742149978,1.0877777723484594,0.3317612497087446,0.590356026427538,0.5497721276085392,True,6539.0
GFPT2_3,GFPT2,-0.056652807060876,0.9449220826964068,0.5413516279563022,0.7252835315598904,0.5080968652503343,-0.1072179112132083,0.898329895502635,0.2643346123613971,0.5362794108632104,0.5265851123370913,True,6196.0
LRRTM2_3,LRRTM2,0.0511643055072881,1.0524958099352058,0.5416773164277862,0.7255254707042408,0.5053483880552667,-0.0476388697962714,0.9534780546351778,0.6059076996671127,0.79203620871518,0.5053170224674183,False,7558.0
CD79B_3,CD79B,-0.0473634121137686,0.9537407336672428,0.5418816245139002,0.7255662772183874,0.4897489228940722,0.0508168333197588,1.0521301604439557,0.5113001200379504,0.7317969491479795,0.5394579035739986,False,7226.0
CACNB1_3,CACNB1,0.0507650149984748,1.052075642237802,0.5419980090821354,0.7255662772183874,0.5032684593671074,0.1583367023598791,1.1715605955233548,0.0709809993048679,0.290667482820917,0.5373790677220757,True,4956.0
SPIC_3,SPIC,-0.0499199404237138,0.9513055825739412,0.5421742742944297,0.7256079688094615,0.5195364730352102,-0.1122739735913156,0.893799346535435,0.2116408581035726,0.4856908906686338,0.5476533141440794,True,5914.0
KDR_3,KDR,0.0489750496790075,1.0501941477320524,0.5423848401187779,0.7256955313336604,0.4941316297726935,-0.0061908776209432,0.9938282463767872,0.9443057495856854,0.9801207310673544,0.5257056048612777,False,8554.0
PLXNB3_3,PLXNB3,0.0551309021998615,1.056678927218709,0.5427474875862771,0.7259864734968928,0.5209478532164612,0.1536838394549551,1.166122146677493,0.1129840167865295,0.3635264375370964,0.5437754857279923,True,5292.0
LOC119867070_3,LOC119867070,0.0499372943778206,1.0512051778346,0.5430379115371782,0.7260046580729642,0.5200193136235329,0.0758481936384606,1.0787987932064735,0.3916222650328017,0.6426696068790222,0.5156712241144958,True,6785.0
ABHD3_3,ABHD3,-0.0562875133453281,0.94526731984754,0.5431103493259708,0.7260046580729642,0.5150051998217204,-0.1003448689907335,0.904525421470886,0.3092157286057491,0.575937384316379,0.5271447989126089,True,6424.0
LOC100683303_3,LOC100683303,0.052171425666264,1.0535563336303857,0.5432180603033128,0.7260046580729642,0.5008171148417768,0.001566641694944,1.0015678695191474,0.9867305562959192,0.9945162100331952,0.4906052610538098,True,8701.0
H1-0_3,H1-0,0.0514902987898995,1.0528389724305165,0.5433418861018064,0.7260046580729642,0.5199078888723815,0.0442939915085289,1.0452896159912082,0.6301678411372806,0.8106161463003144,0.5195490525305829,True,7628.0
PECAM1_3,PECAM1,0.0502162208597602,1.0514984276923245,0.5438509138651586,0.7264351570282982,0.4991828851582231,-0.0472533966584,0.9538456656603252,0.5900075451051219,0.7826995007232029,0.5305029183657152,False,7512.0
CACNA1S_3,CACNA1S,0.050659851564459,1.051965008167851,0.5439546455827897,0.7264351570282982,0.5210964195513297,0.1139570922993905,1.1207040370191983,0.1894366346959284,0.4620405724290936,0.5133125449748142,True,5794.0
AFAP1L2_3,AFAP1L2,0.0546665877893898,1.056188409851513,0.5448391879988776,0.7272579986383415,0.5133709701381667,0.0296596196697126,1.0301038471857284,0.7557370473963447,0.873944534336924,0.5053170224674183,True,8068.0
ZDHHC14_3,ZDHHC14,0.0511725515243057,1.0525044888693489,0.5448616925798455,0.7272579986383415,0.5219135343931065,0.0488980343500219,1.0501132697987263,0.5959227790100766,0.7854906268871248,0.5172303510034381,True,7539.0
TMEM126A_3,TMEM126A,0.0569990576386922,1.0586548127596962,0.5450510320116372,0.7273165625989287,0.51203387312435,0.0782635738223102,1.081407651858337,0.4197042323649764,0.6653523024175276,0.5343407691692652,True,6901.0
SLC17A7_3,SLC17A7,0.0477276899416314,1.048884994498004,0.5453785943765126,0.727559490897162,0.541227157926014,0.0417915348823857,1.042677094289917,0.6247982938649624,0.8063994500064048,0.5413768289757735,True,7622.0
LOC102156194_3,LOC102156194,0.0487873901705303,1.0499970873051931,0.5457637822676646,0.7278791441286538,0.5206507205467241,0.0172377312412298,1.017387158290071,0.847188948112534,0.9256872247733108,0.5151515151515151,True,8325.0
SQLE_3,SQLE,0.0521534588797201,1.053537404778673,0.5460086984837331,0.7280115979783108,0.5210221363838954,0.1059176003018596,1.1117302664938913,0.2694214827113003,0.5402051905468456,0.5389781722235548,True,6242.0
CCNA1_3,CCNA1,-0.0490293591314235,0.9521531748979454,0.5471867417949922,0.7293878189749295,0.5264819491903134,-0.0428507334495075,0.9580543848678084,0.6370344022819177,0.8139498580176642,0.5170304629407532,True,7661.0
MAP3K9_3,MAP3K9,-0.0516943647278255,0.9496190595737984,0.5476533906635211,0.72981528606546,0.5118853067894815,-0.0649623900140108,0.9371027071343264,0.4688478638887078,0.6998887246671314,0.5263052690493324,True,7101.0
ZNF567_3,ZNF567,0.0524328790446566,1.0538318255057115,0.5488532956469081,0.7310045402373426,0.5176793938493537,0.0197389464369285,1.0199350475916984,0.8336074394024613,0.9164549685603136,0.5073159030942672,True,8301.0
GADD45B_3,GADD45B,0.0519667318222778,1.0533406992048713,0.5490382202835741,0.7310045402373426,0.5020799286881593,0.0530515887556771,1.0544840432358502,0.5705778058894784,0.7679378275766868,0.5051571120172703,True,7469.0
CCDC146_3,CCDC146,-0.0521186195352496,0.949216264572452,0.5490726409895162,0.7310045402373426,0.4994800178279602,-0.1071531129865599,0.898388107572808,0.2494373081507809,0.5218353727003785,0.5258655153114256,True,6145.0
FAH_3,FAH,0.0491052170414336,1.0503308576316883,0.5491306106262918,0.7310045402373426,0.5210221363838954,0.1090870517154612,1.1152594313625364,0.2149711018754133,0.4876080766678949,0.5337011273686736,True,5960.0
EPHB1_3,EPHB1,0.0505121713928091,1.051809665265691,0.5494513154072822,0.7311575198995043,0.4994057346605259,-0.0435474990278969,0.957387078055413,0.6247455138060795,0.8063994500064048,0.5421763812265131,False,7630.0
CACNA1C_3,CACNA1C,-0.0507471528557214,0.9505189761595554,0.5495379919564675,0.7311575198995043,0.5101025107710593,-0.1216663724293077,0.885443727669754,0.1817087909149782,0.4545791315586399,0.5280243063884225,True,5756.0
LOC609048_3,LOC609048,-0.0492210482672333,0.951970674970876,0.5503743961662211,0.7320755469090463,0.5125167137126727,-0.0316849679495153,0.9688117407585164,0.7168058759251223,0.8516359460725551,0.5141120972255537,True,7967.0
DMP1_3,DMP1,-0.0487885887731955,0.9523824527595024,0.5507336288849813,0.7323585490491773,0.515450898826326,0.0014340458758946,1.0014350746113745,0.9873601600307738,0.9945475544148368,0.5089150075957464,False,8723.0
ARHGAP44_3,ARHGAP44,0.0520296822504185,1.0534070095399743,0.5510224625177492,0.7324474537573302,0.5163422968355371,0.102803269283937,1.108273356216901,0.2797924122619465,0.5509863226447228,0.53282161989286,True,6297.0
REEP1_3,REEP1,0.0480836200291131,1.0492583906733786,0.5512121832819437,0.7324474537573302,0.5239934630812658,0.0614617239863731,1.0633897934276044,0.490707544795541,0.7155257287774001,0.5234668585592068,True,7191.0
PLD1_3,PLD1,-0.047254118090827,0.95384497752538,0.5512399536977668,0.7324474537573302,0.525479126429951,-0.0455471205809924,0.9554745789939084,0.6092973816582529,0.7948048286697793,0.5101143359718557,True,7596.0
LOC119878825,LOC119878825,0.0492644440347376,1.0504981119714731,0.5523010680146141,0.7336624176602206,0.5213935522210668,0.074465682685931,1.0773083725581163,0.3960509232622125,0.6446792513129908,0.5292236347645318,True,6835.0
ALDH1A2_3,ALDH1A2,0.0489121906928691,1.050128135667425,0.552725993132597,0.7338062783771627,0.5041969989600357,0.0441300562463529,1.0451182702091522,0.6166776264705843,0.8010881092109435,0.4910849924042536,True,7614.0
GPNMB_3,GPNMB,-0.0474925845748421,0.9536175445859384,0.552851794876186,0.7338062783771627,0.523473480909226,-0.0558596457709132,0.9456718556205552,0.5141379633465277,0.7325989788351777,0.5319421124170465,True,7275.0
GCNT1_3,GCNT1,0.0464580672900158,1.0475541513631146,0.5528768554263471,0.7338062783771627,0.5010399643440796,0.0389741395741306,1.0397435950903204,0.6415803601720362,0.8156373762675263,0.5041176940913089,True,7700.0
