,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
38_1016__Tumor,-32.715955404007424,13.567128337922112,2.7177236852056645,0.9172564078462053,3.3597026682671376,-9.02416751478591,-4.3988203304353,-2.507207661096694,-16.18682534290491,-1.7651588066454111
39_0701_tumor,-10.342109010003002,-34.44369870010695,-26.050748783311448,-6.734850714320656,-9.476465718851458,-2.516031702620839,6.441219776055315,-5.0371497812028405,-7.261873415838954,-7.72926561551684
39_1103__Tumor,-36.305439143376724,20.488093459277373,1.2594476339174965,-17.909903851636166,-10.391146971263455,-0.9027982168206992,-7.535873862647934,-8.676287709628923,-19.69351048534309,-6.563250214490311
3_0207_Tumor,26.80749049932502,-42.70624025031308,-5.1065945289986265,3.9772561087140055,-11.394891886403851,0.1256361916319932,6.422783771108043,-5.832963364662167,-1.174510035692663,-0.0739336159139392
3_0212__Tumor,-8.134494973067437,-4.826305231918492,-6.925963729290148,34.88478056401047,11.128745813011408,-10.479364858828188,-2.4183989343407624,8.576799884485135,5.604974403174806,-2.62415393479864
40_1101_tumor,17.66143449449341,-5.281734141030785,-10.41586870845727,-13.730268292151225,20.58889267792066,-11.378016694395745,-2.2684287214786494,-3.1682398670215814,8.487659107573062,-3.981241720474312
40_1107__Tumor,10.38711861801206,-37.58704894549419,-21.547398854031584,3.9911906466573503,-17.23832493174556,-7.190623316447536,-2.5548275320317466,-0.9366120264418142,-16.893685003965658,2.3080018717421744
41_1407__Tumor,21.833462275983067,43.511554884034325,-29.82634810315729,4.031127978170604,-2.514392210705111,-2.2549239009496196,15.579722435256123,-16.142660667609896,-4.9057771612124075,-4.297555768356422
41_2007_tumor,-28.58733664680509,33.59260578629366,-7.3001856614152985,15.052670531055464,-15.866911463207822,-4.785962098408122,-7.230758444556307,-3.901953009500355,22.12133681933899,-7.479515356199669
42_0715_tumor,18.656604255639213,-5.403824610788384,19.5453592244028,2.1473708147301576,5.104151774669513,61.658521521287064,-5.179586804863181,24.501086625872837,-0.5907672337774406,3.6661758422230157
42_1409__Tumor,-29.685358815929046,16.633962558629726,2.5910335384615766,-25.187390820252386,-6.0878783800203164,-5.64876531925889,5.280264483756479,5.664354297879115,-13.770445102816709,3.5976473819813415
43_1401_tumor,12.8551149350309,-20.104445427039185,6.558182575413212,5.096237597037643,-6.375723276861698,-4.263574521819206,-5.2326875890321585,-0.06641440023409087,13.761594368163273,14.394531320608662
43_1410__Tumor,-31.063861248015176,31.106815078732662,-3.8133628267356157,-8.987034356653774,-20.291561821512857,8.561742510922596,-37.81734996190098,-2.652966993865386,17.073152499870243,-12.239230866107041
44_0713_tumor,24.75958807895508,-23.625115357234005,-16.11052931823839,11.280971437811004,-11.15693976887997,-9.048067673247454,6.718701708825367,5.490704364240625,18.834066222164896,-0.5163551740710205
44_1412__Tumor,-29.84517607986889,28.28497710032655,10.839014099342538,-0.7287435703913946,-8.932959282747554,-4.072595417395878,14.2483782502661,-8.770491032271526,-6.67760157283156,5.614230356393476
45_1024_tumor,-2.2648188551782518,4.610994835479135,-33.9966476535015,-2.323311214718276,2.8659370878835664,20.07986322224397,8.985460213220318,16.810386132826494,5.452465799408158,-1.0092238717953745
46_1405_tumor,28.006608006092662,-17.902971049456713,23.162940412151176,-0.2458035614538906,20.12454541125685,3.7342342913565325,-6.938672730945279,2.5715181643446674,11.088806071055542,0.5501711112995916
46_1703__Tumor,-25.74354987650847,-0.1599762927477287,21.879221135196595,2.1549713377219053,-0.6989037866956863,3.216898343112733,4.23369415189028,-15.860853668151394,-8.170476205123217,12.364839191518056
47_1709__Tumor,100.18099354544107,-9.705846658071582,57.73461488713929,-4.523381918399749,-29.42914412645644,22.578398318929256,-6.387777847325768,-21.353613531306372,-12.227784895430014,-40.8444742947769
47_2321_tumor,19.717359357203527,14.886386054295222,13.298914764341308,1.5500755379513493,-23.416287664304235,-10.142208861016941,2.534780250946842,8.2252455950415,1.878362197864263,13.534967781863934
48_0705_tumor,9.685252104493516,22.901117179166818,-13.681683695788902,11.497003691043217,9.724288165544703,-14.735724913114133,-6.389731904400723,6.239865771093667,-5.843717734958006,5.4728968982835235
48_1712__Tumor,15.812653559845462,-29.16829811538301,-19.002029357503698,10.662608185687725,-4.416631718920652,-9.657409978468769,4.324977950563147,-2.0406842284463185,7.319894398706023,2.0286414541051205
49_1803__Tumor,34.73560646897122,11.095482387044841,-6.100123565736629,18.323617984123967,-8.153714833641562,-10.961431276384815,15.887573441251869,-12.327736273114004,9.313648228395873,-15.145057581007107
49_1903_tumor,-1.6078730884574737,27.40160289639365,-30.14912751834572,-14.310787933114604,-3.5330785500848183,-1.3180033842815673,-4.627945984995441,-8.945678866235841,-5.396302523463735,-9.508653978603489
4_0214__Tumor,-12.05493113435909,-0.32342444591505787,16.116996677229384,-6.682917486450965,9.930094225051493,6.415511420304976,4.496876641407566,5.750242932673588,17.980735126065486,-1.7019310407570125
4_0215_Tumor,-39.01085629353719,34.53476610271109,27.413949370417928,-1.2512425203655566,-15.976721727781241,7.611118395062559,-14.265002289966157,-2.476285355526305,6.563918232311102,3.439029206640818
50_0703_tumor,-17.464825374846583,0.9175787622244053,-9.142773194091358,20.281584162966638,9.206287489498274,-14.59648950530875,-10.696375298975203,-2.3362664086369618,1.5574073789005054,-0.8107731185238748
50_1805__Tumor,-21.7399314357084,1.5813884983399213,2.6724856794473353,15.49018846862056,9.0506150256436,-9.993543812988449,-2.7994771457959673,-4.281639770245908,-1.70137104003407,11.40474580534596
51_0803_tumor,26.121842574913885,4.193974607314475,-15.025522173464719,0.016543646046122382,16.00115329761199,4.522772371813931,4.294989227916761,-0.6514575066507289,-15.466901189748382,7.07216106397859
51_1902__Tumor,19.0877678966685,-2.390102367351515,-30.406396027345,12.775634572240408,20.840325207046284,58.85593629499709,-17.784902481900176,23.72229018155598,-25.619720901274427,4.376941563467258
52_2006__Tumor,32.46839461867756,19.094853141288613,-13.456983058229042,18.57479494286691,8.972138228626703,16.624509536625858,3.0444099656155874,-3.146692963228801,-1.9920315673651487,3.894154104266322
52_2317_tumor,10.55455996957523,-12.024632589488162,-22.79154925990709,-25.173541831202936,-2.0119734072717743,-12.419227414453898,1.718879851503903,23.62273914651069,-0.012050386387123718,-9.177338005108597
53_0717_tumor,-8.82847071063558,-16.243012007261246,-11.483743027821568,-1.1987926516101752,-12.857362495372199,5.9200877507678085,5.9034661385792315,-6.751346377070438,14.388568093725917,5.847850582381518
53_2011__Tumor,-26.631425661579893,-8.353418265426809,-7.265974950500932,5.202012802252091,5.5624303578266066,-1.0931233087782053,9.579592911749119,-12.387968915231971,1.2587108193633503,0.6317047482409586
54_1013_tumor,-7.7813473410900915,-36.257094246198555,-22.688075240286167,-16.224020537719195,5.651889695132074,5.008731693815434,-7.682590209389303,0.772540609675024,-12.950115499267442,-12.003278668700618
54_2303__Tumor,21.465751859554413,37.46411505005682,-34.39700564167128,0.40152395154694703,-7.245614754970704,-6.425188289403697,8.709245046241602,-13.573803246494078,-14.052856808508881,-3.674185824204451
55_2307_tumor,17.10903742707371,13.764940445191156,7.222920340154498,25.12402420493328,-2.419456299012971,-6.327757933521292,-13.306360622993619,-1.5978677264675423,-0.49839700334043074,6.22945797228578
55_2308__Tumor,28.28532263069962,35.41431416032109,-35.67373848428472,10.565418839656175,4.505911063414908,41.74644666994937,-10.29465305166118,10.20036809793302,0.8575863721481775,2.3679734161685415
56_1001_tumor,-5.86663453568494,-9.987355462600917,41.444189787411,7.1384155118447215,-7.543812995073641,16.469356690798467,17.590567977406344,-5.985488544805314,-1.233874886891229,-3.9586480890250986
57_0709_tumor,-24.494934264347293,-25.14266775262244,8.479874209853458,4.947582898235892,-6.862193686249787,9.423991560238255,13.739979893811586,8.282089878339022,0.2614469036480894,-22.5682751868659
58_1104_tumor,-42.09029099591202,21.907275137202852,11.108149623001282,22.87953017203647,2.624351539386522,2.9354799393333173,0.2930028466168253,4.875592776974849,-4.483051729345499,3.333284629902761
59_1003_tumor,-15.368864714456356,23.991607072577303,2.5360689043270046,-26.477246622686767,-8.245357228587766,-5.415483325068484,6.874940699788733,-2.3029949536753396,-5.9739333752586665,6.651113818693081
5_0220__Tumor,-1.5538031331093805,-0.11073577741164543,19.360490023537857,-24.77634854503458,24.088923890876657,-1.735315844034201,-21.29998531481105,-0.13272157414217112,1.1257415236634414,12.706321071940739
