endpoint,repeat,fold,module_label,model,c_index,error,n_train,n_test,train_events,test_events,n_module_genes_used,n_original_proliferation_genes_used,n_disjoint_proliferation_genes_used,module_pc1_explained_variance,original_proliferation_pc1_explained_variance,disjoint_proliferation_pc1_explained_variance,train_module_original_proliferation_correlation,train_module_disjoint_proliferation_correlation,residual_sd_before_standardization
DFI,19,5,M17,residual_to_disjoint_proliferation_and_weight,0.6163636363636363,,149,37,114,29,5,251,251,0.5204609620794398,0.6512064060915287,0.6512064060915287,0.24557350881238263,0.24557350881238263,0.9684780014590885
DFI,19,5,M20,module_only,0.5872727272727273,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,
DFI,19,5,M20,original_proliferation_only,0.5509090909090909,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,
DFI,19,5,M20,module_plus_original_proliferation,0.5818181818181818,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,
DFI,19,5,M20,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,
DFI,19,5,M20,module_plus_disjoint_proliferation,0.5818181818181818,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,
DFI,19,5,M20,residual_to_original_proliferation,0.5890909090909091,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,0.9979736576146998
DFI,19,5,M20,residual_to_disjoint_proliferation,0.5890909090909091,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,0.9979736576146998
DFI,19,5,M20,residual_to_disjoint_proliferation_and_weight,0.5836363636363636,,149,37,114,29,4,251,251,0.6275133441192122,0.6512064060915287,0.6512064060915287,0.06362844259557394,0.06362844259557394,0.9822352923204059
DFI,19,5,M23,module_only,0.5818181818181818,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,
DFI,19,5,M23,original_proliferation_only,0.5509090909090909,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,
DFI,19,5,M23,module_plus_original_proliferation,0.5854545454545454,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,
DFI,19,5,M23,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,
DFI,19,5,M23,module_plus_disjoint_proliferation,0.5854545454545454,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,
DFI,19,5,M23,residual_to_original_proliferation,0.5436363636363636,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,0.9354804710467886
DFI,19,5,M23,residual_to_disjoint_proliferation,0.5436363636363636,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,0.9354804710467886
DFI,19,5,M23,residual_to_disjoint_proliferation_and_weight,0.5290909090909091,,149,37,114,29,4,251,251,0.5571238582186598,0.6512064060915287,0.6512064060915287,0.3533783925059347,0.3533783925059347,0.9055387655479507
DFI,19,5,M24,module_only,0.6236363636363637,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,
DFI,19,5,M24,original_proliferation_only,0.5509090909090909,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,
DFI,19,5,M24,module_plus_original_proliferation,0.610909090909091,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,
DFI,19,5,M24,disjoint_proliferation_only,0.5509090909090909,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,
DFI,19,5,M24,module_plus_disjoint_proliferation,0.610909090909091,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,
DFI,19,5,M24,residual_to_original_proliferation,0.6072727272727273,,149,37,114,29,7,251,251,0.4043155972942491,0.6512064060915287,0.6512064060915287,0.32887043177776754,0.32887043177776754,0.9443750521388761
