analysis,module_label,endpoint,fold,n_module_genes,n_strict_symbol_concordant,n_strict_one_to_one,n_broad_transferable,n_manual_review,fraction_strict_symbol_concordant,fraction_strict_one_to_one,fraction_broad_transferable,n_high_or_medium_rna_evidence,strict_human_symbols,broad_human_symbols,module_transfer_qc_tier
nested_cv,M15,DFI,4.0,175,134,135,144,10,0.7657142857142857,0.7714285714285715,0.8228571428571428,13,TSPAN33;TRIP13;DNA2;PSAT1;POLE2;SPC25;DNPH1;MEX3A;MYBL2;ECT2;CENPK;FANCA;SRM;DLGAP5;FANCM;MIS18A;ALOX5;MCM5;E2F1;RCOR2;DSCC1;BUB1;PIK3IP1;CBX7;SUGCT;RECQL4;SERPING1;SKA3;DSN1;FAM83D;SCML2;E2F8;MAP1LC3C;RRM2;FAM107A;TYMS;GTSE1;CENPT;MTFR2;NIBAN1;CDCA8;GPRC5C;CDC6;E2F7;ACSS3;UBE2S;SPC24;FANCD2;DEPDC1;REXO5;ORC6;PRRT4;KIF18B;UBE2T;POLE;CCNB3;KIF22;TK1;KIF14;UHRF1;KIF15;PLK4;FAXDC2;KIF23;CDCA2;RBMS3;CENPI;CENPN;FAM180A;RACGAP1;HELLS;MCM2;KIF4A;CDC20;RAB30;TRIB3;CCNA2;MAB21L2;SFRP4;POLQ;SLC13A5;ITGBL1;EPHA2;ELOVL4;RAD51;TOP2A;PCLAF;NSMCE2;SPAG5;NCAPG;TPX2;CLSPN;HJURP;FKBP10;CENPA;NDC80;EPAS1;LHX2;ORC1;CENPH;MELK;DRAM1;ATAD2;RAI2;STON1;TONSL;CDCA3;PLK1;ESPL1;TTK;PKMYT1;CDK1;NMRAL1;SLCO3A1;MTURN;CENPF;C1S;PRR11;BUB1B;FN1;MCM3;SMO;MACROH2A2;LPAR1;POLR1C;C1RL;ASPM;RAD51AP1;SULT1C4;KIFC1;ST8SIA5;C1R;SH3D19;NALCN,TSPAN33;TRIP13;DNA2;PSAT1;POLE2;SPC25;DNPH1;MEX3A;MYBL2;ECT2;CENPK;CENPW;FANCA;SRM;DLGAP5;SHCBP1;FANCM;MIS18A;ALOX5;MCM5;E2F1;RCOR2;DSCC1;BUB1;PIK3IP1;CBX7;SUGCT;STMN1;RECQL4;SERPING1;SKA3;DSN1;FAM83D;SCML2;E2F8;MAP1LC3C;RRM2;FAM107A;TYMS;GTSE1;CENPT;MTFR2;MCM4;NIBAN1;CDCA8;GPRC5C;CDC6;E2F7;ACSS3;UBE2S;SPC24;FANCD2;DEPDC1;REXO5;ORC6;PRRT4;KIF18B;UBE2T;POLE;CDT1;CCNB3;KIF22;TK1;KIF14;UHRF1;KIF15;PLK4;FAXDC2;KIF23;SELENOP;CDCA2;RBMS3;CENPI;CENPN;FAM180A;RACGAP1;HELLS;CCNB2;NCAPH;MCM2;KIF4A;CDC20;RAB30;TRIB3;CCNA2;MAB21L2;SFRP4;POLQ;SLC13A5;ITGBL1;EPHA2;ELOVL4;RAD51;TOP2A;PCLAF;NSMCE2;SPAG5;NCAPG;TPX2;CLSPN;HJURP;FKBP10;CENPA;NDC80;EPAS1;LHX2;ORC1;CENPH;MELK;DRAM1;ATAD2;RAI2;STON1;CSRP1;TONSL;CDCA3;PLK1;ESPL1;TTK;PKMYT1;CDK1;NMRAL1;SLCO3A1;MTURN;CENPF;C1S;PRR11;BUB1B;FN1;MCM3;SMO;MACROH2A2;LPAR1;POLR1C;C1RL;ASPM;RAD51AP1;SULT1C4;KIFC1;TRIM2;ST8SIA5;C1R;SH3D19;NALCN,high_primary_transfer_readiness
nested_cv,M8,DFI,3.0,96,73,74,80,7,0.7604166666666666,0.7708333333333334,0.8333333333333334,10,ST6GALNAC3;MEX3A;TRIP13;DNA2;DNPH1;EPAS1;CBX7;DSCC1;RBM44;FANCA;NIBAN1;HSP90AA1;FAM180A;GAS6;RECQL4;POLE2;REXO5;PAPPA;TSPAN33;FANCM;CCNA2;HSPH1;PLK4;MCM5;E2F7;MIS18A;SMO;POLE;ECT2;SERPING1;PDLIM5;UBE2S;SIVA1;E2F1;MCM2;TONSL;CENPK;APCDD1;RHPN2;HELLS;DSN1;SCML2;FANCD2;ACSS3;ATAD2;CDCA8;DNAJB1;POLR1C;BUB1;FN1;UHRF1;SUGCT;PSAT1;MACROH2A2;NMRAL1;CDC6;NSMCE2;RCOR2;CEP72;DEPDC1;EPHA2;ARL4D;ORC6;ADAMTS2;SPC24;MCM3;IGF2BP1;SIM2;SLC7A5;BRCA1;DLGAP5;LHX2;SPC25,ST6GALNAC3;MEX3A;TRIP13;DNA2;CSRP1;DNPH1;EPAS1;CBX7;DSCC1;RBM44;FANCA;SLC5A6;NIBAN1;HSP90AA1;FAM180A;GAS6;RECQL4;SERF1A;CENPW;POLE2;REXO5;PAPPA;TSPAN33;FANCM;CCNA2;HSPH1;PLK4;MCM5;E2F7;MIS18A;SMO;POLE;ECT2;SERPING1;PDLIM5;UBE2S;SIVA1;E2F1;MCM2;TONSL;CENPK;APCDD1;SHCBP1;RHPN2;HELLS;DSN1;SCML2;FANCD2;ACSS3;ATAD2;CDCA8;DNAJB1;POLR1C;BUB1;FN1;UHRF1;SUGCT;PSAT1;MACROH2A2;NMRAL1;CDC6;NSMCE2;RCOR2;CEP72;DEPDC1;EPHA2;GALK2;ARL4D;ORC6;ADAMTS2;SPC24;MCM3;IGF2BP1;SIM2;CDT1;SLC7A5;BRCA1;DLGAP5;LHX2;SPC25,high_primary_transfer_readiness
nested_cv,M26,DFI,5.0,128,97,97,105,8,0.7578125,0.7578125,0.8203125,14,CBX7;SUGCT;MEX3A;TRIP13;RCOR2;DNA2;TSPAN33;SKA3;PRRT4;DSCC1;POLE2;SPC24;SULT1C4;ACSS3;ALOX5;SMO;SH3D19;FN1;ECT2;NIBAN1;UBE2S;MCM5;UHRF1;CDCA8;E2F1;FANCD2;DLGAP5;DNPH1;FANCA;MCM2;CA11;MYBL2;FANCM;RECQL4;E2F8;GTSE1;CCNB3;POLE;SCML2;ITGBL1;ORC6;MIS18A;ORC1;LHX2;EPAS1;NCAPG;GPRIN1;NSMCE2;BUB1;ST8SIA5;DEPDC1;PLK4;CDCA2;CLTCL1;KIF15;CDC20;GINS4;KIF22;CCNA2;C1S;E2F7;ELOVL4;KIF4A;NMRAL1;DSN1;CENPT;SERPING1;FAM83D;UBE2T;FAXDC2;RBM44;EVI2A;CLSPN;PSAT1;EPHA2;DNAJB1;GPRC5C;SCTR;CENPI;POLQ;TOP2A;TONSL;CYS1;REXO5;HELLS;SFRP4;RRM2;SIVA1;FAM180A;TK1;CENPK;ARL4D;TYMS;GPR156;KIF18B;ATAD2;HSPH1,CBX7;SUGCT;MEX3A;TRIP13;RCOR2;DNA2;TSPAN33;SKA3;PRRT4;DSCC1;POLE2;SPC24;SULT1C4;MCM4;ACSS3;ALOX5;SMO;CDT1;SH3D19;FN1;ECT2;CENPW;NIBAN1;UBE2S;MCM5;UHRF1;CDCA8;E2F1;FANCD2;DLGAP5;DNPH1;FANCA;MCM2;CA11;MYBL2;SHCBP1;FANCM;STMN1;RECQL4;E2F8;GTSE1;CCNB3;POLE;SCML2;CSRP1;SERF1A;ITGBL1;ORC6;MIS18A;ORC1;LHX2;EPAS1;NCAPG;GPRIN1;NSMCE2;BUB1;ST8SIA5;DEPDC1;PLK4;CDCA2;CLTCL1;KIF15;CDC20;GINS4;KIF22;CCNA2;C1S;E2F7;ELOVL4;KIF4A;SLC5A6;NMRAL1;DSN1;CENPT;SERPING1;FAM83D;UBE2T;FAXDC2;RBM44;EVI2A;CLSPN;PSAT1;EPHA2;DNAJB1;GPRC5C;SCTR;CENPI;POLQ;TOP2A;TONSL;CYS1;REXO5;HELLS;SFRP4;RRM2;SIVA1;FAM180A;TK1;CENPK;ARL4D;TYMS;GPR156;KIF18B;ATAD2;HSPH1,high_primary_transfer_readiness
nested_cv,M13,DFI,2.0,16,12,13,14,2,0.75,0.8125,0.875,5,MEX3A;BARX1;LRFN4;SLC13A5;SMO;NETO1;PRRT4;RETSAT;SAMD5;GSC;SIM2;GAREM2,MEX3A;BARX1;CSRP2;LRFN4;SLC13A5;SMO;NETO1;TTC19;PRRT4;RETSAT;SAMD5;GSC;SIM2;GAREM2,high_primary_transfer_readiness
nested_cv,M16,DFI,3.0,8,6,7,7,1,0.75,0.875,0.875,2,ADAMTS4;NR2F1;PGAP1;ADAMTS1;YES1;GJC1,TTC19;ADAMTS4;NR2F1;PGAP1;ADAMTS1;YES1;GJC1,high_primary_transfer_readiness
nested_cv,M14,DFI,4.0,4,3,3,4,1,0.75,0.75,1.0,1,SIVA1;H2AX;ABHD2,SERF1A;SIVA1;H2AX;ABHD2,high_primary_transfer_readiness
nested_cv,M3,DFI,2.0,5,5,5,5,0,1.0,1.0,1.0,0,STUM;HHIP;ST6GALNAC3;SLC6A11;CHST2,STUM;HHIP;ST6GALNAC3;SLC6A11;CHST2,high_sensitivity_transfer_readiness
nested_cv,M7,DFI,1.0,4,4,4,4,0,1.0,1.0,1.0,0,KCTD12;MAB21L2;SERTM1;RBMS3,KCTD12;MAB21L2;SERTM1;RBMS3,high_sensitivity_transfer_readiness
nested_cv,M19,DFI,3.0,7,6,6,7,1,0.8571428571428571,0.8571428571428571,1.0,0,STUM;DRD1;STC1;CHST2;IGFBP3;DTX1,STUM;DRD1;TSPAN15;STC1;CHST2;IGFBP3;DTX1,high_sensitivity_transfer_readiness
nested_cv,M16,DFI,4.0,6,5,5,5,0,0.8333333333333334,0.8333333333333334,0.8333333333333334,0,PGAP1;GPRIN1;YES1;SLC6A11;IGFBP5,PGAP1;GPRIN1;YES1;SLC6A11;IGFBP5,high_sensitivity_transfer_readiness
