gene,gene_symbol_clean,is_anchor_gene,correlation_with_anchor_score
SNRPB_3,SNRPB,False,0.7263651370481604
HNRNPU_3,HNRNPU,False,0.7259071103008412
HMMR_3,HMMR,False,0.7257799322493759
RFC4_3,RFC4,False,0.7250853851214784
KIF24_3,KIF24,False,0.7241216493356669
EIF3B_3,EIF3B,False,0.7239155599560902
DCTPP1_3,DCTPP1,False,0.72373511336774
NUP43_3,NUP43,False,0.7216070715945396
FANCA_3,FANCA,False,0.7192906006294995
CENPU_3,CENPU,False,0.7185405598275747
MTHFD1_3,MTHFD1,False,0.7179025970330316
LIG1_3,LIG1,False,0.7176471281025701
CENPO_3,CENPO,False,0.7174320998810764
DNPH1_3,DNPH1,False,0.7156177568378359
MASTL_3,MASTL,False,0.7143508877161834
ILF2_3,ILF2,False,0.7137075568690131
TCP1_3,TCP1,False,0.7132013937535877
CDC25A_3,CDC25A,False,0.7132009841066557
CKAP2_3,CKAP2,False,0.713065441260567
MND1_3,MND1,False,0.7128326621997972
NOP56_3,NOP56,False,0.7117715286389602
BRIP1_3,BRIP1,False,0.7117170652664903
CENPW_3,CENPW,False,0.7104790792295139
CIP2A_3,CIP2A,False,0.7096023617321929
CKS1B_3,CKS1B,False,0.708307321190018
EIF2S1_3,EIF2S1,False,0.7079476675118842
SRSF2_3,SRSF2,False,0.7078793162573918
PPIH_3,PPIH,False,0.707633036587228
AAAS_3,AAAS,False,0.7073544668726782
INTS7_3,INTS7,False,0.7066052023284796
CCT3_3,CCT3,False,0.7063391720868192
KIF18A_3,KIF18A,False,0.7060289593767977
TUBB4B_3,TUBB4B,False,0.7041718760990875
FEN1_3,FEN1,False,0.7040234553262035
SF3B4_3,SF3B4,False,0.7037815131940298
PPM1G_3,PPM1G,False,0.7031437644389905
ERH_3,ERH,False,0.7027632944996205
GINS4_3,GINS4,False,0.7026499714010079
RPN2_3,RPN2,False,0.700565125740473
CCT5_3,CCT5,False,0.6992391449339
SPC24_3,SPC24,False,0.6986092436605514
GMNN_3,GMNN,False,0.698027747295503
TARDBP_3,TARDBP,False,0.6974521354710855
DIAPH3_3,DIAPH3,False,0.6969041867806388
H2AZ1_3,H2AZ1,False,0.6961786618517768
CENPQ_3,CENPQ,False,0.6956099961471589
RSL1D1_3,RSL1D1,False,0.6943215875053991
