analysis_set,module_label,subspace_name,n_ranks,median_capture,minimum_capture,maximum_capture,median_random_percentile,maximum_empirical_q_global,fraction_ranks_global_q_lt_0_05,median_module_coverage_fraction
four_cohort_detection_aware,M11,gse39055_shared,3,0.020284308597000308,0.017572767468183894,0.025243268918936954,0.7595,0.4929353505065649,0.0,0.7142857142857143
four_cohort_detection_aware,M11,partially_shared,3,0.0920218087848371,0.00035098603567761425,0.09633266180622026,1.0,1.0,0.6666666666666666,0.7142857142857143
four_cohort_detection_aware,M11,shared_non_ffpe_only,3,0.0920218087848371,0.00035098603567761425,0.09633266180622026,1.0,1.0,0.6666666666666666,0.7142857142857143
four_cohort_detection_aware,M11,shared_two_or_more,3,0.11514547680084947,0.020584671005751985,0.11751218033817026,1.0,0.5772827871778395,0.6666666666666666,0.7142857142857143
four_cohort_detection_aware,M11,ubiquitous_all_groups,3,0.020284308597000308,0.017572767468183894,0.025243268918936954,0.7595,0.4929353505065649,0.0,0.7142857142857143
four_cohort_detection_aware,M34,all_retained,3,0.5235802618914179,0.5001704320701909,0.5266810820498895,1.0,0.0009281073748839865,1.0,0.30864197530864196
four_cohort_detection_aware,M34,gse39055_shared,3,0.46327445941813444,0.44365982993681186,0.46479761801976643,1.0,0.0009281073748839865,1.0,0.30864197530864196
four_cohort_detection_aware,M34,partially_shared,3,0.04172913587443065,0.02544179721621416,0.05490575139737141,0.9885,0.17854035944990468,0.6666666666666666,0.30864197530864196
four_cohort_detection_aware,M34,shared_non_ffpe_only,3,0.04172913587443065,0.02544179721621416,0.05490575139737141,0.9885,0.17854035944990468,0.6666666666666666,0.30864197530864196
four_cohort_detection_aware,M34,shared_two_or_more,3,0.5053071959380304,0.5001704320701909,0.5114450619819702,1.0,0.0009281073748839865,1.0,0.30864197530864196
four_cohort_detection_aware,M34,ubiquitous_all_groups,3,0.46327445941813444,0.44365982993681186,0.46479761801976643,1.0,0.0009281073748839865,1.0,0.30864197530864196
four_cohort_detection_aware,M40,all_retained,3,0.4867205857762865,0.4859523385887246,0.48815739329485025,1.0,0.0009281073748839865,1.0,0.2882882882882883
four_cohort_detection_aware,M40,gse39055_shared,3,0.46300259079987394,0.42489151498927513,0.48579192073369193,1.0,0.0009281073748839865,1.0,0.2882882882882883
four_cohort_detection_aware,M40,partially_shared,3,0.02026659825484619,0.005880360619879887,0.06938629243851731,0.914,0.5772827871778395,0.3333333333333333,0.2882882882882883
four_cohort_detection_aware,M40,shared_non_ffpe_only,3,0.02026659825484619,0.005880360619879887,0.06938629243851731,0.914,0.5772827871778395,0.3333333333333333,0.2882882882882883
four_cohort_detection_aware,M40,shared_two_or_more,3,0.48288868297178644,0.4782613869213124,0.4859523385887246,1.0,0.0009281073748839865,1.0,0.2882882882882883
four_cohort_detection_aware,M40,ubiquitous_all_groups,3,0.46300259079987394,0.42489151498927513,0.48579192073369193,1.0,0.0009281073748839865,1.0,0.2882882882882883
three_cohort_no_ffpe,M11,all_retained,3,0.0804820191585559,0.012729312529965705,0.08393439040631842,1.0,0.9078398300849575,0.6666666666666666,1.0
three_cohort_no_ffpe,M11,partially_shared,2,0.000873477586029362,1.721197684000224e-05,0.0017297431952187218,0.406,0.9723865340057244,0.0,1.0
three_cohort_no_ffpe,M11,shared_non_ffpe_only,3,0.0804820191585559,0.012729312529965705,0.08393439040631842,1.0,0.9078398300849575,0.6666666666666666,1.0
three_cohort_no_ffpe,M11,shared_two_or_more,3,0.0804820191585559,0.012729312529965705,0.08393439040631842,1.0,0.9078398300849575,0.6666666666666666,1.0
