endpoint,module_label,model,n_valid_folds,mean_c_index,std_c_index,median_c_index,q25_c_index,q75_c_index,min_c_index,max_c_index,fraction_above_0_50,fraction_above_0_55,mean_train_module_original_proliferation_correlation,mean_train_module_disjoint_proliferation_correlation,mean_n_module_genes_used,mean_n_disjoint_proliferation_genes_used,mean_c_index__disjoint_proliferation_only,mean_c_index__module_only,mean_c_index__module_plus_disjoint_proliferation,mean_c_index__module_plus_original_proliferation,mean_c_index__original_proliferation_only,mean_c_index__residual_to_disjoint_proliferation,mean_c_index__residual_to_disjoint_proliferation_and_weight,mean_c_index__residual_to_original_proliferation,delta_disjoint_residual_vs_original_residual,delta_joint_module_vs_disjoint_proliferation_only
DFI,M20,module_plus_disjoint_proliferation,100,0.6130507557967345,0.061627743298638744,0.618845764952944,0.5827045292639946,0.6495763666607023,0.4503968253968254,0.75591985428051,0.95,0.83,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M20,module_plus_original_proliferation,100,0.6130507557967345,0.061627743298638744,0.618845764952944,0.5827045292639946,0.6495763666607023,0.4503968253968254,0.75591985428051,0.95,0.83,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M20,original_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M20,residual_to_disjoint_proliferation,100,0.5633597284008297,0.049596583788865035,0.5665207627602482,0.5355230541343269,0.5964957195857026,0.42946058091286304,0.6771037181996086,0.89,0.63,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M20,residual_to_disjoint_proliferation_and_weight,100,0.5469654942920079,0.05107135360200184,0.55312702699125,0.5124021587619286,0.5811429843885447,0.4277673545966229,0.6629001883239172,0.82,0.52,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M20,residual_to_original_proliferation,100,0.5633597284008297,0.049596583788865035,0.5665207627602482,0.5355230541343269,0.5964957195857026,0.42946058091286304,0.6771037181996086,0.89,0.63,0.103555579191541,0.103555579191541,4.0,251.0,0.607753071873709,0.5732035960505318,0.6130507557967345,0.6130507557967345,0.607753071873709,0.5633597284008297,0.5469654942920079,0.5633597284008297,0.0,0.005297683923025542
DFI,M23,disjoint_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,module_only,100,0.6207378294101953,0.053786599810847026,0.6184632886261041,0.5804314329738058,0.6564358174014826,0.5040160642570282,0.7485714285714286,1.0,0.91,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,module_plus_disjoint_proliferation,100,0.631585853816728,0.062314745264854754,0.6305739841037228,0.5894980932066447,0.6752688899998611,0.4738955823293173,0.7771428571428571,0.97,0.9,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,module_plus_original_proliferation,100,0.631585853816728,0.062314745264854754,0.6305739841037228,0.5894980932066447,0.6752688899998611,0.4738955823293173,0.7771428571428571,0.97,0.9,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,original_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,residual_to_disjoint_proliferation,100,0.5827648978879462,0.04965033021970283,0.5767108450612791,0.5485352851723735,0.6158232147243031,0.4364406779661017,0.6945454545454546,0.95,0.73,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,residual_to_disjoint_proliferation_and_weight,100,0.5658236673089636,0.05083457185416258,0.5689130789652299,0.5309446660019941,0.5992797102359239,0.4004237288135593,0.700990099009901,0.9,0.63,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M23,residual_to_original_proliferation,100,0.5827648978879462,0.04965033021970283,0.5767108450612791,0.5485352851723735,0.6158232147243031,0.4364406779661017,0.6945454545454546,0.95,0.73,0.4030391022556602,0.4030391022556602,4.0,251.0,0.607753071873709,0.6207378294101953,0.631585853816728,0.631585853816728,0.607753071873709,0.5827648978879462,0.5658236673089636,0.5827648978879462,0.0,0.023832781943019077
DFI,M24,disjoint_proliferation_only,100,0.607753071873709,0.06119928484101079,0.6066388391969787,0.5688897411711049,0.6422630635832045,0.46184738955823296,0.7449908925318761,0.94,0.84,0.38779163257458527,0.38779163257458527,7.0,251.0,0.607753071873709,0.6255148144248533,0.628362028895247,0.628362028895247,0.607753071873709,0.6068549770502143,0.5969496415832031,0.6068549770502143,0.0,0.020608957021537977
DFI,M24,module_only,100,0.6255148144248533,0.05993493353814851,0.6271743466985837,0.5847681479552842,0.6683711148214744,0.4722222222222222,0.7764227642276422,0.98,0.87,0.38779163257458527,0.38779163257458527,7.0,251.0,0.607753071873709,0.6255148144248533,0.628362028895247,0.628362028895247,0.607753071873709,0.6068549770502143,0.5969496415832031,0.6068549770502143,0.0,0.020608957021537977
DFI,M24,module_plus_disjoint_proliferation,100,0.628362028895247,0.06022918940638392,0.6212663508085281,0.5870443368979783,0.6788498405680863,0.4662698412698413,0.7430830039525692,0.97,0.92,0.38779163257458527,0.38779163257458527,7.0,251.0,0.607753071873709,0.6255148144248533,0.628362028895247,0.628362028895247,0.607753071873709,0.6068549770502143,0.5969496415832031,0.6068549770502143,0.0,0.020608957021537977
