initial_factors,module_label,subspace_name,analysis_set_a,analysis_set_b,capture_a,capture_b,capture_difference_a_minus_b
12,M40,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.4782613869213124,0.6709598513864173,-0.1926984644651049
12,M40,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.011093827699720176,0.42489151498927513,-0.41379768728955496
12,M40,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.011093827699720176,0.6701196030045725,-0.6590257753048523
12,M40,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.42489151498927513,0.6701196030045725,-0.24522808801529739
12,M40,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6095698992284119,0.06938629243851731,0.5401836067898945
12,M40,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6095698992284119,0.007707548700074082,0.6018623505283378
12,M40,partially_shared,four_cohort_detection_aware,three_cohort_no_ffpe,0.06938629243851731,0.007707548700074082,0.061678743738443224
12,M40,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6095698992284119,0.06938629243851731,0.5401836067898945
12,M40,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6095698992284119,0.6709598513864173,-0.06138995215800547
12,M40,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.06938629243851731,0.6709598513864173,-0.6015735589479
12,M40,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.011093827699720176,0.42489151498927513,-0.41379768728955496
16,M34,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6461472143241483,0.5266810820498895,0.11946613227425884
16,M34,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6461472143241483,0.6167826363298136,0.029364577994334784
16,M34,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.5266810820498895,0.6167826363298136,-0.09010155427992406
16,M34,shared_two_or_more,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6461472143241483,0.5053071959380304,0.14084001838611793
16,M34,shared_two_or_more,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6461472143241483,0.6167826363298136,0.029364577994334784
16,M34,shared_two_or_more,four_cohort_detection_aware,three_cohort_no_ffpe,0.5053071959380304,0.6167826363298136,-0.11147544039178314
16,M34,ubiquitous_all_groups,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6041522144525552,0.46327445941813444,0.14087775503442074
16,M34,ubiquitous_all_groups,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.6041522144525552,0.6167747826456792,-0.012622568193124017
16,M34,ubiquitous_all_groups,four_cohort_detection_aware,three_cohort_no_ffpe,0.46327445941813444,0.6167747826456792,-0.15350032322754475
16,M34,partially_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.11062930672145377,0.02544179721621416,0.08518750950523961
16,M34,partially_shared,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.11062930672145377,0.011259963239349177,0.09936934348210459
16,M34,partially_shared,four_cohort_detection_aware,three_cohort_no_ffpe,0.02544179721621416,0.011259963239349177,0.014181833976864983
16,M34,shared_non_ffpe_only,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.11062785355551757,0.02544179721621416,0.08518605633930341
16,M34,shared_non_ffpe_only,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.11062785355551757,0.6167826363298136,-0.506154782774296
16,M34,shared_non_ffpe_only,four_cohort_detection_aware,three_cohort_no_ffpe,0.02544179721621416,0.6167826363298136,-0.5913408391135994
16,M34,gse39055_shared,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.6042410565003046,0.46327445941813444,0.14096659708217013
16,M11,all_retained,four_cohort_core_plus_frozen,four_cohort_detection_aware,0.11346979267986256,0.12148707060136499,-0.008017277921502433
16,M11,all_retained,four_cohort_core_plus_frozen,three_cohort_no_ffpe,0.11346979267986256,0.08393439040631842,0.029535402273544134
16,M11,all_retained,four_cohort_detection_aware,three_cohort_no_ffpe,0.12148707060136499,0.08393439040631842,0.03755268019504657
