endpoint,fold,method,method_c_index,method_n_genes,random_source,matched_random_panel_size,random_mean_c_index,random_median_c_index,random_q90_c_index,random_max_c_index,method_percentile_vs_random,method_minus_random_mean,method_minus_random_median
DFI,5,elastic_net_cox,0.5793499043977055,25,train_variance_top5000,25,0.6186042065009559,0.6223709369024857,0.6940726577437859,0.722753346080306,0.28,-0.03925430210325043,-0.04302103250478018
DFI,5,elastic_net_cox,0.5793499043977055,25,train_screen_top1000,25,0.6360420650095603,0.632887189292543,0.7154875717017208,0.762906309751434,0.17,-0.05669216061185478,-0.053537284894837445
DFI,5,elastic_net_cox,0.5793499043977055,25,train_screen_top500,25,0.6340535372848949,0.6338432122370937,0.6906309751434034,0.7495219885277247,0.14,-0.05470363288718938,-0.054493307839388216
OS,1,univariate_top10,0.683206106870229,10,train_variance_top5000,10,0.6234541984732824,0.6288167938931297,0.6965648854961832,0.7881679389312977,0.85,0.05975190839694655,0.05438931297709926
OS,1,univariate_top10,0.683206106870229,10,train_screen_top1000,10,0.6633015267175573,0.657442748091603,0.7156488549618321,0.7576335877862596,0.68,0.019904580152671714,0.02576335877862601
OS,1,univariate_top10,0.683206106870229,10,train_screen_top500,10,0.6792175572519085,0.6812977099236641,0.7234732824427481,0.7557251908396947,0.51,0.003988549618320514,0.001908396946564861
OS,1,conditional_cox_mb,0.6698473282442748,4,train_variance_top5000,4,0.6018129770992366,0.6001908396946565,0.6742366412213741,0.7538167938931297,0.87,0.0680343511450382,0.06965648854961837
OS,1,conditional_cox_mb,0.6698473282442748,4,train_screen_top1000,4,0.6504198473282443,0.6526717557251909,0.6965648854961832,0.7366412213740458,0.73,0.019427480916030526,0.01717557251908397
OS,1,conditional_cox_mb,0.6698473282442748,4,train_screen_top500,4,0.6597900763358778,0.6641221374045801,0.7101145038167939,0.7442748091603053,0.61,0.010057251908397014,0.005725190839694694
OS,1,conditional_cox_mb_plus_clinical,0.6469465648854962,4,train_variance_top5000,4,0.6018129770992366,0.6001908396946565,0.6742366412213741,0.7538167938931297,0.75,0.04513358778625953,0.0467557251908397
OS,1,conditional_cox_mb_plus_clinical,0.6469465648854962,4,train_screen_top1000,4,0.6504198473282443,0.6526717557251909,0.6965648854961832,0.7366412213740458,0.44,-0.003473282442748138,-0.005725190839694694
OS,1,conditional_cox_mb_plus_clinical,0.6469465648854962,4,train_screen_top500,4,0.6597900763358778,0.6641221374045801,0.7101145038167939,0.7442748091603053,0.35,-0.01284351145038165,-0.01717557251908397
OS,1,iamb_alpha0.10,0.6469465648854962,7,train_variance_top5000,7,0.6154007633587786,0.6202290076335878,0.6916030534351145,0.7290076335877863,0.68,0.0315458015267176,0.026717557251908386
OS,1,iamb_alpha0.10,0.6469465648854962,7,train_screen_top1000,7,0.656736641221374,0.657442748091603,0.7043893129770993,0.7366412213740458,0.41,-0.009790076335877806,-0.01049618320610679
OS,1,iamb_alpha0.10,0.6469465648854962,7,train_screen_top500,7,0.6652099236641221,0.6736641221374046,0.7120229007633588,0.7538167938931297,0.32,-0.01826335877862595,-0.026717557251908386
OS,1,gsmb_alpha0.10,0.6908396946564885,10,train_variance_top5000,10,0.6234541984732824,0.6288167938931297,0.6965648854961832,0.7881679389312977,0.87,0.0673854961832061,0.06202290076335881
OS,1,gsmb_alpha0.10,0.6908396946564885,10,train_screen_top1000,10,0.6633015267175573,0.657442748091603,0.7156488549618321,0.7576335877862596,0.71,0.02753816793893127,0.033396946564885566
OS,1,gsmb_alpha0.10,0.6908396946564885,10,train_screen_top500,10,0.6792175572519085,0.6812977099236641,0.7234732824427481,0.7557251908396947,0.61,0.011622137404580068,0.009541984732824416
OS,1,elastic_net_cox,0.7347328244274809,10,train_variance_top5000,10,0.6234541984732824,0.6288167938931297,0.6965648854961832,0.7881679389312977,0.98,0.11127862595419846,0.10591603053435117
OS,1,elastic_net_cox,0.7347328244274809,10,train_screen_top1000,10,0.6633015267175573,0.657442748091603,0.7156488549618321,0.7576335877862596,0.97,0.07143129770992362,0.07729007633587792
OS,1,elastic_net_cox,0.7347328244274809,10,train_screen_top500,10,0.6792175572519085,0.6812977099236641,0.7234732824427481,0.7557251908396947,0.94,0.055515267175572425,0.05343511450381677
OS,2,univariate_top10,0.465324384787472,10,train_variance_top5000,10,0.5624608501118569,0.5615212527964206,0.6628635346756153,0.7516778523489933,0.13,-0.09713646532438486,-0.09619686800894861
OS,2,univariate_top10,0.465324384787472,10,train_screen_top1000,10,0.5621252796420583,0.5659955257270693,0.6487695749440716,0.6868008948545862,0.08,-0.09680089485458626,-0.10067114093959734
OS,2,univariate_top10,0.465324384787472,10,train_screen_top500,10,0.5600223713646533,0.558165548098434,0.6263982102908278,0.6957494407158836,0.05,-0.09469798657718126,-0.09284116331096198
OS,2,conditional_cox_mb,0.4272930648769575,8,train_variance_top5000,8,0.5506040268456376,0.5604026845637584,0.6447427293064877,0.6957494407158836,0.07,-0.12331096196868008,-0.1331096196868009
OS,2,conditional_cox_mb,0.4272930648769575,8,train_screen_top1000,8,0.567158836689038,0.5615212527964206,0.648993288590604,0.7024608501118568,0.0,-0.13986577181208049,-0.13422818791946312
OS,2,conditional_cox_mb,0.4272930648769575,8,train_screen_top500,8,0.5625279642058165,0.5659955257270693,0.6427293064876959,0.6890380313199105,0.03,-0.13523489932885902,-0.13870246085011184
OS,2,conditional_cox_mb_plus_clinical,0.4205816554809843,8,train_variance_top5000,8,0.5506040268456376,0.5604026845637584,0.6447427293064877,0.6957494407158836,0.05,-0.13002237136465328,-0.1398210290827741
OS,2,conditional_cox_mb_plus_clinical,0.4205816554809843,8,train_screen_top1000,8,0.567158836689038,0.5615212527964206,0.648993288590604,0.7024608501118568,0.0,-0.1465771812080537,-0.14093959731543632
OS,2,conditional_cox_mb_plus_clinical,0.4205816554809843,8,train_screen_top500,8,0.5625279642058165,0.5659955257270693,0.6427293064876959,0.6890380313199105,0.03,-0.14194630872483222,-0.14541387024608504
OS,2,iamb_alpha0.10,0.4228187919463087,17,train_variance_top5000,15,0.548076062639821,0.5447427293064877,0.6422818791946309,0.7136465324384788,0.06,-0.12525727069351228,-0.12192393736017898
OS,2,iamb_alpha0.10,0.4228187919463087,17,train_screen_top1000,15,0.5671140939597317,0.5637583892617449,0.639821029082774,0.6733780760626398,0.01,-0.14429530201342294,-0.1409395973154362
OS,2,iamb_alpha0.10,0.4228187919463087,17,train_screen_top500,15,0.5577404921700224,0.5760626398210291,0.619910514541387,0.6644295302013423,0.01,-0.1349217002237137,-0.1532438478747204
OS,2,gsmb_alpha0.10,0.4563758389261745,15,train_variance_top5000,15,0.548076062639821,0.5447427293064877,0.6422818791946309,0.7136465324384788,0.12,-0.0917002237136465,-0.0883668903803132
OS,2,gsmb_alpha0.10,0.4563758389261745,15,train_screen_top1000,15,0.5671140939597317,0.5637583892617449,0.639821029082774,0.6733780760626398,0.01,-0.11073825503355716,-0.10738255033557043
OS,2,gsmb_alpha0.10,0.4563758389261745,15,train_screen_top500,15,0.5577404921700224,0.5760626398210291,0.619910514541387,0.6644295302013423,0.08,-0.10136465324384791,-0.11968680089485462
OS,2,elastic_net_cox,0.4340044742729306,25,train_variance_top5000,25,0.5352796420581655,0.5413870246085011,0.6270693512304252,0.7293064876957495,0.08,-0.10127516778523488,-0.10738255033557048
OS,2,elastic_net_cox,0.4340044742729306,25,train_screen_top1000,25,0.5365100671140939,0.5357941834451901,0.6378076062639821,0.6868008948545862,0.08,-0.10250559284116328,-0.10178970917225955
OS,2,elastic_net_cox,0.4340044742729306,25,train_screen_top500,25,0.5484563758389261,0.5514541387024608,0.6154362416107383,0.7136465324384788,0.03,-0.11445190156599555,-0.11744966442953025
OS,3,univariate_top10,0.4827586206896552,10,train_variance_top5000,10,0.532088122605364,0.5316091954022989,0.6149425287356322,0.6896551724137931,0.18,-0.049329501915708784,-0.0488505747126437
OS,3,univariate_top10,0.4827586206896552,10,train_screen_top1000,10,0.5265134099616858,0.5258620689655172,0.603448275862069,0.6494252873563219,0.24,-0.043754789272030636,-0.043103448275862044
OS,3,univariate_top10,0.4827586206896552,10,train_screen_top500,10,0.531992337164751,0.5277777777777778,0.5957854406130269,0.6685823754789272,0.17,-0.049233716475095834,-0.0450191570881226
OS,3,conditional_cox_mb,0.5517241379310345,5,train_variance_top5000,5,0.5286781609195403,0.5335249042145593,0.6214559386973181,0.7241379310344828,0.61,0.023045977011494134,0.01819923371647514
OS,3,conditional_cox_mb,0.5517241379310345,5,train_screen_top1000,5,0.531896551724138,0.5383141762452107,0.5963601532567051,0.685823754789272,0.68,0.019827586206896508,0.013409961685823757
