endpoint,fold,method,observed_c_index,observed_n_modules,observed_n_module_genes,random_source,random_mean_c_index,random_median_c_index,random_q75_c_index,random_q90_c_index,random_q95_c_index,random_max_c_index,observed_percentile_vs_random,observed_minus_random_mean,observed_minus_random_median
DFI,4,observed_train_screened_modules,0.5762004175365344,8,285,train_screen_top1000,0.5466249130132219,0.5490605427974948,0.55741127348643,0.5707724425887265,0.5851774530271399,0.592901878914405,0.9,0.02957550452331248,0.02713987473903956
DFI,4,observed_train_screened_modules,0.5762004175365344,8,285,train_screen_top500,0.5559498956158663,0.5594989561586639,0.5741127348643006,0.5782881002087683,0.5782881002087683,0.5866388308977035,0.8666666666666667,0.02025052192066812,0.01670146137787054
DFI,5,observed_train_screened_modules,0.7170172084130019,10,272,train_variance_top5000,0.6732313575525812,0.6816443594646271,0.7074569789674953,0.7269598470363289,0.7346080305927342,0.739961759082218,0.8333333333333334,0.04378585086042064,0.03537284894837478
DFI,5,observed_train_screened_modules,0.7170172084130019,10,272,train_screen_top1000,0.696940726577438,0.7017208413001912,0.7165391969407265,0.7380497131931166,0.7412045889101339,0.7590822179732314,0.7666666666666667,0.020076481835563875,0.015296367112810683
DFI,5,observed_train_screened_modules,0.7170172084130019,10,272,train_screen_top500,0.7089228808158061,0.7112810707456979,0.73565965583174,0.7445506692160613,0.7535372848948374,0.7648183556405354,0.6,0.00809432759719575,0.005736137667303964
OS,1,observed_train_screened_modules,0.7366412213740458,6,260,train_variance_top5000,0.6844783715012722,0.6803435114503817,0.7051526717557252,0.7480916030534351,0.7491412213740458,0.7519083969465649,0.8666666666666667,0.05216284987277353,0.05629770992366401
OS,1,observed_train_screened_modules,0.7366412213740458,6,260,train_screen_top1000,0.7205470737913485,0.7232824427480916,0.7375954198473282,0.7450381679389313,0.7624045801526717,0.7729007633587787,0.7333333333333333,0.016094147582697227,0.013358778625954137
OS,1,observed_train_screened_modules,0.7366412213740458,6,260,train_screen_top500,0.7255725190839696,0.7242366412213741,0.7418893129770993,0.7480916030534351,0.7501908396946565,0.7557251908396947,0.6666666666666666,0.011068702290076171,0.012404580152671651
OS,2,observed_train_screened_modules,0.4988814317673378,12,274,train_variance_top5000,0.511111111111111,0.5111856823266219,0.5609619686800895,0.6100671140939598,0.6253914988814318,0.6308724832214765,0.4666666666666667,-0.01222967934377317,-0.01230425055928408
OS,2,observed_train_screened_modules,0.4988814317673378,12,274,train_screen_top1000,0.5082774049217004,0.5223713646532439,0.5447427293064877,0.5610738255033557,0.5833333333333334,0.5928411633109619,0.43333333333333335,-0.00939597315436258,-0.023489932885906062
OS,2,observed_train_screened_modules,0.4988814317673378,12,274,train_screen_top500,0.507158836689038,0.5067114093959731,0.5318791946308725,0.5485458612975391,0.5599552572706935,0.5794183445190156,0.4666666666666667,-0.00827740492170026,-0.007829977628635354
OS,3,observed_train_screened_modules,0.5632183908045977,9,270,train_variance_top5000,0.5208812260536397,0.5201149425287357,0.5363984674329502,0.5509578544061302,0.5686781609195402,0.6360153256704981,0.9333333333333333,0.042337164750957945,0.04310344827586199
OS,3,observed_train_screened_modules,0.5632183908045977,9,270,train_screen_top1000,0.520625798212005,0.5210727969348659,0.5416666666666667,0.5603448275862069,0.5689655172413793,0.6091954022988506,0.9,0.042592592592592626,0.04214559386973182
OS,3,observed_train_screened_modules,0.5632183908045977,9,270,train_screen_top500,0.4987228607918263,0.5028735632183908,0.5306513409961686,0.5484674329501915,0.5578544061302682,0.5632183908045977,1.0,0.06449553001277136,0.06034482758620685
OS,4,observed_train_screened_modules,0.5364891518737672,7,282,train_variance_top5000,0.5782380013149244,0.5818540433925049,0.599112426035503,0.6301775147928994,0.6390532544378699,0.6449704142011834,0.1,-0.0417488494411572,-0.04536489151873768
OS,4,observed_train_screened_modules,0.5364891518737672,7,282,train_screen_top1000,0.5686390532544379,0.5690335305719921,0.5872781065088757,0.6116370808678501,0.6166666666666667,0.650887573964497,0.16666666666666666,-0.03214990138067064,-0.03254437869822491
OS,4,observed_train_screened_modules,0.5364891518737672,7,282,train_screen_top500,0.5894148586456278,0.5867850098619329,0.6035502958579881,0.6167652859960553,0.630276134122288,0.6429980276134122,0.0,-0.05292570677186059,-0.050295857988165715
OS,5,observed_train_screened_modules,0.5714285714285714,5,292,train_variance_top5000,0.5766439909297052,0.5759637188208617,0.6003401360544217,0.6195011337868481,0.6273242630385487,0.6575963718820862,0.4666666666666667,-0.0052154195011338,-0.0045351473922903285
OS,5,observed_train_screened_modules,0.5714285714285714,5,292,train_screen_top1000,0.5581254724111867,0.5578231292517006,0.5691609977324263,0.5922902494331066,0.5976190476190476,0.6009070294784581,0.8,0.01330309901738469,0.013605442176870763
OS,5,observed_train_screened_modules,0.5714285714285714,5,292,train_screen_top500,0.5690854119425548,0.5714285714285714,0.5816326530612246,0.5875283446712019,0.5895691609977324,0.5963718820861678,0.5333333333333333,0.0023431594860165994,0.0
