,meta_proliferation_score
55_2308__Tumor,-1.9886492469029167
56_1001_tumor,1.625760279321217
57_0709_tumor,0.7724583549638973
58_1104_tumor,1.83556983632272
59_1003_tumor,0.5625989281054351
5_0220__Tumor,0.4351709120723143
5_0817_Tumor,0.6001852280338001
60_1415_tumor,1.5814905678845028
61_1005_tumor,-0.10058294669307073
62_2003_tumor,0.7180408942397336
63_1411_tumor,1.1014785529403694
64_1009_tumor,1.2599873690001946
65_2009_tumor,1.399902558050327
66_0206_tumor,-1.8354505532673033
67_1909_tumor,-0.16940388583894864
68_0210_tumor,-0.7923622718726857
69_0222_tumor,-0.4854038245766916
6_0305__Tumor,0.2833981146158915
6_1012_Tumor,-2.319007022442963
70_0225_tumor,0.5877391944947968
71_0643_tumor,0.4958058580431298
72_0732_tumor,-1.5074703123325999
73_0813_tumor,0.43793985531268065
74_0815_tumor,0.23097706575100194
75_0819_tumor,-0.9478011064272787
76_1106_tumor,-0.21110500781999691
77_1417_tumor,0.2812097685717957
78_1419_tumor,-1.2084523369452098
79_1713_tumor,-1.4197896247094584
7_0309__Tumor,1.0154539847050603
7_1022_Tumor,1.0382636563730967
80_1806_tumor,0.2633588750745987
81_1904_tumor,-1.0433522011866865
82_1905_tumor,-1.0511150642073204
83_1907_tumor,0.807608088124804
84_1908_tumor,0.5229008554314898
85_2205_tumor,0.06398497483389477
86_2215_tumor,0.8965627922518211
87_0204_tumor,0.006453421889268587
88_0712_tumor,1.3670861347561007
89_0216_tumor,0.05580486625067799
8_0335__Tumor,-1.9553378181268573
8_2202_Tumor,0.6020851115447858
90_0224_tumor,0.2513789545325602
91_0402_tumor,1.1182291191423235
92_0404_tumor,0.5214189140986781
93_0406_tumor,0.18608971844339434
94_0410_tumor,0.32318588169155377
95_0411_tumor,-1.5663303843637701
96_0606_tumor,0.6929951459968625
97_0618_tumor,0.7992236649713256
98_0306_tumor,1.5606570895901188
99_0318_tumor,-0.5682970145126425
9_0510__Tumor,-0.4238127531710402
9_2312_Tumor,-0.7753478958477162
