analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,observed_max_absolute_cosine,n_random_valid,random_mean_max_absolute_cosine,random_q95_max_absolute_cosine,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_analysis_set
four_cohort_detection_aware_variable_only_700,8,M11,7,5,0.7142857142857143,0.09949893175646994,2000,0.07886752938960652,0.113605975190246,0.8505,0.14992503748125938,0.14992503748125938,0.14992503748125938
four_cohort_detection_aware_variable_only_700,8,M40,111,29,0.26126126126126126,0.5083697637239805,2000,0.10841165470210393,0.14568581785151577,1.0,0.0004997501249375312,0.000642535874919683,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M34,162,40,0.24691358024691357,0.4682074843406851,2000,0.16190510892144477,0.20448531849134238,1.0,0.0004997501249375312,0.000642535874919683,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M11,7,5,0.7142857142857143,0.21563053266427723,2000,0.08419161988995343,0.1246823308527914,0.9995,0.0009995002498750624,0.0011733263802881167,0.0011244377811094452
four_cohort_detection_aware_variable_only_700,12,M40,111,29,0.26126126126126126,0.501283459829438,2000,0.1069627740895557,0.1427487080112029,1.0,0.0004997501249375312,0.000642535874919683,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M34,162,40,0.24691358024691357,0.47738735196152354,2000,0.17376278690304245,0.21409883215910638,1.0,0.0004997501249375312,0.000642535874919683,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M11,7,5,0.7142857142857143,0.18746156782524412,2000,0.08545643234629832,0.12186707259663036,0.9995,0.0009995002498750624,0.0011733263802881167,0.0011244377811094452
four_cohort_detection_aware_variable_only_700,16,M40,111,29,0.26126126126126126,0.5097355569888915,2000,0.10893291558267168,0.14514431787137588,1.0,0.0004997501249375312,0.000642535874919683,0.0007496251874062968
three_cohort_no_ffpe_variable_only_1500,8,M34,162,92,0.5679012345679012,0.5277230172906021,2000,0.157314332712583,0.18985289202761066,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
three_cohort_no_ffpe_variable_only_1500,8,M11,7,6,0.8571428571428571,0.11628137020477188,2000,0.05756280956654803,0.08376138041179779,0.999,0.0014992503748125937,0.0016866566716641678,0.0016866566716641678
three_cohort_no_ffpe_variable_only_1500,8,M40,111,63,0.5675675675675675,0.541518626202659,2000,0.10332237493733361,0.13234515748632517,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
three_cohort_no_ffpe_variable_only_1500,12,M34,162,92,0.5679012345679012,0.5026384176549471,2000,0.15695996973773402,0.1902046873760418,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
three_cohort_no_ffpe_variable_only_1500,12,M11,7,6,0.8571428571428571,0.10509809385321109,2000,0.06039881954394089,0.08498901153101308,0.9925,0.0079960019990005,0.008303540537423595,0.0079960019990005
three_cohort_no_ffpe_variable_only_1500,12,M40,111,63,0.5675675675675675,0.5633189566110827,2000,0.1046300275524101,0.1329471330464594,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
three_cohort_no_ffpe_variable_only_1500,16,M34,162,92,0.5679012345679012,0.501677370677194,2000,0.1589074327371855,0.1905234420108411,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
three_cohort_no_ffpe_variable_only_1500,16,M11,7,6,0.8571428571428571,0.15413602120340583,2000,0.06285783190747196,0.08718010489255548,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
three_cohort_no_ffpe_variable_only_1500,16,M40,111,63,0.5675675675675675,0.5554830217597746,2000,0.10388522908461922,0.13186933872073456,1.0,0.0004997501249375312,0.000642535874919683,0.000642535874919683
