endpoint,module_label,contrast,model_a,model_b,mean_repeat_c_index_a,mean_repeat_c_index_b,n_repeats,n_fold_pairs,mean_delta_c_index,median_delta_c_index,std_delta_c_index,bootstrap_repeat_mean_ci_low,bootstrap_repeat_mean_ci_high,fraction_repeat_deltas_positive,wilcoxon_repeat_p_two_sided,wilcoxon_repeat_p_greater,sign_repeat_p_two_sided,sign_repeat_p_greater,corrected_t,corrected_t_df,corrected_t_p_two_sided,corrected_standard_error,correction_factor,wilcoxon_repeat_p_two_sided_bh_q,wilcoxon_repeat_p_greater_bh_q,corrected_t_p_two_sided_bh_q,descriptive_support
DFI,M17,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.5770524228887701,0.6003221908374103,20,100,-0.023269767948640163,-0.023228313865985284,0.004132527256893355,-0.025008719273519,-0.021503845677744545,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-2.352522639314771,99.0,0.020625074218956974,0.009891410845431034,0.26,2.9925642342403016e-06,1.0,0.095845933135153,no_consistent_positive_support
DFI,M17,disjoint_residual_vs_original_residual,residual_to_disjoint_proliferation,residual_to_original_proliferation,0.5770524228887701,0.5770524228887701,20,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,no_consistent_positive_support
DFI,M17,weight_adjusted_residual_vs_unadjusted_residual,residual_to_disjoint_proliferation_and_weight,residual_to_disjoint_proliferation,0.5767839378829047,0.5770524228887701,20,100,-0.0002684850058652932,-0.00057640649041657,0.002129182089778386,-0.0011257915664580574,0.0006842761107628185,0.3,0.2942523956298828,0.8613224029541016,0.11531829833984375,0.9793052673339844,-0.09693857703058667,99.0,0.9229711494870041,0.002769640468114042,0.26,0.3477528311989524,1.0,0.9348041129419656,no_consistent_positive_support
DFI,M17,disjoint_residual_above_chance,residual_to_disjoint_proliferation,chance_0.50,0.5770524228887701,0.5,20,100,0.0770524228887701,0.07713165081655127,0.007224563957347895,0.07406280970281985,0.08018239064919071,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,2.632377701107246,99.0,0.00983739381160041,0.029271036164893766,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.06476284259303604,strong_descriptive_support
DFI,M20,incremental_module_beyond_disjoint_proliferation,module_plus_disjoint_proliferation,disjoint_proliferation_only,0.6130507557967344,0.6077530718737091,20,100,0.005297683923025454,0.003983024586758921,0.00750235448058684,0.002148645051890318,0.008527411074608823,0.8,0.00485992431640625,0.002429962158203125,0.01181793212890625,0.005908966064453125,0.33533555653864167,99.0,0.7380815211874661,0.01579815745669368,0.26,0.0058967081705729165,0.004512786865234375,0.8178445869319545,weak_positive_descriptive_support
DFI,M20,module_vs_disjoint_proliferation,module_only,disjoint_proliferation_only,0.5732035960505318,0.6077530718737091,20,100,-0.03454947582317715,-0.03231788063161911,0.01143852039645173,-0.03957261751040593,-0.029651347870452892,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.139849852776161,99.0,0.25709913429533154,0.03031054988429413,0.26,2.9925642342403016e-06,1.0,0.4162983471447286,no_consistent_positive_support
DFI,M20,joint_model_vs_module_only,module_plus_disjoint_proliferation,module_only,0.6130507557967344,0.5732035960505318,20,100,0.03984715974620261,0.04048924895176986,0.011430255427765539,0.035114525334398565,0.04479347718899453,1.0,1.9073486328125e-06,9.5367431640625e-07,1.9073486328125e-06,9.5367431640625e-07,1.8258054418941227,99.0,0.07089401140480091,0.021824428184891637,0.26,2.9925642342403016e-06,2.47955322265625e-06,0.21084897106961056,strong_descriptive_support
DFI,M20,disjoint_residual_vs_module_only,residual_to_disjoint_proliferation,module_only,0.5633597284008298,0.5732035960505318,20,100,-0.009843867649702132,-0.010093995047649795,0.003888074460247238,-0.011491631291798072,-0.008191906927849806,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.4222330637043883,99.0,0.1581016738827993,0.006921416679810906,0.26,2.9925642342403016e-06,1.0,0.3095097151122165,no_consistent_positive_support
DFI,M20,disjoint_residual_vs_original_residual,residual_to_disjoint_proliferation,residual_to_original_proliferation,0.5633597284008298,0.5633597284008298,20,100,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,1.0,1.0,,no_consistent_positive_support
DFI,M20,weight_adjusted_residual_vs_unadjusted_residual,residual_to_disjoint_proliferation_and_weight,residual_to_disjoint_proliferation,0.5469654942920078,0.5633597284008298,20,100,-0.01639423410882187,-0.0167765792515982,0.0045126554793775775,-0.01830041889616148,-0.01441679782124966,0.0,1.9073486328125e-06,1.0,1.9073486328125e-06,1.0,-1.859116225395197,99.0,0.0659807617697365,0.008818294351304969,0.26,2.9925642342403016e-06,1.0,0.21084897106961056,no_consistent_positive_support
