analysis_set,initial_factors,factor,view,group,r2
four_cohort_detection_aware,8,Factor4,RNA,GSE21257,1.0607659816741943
four_cohort_detection_aware,8,Factor5,RNA,GSE21257,2.958798408508301
four_cohort_detection_aware,8,Factor6,RNA,GSE21257,1.4448285102844238
four_cohort_detection_aware,8,Factor1,RNA,GSE39055,1.976323127746582
four_cohort_detection_aware,8,Factor2,RNA,GSE39055,3.349018096923828
four_cohort_detection_aware,8,Factor3,RNA,GSE39055,8.032119274139404
four_cohort_detection_aware,8,Factor4,RNA,GSE39055,1.533752679824829
four_cohort_detection_aware,8,Factor5,RNA,GSE39055,0.0980079174041748
four_cohort_detection_aware,8,Factor6,RNA,GSE39055,0.1737058162689209
four_cohort_detection_aware,8,Factor1,RNA,TARGET_OS,8.602625131607056
four_cohort_detection_aware,8,Factor2,RNA,TARGET_OS,9.531545639038086
four_cohort_detection_aware,8,Factor3,RNA,TARGET_OS,5.4567039012908936
four_cohort_detection_aware,8,Factor4,RNA,TARGET_OS,3.1442999839782715
four_cohort_detection_aware,8,Factor5,RNA,TARGET_OS,2.996474504470825
four_cohort_detection_aware,8,Factor6,RNA,TARGET_OS,2.2978127002716064
four_cohort_detection_aware,12,Factor1,RNA,DOG2,13.666021823883057
four_cohort_detection_aware,12,Factor2,RNA,DOG2,9.754681587219238
four_cohort_detection_aware,12,Factor3,RNA,DOG2,4.938632249832153
four_cohort_detection_aware,12,Factor4,RNA,DOG2,5.006718635559082
four_cohort_detection_aware,12,Factor5,RNA,DOG2,3.902566432952881
four_cohort_detection_aware,12,Factor6,RNA,DOG2,6.866872310638428
four_cohort_detection_aware,12,Factor7,RNA,DOG2,3.21958065032959
four_cohort_detection_aware,12,Factor8,RNA,DOG2,3.2569408416748047
four_cohort_detection_aware,12,Factor1,RNA,GSE21257,10.441851615905762
four_cohort_detection_aware,12,Factor2,RNA,GSE21257,9.167802333831787
four_cohort_detection_aware,12,Factor3,RNA,GSE21257,3.946065902709961
four_cohort_detection_aware,12,Factor4,RNA,GSE21257,1.4585554599761963
four_cohort_detection_aware,12,Factor5,RNA,GSE21257,2.3168563842773438
four_cohort_detection_aware,12,Factor6,RNA,GSE21257,0.610893964767456
four_cohort_detection_aware,12,Factor7,RNA,GSE21257,1.382368803024292
four_cohort_detection_aware,12,Factor8,RNA,GSE21257,2.028745412826538
four_cohort_detection_aware,12,Factor1,RNA,GSE39055,2.091968059539795
four_cohort_detection_aware,12,Factor2,RNA,GSE39055,3.860950469970703
four_cohort_detection_aware,12,Factor3,RNA,GSE39055,7.428789138793945
four_cohort_detection_aware,12,Factor4,RNA,GSE39055,1.3411521911621094
four_cohort_detection_aware,12,Factor5,RNA,GSE39055,0.18401741981506348
four_cohort_detection_aware,12,Factor6,RNA,GSE39055,0.07554888725280762
four_cohort_detection_aware,12,Factor7,RNA,GSE39055,0.5657196044921875
four_cohort_detection_aware,12,Factor8,RNA,GSE39055,0.7587432861328125
four_cohort_detection_aware,12,Factor1,RNA,TARGET_OS,9.003043174743652
four_cohort_detection_aware,12,Factor2,RNA,TARGET_OS,10.104602575302124
four_cohort_detection_aware,12,Factor3,RNA,TARGET_OS,5.316674709320068
four_cohort_detection_aware,12,Factor4,RNA,TARGET_OS,3.7420570850372314
four_cohort_detection_aware,12,Factor5,RNA,TARGET_OS,2.4547159671783447
four_cohort_detection_aware,12,Factor6,RNA,TARGET_OS,0.7801651954650879
four_cohort_detection_aware,12,Factor7,RNA,TARGET_OS,2.635389566421509
four_cohort_detection_aware,12,Factor8,RNA,TARGET_OS,1.5316426753997803
four_cohort_detection_aware,16,Factor1,RNA,DOG2,13.816601037979126
four_cohort_detection_aware,16,Factor2,RNA,DOG2,6.265503168106079
four_cohort_detection_aware,16,Factor3,RNA,DOG2,5.108267068862915
four_cohort_detection_aware,16,Factor4,RNA,DOG2,6.6970109939575195
four_cohort_detection_aware,16,Factor5,RNA,DOG2,5.00948429107666
four_cohort_detection_aware,16,Factor6,RNA,DOG2,8.004635572433472
four_cohort_detection_aware,16,Factor7,RNA,DOG2,2.9807448387145996
four_cohort_detection_aware,16,Factor8,RNA,DOG2,3.1377077102661133
four_cohort_detection_aware,16,Factor9,RNA,DOG2,1.8638074398040771
four_cohort_detection_aware,16,Factor1,RNA,GSE21257,10.241568088531494
four_cohort_detection_aware,16,Factor2,RNA,GSE21257,7.8509509563446045
four_cohort_detection_aware,16,Factor3,RNA,GSE21257,5.186223983764648
four_cohort_detection_aware,16,Factor4,RNA,GSE21257,4.4625163078308105
four_cohort_detection_aware,16,Factor5,RNA,GSE21257,1.6475856304168701
four_cohort_detection_aware,16,Factor6,RNA,GSE21257,0.6541788578033447
four_cohort_detection_aware,16,Factor7,RNA,GSE21257,1.8128573894500732
four_cohort_detection_aware,16,Factor8,RNA,GSE21257,1.8331289291381836
four_cohort_detection_aware,16,Factor9,RNA,GSE21257,1.8558979034423828
four_cohort_detection_aware,16,Factor1,RNA,GSE39055,2.074974775314331
four_cohort_detection_aware,16,Factor2,RNA,GSE39055,4.671370983123779
four_cohort_detection_aware,16,Factor3,RNA,GSE39055,5.496460199356079
four_cohort_detection_aware,16,Factor4,RNA,GSE39055,1.6942203044891357
four_cohort_detection_aware,16,Factor5,RNA,GSE39055,1.3285458087921143
four_cohort_detection_aware,16,Factor6,RNA,GSE39055,0.04363656044006348
four_cohort_detection_aware,16,Factor7,RNA,GSE39055,0.5984961986541748
four_cohort_detection_aware,16,Factor8,RNA,GSE39055,0.6139397621154785
four_cohort_detection_aware,16,Factor9,RNA,GSE39055,0.3734469413757324
four_cohort_detection_aware,16,Factor1,RNA,TARGET_OS,8.951061964035034
four_cohort_detection_aware,16,Factor2,RNA,TARGET_OS,10.06549596786499
four_cohort_detection_aware,16,Factor3,RNA,TARGET_OS,6.22628927230835
four_cohort_detection_aware,16,Factor4,RNA,TARGET_OS,3.6428987979888916
four_cohort_detection_aware,16,Factor5,RNA,TARGET_OS,3.539109230041504
four_cohort_detection_aware,16,Factor6,RNA,TARGET_OS,0.6304383277893066
four_cohort_detection_aware,16,Factor7,RNA,TARGET_OS,2.108776569366455
four_cohort_detection_aware,16,Factor8,RNA,TARGET_OS,1.7512023448944092
four_cohort_detection_aware,16,Factor9,RNA,TARGET_OS,2.1469414234161377
three_cohort_no_ffpe,8,Factor1,RNA,DOG2,15.470075607299805
three_cohort_no_ffpe,8,Factor2,RNA,DOG2,8.529138565063477
three_cohort_no_ffpe,8,Factor3,RNA,DOG2,6.992059946060181
three_cohort_no_ffpe,8,Factor4,RNA,DOG2,5.988621711730957
three_cohort_no_ffpe,8,Factor5,RNA,DOG2,4.240620136260986
three_cohort_no_ffpe,8,Factor6,RNA,DOG2,6.325674057006836
three_cohort_no_ffpe,8,Factor1,RNA,GSE21257,11.760526895523071
three_cohort_no_ffpe,8,Factor2,RNA,GSE21257,8.989310264587402
three_cohort_no_ffpe,8,Factor3,RNA,GSE21257,3.347235918045044
three_cohort_no_ffpe,8,Factor4,RNA,GSE21257,3.195291757583618
three_cohort_no_ffpe,8,Factor5,RNA,GSE21257,2.6009678840637207
three_cohort_no_ffpe,8,Factor6,RNA,GSE21257,1.4821767807006836
three_cohort_no_ffpe,8,Factor1,RNA,TARGET_OS,11.606848239898682
three_cohort_no_ffpe,8,Factor2,RNA,TARGET_OS,9.78853702545166
three_cohort_no_ffpe,8,Factor3,RNA,TARGET_OS,4.605984687805176
three_cohort_no_ffpe,8,Factor4,RNA,TARGET_OS,2.852964401245117
three_cohort_no_ffpe,8,Factor5,RNA,TARGET_OS,3.01859974861145
three_cohort_no_ffpe,8,Factor6,RNA,TARGET_OS,1.163029670715332
three_cohort_no_ffpe,12,Factor1,RNA,DOG2,13.961011171340942
three_cohort_no_ffpe,12,Factor2,RNA,DOG2,7.964211702346802
three_cohort_no_ffpe,12,Factor3,RNA,DOG2,7.7571868896484375
three_cohort_no_ffpe,12,Factor4,RNA,DOG2,4.737269878387451
three_cohort_no_ffpe,12,Factor5,RNA,DOG2,4.58451509475708
three_cohort_no_ffpe,12,Factor6,RNA,DOG2,4.449653625488281
three_cohort_no_ffpe,12,Factor7,RNA,DOG2,5.776965618133545
three_cohort_no_ffpe,12,Factor8,RNA,DOG2,3.2435834407806396
three_cohort_no_ffpe,12,Factor9,RNA,DOG2,2.0468711853027344
three_cohort_no_ffpe,12,Factor1,RNA,GSE21257,11.238884925842285
three_cohort_no_ffpe,12,Factor2,RNA,GSE21257,9.321647882461548
three_cohort_no_ffpe,12,Factor3,RNA,GSE21257,2.9479622840881348
three_cohort_no_ffpe,12,Factor4,RNA,GSE21257,4.029983282089233
three_cohort_no_ffpe,12,Factor5,RNA,GSE21257,2.744847536087036
three_cohort_no_ffpe,12,Factor6,RNA,GSE21257,1.6742944717407227
three_cohort_no_ffpe,12,Factor7,RNA,GSE21257,0.6202757358551025
three_cohort_no_ffpe,12,Factor8,RNA,GSE21257,2.3154795169830322
