gene,gene_symbol_clean,univariate_candidate_rank,univariate_candidate_source,in_univariate_candidate_set,dfi_univ_rank,dfi_univ_coef,dfi_univ_hr_per_sd,dfi_univ_p,dfi_univ_q,dfi_univ_c_index,os_univ_rank,os_univ_coef,os_univ_hr_per_sd,os_univ_p,os_univ_q,os_univ_c_index,dfi_full_conditional_selected,dfi_full_conditional_rank,dfi_full_conditional_coef,dfi_full_conditional_hr_per_sd,dfi_full_conditional_p,dfi_full_conditional_c_index,os_full_conditional_selected,os_full_conditional_rank,os_full_conditional_coef,os_full_conditional_hr_per_sd,os_full_conditional_p,os_full_conditional_c_index,dfi_true_mb_n_configs,dfi_true_mb_algorithms,dfi_true_mb_alphas,dfi_true_mb_mean_rank,os_true_mb_n_configs,os_true_mb_algorithms,os_true_mb_alphas,os_true_mb_mean_rank,nested_dfi_conditional_selected_folds,nested_dfi_conditional_selection_frequency,nested_dfi_conditional_mean_rank,nested_dfi_conditional_plus_clinical_selected_folds,nested_dfi_conditional_plus_clinical_selection_frequency,nested_dfi_conditional_plus_clinical_mean_rank,nested_dfi_elasticnet_selected_folds,nested_dfi_elasticnet_selection_frequency,nested_dfi_elasticnet_mean_rank,nested_dfi_gsmb_selected_folds,nested_dfi_gsmb_selection_frequency,nested_dfi_gsmb_mean_rank,nested_dfi_iamb_selected_folds,nested_dfi_iamb_selection_frequency,nested_dfi_iamb_mean_rank,nested_dfi_univtop10_selected_folds,nested_dfi_univtop10_selection_frequency,nested_dfi_univtop10_mean_rank,nested_os_conditional_selected_folds,nested_os_conditional_selection_frequency,nested_os_conditional_mean_rank,nested_os_conditional_plus_clinical_selected_folds,nested_os_conditional_plus_clinical_selection_frequency,nested_os_conditional_plus_clinical_mean_rank,nested_os_elasticnet_selected_folds,nested_os_elasticnet_selection_frequency,nested_os_elasticnet_mean_rank,nested_os_gsmb_selected_folds,nested_os_gsmb_selection_frequency,nested_os_gsmb_mean_rank,nested_os_iamb_selected_folds,nested_os_iamb_selection_frequency,nested_os_iamb_mean_rank,nested_os_univtop10_selected_folds,nested_os_univtop10_selection_frequency,nested_os_univtop10_mean_rank,nested_any_max_selection_frequency,nested_any_total_selected_folds,dfi_os_both_univariate_available,dfi_os_same_direction,dfi_os_both_nominal_p05,dfi_os_both_fdr_q10,combined_univ_rank_score,rna_evidence_priority_score,rna_evidence_tier,gene_symbol_clean_upper,external_gene_name_upper,dog_ensembl_gene_id,dog_external_gene_name,dog_gene_biotype,human_ensembl_gene_id,human_gene_symbol,dog_human_orthology_type,dog_human_orthology_confidence,dog_human_orthology_confidence_numeric,dog_human_perc_id,human_dog_perc_id,has_human_homolog,is_one_to_one_ortholog,ortholog_mapping_status
RBPMS2_3,RBPMS2,440.0,dfi_os_top500_same_direction,True,406.0,0.2239101364761934,1.2509585988293557,0.0030120381016392,0.0370940652911242,0.5929282424602585,210.0,0.2417011869333412,1.2734136233295468,0.0035571170039286,0.0831254648485066,0.5872711281682258,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,1,0.2,8.0,0,0.0,,0,0.0,,0,0.0,,1,0.2,4.0,1,0.2,4.0,1,0.2,17.0,0,0.0,,0,0.0,,0,0.0,,0.2,4,True,True,True,True,616.0,4.0,exploratory_rna_evidence,RBPMS2,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
SQOR_3,SQOR,62.0,dfi_top400,True,62.0,-0.3492481019676711,0.7052181425546487,9.855787391355028e-05,0.0079482156381895,0.6105333531421779,90.0,-0.3098177026100425,0.7335806738779005,0.0011485113277598,0.0633337040934449,0.6018229791316863,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,152.0,4.0,exploratory_rna_evidence,SQOR,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
CDCA5_3,CDCA5,85.0,dfi_top400,True,85.0,0.3343750248037456,1.3970669801125546,0.0001615725244323,0.0095042661430774,0.6009508245431585,352.0,0.2555372043538642,1.291155048713669,0.0069713772602473,0.0982775333921948,0.5885504117694091,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,437.0,4.0,exploratory_rna_evidence,CDCA5,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
XG_3,XG,129.0,dfi_top400,True,129.0,-0.2723406468664563,0.761594782020976,0.0003459058507121,0.0133972407122627,0.6025850542267123,96.0,-0.2739760752326352,0.7603502662465094,0.0012471858487655,0.0634546305609596,0.586711441592708,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,225.0,4.0,exploratory_rna_evidence,XG,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC119875957_1,LOC119875957,131.0,dfi_top400,True,131.0,-0.2830414173595448,0.7534885797060235,0.0003559201040477,0.0135136023740522,0.6065963452681622,255.0,-0.2495778191436068,0.779129647268161,0.0043344522857765,0.0846467382344426,0.5873510833932998,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,386.0,4.0,exploratory_rna_evidence,LOC119875957,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC119877532,LOC119877532,134.0,dfi_top400,True,134.0,-0.288065907795731,0.7497121787335586,0.0003632300400085,0.0135533597018124,0.5895854999257168,59.0,-0.3007617737568659,0.7402540996961555,0.0006684351504722,0.0561880353626495,0.6071799792116415,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,193.0,4.0,exploratory_rna_evidence,LOC119877532,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC119866898_3,LOC119866898,144.0,dfi_top400,True,144.0,-0.2817911356135401,0.7544312418969201,0.0004049504669175,0.0138689824480412,0.6117961669885604,93.0,-0.2900479821169336,0.7482276651699121,0.001178006896138,0.0633337040934449,0.6015831134564644,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,237.0,4.0,exploratory_rna_evidence,LOC119866898,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
IFIT2_3,IFIT2,170.0,dfi_top400,True,170.0,-0.3026540895074064,0.7388546297410262,0.0005233194208295,0.0153909321517959,0.5970880998365771,284.0,-0.267832022734896,0.765036279012052,0.0050745108009569,0.0893399788900878,0.5878308147437435,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,454.0,4.0,exploratory_rna_evidence,IFIT2,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC119874749_2,LOC119874749,171.0,dfi_top400,True,171.0,-0.3081613754764936,0.7347967302682765,0.0005263698795914,0.0153909321517959,0.5855742088842668,307.0,-0.2611096228403702,0.7701964838609161,0.0057926267426802,0.0943424550925119,0.5698408891021028,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,478.0,4.0,exploratory_rna_evidence,LOC119874749,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
LOC106559420_3,LOC106559420,199.0,dfi_top400,True,199.0,-0.3006491766180028,0.7403374548825027,0.0007039351235723,0.0175939177443026,0.5915911454464419,172.0,-0.2859260812259188,0.7513181504109643,0.0027412681384639,0.0789676472281004,0.5994243223794675,False,,,,,,False,,,,,,0,,,,0,,,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0,0.0,,0.0,0,True,True,True,True,371.0,4.0,exploratory_rna_evidence,LOC106559420,,,,,,,,,,,,False,False,dog_symbol_not_found_in_ensembl_mapping
