module_label,canine_gene,canine_gene_symbol,human_gene_symbol,ortholog_qc_status,raw_pca_loading,risk_oriented_loading,absolute_risk_loading,is_strict_mapping,is_broad_mapping,human_symbol_duplicate_count,normalized_abs_sum_weight
M34,CASP8_3,CASP8,CASP8,strict_symbol_concordant_one_to_one,0.05163771908181513,-0.05163771908181513,0.05163771908181513,True,True,1,-0.004091478636116357
M34,CBLN3_3,CBLN3,CBLN3,strict_symbol_concordant_one_to_one,0.04712622795350872,-0.04712622795350872,0.04712622795350872,True,True,1,-0.0037340137849046274
M34,CBX7_3,CBX7,CBX7,strict_symbol_concordant_one_to_one,0.05571464677204754,-0.05571464677204754,0.05571464677204754,True,True,1,-0.00441451115657196
M34,CCR2_3,CCR2,CCR2,strict_symbol_concordant_one_to_one,0.07319906649386834,-0.07319906649386834,0.07319906649386834,True,True,1,-0.005799876951745395
M34,CD244_3,CD244,CD244,strict_symbol_concordant_one_to_one,0.07064105072385198,-0.07064105072385198,0.07064105072385198,True,True,1,-0.0055971943573169276
M34,CD48_3,CD48,CD48,one_to_one_low_confidence_review,0.07923792242301227,-0.07923792242301227,0.07923792242301227,False,True,1,-0.006278361487081468
M34,CD74_3,CD74,CD74,strict_symbol_concordant_one_to_one,0.07663731179303566,-0.07663731179303566,0.07663731179303566,True,True,1,-0.006072303918648832
M34,CD80_3,CD80,CD80,strict_symbol_concordant_one_to_one,0.07367719153616542,-0.07367719153616542,0.07367719153616542,True,True,1,-0.005837760855812716
M34,CD86_3,CD86,CD86,strict_symbol_concordant_one_to_one,0.073437850320286,-0.073437850320286,0.073437850320286,True,True,1,-0.005818796821596542
M34,CLEC12A_3,CLEC12A,CLEC12A,strict_symbol_concordant_one_to_one,0.07626521090914318,-0.07626521090914318,0.07626521090914318,True,True,1,-0.006042820764783845
M34,CSF1R_3,CSF1R,CSF1R,strict_symbol_concordant_one_to_one,0.06903739928763554,-0.06903739928763554,0.06903739928763554,True,True,1,-0.005470130154874889
M34,CSF2RB_3,CSF2RB,CSF2RB,strict_symbol_concordant_one_to_one,0.07262200124036157,-0.07262200124036157,0.07262200124036157,True,True,1,-0.005754153589088203
M34,CSRP2_3,CSRP2,CSRP2,one_to_one_low_confidence_review,-0.037720185819588005,0.037720185819588005,0.037720185819588005,False,True,1,0.002988732600420633
M34,CTSH_3,CTSH,CTSH,strict_symbol_concordant_one_to_one,0.06502835813029527,-0.06502835813029527,0.06502835813029527,True,True,1,-0.005152476576478445
M34,CYP4V2_3,CYP4V2,CYP4V2,strict_symbol_concordant_one_to_one,0.07835140142353925,-0.07835140142353925,0.07835140142353925,True,True,1,-0.0062081186143460275
M34,CYSLTR2_3,CYSLTR2,CYSLTR2,strict_symbol_concordant_one_to_one,0.0642747628123309,-0.0642747628123309,0.0642747628123309,True,True,1,-0.005092765977355287
M34,CYTH4_3,CYTH4,CYTH4,strict_symbol_concordant_one_to_one,0.06805341163024192,-0.06805341163024192,0.06805341163024192,True,True,1,-0.0053921645795161205
M34,DAPP1_3,DAPP1,DAPP1,strict_symbol_concordant_one_to_one,0.08121246426322894,-0.08121246426322894,0.08121246426322894,True,True,1,-0.006434812931858963
