module_label,variant,score_column,n,events,hr_per_sd,ci_low,ci_high,p,coef,se_coef,c_index,ph_test_p,error
M38,strict_canine_pca_weighted,M38__strict__canine_pca_weighted_z,36,18,0.60418328897276,0.3808556615354239,0.9584666411476961,0.03234359759155268,-0.5038776685173874,0.23544164682145222,0.5891089108910891,0.8154559099392009,
M38,strict_human_pc1,M38__strict__human_pc1_z,36,18,0.8888212679447665,0.5314133708240774,1.4866077703800762,0.6533562278328895,-0.11785911211226133,0.26243133874513985,0.5618811881188119,0.007788932344123485,
M38,broad_signed_mean,M38__broad__signed_mean_z,36,18,0.6065343756840612,0.3822410413808477,0.9624396887301041,0.03379749610630939,-0.49999387341763324,0.235570653959168,0.5965346534653465,0.8479172798261057,
M38,broad_canine_pca_weighted,M38__broad__canine_pca_weighted_z,36,18,0.60418328897276,0.3808556615354239,0.9584666411476961,0.03234359759155268,-0.5038776685173874,0.23544164682145222,0.5891089108910891,0.8154559099392009,
M38,broad_human_pc1,M38__broad__human_pc1_z,36,18,0.8888212679447665,0.5314133708240774,1.4866077703800762,0.6533562278328895,-0.11785911211226133,0.26243133874513985,0.5618811881188119,0.007788932344123485,
M25,strict_signed_mean,M25__strict__signed_mean_z,36,18,0.9389664239641367,0.5666275342141478,1.5559744136944647,0.8069381004019466,-0.0629755576398706,0.25769735750440825,0.4430693069306931,0.9323497138288667,
M25,strict_canine_pca_weighted,M25__strict__canine_pca_weighted_z,36,18,0.966704447505845,0.5907143670039956,1.5820124598751466,0.8928147877811973,-0.033862468812690096,0.25131084960726935,0.4405940594059406,0.9640237369225286,
M25,strict_human_pc1,M25__strict__human_pc1_z,36,18,1.3916803119902392,0.8648526860059003,2.2394265776357156,0.1732794189236273,0.33051187460956655,0.24271260600256717,0.6435643564356436,0.11830432281794198,
M25,broad_signed_mean,M25__broad__signed_mean_z,36,18,0.9389664239641367,0.5666275342141478,1.5559744136944647,0.8069381004019466,-0.0629755576398706,0.25769735750440825,0.4430693069306931,0.9323497138288667,
M25,broad_canine_pca_weighted,M25__broad__canine_pca_weighted_z,36,18,0.966704447505845,0.5907143670039956,1.5820124598751466,0.8928147877811973,-0.033862468812690096,0.25131084960726935,0.4405940594059406,0.9640237369225286,
M25,broad_human_pc1,M25__broad__human_pc1_z,36,18,1.3916803119902392,0.8648526860059003,2.2394265776357156,0.1732794189236273,0.33051187460956655,0.24271260600256717,0.6435643564356436,0.11830432281794198,
M17,broad_signed_mean,M17__broad__signed_mean_z,36,18,0.7894753842116625,0.5218955422051432,1.1942454607729927,0.2629816152018082,-0.23638662473177624,0.21117796060308228,0.5346534653465347,0.23279418104830035,
M17,broad_canine_pca_weighted,M17__broad__canine_pca_weighted_z,36,18,0.7877412972276703,0.5200636347610579,1.193193120766917,0.2600809330548791,-0.23858554603806004,0.21185009397644666,0.5445544554455446,0.2449825224504663,
M17,broad_human_pc1,M17__broad__human_pc1_z,36,18,1.0235468191257402,0.6252699703506585,1.6755132032886335,0.9262560999200514,0.02327386921146184,0.2514564772864698,0.5099009900990099,0.6882465713426631,
