analysis_set,module_label,subspace_name,n_ranks,median_capture,minimum_capture,maximum_capture,median_random_percentile,maximum_empirical_q_global,fraction_ranks_global_q_lt_0_05,median_n_naturally_selected_module_genes,median_natural_coverage_fraction
four_cohort_variable_only_1500,M40,gse39055_specific,1,6.077888138976699e-05,6.077888138976699e-05,6.077888138976699e-05,0.16,0.851206846907672,0.0,64.0,0.5765765765765766
four_cohort_variable_only_1500,M40,partially_shared,3,0.3136872143356677,0.2849395928839058,0.3308720759371839,1.0,0.000742347272965459,1.0,64.0,0.5765765765765766
four_cohort_variable_only_1500,M40,shared_non_ffpe_only,3,0.3136872143356677,0.2849395928839058,0.3308720759371839,1.0,0.000742347272965459,1.0,64.0,0.5765765765765766
four_cohort_variable_only_1500,M40,shared_two_or_more,3,0.31661981380773846,0.3018025632184747,0.3368313962688583,1.0,0.000742347272965459,1.0,64.0,0.5765765765765766
four_cohort_variable_only_1500,M40,ubiquitous_all_groups,3,0.017234589320311754,0.015440369382833965,0.018795843137791562,0.6565,0.3986935103876634,0.0,64.0,0.5765765765765766
three_cohort_no_ffpe_variable_only_1500,M11,all_retained,3,0.03528301744099678,0.028438778318905417,0.05261769287013153,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
three_cohort_no_ffpe_variable_only_1500,M11,partially_shared,2,0.008722899437817271,3.266427002919852e-05,0.017413134605605344,0.58225,0.851206846907672,0.5,6.0,0.8571428571428571
three_cohort_no_ffpe_variable_only_1500,M11,shared_non_ffpe_only,3,0.035100831428720634,0.028438778318905417,0.04980176531915007,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
three_cohort_no_ffpe_variable_only_1500,M11,shared_two_or_more,3,0.035100831428720634,0.028438778318905417,0.04980176531915007,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
three_cohort_no_ffpe_variable_only_1500,M11,ubiquitous_all_groups,3,0.03494239914947678,0.028438778318905417,0.03509833875186753,1.0,0.000742347272965459,1.0,6.0,0.8571428571428571
three_cohort_no_ffpe_variable_only_1500,M34,all_retained,3,0.3184396209291741,0.31160405107010497,0.3287600736130333,1.0,0.000742347272965459,1.0,92.0,0.5679012345679012
three_cohort_no_ffpe_variable_only_1500,M34,partially_shared,2,0.012321843743540452,0.009825916801059107,0.014817770686021798,0.934,0.1577400276239833,0.5,92.0,0.5679012345679012
three_cohort_no_ffpe_variable_only_1500,M34,shared_non_ffpe_only,3,0.31593501695071474,0.31160405107010497,0.3235899055572329,1.0,0.000742347272965459,1.0,92.0,0.5679012345679012
three_cohort_no_ffpe_variable_only_1500,M34,shared_two_or_more,3,0.31593501695071474,0.31160405107010497,0.3235899055572329,1.0,0.000742347272965459,1.0,92.0,0.5679012345679012
three_cohort_no_ffpe_variable_only_1500,M34,ubiquitous_all_groups,3,0.3130890026819735,0.31160405107010497,0.3139680660575475,1.0,0.000742347272965459,1.0,92.0,0.5679012345679012
three_cohort_no_ffpe_variable_only_1500,M40,all_retained,3,0.33841314262255734,0.31121751653813584,0.34955671328288107,1.0,0.000742347272965459,1.0,63.0,0.5675675675675675
three_cohort_no_ffpe_variable_only_1500,M40,partially_shared,2,0.007381055584455301,0.0045754960914487835,0.010186615077461818,0.971,0.04269115442278861,1.0,63.0,0.5675675675675675
three_cohort_no_ffpe_variable_only_1500,M40,shared_non_ffpe_only,3,0.3267122775319514,0.31121751653813584,0.34378857780572253,1.0,0.000742347272965459,1.0,63.0,0.5675675675675675
three_cohort_no_ffpe_variable_only_1500,M40,shared_two_or_more,3,0.3267122775319514,0.31121751653813584,0.34378857780572253,1.0,0.000742347272965459,1.0,63.0,0.5675675675675675
three_cohort_no_ffpe_variable_only_1500,M40,ubiquitous_all_groups,3,0.3264793322359663,0.31121751653813584,0.331383467399197,1.0,0.000742347272965459,1.0,63.0,0.5675675675675675
