analysis,module_label,gene,gene_symbol_clean,endpoint,fold
full_cohort,M34,CASP12_3,CASP12,,
full_cohort,M40,AURKB_3,AURKB,,
full_cohort,M34,ATP8A1_3,ATP8A1,,
full_cohort,M34,SERPINB9_3,SERPINB9,,
full_cohort,M27,PPA1_3,PPA1,,
full_cohort,M34,DLA-79_3,DLA-79,,
full_cohort,M34,ENPP3_3,ENPP3,,
full_cohort,M34,LPAR5_3,LPAR5,,
full_cohort,M25,WNT5B_3,WNT5B,,
full_cohort,M34,DHX58_3,DHX58,,
full_cohort,M40,MACROH2A2_3,MACROH2A2,,
full_cohort,M34,XCR1_3,XCR1,,
full_cohort,M38,STON1_3,STON1,,
full_cohort,M34,DLA-DOA_3,DLA-DOA,,
full_cohort,M34,PLD4_3,PLD4,,
full_cohort,M40,GPSM2_3,GPSM2,,
nested_cv,M9,ATAD1_3,ATAD1,DFI,1.0
nested_cv,M10,FMO5_3,FMO5,DFI,1.0
nested_cv,M10,CYP4V2_3,CYP4V2,DFI,1.0
nested_cv,M9,STAMBPL1_3,STAMBPL1,DFI,1.0
nested_cv,M9,PTEN_3,PTEN,DFI,1.0
nested_cv,M9,SGMS1_3,SGMS1,DFI,1.0
nested_cv,M10,APOBEC3Z3_4,APOBEC3Z3,DFI,1.0
nested_cv,M9,MINPP1_3,MINPP1,DFI,1.0
nested_cv,M10,IL34_3,IL34,DFI,1.0
nested_cv,M10,CD8B_3,CD8B,DFI,1.0
nested_cv,M12,MEX3A_3,MEX3A,DFI,1.0
nested_cv,M10,GPSM3_3,GPSM3,DFI,1.0
nested_cv,M10,SQOR_3,SQOR,DFI,1.0
nested_cv,M10,SPSB4_3,SPSB4,DFI,1.0
nested_cv,M10,PTK2B_3,PTK2B,DFI,1.0
nested_cv,M10,SYTL1_3,SYTL1,DFI,1.0
nested_cv,M10,CBX7_3,CBX7,DFI,1.0
nested_cv,M10,ZMAT1_3,ZMAT1,DFI,1.0
nested_cv,M9,FAS_3,FAS,DFI,1.0
nested_cv,M10,RCOR2_3,RCOR2,DFI,1.0
nested_cv,M10,TAPBPL_3,TAPBPL,DFI,1.0
nested_cv,M10,ENPP5_3,ENPP5,DFI,1.0
nested_cv,M10,OSBPL3_3,OSBPL3,DFI,1.0
nested_cv,M10,NIBAN1_3,NIBAN1,DFI,1.0
nested_cv,M10,MOSPD2_3,MOSPD2,DFI,1.0
nested_cv,M10,HNMT_3,HNMT,DFI,1.0
nested_cv,M10,ADGRF1_3,ADGRF1,DFI,1.0
nested_cv,M10,LOC477699_3,LOC477699,DFI,1.0
nested_cv,M10,LOC476816_3,LOC476816,DFI,1.0
nested_cv,M10,TNFAIP8L2_3,TNFAIP8L2,DFI,1.0
nested_cv,M10,EVI2B_3,EVI2B,DFI,1.0
nested_cv,M12,TRIP13_3,TRIP13,DFI,1.0
nested_cv,M10,BLNK_3,BLNK,DFI,1.0
nested_cv,M10,IFI30_3,IFI30,DFI,1.0
nested_cv,M10,RETSAT_3,RETSAT,DFI,1.0
nested_cv,M10,ADGRG6_3,ADGRG6,DFI,1.0
nested_cv,M10,ASAH1_3,ASAH1,DFI,1.0
nested_cv,M10,VWA5A_3,VWA5A,DFI,1.0
nested_cv,M10,PRDM1_3,PRDM1,DFI,1.0
nested_cv,M7,KCTD12_3,KCTD12,DFI,1.0
nested_cv,M10,ACOD1_3,ACOD1,DFI,1.0
nested_cv,M7,MAB21L2_3,MAB21L2,DFI,1.0
nested_cv,M10,ANXA3_3,ANXA3,DFI,1.0
nested_cv,M10,FGL2_3,FGL2,DFI,1.0
nested_cv,M10,CYP2S1_3,CYP2S1,DFI,1.0
nested_cv,M12,TSPAN33_3,TSPAN33,DFI,1.0
nested_cv,M10,BATF2_3,BATF2,DFI,1.0
nested_cv,M10,TLR3_3,TLR3,DFI,1.0
nested_cv,M10,ANKRD22_3,ANKRD22,DFI,1.0
nested_cv,M10,DENND1C_3,DENND1C,DFI,1.0
nested_cv,M12,MEST_3,MEST,DFI,1.0
nested_cv,M10,LOC119877688,LOC119877688,DFI,1.0
nested_cv,M12,STUM_3,STUM,DFI,1.0
nested_cv,M10,SLAMF7_3,SLAMF7,DFI,1.0
nested_cv,M12,PRRT4_3,PRRT4,DFI,1.0
nested_cv,M12,LHX2_3,LHX2,DFI,1.0
nested_cv,M10,PIANP_3,PIANP,DFI,1.0
nested_cv,M10,LOC119874749_2,LOC119874749,DFI,1.0
nested_cv,M10,ACSS3_3,ACSS3,DFI,1.0
nested_cv,M12,CSRP1_3,CSRP1,DFI,1.0
nested_cv,M10,TMEM86A_3,TMEM86A,DFI,1.0
nested_cv,M10,SPN_3,SPN,DFI,1.0
nested_cv,M10,TLR7_3,TLR7,DFI,1.0
nested_cv,M10,PYCARD_3,PYCARD,DFI,1.0
nested_cv,M10,LOC111097086_3,LOC111097086,DFI,1.0
nested_cv,M10,LMO2_3,LMO2,DFI,1.0
nested_cv,M10,NCKAP1L_3,NCKAP1L,DFI,1.0
nested_cv,M12,XG_3,XG,DFI,1.0
nested_cv,M10,LAPTM5_3,LAPTM5,DFI,1.0
nested_cv,M12,DNA2_3,DNA2,DFI,1.0
nested_cv,M2,NETO1_3,NETO1,DFI,1.0
nested_cv,M10,PIK3AP1_3,PIK3AP1,DFI,1.0
nested_cv,M10,SERPING1_3,SERPING1,DFI,1.0
nested_cv,M12,MAP1LC3C_3,MAP1LC3C,DFI,1.0
nested_cv,M10,PID1_3,PID1,DFI,1.0
nested_cv,M10,PARP15_3,PARP15,DFI,1.0
nested_cv,M10,GPR34_3,GPR34,DFI,1.0
nested_cv,M10,CHPT1_3,CHPT1,DFI,1.0
nested_cv,M12,EPHA2_3,EPHA2,DFI,1.0
nested_cv,M10,P2RX7_3,P2RX7,DFI,1.0
nested_cv,M10,DAPP1_3,DAPP1,DFI,1.0
nested_cv,M12,SCML2_3,SCML2,DFI,1.0
nested_cv,M10,GRAP2_3,GRAP2,DFI,1.0
nested_cv,M10,LOC612325_3,LOC612325,DFI,1.0
