analysis_set,initial_factors,module_label,n_module_genes,module_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean,random_q95,observed_percentile,empirical_p_greater_equal,empirical_q_within_model_subspace,empirical_q_global
four_cohort_core_plus_frozen,16,M11,7,1.0,gse39055_shared,4,Factor1;Factor2;Factor4;Factor5,0.013019275605216754,2000,0.009816969608687736,0.01941965890495877,0.78,0.22038980509745126,0.4407796101949025,0.2906590183169285
four_cohort_core_plus_frozen,16,M24,7,1.0,all_retained,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.05484537277384542,2000,0.028141741353184428,0.04235909126246369,0.991,0.009495252373813094,0.009495252373813094,0.015027268974208549
four_cohort_core_plus_frozen,16,M24,7,1.0,shared_two_or_more,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.05484537277384542,2000,0.028141741353184428,0.04235909126246369,0.991,0.009495252373813094,0.009495252373813094,0.015027268974208549
four_cohort_core_plus_frozen,16,M24,7,1.0,ubiquitous_all_groups,3,Factor1;Factor2;Factor4,0.0028116783668106116,2000,0.00901938499804825,0.020720848108840065,0.1055,0.894552723638181,1.0,0.9749017706715504
four_cohort_core_plus_frozen,16,M24,7,1.0,partially_shared,8,Factor3;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.05378275311447676,2000,0.0208977516530654,0.037389633591270344,0.9955,0.004997501249375313,0.006663334999167083,0.008745627186406797
four_cohort_core_plus_frozen,16,M24,7,1.0,shared_non_ffpe_only,7,Factor3;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.05271137173566037,2000,0.020200315308530357,0.036754804207170366,0.995,0.005497251374312844,0.007329668499083792,0.009528569048808928
four_cohort_core_plus_frozen,16,M24,7,1.0,gse39055_shared,4,Factor1;Factor2;Factor4;Factor5,0.003444844585238149,2000,0.009788913261498769,0.02127594704266823,0.107,0.8930534732633684,1.0,0.9749017706715504
four_cohort_core_plus_frozen,16,M40,78,0.7027027027027027,all_retained,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.627911291140015,2000,0.08545504598891437,0.10583990311702572,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M40,78,0.7027027027027027,shared_two_or_more,11,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11,0.627911291140015,2000,0.08545504598891437,0.10583990311702572,1.0,0.0004997501249375312,0.0006663334999167083,0.0009281073748839865
four_cohort_core_plus_frozen,16,M40,78,0.7027027027027027,ubiquitous_all_groups,3,Factor1;Factor2;Factor4,0.004531705120029743,2000,0.05935020488218717,0.08118594697681336,0.0,1.0,1.0,1.0
