analysis_set,initial_factors,module_label,n_frozen_genes,n_naturally_selected_module_genes,natural_coverage_fraction,subspace_name,n_subspace_factors,subspace_factors,observed_capture,n_random_valid,random_mean_capture,random_q95_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,partially_shared,5,Factor4;Factor6;Factor8;Factor9;Factor10,0.3136872143356677,2000,0.009321562791442715,0.016557260204100498,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,shared_non_ffpe_only,5,Factor4;Factor6;Factor8;Factor9;Factor10,0.3136872143356677,2000,0.009321562791442715,0.016557260204100498,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,12,M40,111,64,0.5765765765765766,gse39055_shared,4,Factor1;Factor2;Factor3;Factor7,0.015440369382833965,2000,0.014360885928768082,0.02109468710637613,0.6355,0.36481759120439783,0.3986935103876634,0.46905118869136864
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,all_retained,13,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11;Factor12;Factor13,0.35554173812128037,2000,0.06351908108600665,0.07191387204448506,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,shared_two_or_more,10,Factor1;Factor2;Factor3;Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.3483185702794604,2000,0.05980209770255999,0.06787467634962982,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,ubiquitous_all_groups,3,Factor1;Factor2;Factor3,0.30210363311743194,2000,0.04434639491250441,0.0540642966189294,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,partially_shared,7,Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.02701653605237017,2000,0.014657976734863102,0.02317926227641972,0.9905,0.009995002498750625,0.013183063640593497,0.009995002498750625
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,shared_non_ffpe_only,7,Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.02701653605237017,2000,0.014657976734863102,0.02317926227641972,0.9905,0.009995002498750625,0.013183063640593497,0.009995002498750625
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,gse39055_shared,3,Factor1;Factor2;Factor3,0.30210363311743194,2000,0.04434639491250441,0.0540642966189294,1.0,0.0004997501249375312,0.000742347272965459,0.0014992503748125937
four_cohort_variable_only_1500,16,M34,162,100,0.6172839506172839,gse39055_specific,1,Factor8,0.004861044665321577,2000,0.00263319369013371,0.007373200937871752,0.839,0.16141929035482258,0.19294649550224888,0.4842578710644677
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,all_retained,13,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11;Factor12;Factor13,0.04782013211659907,2000,0.011658100123786187,0.017818917993228666,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,shared_two_or_more,10,Factor1;Factor2;Factor3;Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.04550776772568996,2000,0.00966116688818201,0.015237439172926224,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,ubiquitous_all_groups,3,Factor1;Factor2;Factor3,0.0025580582430308344,2000,0.004332191880577618,0.00785788200440029,0.1855,0.8145927036481759,0.8364609641487981,0.8145927036481759
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,partially_shared,7,Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.04467576756150651,2000,0.00531659679902315,0.010809265423216015,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,shared_non_ffpe_only,7,Factor4;Factor6;Factor7;Factor9;Factor10;Factor11;Factor12,0.04467576756150651,2000,0.00531659679902315,0.010809265423216015,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,gse39055_shared,3,Factor1;Factor2;Factor3,0.0025580582430308344,2000,0.004332191880577618,0.00785788200440029,0.1855,0.8145927036481759,0.8364609641487981,0.8145927036481759
four_cohort_variable_only_1500,16,M11,7,6,0.8571428571428571,gse39055_specific,1,Factor8,4.6205970448188974e-05,2000,0.0007220314795133565,0.0027130968179482685,0.2115,0.7886056971514243,0.8207936847902579,0.84007996001999
four_cohort_variable_only_1500,16,M40,111,64,0.5765765765765766,all_retained,13,Factor1;Factor2;Factor3;Factor4;Factor5;Factor6;Factor7;Factor8;Factor9;Factor10;Factor11;Factor12;Factor13,0.34204358070564894,2000,0.026753158441772413,0.033839559961163085,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
