variable,variable_type,pc,n,effect_size,statistic,p,test,is_transcriptomics_derived,n_groups,q
ALP,categorical,PC1,184,0.008890485555244774,1.6325828250786512,0.20297353821910916,anova_eta_squared,False,2.0,0.5081813117320692
Group,categorical,PC3,186,0.024907568365930874,1.5496573437667778,0.20327252469282764,anova_eta_squared,False,4.0,0.5081813117320692
age,continuous,PC5,186,0.008402655234953434,-0.09166599824882415,0.21337025615037014,spearman_rho_squared,False,,0.5190087311765761
primary_immune_subtype,categorical,PC9,186,0.016205420394456247,1.5072211179363069,0.2242616042945739,anova_eta_squared,True,3.0,0.5298131544135789
PH,categorical,PC4,186,0.007517659332497295,1.3937268810739605,0.2393005903535864,anova_eta_squared,False,2.0,0.5298131544135789
Site,categorical,PC9,166,0.0972748582150571,1.2599267709849697,0.24330281287684805,anova_eta_squared,False,14.0,0.5298131544135789
Site,categorical,PC2,166,0.09720274311645966,1.2588921514640805,0.24397075185747272,anova_eta_squared,False,14.0,0.5298131544135789
gender,categorical,PC4,183,0.015242444609489151,1.3930535565274456,0.2509798984428595,anova_eta_squared,False,3.0,0.5298131544135789
treatment,categorical,PC8,186,0.007091480475528529,1.3141516885384021,0.25313295155315435,anova_eta_squared,False,2.0,0.5298131544135789
treatment,categorical,PC4,186,0.0057058870181099985,1.055908103673307,0.30549924269885137,anova_eta_squared,False,2.0,0.6248848146112869
