probe_id,gene_symbol,probe_variance
ILMN_3247424,ADAP1,0.08621427506504808
ILMN_1763000,ADAP2,1.0732313580138655
ILMN_1776777,ADAR,3.4862818387067285
ILMN_1679797,ADARB1,1.9497374788874684
ILMN_1749493,ADARB2,1.32942129782141
ILMN_1657139,ADAT1,1.4964070544225985
ILMN_3245693,ADAT2,0.12576228722492916
ILMN_1806275,ADAT3,0.5911884078389892
ILMN_1659599,ADC,1.852238655733321
ILMN_1698777,ADCK1,0.06527219641813761
ILMN_1663132,ADCK2,2.451478636641188
ILMN_1700349,ADCK4,1.3648981835920568
ILMN_1761309,ADCK5,0.6811552987756422
ILMN_2120555,ADCY1,0.31728391120888166
ILMN_3241894,ADCY10,0.7888802296644153
ILMN_1810691,ADCY2,0.5460308442505519
ILMN_1676893,ADCY3,2.651464500937494
ILMN_2148944,ADCY4,3.1211912815774574
ILMN_1708588,ADCY5,0.1052361999717909
ILMN_1685156,ADCY6,1.3680736629807986
ILMN_1655935,ADCY7,0.5601265924919042
ILMN_1754440,ADCY8,1.5528288326042792
ILMN_1654287,ADCY9,0.042822680080163295
ILMN_1763344,ADCYAP1,0.12123747720162899
ILMN_1711736,ADCYAP1R1,0.005651699948470101
ILMN_2356786,ADD1,0.7683748518809793
ILMN_1694133,ADD2,1.5009015747299115
ILMN_1678501,ADD3,1.9239366050052509
ILMN_1764309,ADH1A,1.083890636973108
ILMN_1811598,ADH1B,0.5588146882696391
ILMN_1740717,ADH1C,1.1859537096848434
ILMN_2136010,ADH4,2.3108349508476187
ILMN_1738604,ADH5,1.8083122502841738
ILMN_1691175,ADH6,0.9427652370417646
ILMN_2223359,ADH7,0.003350488640840047
ILMN_1702858,ADHFE1,1.6589520064323828
ILMN_1813975,ADI1,1.7002654674430044
ILMN_1743331,ADIG,0.34347884704884407
ILMN_1775045,ADIPOQ,1.7207870458354286
ILMN_1688322,ADIPOR1,2.0241840955996566
ILMN_2224833,ADIPOR2,3.778230060764368
