endpoint,random_source,panel_size,n_valid,mean_c_index,std_c_index,median_c_index,q75_c_index,q90_c_index,q95_c_index,max_c_index
DFI,train_variance_top5000,7,500,0.5695348542071913,0.06488700715434192,0.5714285714285714,0.6117265577260452,0.6462715105162524,0.6730401529636711,0.768642447418738
DFI,train_variance_top5000,8,500,0.5744922549968875,0.05951085935822765,0.570446735395189,0.6125341889333054,0.6512861080465561,0.6731357552581261,0.7416829745596869
DFI,train_variance_top5000,10,500,0.5746453601136092,0.059922559289994244,0.5773787230687351,0.6123147889292704,0.6478080463621849,0.6768642447418738,0.7475538160469667
DFI,train_variance_top5000,12,500,0.5798536517207125,0.05764371001150948,0.5843040121390637,0.6153290744601496,0.6536502864327061,0.6711524067301178,0.7651663405088063
DFI,train_variance_top5000,15,500,0.5805235251273787,0.05907426681151499,0.5788497217068646,0.6214415194202138,0.6582171606108903,0.6768642447418738,0.745697896749522
DFI,train_variance_top5000,20,500,0.5782819240002688,0.05706216606331783,0.58054039607872,0.6158886595063153,0.6481835564053537,0.6749619274619929,0.7571701720841301
DFI,train_variance_top5000,25,500,0.5855269044755471,0.059823333750002164,0.58609076245306,0.6252390057361377,0.6660482374768089,0.6845333822258309,0.7402597402597403
OS,train_screen_top1000,4,500,0.5769366958750103,0.06641259240125993,0.5738303210830684,0.6286353467561522,0.666030534351145,0.6846867155079664,0.7404921700223713
OS,train_screen_top1000,5,500,0.5718178149119152,0.0678880373790128,0.5685064272597429,0.6136851257961065,0.6624045801526718,0.6858837120879764,0.7690839694656488
OS,train_screen_top1000,6,500,0.5695686273340262,0.06662412401233694,0.5655648126719638,0.6123325284312198,0.6643129770992366,0.6833015267175572,0.7576335877862596
OS,train_screen_top1000,7,500,0.5722474635719541,0.06663212924186818,0.5668934240362812,0.6166484107984402,0.6603053435114504,0.6908614683129258,0.7366412213740458
OS,train_screen_top1000,8,500,0.5747971393594064,0.06591729010051697,0.5681399997352501,0.6164122137404581,0.6717557251908397,0.6913488139761258,0.7595419847328244
OS,train_screen_top1000,10,500,0.5674318248794704,0.07063907588294198,0.5576471968097584,0.6133574978226344,0.6645038167938933,0.6946564885496184,0.7576335877862596
OS,train_screen_top1000,12,500,0.5747372531147524,0.07065599783320992,0.5639304766821545,0.6214673788978679,0.6758017828782212,0.6966603053435114,0.767175572519084
OS,train_screen_top1000,15,500,0.5743282495333099,0.06987229291696993,0.5614119673943789,0.6223386446301116,0.6734066806701162,0.704293893129771,0.7862595419847328
OS,train_screen_top1000,20,500,0.5714214926300148,0.0735093712525812,0.5578231292517006,0.6169242845067021,0.6870229007633588,0.7043893129770991,0.7824427480916031
OS,train_screen_top1000,25,500,0.5677355779929997,0.07425823958887033,0.5615212527964206,0.6157334728763301,0.6757633587786259,0.6967557251908395,0.7709923664122137
OS,train_screen_top500,4,500,0.5767995162258349,0.06518612196615978,0.5743385703597905,0.6220942940163028,0.6662213740458015,0.6870229007633588,0.7442748091603053
OS,train_screen_top500,5,500,0.5743751226550123,0.06785472547193164,0.5704697986577181,0.6176674009939034,0.6698473282442748,0.689102895039911,0.7480916030534351
OS,train_screen_top500,6,500,0.5745866842240314,0.06933459329930604,0.562358276643991,0.6176674009939034,0.684618832932015,0.702385496183206,0.7652671755725191
OS,train_screen_top500,7,500,0.5711612034254426,0.0713675478526157,0.5635398316696026,0.6176674009939034,0.6774809160305344,0.6985687022900763,0.7538167938931297
OS,train_screen_top500,8,500,0.5801233383918467,0.06808703192427422,0.5739644970414202,0.6278625954198473,0.6738549618320611,0.6948473282442746,0.7461832061068703
OS,train_screen_top500,10,500,0.5765757209580578,0.07107592047944741,0.5674703806571939,0.6253974962766171,0.6833969465648855,0.7041984732824428,0.7557251908396947
OS,train_screen_top500,12,500,0.5735299881590342,0.06996108743470301,0.5634883900331713,0.616504171643212,0.6814885496183206,0.6984732824427481,0.7557251908396947
OS,train_screen_top500,15,500,0.5753367980959415,0.07271455322919672,0.5670498084291188,0.6166715764127261,0.6833969465648855,0.7138358778625954,0.7652671755725191
OS,train_screen_top500,20,500,0.5676210091216508,0.07262388984902252,0.5542406311637081,0.6116411061466007,0.6795801526717558,0.700381679389313,0.7652671755725191
OS,train_screen_top500,25,500,0.5740102418938111,0.07277768468894875,0.5691609977324263,0.6089508333709743,0.6833969465648855,0.7099236641221374,0.7767175572519084
OS,train_variance_top5000,4,500,0.55311433779217,0.07153790278729,0.5550766774254146,0.5996168582375478,0.6421653260925253,0.6660623409669211,0.7718120805369127
OS,train_variance_top5000,5,500,0.5538004496998512,0.07481430497540245,0.5597723820535492,0.6064155438290897,0.6485504268821622,0.6699120088119268,0.7651006711409396
OS,train_variance_top5000,6,500,0.5547102185624582,0.07226519374199908,0.5522682445759369,0.6050623702143839,0.6487781136328705,0.6823325787961823,0.7449664429530202
OS,train_variance_top5000,7,500,0.5555179952274255,0.07096344872541502,0.5551826994780016,0.6032685263454494,0.6451602014851743,0.6737595419847328,0.7404921700223713
OS,train_variance_top5000,8,500,0.5605350399517421,0.07040076139825464,0.5619397647202058,0.6145038167938931,0.6530794868282883,0.6717557251908397,0.7633587786259542
OS,train_variance_top5000,10,500,0.5622615581737499,0.07101272866483399,0.5601577909270217,0.6136851257961065,0.6583969465648855,0.6774994876786721,0.7881679389312977
OS,train_variance_top5000,12,500,0.5655486027540695,0.06655651886847015,0.5651340996168582,0.6123325284312198,0.6507633587786259,0.6774809160305344,0.767175572519084
OS,train_variance_top5000,15,500,0.5658473903943836,0.06718208537732062,0.5630977450206194,0.6111111111111112,0.655444773329179,0.6774809160305344,0.7538167938931297
OS,train_variance_top5000,20,500,0.5616933834947284,0.06938373760471607,0.5660749506903353,0.6064155438290897,0.6490458015267175,0.6737595419847328,0.7480916030534351
OS,train_variance_top5000,25,500,0.5670762496483734,0.06913491101886678,0.5675485728536127,0.6149425287356322,0.6583969465648855,0.680514589638195,0.7576335877862596
