analysis_set,initial_factors,module_label,subspace_name,n_random_valid,random_mean_capture,random_q95_capture,observed_capture,observed_percentile,empirical_p_greater_equal,empirical_q_global,empirical_q_within_subspace
four_cohort_detection_aware_variable_only_700,12,M40,shared_two_or_more,2000,0.025244197279663212,0.03681771249349592,0.28595919931516695,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,12,M40,ubiquitous_all_groups,2000,0.020411085359713498,0.030419101605278977,0.2798486997294839,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,12,M40,partially_shared,2000,0.006125424862664117,0.015536581281428654,0.004698212479597067,0.4735,0.526736631684158,0.5596576711644178,0.6772328121653459
four_cohort_detection_aware_variable_only_700,12,M40,shared_non_ffpe_only,2000,0.006125424862664117,0.015536581281428654,0.004698212479597067,0.4735,0.526736631684158,0.5596576711644178,0.6772328121653459
four_cohort_detection_aware_variable_only_700,12,M40,gse39055_shared,2000,0.020411085359713498,0.030419101605278977,0.2798486997294839,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M34,all_retained,2000,0.06416962856749865,0.07924962140021678,0.3424813312552999,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M34,shared_two_or_more,2000,0.06272701498405386,0.07738985330237752,0.34052349792461234,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M34,ubiquitous_all_groups,2000,0.05975565181721684,0.07342371901221499,0.279353602785826,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M34,partially_shared,2000,0.0048049853129045,0.013410557103700503,0.0553369671906446,1.0,0.0004997501249375312,0.000742347272965459,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,16,M34,shared_non_ffpe_only,2000,0.0048049853129045,0.013410557103700503,0.0553369671906446,1.0,0.0004997501249375312,0.000742347272965459,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,16,M34,gse39055_shared,2000,0.05975565181721684,0.07342371901221499,0.279353602785826,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M11,all_retained,2000,0.02088626615519898,0.03335289809170515,0.07193279571361819,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M11,shared_two_or_more,2000,0.019085299569135992,0.03089215708428283,0.07105925484047106,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M11,ubiquitous_all_groups,2000,0.015913412050240956,0.025779933047004763,0.036683157443266494,0.9965,0.00399800099950025,0.0054615549368173056,0.005140286999357464
four_cohort_detection_aware_variable_only_700,16,M11,partially_shared,2000,0.003419510913739203,0.010790401492330211,0.03514304251913967,0.9995,0.0009995002498750624,0.001402968240650317,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,16,M11,shared_non_ffpe_only,2000,0.003419510913739203,0.010790401492330211,0.03514304251913967,0.9995,0.0009995002498750624,0.001402968240650317,0.0029985007496251873
four_cohort_detection_aware_variable_only_700,16,M11,gse39055_shared,2000,0.015913412050240956,0.025779933047004763,0.036683157443266494,0.9965,0.00399800099950025,0.0054615549368173056,0.005140286999357464
four_cohort_detection_aware_variable_only_700,16,M40,all_retained,2000,0.031011915326102032,0.044025217404756116,0.3132874417955217,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M40,shared_two_or_more,2000,0.02951107939345692,0.04232598699139574,0.30716415552115744,1.0,0.0004997501249375312,0.000742347272965459,0.000642535874919683
four_cohort_detection_aware_variable_only_700,16,M40,ubiquitous_all_groups,2000,0.026665564029756932,0.03818216351694202,0.3054726543337301,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
four_cohort_detection_aware_variable_only_700,16,M40,partially_shared,2000,0.003209952742080876,0.009870930422702033,0.0011873762500842345,0.3125,0.6876561719140429,0.7206259883756752,0.7736131934032983
four_cohort_detection_aware_variable_only_700,16,M40,shared_non_ffpe_only,2000,0.003209952742080876,0.009870930422702033,0.0011873762500842345,0.3125,0.6876561719140429,0.7206259883756752,0.7736131934032983
four_cohort_detection_aware_variable_only_700,16,M40,gse39055_shared,2000,0.026665564029756932,0.03818216351694202,0.3054726543337301,1.0,0.0004997501249375312,0.000742347272965459,0.0007496251874062968
three_cohort_no_ffpe_variable_only_1500,8,M34,all_retained,2000,0.051424092945832056,0.060539436818404326,0.31160405107010497,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M34,shared_two_or_more,2000,0.051424092945832056,0.060539436818404326,0.31160405107010497,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M34,ubiquitous_all_groups,2000,0.051424092945832056,0.060539436818404326,0.31160405107010497,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M34,shared_non_ffpe_only,2000,0.051424092945832056,0.060539436818404326,0.31160405107010497,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M11,all_retained,2000,0.007143021454715473,0.011799395786476609,0.028438778318905417,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M11,shared_two_or_more,2000,0.007143021454715473,0.011799395786476609,0.028438778318905417,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M11,ubiquitous_all_groups,2000,0.007143021454715473,0.011799395786476609,0.028438778318905417,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M11,shared_non_ffpe_only,2000,0.007143021454715473,0.011799395786476609,0.028438778318905417,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M40,all_retained,2000,0.02282946530174521,0.029452575169486944,0.31121751653813584,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M40,shared_two_or_more,2000,0.02282946530174521,0.029452575169486944,0.31121751653813584,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M40,ubiquitous_all_groups,2000,0.02282946530174521,0.029452575169486944,0.31121751653813584,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,8,M40,shared_non_ffpe_only,2000,0.02282946530174521,0.029452575169486944,0.31121751653813584,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M34,all_retained,2000,0.05472953750567436,0.06334444555531898,0.3184396209291741,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
three_cohort_no_ffpe_variable_only_1500,12,M34,shared_two_or_more,2000,0.05413561744384555,0.06284734577440944,0.31593501695071474,1.0,0.0004997501249375312,0.000742347272965459,0.0004997501249375312
