module_label,score_variant,adjustment,covariates,n,events,hr_per_sd,ci_low,ci_high,p,coef,se_coef,c_index,ph_test_p,error,interpretation_note
M11,strict_signed_mean,age_plus_post_treatment_necrosis_response,age_z;good_necrosis_response_ge90,36,18,1.1734844590238949,0.7398142028327455,1.8613670436412606,0.49671967876053047,0.15997749295230485,0.23537865907403657,0.6633663366336634,0.39800956595558,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M24,strict_signed_mean,unadjusted,,36,18,0.88617265418597,0.5585244107375134,1.4060298134329368,0.607888962456079,-0.12084347807721829,0.23552140718662565,0.5643564356435643,0.20284113591897776,,
M24,strict_signed_mean,age,age_z,36,18,0.8700464025559924,0.5372012408173485,1.4091194976558175,0.5714871907369541,-0.13920873248458035,0.2460115470834623,0.5866336633663366,0.20497981750926464,,
M24,strict_signed_mean,age_plus_sex,age_z;sex_male,36,18,0.8820138933161632,0.5405284401668212,1.4392369581194302,0.6152956119242659,-0.12554747104026615,0.2498314039718543,0.5792079207920792,0.21004877585457538,,
M24,strict_signed_mean,proliferation,strict_human_meta_proliferation_pc1_z,36,18,0.7896047947599026,0.4646821177895829,1.3417252526815544,0.3825173676041653,-0.23622271849034127,0.27050446361072555,0.5668316831683168,0.5440070690295079,,
M24,strict_signed_mean,age_plus_proliferation,age_z;strict_human_meta_proliferation_pc1_z,36,18,0.7661720012816529,0.4380822813552954,1.3399755263597293,0.35037061448456475,-0.2663485896938298,0.2852092915933829,0.5643564356435643,0.5526286347918523,,
M24,strict_signed_mean,post_treatment_necrosis_response,good_necrosis_response_ge90,36,18,0.8186046106991501,0.4949212509548679,1.353980067263297,0.43562858331675247,-0.20015408251952768,0.25674070518600106,0.6905940594059405,0.16186557983655295,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M24,strict_signed_mean,age_plus_post_treatment_necrosis_response,age_z;good_necrosis_response_ge90,36,18,0.8234003537360557,0.48758322493501854,1.3905075233525903,0.46732955835157497,-0.19431274004227675,0.26734243557037957,0.6881188118811881,0.17205339425158425,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M40,strict_signed_mean,unadjusted,,36,18,0.7834323625032519,0.448881882533127,1.3673224304661737,0.39036928850196284,-0.244070548285487,0.2841506016491719,0.5445544554455446,0.5863654601930345,,
M40,strict_signed_mean,age,age_z,36,18,0.7848748685014559,0.4491042454291139,1.3716827784973833,0.3950909838988502,-0.24223097708862498,0.28483649345332424,0.5495049504950495,0.5894815571751941,,
M40,strict_signed_mean,age_plus_sex,age_z;sex_male,36,18,0.7846650374584537,0.4536620767847849,1.357175863967491,0.3856870628486365,-0.24249835613831391,0.2795481603405472,0.551980198019802,0.598916570504097,,
M40,strict_signed_mean,proliferation,strict_human_meta_proliferation_pc1_z,36,18,0.7728665565140801,0.3918309942991594,1.524439676463882,0.45723162063374456,-0.2576488759386516,0.346575650659542,0.5420792079207921,0.5599829919634713,,
M40,strict_signed_mean,age_plus_proliferation,age_z;strict_human_meta_proliferation_pc1_z,36,18,0.7759434072893819,0.3930927870795432,1.5316693439964386,0.4646979308063893,-0.25367569020914543,0.34696244966529804,0.5495049504950495,0.5530283231545376,,
M40,strict_signed_mean,post_treatment_necrosis_response,good_necrosis_response_ge90,36,18,0.837065732378625,0.4679910694368842,1.4972060068703112,0.5488354534301472,-0.17785267826844484,0.2966653428146472,0.6584158415841584,0.5854225861975093,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M40,strict_signed_mean,age_plus_post_treatment_necrosis_response,age_z;good_necrosis_response_ge90,36,18,0.8363820563122837,0.46815988715102447,1.4942223016546055,0.546187624804676,-0.17866976513425384,0.29606443875559607,0.6534653465346535,0.596035084916809,,"Percent necrosis is post-treatment and is included only as a mechanistic/sensitivity adjustment, not as a primary baseline confounder."
M40,M40__strict__signed_mean__residual_to_disjoint_proliferation_z,m40_residual_unadjusted,,36,18,0.8057522102704349,0.4783823516672936,1.3571500330079558,0.41683352314248845,-0.215979015168497,0.26600792478724844,0.556930693069307,0.35351107371350854,,Residualized M40 is a mechanistic sensitivity score; PH violations should preclude a simple constant-HR interpretation.
M40,M40__strict__signed_mean__residual_to_disjoint_proliferation_z,m40_residual_age,age_z,36,18,0.808659875583611,0.4797171644161181,1.36315905055185,0.425370731745234,-0.21237687605833439,0.2664241371836976,0.5643564356435643,0.3421051235132201,,Residualized M40 is a mechanistic sensitivity score; PH violations should preclude a simple constant-HR interpretation.
