gene,gene_symbol_clean,candidate_source,coef_dfi,hr_per_sd_dfi,p_dfi,q_dfi,c_index_dfi,coef_os,hr_per_sd_os,p_os,q_os,c_index_os,same_direction,combined_rank_score,candidate_rank
TOP2A_3,TOP2A,dfi_top400,0.3028852578850038,1.353759122345425,0.0009759325454425,0.0206914080183735,0.5941167731392066,0.246229968958283,1.2791937145647705,0.0088011458053397,0.1062195405934212,0.5949468297753259,True,645.0,235
PTPRC_4,PTPRC,dfi_top400,-0.2722941369772875,0.7616302045336214,0.0009783038805804,0.0206914080183735,0.6046649829148715,-0.299645197696021,0.7410811113275909,0.001076158083247,0.0633337040934449,0.6148556808187415,True,318.0,236
DTX3L_3,DTX3L,dfi_top400,-0.2771244514017159,0.7579601620359537,0.0009883315444071,0.0206914080183735,0.5941167731392066,-0.2828442897277471,0.7536371277663102,0.0025953347271845,0.0789676472281004,0.5917486207723675,True,401.0,237
ATAD2_3,ATAD2,dfi_top400,0.2903280523014346,1.3368659780585193,0.0009905395883035,0.0206914080183735,0.5802258208290001,0.3039605113979661,1.3552155394659222,0.001416662855423,0.0647683611431376,0.5871112177180778,True,345.0,238
KIF15_3,KIF15,dfi_top400,0.2829971350631074,1.3271013597500652,0.000995460706499,0.0206914080183735,0.593076808795127,0.2272983730700753,1.2552043312425032,0.0112666914844714,0.1190975497656275,0.582953546014232,True,712.0,239
APOBR_3,APOBR,dfi_top400,-0.2546204869484019,0.7752106446986883,0.000995850009648,0.0206914080183735,0.5826771653543307,-0.1907625678753431,0.8263287618548949,0.0255837496134146,0.1721518000887166,0.5586471575917487,True,983.0,240
H2AX_3,H2AX,dfi_top400,0.2750146798401129,1.316550001469288,0.0009986104445677,0.0206914080183735,0.5624721438122121,0.2494924077211074,1.2833738206868688,0.0045066289764689,0.0849459791984949,0.5740785160310227,True,504.0,241
LOC119879410,LOC119879410,dfi_top400,-0.2840448658117561,0.7527328719772447,0.0010037110828969,0.0206914080183735,0.5834942801961076,-0.2007986463439406,0.8180771377938345,0.0263253367895608,0.1738793711331624,0.5525705604861277,True,999.0,242
CHST2_3,CHST2,dfi_top400,0.2960624900185165,1.3445541754221824,0.0010056024296929,0.0206914080183735,0.5782201753082752,0.2643749421848659,1.302616510630891,0.0099256992006992,0.1117758918997658,0.5412169185256257,True,687.0,243
ADAM19_3,ADAM19,dfi_top400,0.3063664690538247,1.3584800562382422,0.0010144755292958,0.0207443332615506,0.6006536918734214,0.2259263776592514,1.2534833775006664,0.0223362577967229,0.1611562611596172,0.581194531062605,True,937.0,244
NCAPH_3,NCAPH,dfi_top400,0.2759328590476495,1.3177593854369611,0.0010167055579483,0.0207443332615506,0.5920368444510474,0.2669604328113391,1.3059887710042462,0.0033568581236539,0.0831254648485066,0.5886303669944831,True,445.0,245
POLQ_3,POLQ,dfi_top400,0.2791623198318918,1.3220219168296417,0.0010207237659866,0.0207443332615506,0.5733917694250483,0.2594270217557148,1.29618718679481,0.003849332306948,0.084046556920264,0.5680818741504757,True,475.0,246
SLC5A6_3,SLC5A6,dfi_top400,0.2786459062856662,1.3213393830533962,0.0010258758784997,0.0207443332615506,0.5924082602882187,0.2240546740188811,1.2511394223788153,0.0120184889029058,0.1228971353258366,0.5697609338770289,True,735.0,247
MTFR2_3,MTFR2,dfi_top400,0.2822784256363526,1.326147902163073,0.0010309687515568,0.0207443332615506,0.5898826325954538,0.2226646154206439,1.2494014734724022,0.0177657767623271,0.1462721258335606,0.5817542176381226,True,853.0,248
TYROBP_3,TYROBP,dfi_top400,-0.2612389047487217,0.7700969178258591,0.0010330677964252,0.0207443332615506,0.598202347348091,-0.2784407579396942,0.7569631104758452,0.00116932796979,0.0633337040934449,0.6064603821859759,True,341.0,249
