,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12
CDCA8,-0.041168105180675076,-0.019352853174366122,-0.0739057551530273,0.08141730677548276,0.03133545468734589,0.04279972875045153,0.01140230580020409,0.02080067143734033,0.04301378999610084,0.03965969919243093,-0.06485253004871915,0.021066181629451775
CEP72,-0.03430390072642643,-0.01852822871157511,-0.043981616088794584,0.06992794084202218,0.004808297706134871,0.02147758364021691,-0.007024519395053807,-0.006964597381238818,-0.0018885933023238793,0.00599456340170543,0.02164342232101013,0.04008764121182389
CHST2,0.005716193056603617,-0.004347085513222324,-0.020230891117733935,0.06366972217046307,-0.011789865844735663,-0.06037776500748226,0.053835874558761425,-0.09407038072988835,0.030674857667477642,-0.03847396191238886,0.05424155413567671,-0.002902428228311788
CLEC12A,0.06871655294898342,0.004954791753433069,-0.020553703779805158,0.021557888384545698,-0.050967392792983256,0.024707673571983158,-0.03145731411981622,0.017802791227530798,-0.00045377687978402984,0.014914473892622333,-0.02184042589572396,0.0018725147230814962
CLSPN,-0.03479866009131658,-0.01925800762037339,-0.05450722764763375,0.08416534253371923,0.023829759405766697,0.04043788884549592,0.05201467673693775,0.02104794051831556,0.020029319978498807,-0.01840827010609744,-0.03183429741662816,0.021974906432925843
CLTCL1,-0.020539666232925892,0.024041403354225797,-0.029835600831948812,0.07620301504647993,0.0013343689839758993,0.002126817163612068,-0.04994564425494599,-0.035198871886897,-0.01917539777302094,-0.0359478018718143,-0.05203690912657072,-0.0357823663868823
CSF1R,0.06729521427032491,-0.04639939442957043,0.016388850412125178,0.02933667875939761,0.06004542136613004,-0.0410496297116114,-0.03770653706732737,0.008496538723820665,0.0010689760547037126,-0.012381173767567838,-0.01359089523666182,-0.002329862632822129
CSF2RB,0.0705622063091167,-0.006481935894122405,0.0018941060229194211,0.023594399558594267,0.01376185146390483,-0.04223377780391817,0.021920942819307378,0.015518297998148273,0.013718008434728706,0.008859065950175368,-0.018161916082216394,0.034498029159548194
CTSH,0.05406016259432699,-0.01151961837610467,-0.0031416939414695175,0.007432954257559567,-0.011588516107862754,0.07533309776500155,-0.04743497916839573,0.018723600485072364,0.0008727773118164146,0.03111752276231531,0.020801968639139114,-0.015163940332673738
CXCL14,0.03124436966230294,0.05544169499281786,0.0580535248537084,-0.00307672772293529,-0.00966937819450032,0.009137310937966284,-0.002783357719324222,0.036157584658127975,0.01874852390539759,0.03375150307462597,0.026848258842553346,0.07608780866415518
CYP4V2,0.06209810377744423,-0.009616865715837074,0.016454675186634373,0.004312547564405448,0.001599557502347095,0.04943581124548165,0.010134923953120531,0.030356771339947006,-0.015026507143238534,0.007298581769429662,0.0029649098277349127,0.03213802977146187
CYSLTR2,0.05022120677105689,-0.006625395859793675,-0.008836896797652939,0.016643367867233395,-0.044881950841614934,-0.010068456791532645,0.04299333391265802,0.033934554861876125,-0.0072671235477423605,-0.026707409770407115,0.04200727244978505,0.011096320063874204
DAPP1,0.06704158605959251,-0.006391467271773086,-0.03055086387354249,0.024267752143644298,-0.03446915818343857,0.006171316625019229,0.02308023934051414,0.01475112812679872,-0.0623229630937002,-0.03593487588600927,0.03914289069571991,0.04074276818174962
DENND1C,0.0742361018005474,-0.01992234046916744,-0.018041603425675817,0.020810644539585255,-0.014563854143747605,-0.023156220357347157,-0.03569822986001979,-0.009096258851429334,-0.011516211390614772,-0.001583372964031138,0.02600795380749449,0.03257459065097027
DEPDC1,-0.04758095693312971,-0.01251607044638114,-0.06188312733238602,0.07604789470327472,0.031525200291552646,0.03228804687282312,0.05568825080643926,0.031035051888395872,-0.009807922760112896,-0.02434903245143484,-0.025705948026033175,0.02656653030216167
DNAJB1,-0.019022301421886812,0.0028188746535263848,2.9774566618575617e-06,0.026365014759735662,0.032247025805256006,0.07310194904546169,-0.016207090363596313,-0.039309483097883756,0.010458610714592868,0.12663599104750814,0.03132992311293171,-0.02794106030040526
DNASE1L3,0.046277704026863986,-0.013266149349055208,0.039881153293481436,0.016976355689695025,-0.04286465117153824,0.0019555673553271775,0.008391897848809863,-0.030614923327449056,0.047160500461345005,-0.004141811311047258,-0.008727887694257617,0.06062106059362679
DOCK2,0.08051181509090069,-0.011929661229981132,-0.029686849122487785,0.03716301245984165,-0.025767521676704406,0.018692923942348845,-0.013137745805240025,0.022879819913022695,0.002927758045724974,0.0019046731996719872,-0.022871483461298966,-0.03926825122620543
DOK2,0.0682611035249504,-0.006953239023645366,-0.047366961315964774,0.019828116575789763,-0.03529125194874423,-0.02165777967503184,-0.022254662424909873,0.016574053158564687,0.006092874618311882,-0.016373712222932213,0.03116321785286242,-0.030916646430188134
DRD1,-0.004098099200707851,0.015873360095095962,0.011298846606971263,0.02995591717050134,-0.02166131879854604,-0.0033423892097753393,0.05928264334050504,-0.045461392788889575,0.03657691874627913,0.0027691837001391044,0.012149322613413945,-0.01262125832489365
DTX3L,0.041980493571315655,-0.026358931473705473,0.011123348808681951,0.024157704581271186,-0.010306810860737108,0.11505230088889111,0.019520236355171777,0.03727367283350797,0.004357974774847513,0.0051466275180834615,-0.0011786018493958382,0.034938730461853196
E2F1,-0.04590299656996555,-0.025572667856824795,-0.07050451817967895,0.04677433299318485,0.018378788605437624,0.00805710319776649,0.01563197598505182,0.004371108879597119,0.03205543249712131,0.059032057176553604,-0.012918452341091157,0.006678491578524803
E2F7,-0.03459468949987967,0.01839993494630934,-0.05778148350097933,0.09442752518954918,0.04796212875693731,0.024238348885193852,0.03315067004558297,0.016169710462451966,0.01315113079059587,0.001174914557025587,-0.04651021249593687,-0.021904231700081656
E2F8,-0.03592660708445078,-0.02535351391760686,-0.0522093210105236,0.08517014777254872,0.01680408276190435,0.03526995173537564,0.0452463458027283,0.02690504965948804,0.03856368045760759,0.04016975687843434,-0.053247264356341056,0.021873350370643994
ECT2,-0.03242657776099863,-0.010489552689408925,-0.0665201307598541,0.07535909235178316,0.04426947193627619,0.03982304866653675,0.051803937867809034,0.030947079588899064,0.025147148984070753,0.053892130054493684,-0.05829599437905728,-0.012336811058484873
EGR1,0.02155067087918743,-0.005213382283680877,0.02429730476826158,0.01446985092030232,0.010829903648596512,0.005516659183430377,0.06009756875186259,-0.025295679755257636,-0.01167264668817151,0.050113817549530294,0.037134056168930445,-0.023363301188742913
EHD3,0.026572536882645464,-0.04366775247615921,0.054581832657877395,0.0017425339934384213,0.024198755355809808,0.0214184047791528,0.07169722456480704,0.007637318058836197,-0.020318166482721826,-0.023959599137094473,-0.02691033684681596,0.009486041865078532
ELOVL4,-0.043996283656048296,-0.01282435151636117,0.0001314115412302183,0.053785770775691716,0.013849360976211686,-0.007016591340777107,-0.01964737924575273,0.011719139120452072,-0.008268111387174554,-0.010803499116356183,0.013630079756797616,-0.062113255386595026
ENPP5,0.04114157071888333,-0.04022334336403912,0.028590603442014157,0.0016692868245908304,-0.0010297185195825929,0.017849606553780303,0.041066946640953186,-0.025718356380081065,-0.07636825247934206,-0.026034266545900915,0.01709023419096713,0.017381930025629308
EPAS1,0.051855565544601474,-0.004075004559192069,0.08066400349838611,0.007480237551925438,-0.00953165507954012,0.039514989505789855,0.06809830646701603,-0.03359658640368277,0.01824963943549702,-0.013193930971734892,0.008173859421485479,0.00047130249939024253
EPHA2,-0.029764441906500266,-0.04044155921071172,0.0028561859598333454,0.04421438893943903,0.015285419129734776,0.0045936595072454045,-0.008048907741175441,0.03940666418759613,0.033751186396626554,0.014396438974032578,0.06104663605229513,0.01998674068915077
EPHB3,-0.020177576829259317,0.07275526304925044,0.010926064353053586,0.04730943942272702,0.027233063554757173,0.02642263208184727,-0.04861248846050199,0.037039765118734067,0.051951068234594694,-0.002558133002416205,-0.004105375213011374,0.030377757200404754
ESPL1,-0.03780220338687217,-0.03595437703779184,-0.049767184705077856,0.07113745012566154,0.041776273843673856,0.05504930725037666,0.027837535874518912,-0.007797946314137592,0.016047687889993802,0.0648820895041237,-0.01971856344430833,0.030105248285248076
EVI2A,0.05131360790485614,0.014988884067308627,-0.01751567013230918,0.0005694688136946827,0.02013425891463023,-0.05438515996748768,0.04103060200148795,0.1064500724256586,-0.039832969331370774,-0.06992814705986941,0.03198721088881431,0.011602052862723942
