,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
MYO1G,0.07301873897343165,-0.010849664740599023,-0.02418371141109336,0.030276392655381082,-0.025061045406363024,0.010128705619237118,-0.05007517377223859,-0.007276868148018263
NCF4,0.0734098566319017,-0.04134538818015564,-0.011914548053677775,0.021121009482221478,0.015113564560097683,-0.023690329887564164,-0.05655757864464997,-0.0075438330067088746
NDUFB9,-0.024477894674449455,-0.043396703549036734,-0.03619122668454611,0.01750275210821485,-0.010718865254360398,-0.0010253448463840124,-0.011586777652262745,-0.009637564224516419
NETO1,-0.030220442118347374,0.007286850801005075,-0.03044635456704981,0.060262759872448626,-0.022230288781009768,-0.0650441681327091,0.0019136116875696774,-0.041634385425650164
NFAM1,0.06873481456367386,-0.023781185651259036,-0.023027122098075312,0.03547042585549384,0.0061841935338747805,-0.01037009739525296,-0.031183963263115996,-0.006586526245020855
NR2F1,-0.011827988830770658,0.043066004729407026,-0.007376533481432152,0.059990198628654325,0.011437889779445464,-0.03935837164432916,0.023739217901973194,-0.06550839308980408
OAS1,0.04770954399781307,-0.024448455414268263,-0.010361691882017361,0.014198058176699713,-0.015045065978607093,0.09633775069075848,-0.02831284483529502,0.049359390750331696
OAS2,0.054430974664874635,-0.014583063195219112,0.0002453893970056141,0.013654600982379837,-0.009785863593733374,0.08513064182649407,0.00897000396018124,0.04056727994345005
OSBPL3,0.038677309262717084,0.010458431510884006,0.011330397089945364,0.04899165163119881,0.019570192017943595,0.03152189583628043,0.038713165264427016,-0.030002269874308155
OSR2,-0.027483910061822752,0.03711696683245644,-0.004331243941919076,0.03676933760349517,-0.022401749139013084,0.008481799291106935,0.01365223738424413,-0.03364171084076005
PAG1,0.04139287193613773,0.017150721807947803,-0.021269198640314246,0.056724612386214165,-0.016234148403600403,0.008642676232201775,0.0006566877074203233,-0.017677485626474088
PAPPA,0.02562353315216859,0.00267934316426596,0.05469823757473856,0.009301044372953728,0.024882116075860997,0.013607396573826596,0.06502141850814731,0.017714409059232057
PARP12,0.06488107708260543,-0.027865675352370625,-0.002407577482633227,0.0006469101397041945,0.0012072303695941904,0.07692565143652724,-0.004190229876165835,0.01288189600961304
PARP14,0.05066083974132078,-0.01963558200866352,-0.006277517909256557,0.028068374231990507,-0.029172178734694135,0.0949649221879351,0.010897209900004881,0.04154565749505877
PARP15,0.0618900286287129,-0.03250739470240243,0.0117683302003874,0.005566508740185256,-0.022041560397103255,0.042876036731925776,0.04355030100679736,0.018009559602842378
PARP9,0.05338219317870357,-0.017366296247877378,0.011866745566048924,0.018481865871190422,-0.012901324764096948,0.11225302870364962,0.005668015047284409,0.033989193291068046
PARVG,0.07676850401713643,-0.009083604587150278,-0.028041556912648,0.03288940012341161,-0.013685015639089611,0.005918526606565855,-0.050692650281115414,0.0026878766774994355
PIK3AP1,0.06460945677479117,-0.03829298340039749,-0.006262988131116429,0.02609250810105232,0.00846182996887493,-0.0023264823424889486,0.018008576319027195,0.03486530731876494
PIK3CG,0.060828412436603224,-0.04287907556115925,0.014362345386510393,0.03918856187143822,0.05047130862782726,-0.03430568512761941,0.02372370006838983,-0.004658400722161727
PLK4,-0.03277549558362887,-0.01261679940286102,-0.07248096518605487,0.08241224917419444,0.02581135829451488,0.033883869762991486,0.0688486608836949,0.023795420795510287
POLE,-0.04742989033797054,-0.01692976617799421,-0.04912143427851469,0.08621331553093557,0.009566338190288612,0.030156856297486927,0.01642262961296949,3.0138129580584844e-05
POLE2,-0.0345426084103305,-0.013804926336516282,-0.06550654494203355,0.07206290765882095,0.029258142570874234,0.00020940497227087476,0.02709586223402998,0.016998750371694554
POLQ,-0.04326952447462332,-0.009065691117611921,-0.05907991900809605,0.07193339266598227,0.004294586317194178,0.023003356292918806,0.056283521688431336,0.011169318874827408
PRDM1,0.05560335641497084,-0.035119081838110404,0.009946149001160347,0.042064171038778735,0.05500541784654875,-0.0552932989393394,0.026767821703670768,-0.02440813725614771
PRKAR2B,0.03852251526786394,-0.00217867846411252,0.010837635358104074,0.003987521757234682,-0.053929362870043684,-0.009625109999127628,0.050864125669112345,-0.002760281463511062
PTAFR,0.07733465274109128,-0.017069683739297882,-0.024465098088805932,0.012654400544942138,-0.022168529916900943,0.005739583582594703,-0.003927347052653346,0.0009104691637940397
PTK2B,0.07030045125259832,-0.029519533091591606,-0.00886426192140693,0.02548573993149314,0.03291777890045914,-0.03249999135306994,-0.02003773481298418,0.0008012912914607869
PTPN6,0.08177260533571049,-0.02113879276293905,-0.029709851836623596,0.02010667795318502,-0.018635568648854857,-0.010283789974424532,-0.033601494920527435,0.0035909522895275457
PTPRC,0.07612432723192805,-0.026349198875997598,-0.01676921802379338,0.03675112839383493,0.006048811351293733,-0.01284929104055727,0.0005484011138901558,0.016739430030468575
PTPRJ,0.06186520504957125,-0.036584449619054445,0.007516532859558513,0.022906448102238283,0.03753255098598417,-0.011222442169449023,-0.0022461112698337025,-0.018676134866289384
PTPRO,0.06367015611768624,-0.011010780019719732,-0.008706009775082697,0.029217395119371034,-0.034660608019275015,0.006308008785434869,-0.0053936858483629065,0.022764755428751043
PYCARD,0.07643916984822584,-0.017685061880575448,-0.019772229473489437,0.01112628868364627,-0.018737719002739725,0.011035340615158824,-0.06748744528132823,-0.0009770102326274825
RAB30,0.019082696862844785,0.033174298156314834,0.04236567594499504,0.0031748211593206023,0.01900476049050133,0.07132503509936715,0.045444518840218134,0.0570473700365457
RASSF5,0.05050467121526995,-0.014573143243880284,-0.006024866606975694,0.023391332160324154,-0.028743554485610303,0.019972584315344055,-0.027165707761647846,0.009572092300225241
RCOR2,-0.056465813651845366,-0.03355681594220994,-0.00569086747198351,0.04127967920196411,-0.044177613057513644,-0.04208387055089477,-0.029399987818467827,0.07878049526228013
RECQL4,-0.038245573879093026,-0.013843172190817706,-0.06299183483419499,0.051562816355618976,0.004813487704432056,-0.0017902316011252292,-0.026297514399975748,-0.0075883153934467725
RELN,0.01528610902748731,0.022752202675844227,0.030780584142798724,0.024053842164406525,-0.023456933869189463,-0.06228512695296971,0.07277169467622333,0.015353904573132472
RETSAT,0.03828432891921076,-0.02124154865221541,0.03094931999669704,-0.009848457594056403,0.06123549113674766,0.06661217072878906,-0.0024251146315928153,0.020077218663519178
RGS18,0.07307575734666635,-0.006610677038007223,-0.011689202952408249,0.015905687839336734,-0.05959145878594751,-0.0035566934445024965,-0.0023530877061649184,0.03058426416731741
