,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
IGF2BP2,-0.015451521837874944,-0.004048955881786614,0.011749962483545023,0.0324096015231028,0.0011784715258102707,-0.0017779079176607994,0.006310006077210254,-0.0240689148681383
CXCL12,0.040247492692656255,0.015307206974417849,0.03192766356211081,0.0072087107113795075,-0.009533113700110733,-0.014125607299960149,-0.01814367685823132,0.020662207225143673
PRSS35,-0.00859393870479714,0.013639218344476439,0.02968176810713149,-0.02268115882914231,-0.016920206967476394,0.03038717123525248,0.007426165164768349,-0.05314322990679095
ABI3BP,0.02391212003767592,0.05152252228094836,0.03182111874513859,0.009989833177798859,-0.015707190167817815,0.00869669109276402,-0.012574374168887601,-0.018189866494710945
EYA4,-0.021950076010877978,0.008565599851816501,0.021166226193842803,0.04333842373790518,-0.01706398779526007,0.002031519630144001,-0.014040412119402568,-0.03153257597826967
NDN,-0.006864030869878398,3.619591687452806e-05,0.011659490537994586,0.010843257701531286,-0.021680181527556006,-0.020277016720103666,-0.0004986966854018601,-0.03602500130540776
SERPINF1,0.0070178371708174946,0.017856188093558156,0.0281573180049209,-0.01296560223911878,0.0071616028203502664,0.03885060224075113,-0.07357099496474463,-0.03347210056185735
EBF3,0.0034139818777261252,-0.012531438186707718,0.042893261896998526,-0.00413089454400269,-0.040124549857129085,0.003510404418987057,-0.0007821206342041526,0.028181422686180173
SLC13A5,-0.028146424938171846,-0.0006535332730772351,0.01219969569097551,0.03380194716351285,-0.0314088895485912,0.02077526523695848,-0.061489034137084495,-0.027546888055522835
PPP1R14C,-0.005495733400350578,-0.012312078942406492,0.013719558129859113,0.00421015788759291,-0.019608774788988335,0.003845640073421353,-0.00013199709509301247,-0.026651370618209682
SERPING1,0.0412778991297769,-0.015180648837948117,0.03417762980333226,-0.027568291440427366,-0.006225428150866661,-0.026391631845957268,0.010593785834466352,-0.01629226873426874
CD248,0.010343930930692136,0.03929974962329685,0.02340173442229979,0.014001626236547592,0.01774007096663236,0.021685573492767767,-0.05397371112771369,0.00016870811285005748
EEF1A2,0.002745047883538089,-0.014791360414483942,0.01867250044132109,0.0008834040391951475,0.0014662703854476764,0.01126662308741959,-0.02810930430333258,-0.03178805677549284
COL24A1,-0.03728355902057856,-0.023393161646793996,0.029800423281688918,0.01269111463629923,-0.010753597958909594,0.018807456039941484,-0.015248330382449741,-0.033963680023574784
CXADR,-0.02931587146216485,-0.02075959818556161,0.010771685899562636,0.039408850607966076,-0.015423582692764889,-0.00687802472794964,0.019917612219720097,-0.03542902786491957
EFEMP1,0.014220541276895763,0.03906153810200687,0.02102579017133346,0.010832252483984117,-0.013810362563757117,0.006843473465144845,-0.016062753399861903,-0.041524603643851125
ESM1,-0.006311330841719096,-0.010895526893258657,-0.0008202089026133244,0.020636267331340757,-0.015084141156038193,0.036890731246005455,0.03436850072361587,-0.022607904731162486
SLC8A3,-0.04216702094619667,-0.035546744482565826,0.030821115962412136,0.01066446530792037,-0.03192034704700313,0.011320547971604594,-0.02429719554118778,-0.02494579043361421
PHOSPHO1,-0.03068859741180542,-0.03669100169350898,0.01974580031313862,-0.005371505655356389,-0.04597786230013673,0.02989367593927243,-0.0435129486619011,-0.041022275827637254
LAMC3,-0.012552410002366478,-0.003183920825171764,0.05133680220533152,-0.015645554302601873,-0.008856597686133996,-0.04103846692423689,-0.005842775731917044,-0.0043982753726261314
PRND,0.021376638963263323,-0.0073387613546502745,0.04743663159054977,0.01142186757839082,-0.034810560121281545,0.038719165906476616,-0.005918816269316627,0.052248684692871125
COL9A2,-0.02416024698077637,0.022360776238057194,0.01251046153578378,0.023130322106211475,-0.014162263630825626,0.0002458211175802613,-0.062364567395567234,-0.016591649367064292
HMOX1,0.0410961880621696,-0.005354380109255073,-0.01922453373232179,0.033300490610190144,0.017965414569935695,0.009262007394455669,-0.007122837339073726,0.0035211068762763128
KAZALD1,-0.036249354998305984,-0.010140043348954002,0.02018018161260031,0.002917609724371476,-0.04587699397378722,-0.0036408485815499587,-0.02158166123295823,-0.016701969621662104
DCN,0.014870371035863982,0.03482024144251009,0.021567290629954095,-0.0445753652083476,0.03384043491240331,-0.010267844304228904,0.008780119063780461,-0.032213637629223794
ATP6V0D2,0.019079268578825564,-0.05430752737584505,0.012352919064281221,-0.01675112043174224,0.05618102169215371,0.05310172731771684,-0.04960612014029684,-0.007987537957150804
ENTPD3,-0.0021874347883781516,-0.039235580245273786,0.02635448350815773,-0.0023104993220926344,-0.005723603746607166,0.0374070934904309,0.012319709904708648,-0.011368784064906115
