,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
PODN,0.02386947816547724,0.061422492659678515,0.01990644530827117,0.0006912705115380117,0.016100505881317943,0.004171546222936603,-0.03407301858081171,-0.0038060896105808466,0.011196888849761518,0.01186603824317732,-0.014593027432769494,-0.004960042560135798,0.031906859829682103,0.011160211386904446,-0.009206129691100063,0.04020547742733428
GFPT2,0.015025232481514673,0.04718913654149838,0.015185450219568351,-0.002351080636964784,0.030420444530633407,-0.008909363896879754,-0.008128627001170594,0.015103736754192118,0.01648127220714212,0.022625041081081237,-0.003289630561280661,0.020104470028382247,0.008713780654045293,0.0404845086638392,-0.05346888834603143,-0.0011190341541322205
LRRC15,0.004300155860720222,0.0007884173518855207,0.027461078842998282,-0.030504371988033546,0.051215827367349774,0.0016743698567946797,-0.010580445408721818,-0.022900475548694704,0.03164900865553813,0.028819170693265075,-0.010379589200819557,-0.01719463875494774,0.024401127541608628,0.014233833896583156,0.010457421183960276,0.006247524696143363
APCDD1,-0.029355107648607784,-0.02443964252457708,0.025923303500462114,0.03695951632297758,-0.027783329599701295,0.02616719150172353,-0.04715362373910701,-0.014630642048288612,0.02747168333114762,-0.0004969829369176441,-0.01105946877955774,-0.03406456280454605,0.003323013952056363,-0.004932724843681977,-0.026306424841135247,0.015554429677173848
DPT,0.010071574617343636,0.0074159665822641,0.02102325952379685,-0.04723961035644256,0.0263048770718921,0.007062045559715456,-0.0008104714296811987,-0.006867791527595641,0.07214052318686058,0.03379879845315915,-0.0016948450241419562,0.02152386846379195,0.029624625154008013,0.007414926514115024,-0.023280718183978415,0.022445832510868464
CAP2,0.007720178548602376,0.036302475176556236,0.018592389284612786,0.028519140664958312,-0.026118078814648234,-0.0222872079692322,0.007380804134977819,-0.01212260166490631,-0.0474259974703275,-0.0012761878410108077,-0.008166456630976366,0.0374685238656266,0.022631899350678133,0.07550038885487496,0.005611491564850727,-0.00225769444440405
FLRT3,-0.01290802857863278,0.018253380146738173,0.025407976986191596,0.033430038276154775,0.038404778001947186,-0.0008235058589376619,-0.041361637486082674,0.034111076141950206,0.0004511313791727778,-0.035465379798358364,0.044748984443531425,0.013913537317229092,0.04399807826625692,-0.006949964115140964,-0.033353384784188145,-0.0015158811329444768
CD84,0.03126007801256393,-0.056461428298292614,0.014914408018079785,-0.01131847305530665,0.04740097244016292,0.037815668507567075,-0.0490760391355934,-0.008980196740511821,-0.01872895138691355,-0.011379524351638077,-0.03013784422563757,0.010296502967907722,0.00035965248286215067,-0.022386096232431863,-0.01199083946510897,-0.004136614465954385
FST,0.012819252446588028,0.00018919306018923884,0.034968367971400585,-0.026136182032353756,0.010266737512921488,-0.05853661975454717,0.019892991803693926,-0.0017653357636773798,-0.019262389682897188,0.014465461647409767,0.0148747864508489,-0.0010447563725211775,0.010426026106557903,-0.005156862273564787,0.020661310960031876,0.024389569106050512
ENO2,-0.0044919355053639675,0.020914630865314913,0.00503554993597047,0.022042384819903484,0.023565590647099847,-0.02361897621444691,0.00785993600853423,-0.021665464887674617,-0.04441278321869237,0.05490325609426288,-0.019367391145664145,-0.02741196833458925,0.005924060543597244,-0.012214747175044782,-0.011576285564697579,0.01316155928518667
