,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9,Factor10,Factor11,Factor12,Factor13
ESM1,-0.009776299,-0.041007537,-0.035083134,0.15186737,0.032308772,0.3005385,0.048170023,0.07851176,0.052536488,-0.018443128,0.2822282,0.13679302,-0.21708944
SLC8A3,-0.14645137,-0.15201265,0.11707868,0.24027705,0.083676815,-0.024711419,0.0041784253,-0.113995984,0.004014956,0.33716404,-0.09815039,0.11284483,-0.022353211
PHOSPHO1,-0.09830296,-0.14936146,0.047478307,0.24955504,-0.0016075541,0.047662515,-0.0033061118,-0.16266055,0.06894277,0.37817827,0.0020503162,-0.10219099,0.016888682
LAMC3,-0.07021298,0.0013698506,0.25653002,0.043843005,-0.088918775,-0.0021927243,0.023342486,-0.13230976,-0.13772139,-0.081272684,0.022375822,0.036833167,0.028975174
PRND,0.096647136,-0.027541498,0.11527004,0.00062301103,0.012048244,0.107501954,0.342178,-0.12323794,0.14843987,0.00736372,-0.006164616,-0.1248107,0.0048134597
COL9A2,-0.08528517,0.103542514,-0.026099611,0.11260231,0.013207083,-0.012275843,-0.0015393079,-0.34235302,-0.0044438974,0.07490354,-0.047627866,0.022526585,-0.015106877
HMOX1,0.22243848,-0.0032163206,-0.08914434,-0.1122582,0.09527942,-0.00936907,-0.008997616,0.01771695,-0.0045517096,0.07766875,0.16340427,-0.23284213,-0.37432867
KAZALD1,-0.14290099,-0.044885457,0.05740576,0.23406965,0.0045482116,-0.06820645,0.022774886,-0.1004725,-0.060687076,0.26654446,-0.004911463,0.0052838055,0.11770207
DCN,0.010432937,0.17481546,0.17701495,-0.24770112,-0.056937926,-0.03655305,-0.12753645,0.12074678,0.012686106,0.2147424,0.011914747,-0.2196249,0.06206641
ATP6V0D2,0.09703087,-0.2456018,0.07374714,-0.15695235,0.00087067555,0.016796911,-0.15085171,-0.20884489,0.34018385,-0.058155805,-0.00011543685,-0.11141552,-0.0021397122
ENTPD3,0.004046009,-0.15232946,0.13499899,0.07558465,0.066413224,-0.011082744,0.0031654367,0.12056808,0.13114426,0.25005037,0.07314115,-0.017139347,-0.017741265
SMPD3,-0.0844888,-0.13930915,0.070048,0.2565503,0.058469277,0.085428074,0.017916234,-0.17400417,0.06328912,0.38117087,-0.0029703036,0.1832715,-0.0065185605
SLC29A1,-0.012335631,-0.21820948,0.18017676,-0.040272437,-0.0008073007,-0.026978774,0.09716748,0.056955248,0.012420002,-0.046647806,0.16629931,0.021668345,0.121853784
PALM,0.00037760334,0.15256633,0.059934974,0.28858435,-0.12169478,-0.018700467,0.03153521,-0.20715658,-0.07239221,-0.058080968,0.09938153,-0.178151,0.24034975
SMOC2,-0.012350454,0.2390023,0.15420406,-0.144007,-0.04435661,0.015395105,-0.028334353,-0.20178041,0.027713805,0.025803765,0.00057249167,0.0740306,0.054903585
TNNC1,-0.03971248,0.03556048,-0.027133869,0.17403276,0.006143644,-0.017486095,0.008613625,-0.08639005,-0.019734204,0.07793604,0.058242705,-0.48943573,-0.021501657
CTSK,0.14764015,-0.21328504,0.09257189,-0.15988351,0.0023566668,-0.017707057,-0.15539894,-0.14812014,0.34443107,-0.04627876,-0.0016842475,-0.0006481516,0.0024759534
PIR,0.020766564,-0.09524673,0.044688188,0.038725972,0.04729141,0.050377488,0.0031007784,0.27347574,0.005441155,0.058987025,0.1273946,-0.40729636,-0.08027365
QPCT,-0.03281291,-0.13871168,0.08565725,0.02427567,0.035519287,-0.014673255,-0.016347028,-0.06803884,0.054167394,0.2508624,0.009890287,-0.08528365,0.06216818
MAB21L2,0.004892979,-0.056275293,0.1463903,0.11124902,-0.07857811,-0.0077397693,-0.08217809,0.10234517,0.024790814,0.035467334,0.019334083,-0.02902221,0.03118527
SEMA5A,-0.038544327,-0.13648944,0.2693246,0.09278944,-0.003800926,0.054858048,-0.0026874107,-0.0030954455,-0.011177689,0.019548252,0.09745762,0.24811518,-0.11663103
STC2,-0.026048532,0.0035293503,0.055139367,0.050272875,-0.0053866743,0.052016567,-0.021734688,0.14549987,-0.015579693,0.025051715,0.29643917,0.24960172,-0.110139385
SLC37A2,0.15757678,-0.23993365,0.078306496,-0.1479225,0.0012864638,-0.10450933,-0.16313693,-0.19493635,0.31344137,-0.0013639922,0.0011342333,0.0040869624,-0.101624
SULF1,0.09290933,0.0342898,0.22910786,-0.15181361,-0.021523358,-0.0042091534,0.0030478723,0.07918964,0.13259886,-0.025864733,0.17637144,-0.0049306415,-0.11445439
SATB2,-0.10208783,-0.26559666,0.18123282,0.14188005,0.0860508,0.032290824,0.0035826382,0.004229817,0.0028040372,0.2329876,0.0034245122,-0.016068147,-0.04429509
SPP1,0.13618682,-0.21487264,0.033465814,0.026769165,-0.0010632499,0.004015092,-0.14810279,-0.20303261,0.22681089,0.13795444,0.015554074,-0.11642739,-0.1467698
SLCO2A1,0.102898695,0.09769519,0.17219871,0.0834991,-0.0037666496,-0.12686965,0.22878848,-0.0030826689,0.100642,-0.008012694,-0.15228975,-0.09445749,0.08911544
AK5,0.030046275,-0.23328856,0.14815049,-0.04666725,-0.018353766,-0.026485266,-0.11161467,-0.09711833,0.14948441,0.04739904,0.030751143,-0.007759335,-0.11828803
NPNT,-0.055281248,-0.014930975,0.1743446,0.046507176,0.05469465,-0.010935809,0.09960259,-0.15583992,-0.03732735,-0.024393113,-0.032899346,0.039338436,0.12074753
RGS1,0.21921666,0.011395211,-0.09055707,0.04022384,0.0017701486,0.08312396,-0.013866252,0.0028644232,-0.10610698,0.04693283,0.2843565,0.073547505,-0.0950051
COL14A1,0.03113202,0.31234404,0.07015706,-0.049620077,0.037969053,-0.00045353727,0.092251286,-0.13925062,0.04674961,-0.03637295,0.015163627,-0.14795949,0.0071488195
PLXDC1,0.01833203,-0.11126232,0.2752735,-0.25502947,-0.04662658,-0.12414935,0.078224555,-0.009428015,-0.14974359,-0.036165267,0.042706147,-0.016472306,-0.036974687
MRGPRF,0.009431643,0.29906943,-0.031791337,-0.1321843,-0.029783854,-0.023790153,-0.032963246,-0.16325212,0.1333256,0.068011835,0.079803884,-0.0952248,0.2222491
RAC2,0.20663498,-0.23153894,0.0064941905,-0.10179303,-0.0010698439,-0.03020762,-0.13166958,-0.19928892,0.22585304,-0.09403944,-0.079641394,0.0032101567,0.03954133
ROR2,-0.028067054,0.28730503,-0.035367593,-0.029385418,0.11189389,0.03177525,-0.09781751,-0.21749158,-0.041140243,-0.02897214,-0.12580705,0.057194933,0.013377549
PTGFR,0.010885219,0.25262752,0.1610345,-0.20733434,-0.012937317,-0.01755776,-0.06406442,-0.010292748,-0.005024468,-0.007241226,-0.024978433,-0.00925317,0.000278179
OCIAD2,0.0830839,-0.08407971,0.056278493,-0.02968594,-0.0046971375,-0.077171095,-0.10775052,0.1581766,-0.0035985606,-0.1911323,0.13797855,-0.07636409,0.036002044
MS4A7,0.2983492,0.058177367,-0.0076101744,-0.005651472,4.2482025e-05,0.1630314,-0.0030084646,0.0073972875,-0.21970694,0.21792185,-0.005018148,0.0041546137,-0.18743026
BAIAP2L2,-0.12292357,-0.088217124,0.03096042,0.16444781,-0.004242193,-0.0206749,0.009472298,-0.16736585,-0.08291766,0.09780172,0.1989678,-0.03582021,-0.11963795
TNFRSF19,-0.05255224,0.049874242,0.10275448,-0.1118096,0.13521893,-0.0428921,-0.00974519,-0.2646302,-0.047680996,-0.034653127,-0.21396676,0.03904635,-0.10792309
EPHA4,-0.04452371,0.15351363,0.08523781,-0.035156485,0.084074736,0.0080516655,0.08671664,-0.37769482,-0.10591774,-0.14103884,-0.13263243,0.0056348275,-0.0032984612
RCOR2,-0.15997258,-0.06479658,-0.05262506,0.20680504,0.12882675,-0.09399951,0.0007813961,-0.18489309,0.00036677852,0.38185027,0.0014435598,0.02002992,0.051243678
