,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6
ACTA2,0.116621904,0.20186585,0.07574868,0.00841969,0.0021172015,0.18694615
ADAM12,0.022365939,0.09342573,0.069455124,0.09836664,0.16084419,0.0037723521
ADAM22,-0.13108188,-0.04213578,0.1768812,0.13321687,-0.11130771,-0.14595017
ADAMTSL2,-0.031167997,-0.06780356,0.3509538,-0.08393009,0.0036051278,0.026195265
AEBP1,0.06335225,0.27326134,0.18110302,-0.071639456,0.13528691,0.15933053
AHR,0.12768742,0.22125031,0.08726335,0.0835639,-0.04328853,0.120654434
AIF1,0.36289024,-0.014782568,-0.01089717,0.055425584,-0.145211,-0.118078396
ALCAM,0.13808596,-0.004120007,-0.02135508,0.09421487,0.018467758,0.02282871
ALDH1A1,0.112621225,-0.04345125,0.028158735,0.17019434,0.0030786444,-0.10571106
ALDH1A3,-0.004626118,-0.009993765,0.20228261,0.05372686,-0.076167166,-0.06457713
ALDOC,-0.0616188,0.03538239,-0.09956669,0.029189067,-0.022121742,0.0719855
ALPL,-0.13723552,-0.25348186,0.27847373,0.04778199,-0.0005093118,-0.08834482
ANGPTL2,-0.024582542,0.3519998,0.11592998,0.08779295,0.008427855,-0.12984702
ANGPTL4,-0.10434145,-0.04983252,0.17976066,-0.011816512,-0.008813618,0.13056922
ANKRD35,0.023187531,0.15840013,0.15678073,-0.06479713,0.088515565,-0.20244028
APCDD1,-0.1107524,-0.1562955,0.26278898,0.09574232,-0.0017860896,-0.2980525
APOC1,0.28505874,-0.059484724,-0.026856018,0.11490359,-0.08020464,-0.14464402
APOE,0.26880583,-0.01277532,0.0765751,0.00022396023,-0.005062772,-0.054522764
ARHGEF19,-0.077420406,0.114017256,0.23408608,-0.20151268,0.049170084,0.0017960089
ASPN,-0.019802038,0.32663846,0.15818316,0.0052100103,0.06877497,-0.14098392
ATP6V0D2,0.0923883,-0.19301762,0.07359647,-0.010811918,0.44951802,-0.0013066161
ATP6V1A,0.11072403,-0.17853339,0.08399444,0.10135146,0.41600382,0.019525412
ATP6V1B2,0.12533942,-0.18545048,0.04589489,0.06783336,0.43232957,0.00086553115
BAALC,0.03646272,0.07609273,0.04795883,-0.089601666,0.00040649116,0.024520084
BACE2,0.015342892,0.16916496,0.14892335,-0.030435618,0.072086915,0.116644934
BAIAP2L2,-0.12680131,-0.117443815,0.20822936,-0.0042221793,-0.0656257,-0.12598647
BAMBI,-0.13279505,-0.30244818,0.26955628,0.00055714877,0.0025351946,-0.15843923
BASP1,0.0028681192,0.18246509,0.021620953,0.12663297,0.047484614,-0.18098032
BCAT1,0.019328453,0.1633425,-0.055770192,0.21528727,-0.00028914402,-0.19459036
BCL11A,-0.06748298,0.028655084,0.030181933,0.17139727,-0.011988628,-0.13641296
BCL6B,0.08832767,-0.0074877893,0.19546756,-0.04584394,-0.0023491678,0.06649079
BIRC3,0.21004958,-0.13246542,-0.069221094,0.05926606,0.25718892,0.06218632
BMP4,-0.09462059,-0.25414878,0.18524809,0.051892363,-0.11267424,0.06520363
BMP7,-0.11390282,-0.077648215,0.13958761,0.11464516,-0.0071194535,-0.17688383
BNIP3,-0.120449625,0.07458538,-0.08805976,0.055258766,0.0050117923,0.0063563413
C1QB,0.33395872,-0.019803723,0.05408196,0.043931432,-0.19675256,-0.046930686
C1QTNF1,-0.002851743,-0.20031926,0.32262197,-0.20357963,0.007095406,0.110255644
CA12,0.04530814,0.3003028,-0.025984433,0.019936383,0.077962205,-0.14822283
CA3,-0.074515685,-0.19082752,0.19070427,0.0021089434,-0.03341469,-0.28401628
CADPS2,0.094383165,0.0630254,0.21549402,-0.0045247176,-0.0030738893,0.029628618
