,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8
FANCD2,-0.089372545,-0.02710441,0.0031761643,-0.49014494,0.0031748773,-0.11231809,0.022295743,0.17126073
FCER1G,0.3421099,-0.049002223,0.00026562627,0.004760481,-0.10890036,-0.06623457,-0.11896948,0.076200016
FGR,0.31361035,0.0030637488,0.011179996,0.0040879534,-0.20807666,-0.008139276,0.042800106,-0.024608606
FN1,0.10185666,0.2078632,0.17354973,0.010684815,0.12112446,0.20566194,0.015518865,0.11719736
GAB2,0.22223012,0.002547087,0.042319924,0.067925334,0.022076467,0.19468541,0.20855992,-0.08734388
GBP1,0.25905877,0.0064982786,-0.05769302,-0.016687244,-0.18179713,0.17245583,0.021644609,0.0064588482
GLUL,0.20379391,-0.0078040524,-0.02679575,0.0013479639,0.003350452,0.17085467,0.021390108,-0.103833914
GMFG,0.26988506,-0.11488185,0.0069642216,0.19182198,-0.086001344,-0.04765006,0.12506127,0.011872339
GPRC5C,-0.11777068,-0.10690136,0.379924,0.010303563,-0.010067789,-0.13900542,-0.011139567,0.0331839
HCLS1,0.34940806,-0.031529114,-0.0016579992,0.0050789155,-0.07794207,0.0021581484,0.11417362,0.005504541
HELLS,-0.09339304,-0.07226783,-0.0026835713,-0.4525321,0.010236137,-0.06537606,0.03040185,0.14306366
HNMT,0.22704831,0.025737597,0.020300888,0.01984932,-0.004013994,0.13381538,0.005430281,0.024942527
HSP90AA1,-0.07669861,-0.0043222914,-0.026418911,-0.42292976,-0.003995875,-0.010893589,0.025079148,0.0004274767
HSPH1,-0.033330325,-0.030782318,-0.028076578,-0.34758183,0.07861477,-0.013329963,0.14916177,0.03455641
IFI35,0.20660329,-0.033359926,0.05428846,0.006617592,-0.13643363,0.2790189,-0.1003902,0.09032458
IGFBP3,-0.020539768,0.19687411,0.042183228,-0.06712912,-4.3851625e-05,0.017125724,0.25564054,0.19441251
IL18,0.31974253,-0.051979158,0.015183974,-0.001871707,-0.17669876,-0.02145888,-0.003007189,-0.013721284
IRF5,0.32284808,-0.0933035,-0.002584456,-0.0019270799,-0.10084124,0.06123301,0.0074567082,-0.04315299
ITGBL1,0.10737807,0.24141237,0.12949513,0.14746284,0.00047106307,0.08286726,-0.006529182,-0.040942516
KCNQ1,0.3036014,-0.014897601,0.13632976,-0.004098278,-0.17233847,0.011814075,0.040765885,0.044586577
KIF15,-0.10082691,-0.0014379927,0.011791432,-0.514332,-0.0044887117,-0.087208904,0.00777791,0.24053645
KIF22,-0.08516463,-0.07533106,0.0007752638,-0.4751435,-0.029060718,-0.061604805,-0.009659276,0.19527377
KIF23,-0.09526051,-0.029573016,-0.021325124,-0.48044035,-0.002432913,-0.05289269,-0.0016206978,0.28459266
LY96,0.29249483,0.06700787,0.0047474904,0.08448314,-0.0011396399,0.017141882,-0.0030525113,0.08559835
MCAM,-0.000107724125,-0.016794963,0.20180115,-0.003744454,-0.07736418,-0.16834345,0.5816753,0.19947141
MCM5,-0.08716447,-0.0947231,-0.04348198,-0.44964617,-0.0019686718,0.002293974,-0.007460128,0.08273703
MXRA5,0.0862441,0.31776056,0.14298187,-0.0045524947,0.01877177,0.12571837,-0.09751665,0.13142307
NDUFB9,-0.07807663,-0.18029045,-0.025565844,-0.13630936,-0.007675071,-0.045981422,0.009587925,0.03161396
NR2F1,-0.024422694,0.14243191,0.012558483,-0.19475587,0.041183233,-0.17153311,0.20361468,-0.039546717
OAS1,0.19675054,-0.021023331,0.06888485,-0.01229226,-0.17214555,0.24835901,-0.13666004,0.16206208
OAS2,0.21374206,0.009508639,0.083816744,-0.00017253547,-0.14974634,0.24828677,-0.006927125,0.21077411
OSBPL3,0.18157892,0.10442969,0.0050003217,-0.20262557,0.011830708,0.12359933,0.15009981,-0.06388211
PARP14,0.21024019,0.0017836497,0.09242571,-0.08466046,-0.19337313,0.23132324,-0.03907048,0.071747914
PARVG,0.35852268,-0.044879347,0.032050665,-0.040614,-0.11650376,-0.021527188,-0.05697696,-0.071336724
POLE,-0.12390847,-0.048884973,0.020463578,-0.4940801,-0.009010162,-0.05758581,0.0015131416,0.1331961
PRKAR2B,0.18162669,0.036531273,-0.0045990045,0.037916183,-0.10376612,0.046171766,0.07799012,-0.17993486
PTK2B,0.31424567,-0.093181014,-0.0044392683,-0.006360078,0.090998374,-0.025576407,-0.0025965201,-0.019564305
PTPRC,0.35596094,-0.080023445,0.0056626415,-0.060599726,-0.015913432,-0.0023202177,-0.0063798795,-0.003440772
PTPRO,0.27635434,-0.00787599,0.08223969,-0.0056164027,-0.1783524,0.015273201,-0.021960367,-0.09754475
RASSF5,0.22200075,-0.047152475,0.0024749136,-0.008692378,-0.09997424,0.02554173,-0.031644315,-0.122923635
RCOR2,-0.17516409,-0.16812783,0.3148095,-0.078627475,-0.11513085,-0.25874028,-0.0827793,0.15333804
RELN,0.05876468,0.09064451,0.10875457,0.038813494,0.0066418047,-0.10950951,0.20219448,-0.0074496246
RNASEL,0.1643432,0.051822826,0.07452872,-0.065900505,-0.0059269997,0.38919532,0.018691003,-0.03792456
SERPINB9,0.1742129,-0.016244384,-0.017386787,0.0024189386,-0.20024283,0.23015477,0.09303357,-0.12282122
SFRP4,0.15647282,0.19419281,0.07096827,0.11961775,0.1517959,0.13598977,-0.03187534,-0.052915763
SLC13A5,-0.097993396,-0.11593552,0.283497,-0.00946304,-0.08991776,-0.38801625,-0.010782881,-0.013118916
SLC43A2,0.33850515,-0.010358397,-0.013744036,-0.010038141,0.020324396,-0.047636062,0.008206815,-0.0054438957
SLCO2B1,0.344211,0.0214352,0.08924262,-0.09051289,-0.22711468,-0.004192595,-0.020140287,-0.050756715
SP100,0.1918013,0.040114947,0.02602833,-0.011715018,-0.17314702,0.33582103,-0.0005584248,0.038462915
SRM,-0.08245405,-0.00998237,0.08317438,-0.09285836,-0.084079385,-0.2713823,-0.043917194,0.28800568
SUSD1,0.1334189,-0.16430676,0.123543344,0.0016368744,0.0008347529,0.14335991,0.09573277,-0.05418395
TAPBPL,0.2214503,-0.03787721,0.06745973,0.0051314095,-0.08045758,0.21705586,0.009406986,0.000557615
TBC1D9,0.25711665,-0.12651734,0.08418391,-0.07065088,0.23719788,0.00568614,-0.037491433,-0.07381654
TMEM123,0.08403907,-0.035929993,0.03497714,-0.09827441,-0.010788913,0.2646381,0.1218477,-0.088456616
TOP2A,-0.09612074,-0.007091014,-0.008274481,-0.57869637,0.004058227,-0.009022266,-0.0011862214,0.104331225
TRIP13,-0.09236611,-0.028966468,-0.0100053605,-0.41395354,0.0075373114,-0.021891246,0.0096534025,0.25102812
TSPAN33,0.0075852238,-0.17864579,0.15940088,-0.16211246,-0.1652362,-0.10575357,0.021101333,-0.05449624
TYMS,-0.13341485,-0.084628195,0.008028941,-0.39931503,-0.0009868849,0.013110669,0.033944763,0.10982123
UBE2T,-0.13356934,-0.13637857,-0.08431243,-0.37833074,-0.0037822898,-0.009991353,0.018123636,0.18961161
UHRF1,-0.08016459,0.004022458,0.008206217,-0.51683617,0.009759322,-0.0052847085,0.0014227496,0.17555773
A4GALT,0.14179781,0.1765134,0.06797305,0.17621852,-0.10511193,-0.032042373,0.115122534,-0.07953592
AADAT,-0.09254898,-0.11368348,0.067669734,-0.11236644,-0.01829793,0.008054839,-0.004704227,0.05808925
ABCA3,0.21015498,-0.11699575,0.07974592,-0.08075528,-0.1635523,-0.08727566,0.01278067,-0.19336928
ABI3BP,0.09890042,0.27219015,0.12205147,0.0057689347,-0.03369491,-0.1745136,0.11685443,-0.12528689
ACOT7,-0.006375474,-0.09208933,-0.035053108,-0.26252085,-0.0016474337,-0.1544705,-0.009938559,0.24598648
ACTA2,0.11724024,0.23430054,0.019753298,-0.009550387,0.0009820522,0.11338384,0.12221019,0.015503728
ADAM12,0.054546773,0.086117566,0.07929328,-0.098012485,0.14056127,-0.050485224,0.027634919,0.10874013
ADAM22,-0.11965684,-0.05086006,0.16273078,-0.18038839,-0.09900843,-0.14084576,0.012474133,-0.10905382
ADAMTSL2,-0.03091649,-0.018468864,0.3508075,0.04430712,0.006100113,0.08561152,0.10339678,-0.045905348
AEBP1,0.07650193,0.3068074,0.14242208,0.01923994,0.12732482,0.110105366,-0.13627127,-0.009226752
AHR,0.12771052,0.23598312,0.016267994,-0.09464262,-0.059806768,0.020765807,0.13774776,-0.0074954038
AIF1,0.34192166,-0.028987596,-0.008010465,0.061203852,-0.24068251,-0.07662018,-0.07387765,0.0061492566
ALCAM,0.15022814,-0.0041745347,-0.04700712,-0.08136843,0.0034091105,0.0043256623,-0.0029566672,-0.021440273
ALDH1A1,0.122278765,-0.069877885,0.008836819,-0.16368096,-0.005105322,-0.13296112,0.08313696,-0.038622014
ALDH1A3,-0.0021602274,-0.0073892814,0.1510382,-0.113704294,-0.06543528,-0.06744435,0.04188043,-0.23429763
ALDOC,-0.058440108,0.0549329,-0.05968605,-0.01976594,-0.03630773,0.10585028,-0.23220807,0.17684889
ALPL,-0.11773438,-0.23734002,0.36302146,-0.041577015,-0.0037974126,0.0077585727,-0.026509088,0.10973961
ANGPTL2,-0.009783469,0.32893637,0.118261166,-0.079752095,-0.0015536573,-0.21173422,-0.11393548,0.11740766
ANGPTL4,-0.09841832,-0.007477038,0.19256401,-0.009889531,-0.001089847,0.15950133,-0.008098159,0.0029237831
ANKRD35,0.021726334,0.13322936,0.15537193,0.09769491,0.058815237,-0.21694873,-0.004858363,-0.032284517
APCDD1,-0.09637163,-0.18472865,0.28969845,-0.09977182,-0.005374227,-0.2505103,0.048374537,-0.073537946
APOC1,0.28274637,-0.08249304,-0.0030038294,-0.00360987,-0.16937962,-0.101798095,-0.10522649,0.06900884
APOE,0.26215464,-0.011895817,0.058907636,0.04858987,-0.07264238,-0.025791772,-0.007961712,-0.04970155
ARHGEF19,-0.08191352,0.14348121,0.2681229,0.20852846,0.06151826,0.03731841,-0.19298117,0.015284381
ASPN,-0.00935092,0.30677962,0.15067886,-0.0035823842,0.031418335,-0.1946713,-0.18106401,0.00996591
ATP6V0D2,0.1402896,-0.19718,0.104976766,0.009240817,0.43281528,0.0031536082,-0.0011011373,-0.0066230954
ATP6V1A,0.16917412,-0.18004614,0.09832509,-0.11361927,0.39014247,0.0060545704,-1.3812395e-05,0.0012827857
ATP6V1B2,0.17931049,-0.19370617,0.065420344,-0.067250475,0.40534192,-0.0024229297,-0.00067915465,0.0008320048
BAALC,0.019851198,0.08809571,0.034952912,0.108824566,0.0013129981,0.017556246,0.14261065,0.02902724
BACE2,0.02156219,0.19646859,0.10439905,0.0003656099,0.09013193,0.05093255,0.039808072,-0.07746185
BAIAP2L2,-0.12818636,-0.11337983,0.23173177,-0.00029481805,-0.048625544,-0.061467882,0.011905181,-0.027046144
BAMBI,-0.120400585,-0.295596,0.32744023,-0.00128361,0.0017599617,-0.044602912,0.003977455,-0.013226533
BASP1,0.021118244,0.14409485,0.01583814,-0.12540141,0.00836284,-0.22734696,-0.16843161,-0.0049843965
BCAT1,0.03799538,0.103868864,-0.019284697,-0.16177395,-0.023576245,-0.26419693,0.009804369,0.21333103
BCL11A,-0.049579937,0.0004265896,-0.025484068,-0.24225481,-0.0048931935,-0.18970484,-0.015106527,-0.24672146
BCL6B,0.07630564,0.0101273395,0.19049162,0.04429172,1.2305495e-05,0.029633198,0.52643514,0.0009526526
BIRC3,0.23600794,-0.14750746,-0.079235524,-0.011201621,0.22388096,0.02739783,0.09871115,-0.0004405173
BMP4,-0.0899833,-0.21296048,0.23405208,-0.07227373,-0.105800144,0.17187881,-0.03756318,0.08669583
BMP7,-0.094665945,-0.10074891,0.121751495,-0.16703033,-0.0013848717,-0.18320534,0.00807961,-0.16021802
BNIP3,-0.10788471,0.07152088,-0.044167183,-0.03305078,0.0054064346,0.0006239327,-0.10151372,0.21107155
C1QB,0.3117386,-0.015851848,0.027344804,0.016403304,-0.27637783,-0.001337006,-0.07322716,-0.05566543
C1QTNF1,-0.010632225,-0.12795606,0.37773192,0.23351325,0.0036033837,0.22699657,0.049608823,0.10235527
CA12,0.050583355,0.2612906,0.0017153715,0.00928892,0.024461064,-0.21842591,-0.005662645,0.19115144
CA3,-0.074836195,-0.21099646,0.25014073,0.020780306,-0.069617756,-0.18639337,0.021423375,0.03074835
CADPS2,0.09454338,0.08969745,0.17889686,0.003617271,-0.005588538,0.011812511,0.15308742,-0.050283942
CARD11,0.28217474,-0.008212565,0.011838885,-0.007466819,-0.15264796,0.14543366,0.017348025,-0.18046184
CAV2,0.13639656,0.2610071,-0.1139251,0.0007703475,-0.00026249693,-0.009662597,0.24765523,0.12326963
CBS,-0.11959398,-0.029086292,0.15835942,-0.28249457,-0.051533688,0.0077750077,-0.0629709,-0.012351288
CCDC68,-0.06647206,0.022041567,0.15634519,-0.0043742172,-0.0331276,-0.080069534,-0.018004846,0.021846289
CD248,0.049147088,0.19838162,0.21138884,-0.006494914,0.029387312,-0.2326702,0.0044820625,0.02843087
CD83,0.06116814,-0.028583664,0.06595096,-0.13662598,-0.12842175,0.24034123,-0.086787105,-0.0042929836
CD84,0.19487962,-0.19827689,0.090788245,0.0011304711,0.3873522,0.012579703,-0.0002952725,-0.06731534
CDA,0.26600036,-0.061089877,-0.09260036,0.0036244604,0.06640126,0.003692611,-0.0016499881,0.109440476
CDC42EP5,-0.0029612624,0.14371313,0.17485154,0.20027654,0.00054632826,-0.029632349,0.0031619854,-0.006969181
CDH15,-0.024379063,-0.24702948,0.34700254,0.018095417,-0.013192761,0.020007964,0.07431164,0.13152574
CDH23,-0.051281318,0.15957907,0.15654403,-0.04516924,0.008454087,0.104579836,-0.04680481,-0.18837442
CDO1,-0.061790492,0.032997534,0.12482064,0.0020746146,-0.0060575437,-0.2170748,0.02318416,-0.20710592
CFI,0.18178762,0.037000835,-0.0016542639,0.02142485,0.095236436,-0.02274142,0.1642276,-0.21731511
CGNL1,0.032592095,0.24488333,0.090405606,-0.061381552,0.014156506,0.028490333,0.17191198,-0.14164558
CHAD,-0.017364444,-0.036439136,0.34730396,0.19245787,-0.008241309,-0.031529684,-0.0026793748,-0.10062586
CHPF,-0.015383509,0.19896963,0.106914714,0.12146492,-0.012923653,0.006291623,-0.039726336,0.015549778
CILP,0.04818206,0.19080904,-0.0012072718,-0.049202,-0.006565366,0.17912786,0.08583926,-0.13972731
CLDN5,0.13446794,0.030348634,0.09555511,0.20011073,-0.00925704,-0.1059288,0.40473962,-0.022569245
CLIC3,0.076997474,0.093342595,0.1666213,0.09015002,0.20082274,-0.06113199,-0.099588215,0.08064487
CNTNAP1,-0.034075167,0.13981727,0.11128581,-0.3287504,0.006254195,0.0744448,0.004481637,-0.2081627
COBLL1,-0.0076453974,0.1397256,0.073315494,-0.005261469,-0.13183144,0.12459179,0.2386736,0.089852564
COL11A1,-0.0341977,0.22308709,0.1759583,-0.008612035,-0.00088234956,-0.19023955,-0.18233633,-0.06266684
COL11A2,-0.15619484,-0.098173186,0.25544938,0.018414268,-0.05308015,-0.2296826,0.002471114,-0.096604675
COL12A1,0.01555922,0.24252684,0.19557287,-0.0001941954,0.1284431,-0.14100496,-0.17579056,0.07882825
COL13A1,-0.12815298,-0.1630154,0.37927172,-0.0033505023,-0.02996127,0.086941086,0.0015706139,-0.05068585
COL14A1,0.023445077,0.32685044,0.04590252,-0.056627084,-0.0028452754,-0.14728838,0.14000843,-0.08255347
COL15A1,0.14664128,0.19854134,0.12032873,-0.03745984,0.01664793,0.078381754,0.29309225,0.26536515
COL18A1,0.0846864,0.15633717,0.16022888,0.030095533,0.0015747038,-0.056159608,0.4316988,0.044805266
COL1A1,-0.04115074,0.16094619,0.37432215,0.12728085,0.06451815,-0.15392007,-0.14670125,0.19720641
COL22A1,-0.048564155,-0.25636095,0.3734315,0.08761856,-0.0012897132,-0.16419944,0.045500595,0.0009205212
COL2A1,-0.13253249,0.057531185,0.14125676,-0.07925637,0.00021161119,-0.20781223,-0.0029291706,-0.1608636
COL3A1,-0.0047023855,0.34769055,0.13571547,-0.0020596364,0.07881358,-0.18255258,-0.0017180701,0.09057413
COL5A1,-0.021385757,0.2647068,0.2871907,0.004757306,0.11075874,-0.031368755,-0.14140393,0.16600126
COL5A3,0.043644372,0.13446741,0.19700135,0.003991309,0.0368822,0.058574844,0.35705146,0.09895337
COL6A1,0.040366244,0.35428676,0.107910514,-0.0018925989,0.097983435,0.20528306,0.0019174353,0.13974574
COL6A3,0.01842809,0.33457458,0.14093077,-0.07142623,0.11044796,0.03687026,-0.0010980036,0.14569765
COMP,0.010059604,0.28215477,0.111550614,0.032359153,-0.048310243,-0.101830706,0.003229151,-0.12856081
CPE,-0.17399983,-0.15366882,0.41217488,-0.00021826809,-0.07294681,-0.013678792,-0.0033019846,-0.023121929
CPNE8,-0.0010109502,-0.018109122,0.14172105,0.0060086786,-0.0054806424,-0.04392855,-0.063816495,-0.06167549
CRYAB,-0.013262536,-0.050707724,0.12961169,0.053175766,0.14591041,0.057087567,0.09105537,0.029861286
CSF1,0.2152722,-0.12137396,0.10335997,-0.0009418787,0.17553824,0.17441921,-0.022891453,-0.020707587
CSPG4,-0.093937926,0.07424607,0.30569407,0.0016878289,0.028579935,0.1336075,-0.01057279,0.09855346
CTHRC1,0.03632258,0.072363585,0.15811719,0.017256303,0.11490646,-0.15741023,-0.006437485,0.2407862
CTSK,0.1922756,-0.1525783,0.096773006,0.00021508317,0.40749118,0.02810482,-0.012296745,0.0051262826
CTSS,0.3394818,9.9732046e-05,0.0102217365,-0.0034807033,-0.25617582,-0.0645804,-0.103193484,0.11880995
CXCL12,0.18623082,0.1337014,0.026821727,-0.0024398074,-0.0016851102,-0.019168396,0.15056236,-0.29287848
CYBRD1,0.011400771,0.20873429,0.15216053,0.0009229182,-0.010216737,0.35814714,-0.05473422,-0.008994162
CYGB,0.05795124,-0.071160175,0.23352203,0.008923382,0.22976485,0.09968761,0.20745754,-0.056753755
CYP51A1,-0.11228323,3.3654953e-05,0.008680889,-0.35801777,0.018696582,0.1744946,-0.111748524,0.21992393
DAAM2,-0.10881471,0.042199727,0.1988529,-0.12423951,-0.026045373,0.18425296,-0.008894402,-0.0697062
DCN,0.04487138,0.26781616,0.16400231,0.12372719,0.010532261,0.12458761,-0.24854518,0.09818629
DDIT4L,0.0032662589,0.24168608,0.028962702,-0.007080778,-0.06469518,0.08517323,-0.009625887,-0.20712708
DHRS3,0.112649255,-0.0067935893,-0.008453136,0.038065072,-0.080602236,-0.22277139,0.00711055,-0.19810773
DKK1,-0.04676465,-0.14396071,0.17822517,0.022381162,-0.06010071,-0.15717167,0.10184617,-0.13924621
DKK3,0.013439871,0.29908407,0.09114418,0.010191133,-0.0024364672,-0.069576524,-0.060586385,0.059256636
DLX1,-0.1470216,-0.13796926,0.056897916,-0.23475993,-0.06892636,-0.0057343855,-0.00038040394,0.011907064
DLX3,-0.112799525,-0.282811,0.3388638,-0.012447661,-0.051790368,0.1021693,0.06499179,-0.012518115
DPP4,0.11703746,-0.16840714,0.075882636,-0.0052145566,0.42797673,8.8066576e-05,-0.010848252,-0.10157097
DPT,0.029469738,0.13373595,0.24555741,0.18197381,0.010773886,0.13985503,-0.1796148,0.17351967
DTNA,-0.04284932,0.008035431,0.04621214,-0.01626057,-0.14895616,0.004323087,0.060016364,-0.20801874
DUSP1,0.11469428,0.13100961,-0.07834518,0.027521495,-0.00248781,0.102439076,0.12002371,0.18791334
DUSP10,0.17152372,0.09519936,-0.055872224,-0.11802242,0.08731698,0.09862863,0.117597766,0.114619285
DUSP2,0.17824109,-0.19863321,-0.06259728,-0.0016833151,0.3078959,-0.014818228,0.007837656,-0.099479795
ECHDC2,0.012284153,0.005799625,0.119732514,0.03402841,0.0028511686,-0.086272866,-0.037932463,0.01707774
ECM1,0.11738836,0.1665035,0.15572317,0.05225991,0.015290803,0.1415787,0.002202339,0.09576259
ECM2,0.014766477,0.29706043,0.14099213,-0.008501373,0.033131357,0.04731641,-0.09692202,0.028833317
EDIL3,-0.0015882835,0.23083389,0.046095494,-0.067795224,0.102062054,-0.19234805,-0.23421185,0.002107069
EEF1A2,0.051595494,-0.08935608,0.027691552,0.005903413,0.2242305,-0.041480917,0.0099640535,-0.16628584
EFEMP1,0.06263587,0.215583,0.045096494,-0.0031681089,0.0010038825,-0.14330027,-0.0007563511,-0.08513514
EMILIN1,-0.071908414,-0.0137519045,0.21727318,-0.22900537,0.08699483,0.043089524,-0.12455414,0.024246188
ENC1,0.0006973817,0.0027115503,0.10472466,-0.15877761,-0.15289962,-0.119369544,0.17118065,-0.10484093
ENO2,-0.0102207465,0.1213053,-0.029367201,-0.14880113,0.0014347221,0.019747755,-0.046386573,-0.04060238
ENPEP,-0.048997078,0.08776234,0.15436988,-0.23950705,0.04113132,0.010309899,0.05295559,-0.1186125
ENPP2,0.042863227,-0.061837528,0.30538002,-0.10162908,0.009865724,0.1913023,-0.007087528,0.016895676
ENTPD3,0.0022719332,-0.1523999,0.27579954,0.0024700956,0.0027082935,0.07253248,0.09553349,0.1661633
EPDR1,0.08276538,-0.02890409,0.19073026,0.04795113,0.112366185,0.19119878,-0.12525827,0.04048539
ESM1,-0.039342083,-0.0796828,0.05385791,-0.0441578,-0.011853562,-0.029784413,0.22288519,0.18310887
F11R,0.17246783,0.0787331,0.10127505,0.033766665,-0.0017775157,-0.02951578,0.38657176,-0.08460626
FBLN1,0.028036028,0.21283528,0.09099416,-0.09348869,0.092326604,0.22743568,-0.024022192,-0.26314202
FBLN2,0.088892564,0.2760855,0.11973809,0.023641638,-0.018360758,-0.12897632,0.12968417,-0.00455153
FBLN5,0.027923282,0.25236005,0.13936707,-0.0052221064,0.0063860444,0.20828043,0.036197312,-0.18643382
FBN1,0.12351117,0.3154227,0.08208328,-0.009268811,0.044331845,0.12130639,0.09562217,0.018804133
FBN2,-0.0063439775,0.027471934,0.11424608,-0.17495702,-0.0031170412,-0.27358374,0.09215056,-0.17413187
FEZ1,-0.053664744,0.026030079,0.051327694,-0.014326814,-0.013138215,-0.19211748,0.0539202,-0.21500695
FGFR1,-0.063787706,-0.0015288073,0.2532882,-0.1324388,0.08859104,0.30473942,-0.18364558,-0.09602286
FLNC,-0.017009197,0.24888793,-0.06726202,-0.1644205,0.007796733,-0.033579793,-0.0053041,-0.03489885
FNDC1,0.011809903,0.26284593,0.23435842,0.07804048,0.009368103,-0.063046806,-0.16826779,-0.10977212
FOSB,0.0032500902,0.07329457,0.015375517,-0.0021560192,0.010554202,0.10092321,0.23164421,0.17763302
FRAS1,0.010480125,0.08644604,0.03456642,-0.1420816,-0.032411646,-0.10238629,-0.0010211716,-0.13095453
FZD1,0.008102141,0.34214637,0.042591274,-0.07811696,0.042289965,-0.107456245,-0.09583801,-0.008292186
FZD3,-0.073064975,-0.01737638,0.017511653,-0.21054927,0.023608645,-0.17935123,0.0008902997,-0.10333898
FZD7,-0.018290145,-0.009055962,0.08702332,-0.17468618,0.06580663,0.294166,0.14135936,-0.074785374
GABBR1,-0.08967935,0.07968231,0.13361183,-0.009931256,-0.0086801,0.019232508,0.01763563,-0.25646392
GABRE,-0.007990701,0.10201653,0.13501874,-0.0015565953,-0.01753675,-0.21390097,0.08730502,-0.13518131
GALNT3,-0.094214,-0.15413836,0.2855595,-0.003227361,-0.035861537,0.15104629,-0.018847162,-0.015577259
GAS1,0.07825524,0.25307095,-0.000512412,0.0060671964,0.1041847,0.05099063,0.09476293,-0.04262803
GCNT1,0.056629315,0.04753673,-0.013839781,-0.1695496,-0.031703603,-0.032586966,-6.0202994e-05,-0.03873245
GHR,-0.05159514,0.09588272,0.24363095,-0.00075470144,-0.02884397,0.18881686,-0.0034328285,-0.16684136
GIMAP4,0.31646225,-0.041669186,0.0063164067,-0.004322645,-0.30160397,-0.03582835,-0.011688966,0.015311273
GIMAP7,0.29965174,-0.010771397,0.00070921873,-0.013607384,-0.29018256,-0.050726563,-0.0013557032,-0.05382095
GJA1,-0.031252563,0.030133875,0.22649708,-0.09394359,0.15781662,0.0026793734,-0.05321314,0.16357557
GLDN,0.033311713,-0.033067957,0.26697755,0.0058903336,0.010596505,0.34736693,0.03372021,-0.025132708
GNPTAB,0.18345019,-0.12643665,0.0828946,-0.07610397,0.36854643,0.07670093,-0.004149774,-0.07721109
GPC2,-0.030807959,-0.06108769,0.03351289,-0.28918195,0.01353527,-0.14452706,0.0071108625,-0.13585095
