,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16
ELOVL4,-0.06242425012182539,0.004889248141040145,0.04582321605492388,0.0634251353642241,0.016433046793451065,-0.0052511229095683,-0.029745539242510007,0.00042867324589551203,-0.004650543591504448,-0.005319845301055781,-0.008119374605643714,0.05988129925452599,-0.0616285855752353,-0.01433286688785454,0.04470697172973439,-0.02896396978730087
ENPP5,0.049621815863430514,-0.06513449823797522,0.028052654011705636,-0.005715527625529354,-0.017844056586282984,0.022116326157386852,0.05652567958861617,0.02670353432194965,-0.07290761059825465,0.0012822301401973768,-0.08236779424670149,0.05806560349202211,0.03755584499558649,0.04077161139251825,-0.03968816026824457,0.011162167258474381
EPAS1,0.07173710307443217,-0.024107241020584588,0.0677738132970598,-0.04744159453801736,-0.03494267958110196,0.04575862055874626,0.08116738936206706,0.026882556958001163,0.0037192585771726617,-0.024011690596646373,0.030167955897992316,-0.004833853623396167,0.03050813537323724,-0.03264114465497019,-0.017014467139216644,0.09343552204385569
EPHA2,-0.050749486480024274,-0.03666992454254297,0.042428668827136286,0.05029743105409632,0.03202827863882201,0.004072198003319547,-0.03612894924461805,0.05202235249660276,0.050957811274527524,-0.003433742604598035,-0.03625154626214386,-0.04029069233243961,-0.028625290340792642,0.008214672924902577,-0.03158032191953167,0.007563501055243088
EVI2A,0.0750835766316531,0.005463000473526829,-0.002012511075530595,0.03177942755301254,0.03521359034401841,-0.07703554198489104,-0.047609334918687234,0.11527870716704941,-0.02854268423205685,-0.04335778234575202,-0.09800028299240397,0.02586127510748811,0.0446756347986586,-0.012152856945640833,0.03207508147589632,0.022991964201193954
FANCA,-0.06642428385273913,-0.018348013305230344,-0.018631432664018618,0.10505864647916287,0.015412404701864177,0.00010167823080905141,0.05271080848725943,0.022691090726852915,-0.02684264737317537,-0.06464384626034107,0.01139863538425128,0.009259749300528447,-0.0855418687772679,-0.00728483645021355,-0.04727460224551723,-0.10585996648639567
FANCD2,-0.055421465568873396,0.0007560787470013525,0.0033867744517205047,0.14729657878496985,0.03482495275024698,0.017766005518429624,0.03635321177493861,0.0364300898637767,-0.019884688110651926,-0.050477184930355606,-0.030896766594412425,0.007811112997377013,-0.009698617815478362,0.010617575440049654,-0.04865763170330578,-0.00866791476579154
FCER1G,0.09868886915896266,-0.04025927677836019,-0.029628413403448354,0.045576725482794296,-0.0009469378419878726,-0.010886753406812593,-0.0928913379481701,-0.004557808776766529,0.012080230560781129,-0.02141034663079789,-0.014540237657206533,-0.009712135117369168,-0.019768777630728648,0.03780890328186948,0.010169680677710643,-0.010296312794829815
FGR,0.09445863179361189,-0.027673855658077805,-0.0050860489582771045,0.05185642377429844,-0.06060861364782677,0.0060748977952805264,-0.05278582131342128,0.04175393856170965,-0.008132850600205894,0.025701668999663512,-0.0045007377438401885,0.02178926777548116,0.0007407476002117813,0.03865610774732475,0.049713517318765964,-0.013614310097347607
FN1,0.05542478658181959,0.02536159801892982,0.07682060417755787,-0.032025730454819,0.06335282303017155,0.01645935890696541,0.029923003779330826,0.06605903596464617,-0.009136781116390474,-0.0077859719559396036,0.030798412149860004,0.031609480325003846,-0.06064321046446484,0.04087719996728551,0.0196888497956395,0.055356705681603405
GAB2,0.07659538701206056,-0.038302968636981724,0.04439761813157413,-0.002371624960275141,-0.006868377988373573,0.01784594882108817,0.06714751111471913,0.0332517150097797,-0.05286034546354393,-0.03692748350052068,0.08145662858742046,0.0023941103248855096,0.0013588108756274189,0.006005221881904593,0.06743497889291847,-0.0019794082460382317
GBP1,0.08486239556041564,-0.02327656838424898,-0.021875540553128854,0.026365887175315104,-0.02454230475704408,0.08861167623360816,-0.011421998317105001,0.017986424218552868,-0.008975601715870793,-0.03203995484514034,-0.010391962107267476,0.022064398259932658,0.004988788272930943,-0.08964794416705375,-0.022920771646445386,-0.00705261466171591
GLUL,0.06215082626936464,-0.039009768824341956,0.008806860386863917,-0.00506907792068654,0.009919683937279029,0.04515405035072415,0.02668543723783977,0.005460988160558923,-0.04821619432613407,-0.020425617673846944,0.09294059505183712,-0.0585345846962897,0.01350106046179429,0.07486312208795455,0.007741163173732082,-0.06368282440360434
GMFG,0.07977388748822813,-0.048988098943817025,-0.008932615811980084,0.006496159801409653,-0.04838513303042715,-0.05123283666486806,0.002421799235392417,0.03195419404677974,0.012004255758749801,-0.054493865928222994,-0.10058671611362666,-0.04391263867967536,-0.044217432095609355,-0.032978995009261165,-0.014122263234715899,-0.0892188972386984
GPRC5C,-0.05318401057494796,-0.018835725191755085,0.0838957238772897,-0.0014960179012944838,-0.02720219539182555,-0.04145458521690483,-0.07747023541566957,0.00045729494342332955,0.09056817798140154,0.0013363147375473395,0.051833645195730575,-0.07943447992253981,-0.0035254954196960848,0.0276648351025012,0.05586837493011859,-0.022828266441056712
HCLS1,0.1060444772645786,-0.0347457267744261,-0.014125063296392576,0.04041213806369406,-0.017530798397609952,0.022464427347812947,-0.028810210838607502,-0.02264120381226037,0.010696052503332876,0.003564964147268647,0.017405328755866763,-0.029202221097376233,0.0380574015087094,-0.051283171774049896,0.03575291772369876,0.01892222606904675
HELLS,-0.057844825222570555,-0.01268915538663592,0.0022466559981211918,0.1284773415085863,0.04078314294082234,0.036174008053580536,0.01782948784569226,0.033053052826843746,-0.0008215851292462245,-0.02569635723753639,0.07594280268211673,0.0466381959468203,0.013454455797287329,-0.06863637398571842,-0.019074771044397892,-0.07938869073853481
HNMT,0.07729551876445798,-0.02763296948223834,0.01522356074434253,-0.004912975968240418,0.008377602755437103,0.032371203362077744,-0.021597220964511388,0.03275906216216482,0.011739909883287636,-0.0009432361354364369,-0.035562045890781754,0.05321199018800601,0.06658249650459128,-0.013692970422672474,0.03176554071283418,-0.01973816282287665
HSP90AA1,-0.043724773471928255,0.004650874362140023,0.00802337253239252,0.11865907092926636,0.01843420775868786,0.0582960281904434,0.04307766207963216,0.02305355120493593,-0.04852544577507864,0.026295377313351274,0.03535003902064129,0.021903499295859722,-0.010344123731729543,-0.020601146332630275,-0.003940483910566483,-0.0065874523075493616
HSPH1,-0.025574712228079787,-0.008855951377489653,0.012374608069412762,0.10881714735506552,0.03346705558757081,0.02821339862573985,0.07808720156106386,0.004687815320488099,0.0044001220686896,0.06967084375285088,0.029608052458346718,0.025824555847930464,-0.022825255357051683,0.03305113796499111,0.0011222382170570338,-0.006670671199684111
IFI35,0.06485075015414282,-0.04943291302925593,0.00723926044475877,-0.01864327894578441,-0.010923046478783,0.10580111118926004,-0.08530360085797574,0.03546006198825129,0.04821479240792759,0.029022464938163538,0.0003810302634194695,-0.01412062534822775,0.044163836657290234,-0.06686424487179994,-0.07866432132249757,-0.07240701817664076
IGFBP3,0.008090844782127543,0.05594504906714012,0.02832836287461145,0.028392929243397674,0.009984372958524123,0.03334401102671732,0.07885198557945673,0.02746301746364996,0.13183888170157537,0.051743076228501717,-0.06512727564357564,-0.03804662230733045,-0.0015021643523574794,-0.0025151418507967866,0.09383936991705197,-0.04565440028380617
IL18,0.07808929315270975,-0.037472615480178786,-0.007911518721375918,0.052591340021450265,-0.05747424617149733,-0.014035887676876819,-0.01027456918049888,0.027197106778855812,-0.04939184607197041,-0.08858802526394549,-0.0922517430837849,-0.05922827471661226,-0.015744491974558312,0.01522914856922709,-0.009470568067321189,0.0117718704244137
IRF5,0.09147385404894058,-0.06083646670235341,-0.0041548237873476074,0.04026046408037213,-0.03845084351780374,0.029381881759828227,-0.053756042799094926,-0.011245934299861239,0.019548221116809122,0.04912887907643145,-0.01949563427205975,0.030445854698327376,0.02941000880937239,0.02184027390334229,0.011147329192824539,-0.008707341644991125
ITGBL1,0.051492813440732685,0.04273013941089494,0.04039719385969664,-0.048931031776179044,-0.004931926402873522,-0.024410960703249884,0.025717091675787087,0.07288782038294792,-0.09376302941777039,-0.05150328534666222,-0.0585749125446603,-0.02515095883866406,-0.05759928663435744,-0.013993437658413547,-0.10901012226638775,0.04277216281735677
KCNQ1,0.07986857795888289,-0.030721855037210866,0.02424123256391213,0.04826134558789578,-0.05902801404283364,0.016032519292423355,-0.0359077060089847,0.030844893669290406,0.04185151329651367,0.01095512530717408,-0.04782522744327354,-0.04348567327054906,0.0006679364552361304,0.022550744624085253,0.012623329257154018,0.04400644651115352
KIF15,-0.057071464966238744,0.013021471765208266,0.003374032997689667,0.1420134365236143,0.04993888418051339,0.04243927828488216,0.00822356832148831,0.05805870934460404,0.006852754146215044,-0.04809480349644522,0.01564866613028577,0.001522387112778347,0.03151880573881111,-0.03153401842824013,-0.04053739020924033,0.009303191380984859
KIF22,-0.056107106775334085,-0.00840106002594718,-0.008528992123672273,0.12332838053239299,0.030281588592652335,0.0722488995146234,-0.030518459018377773,0.0033388497245762836,0.060907081917934654,0.04088894680626566,0.06656707606655825,0.00869990202178212,0.020611059236227466,-0.0310433307938578,-0.10459117702629636,-0.021703045847463638
KIF23,-0.05683818724913866,0.004946912108080509,-0.01368740861091338,0.13320763194731683,0.058604374826791025,0.05170045413893915,0.005396949796062272,0.05326340186634652,0.009571173376496666,-0.04880012537638591,0.02146754079869681,-0.0033185117696791157,-0.00020328688669642945,-0.05967102879922144,-0.041233360640982625,-0.009818310561839497
LY96,0.10355724016107762,-0.010825440499995257,0.004704158955199461,0.012611445047907779,0.01822891983490399,-0.012520651842994317,-0.0331997282148466,0.011261691965470343,0.008612966773168423,-0.01914216688832859,-0.052621068664415085,0.04558528197481468,-0.025636320762666427,-0.0275017675445373,0.014474891196677381,-0.02178609391270137
MCAM,0.0028232510370240684,-0.002567610844761269,0.04391037443036954,0.07442677531502331,-0.08697422067399112,-0.07760135110663594,0.11944670268364786,0.09078927487560928,0.1265933801413233,-0.011246791646734497,-0.02639199833381958,-0.023758170896385985,0.09029536499227073,-0.01429482896360618,0.020133832288513,0.05202892718080197
MCM5,-0.05296428430682225,-0.020553349368482906,-0.016121442897600754,0.0985365005008195,0.03846850974670353,0.07179737492329422,-0.0002395722437502757,-0.028956707170607176,0.014601046682891299,-0.03956169544566344,0.04514706329581217,-0.010936687598508243,-0.05705767819230879,-0.04356352101242395,-0.09880687737873248,-0.1139709169755482
MXRA5,0.053164122874614264,0.0720741039762352,0.059102929951041265,-0.01786006595512163,0.05455086975722,0.04249374252207588,-0.03285919351437822,0.03614423510297471,0.027589468282646974,-0.0040507376798764524,-0.00905676337380562,-0.0015622049545927703,0.04690441433205209,0.04981559729161424,-0.01172319994591155,0.0876240224936171
NDUFB9,-0.046217158702145725,-0.0421837898716976,-0.02081950422283929,0.051116572048482606,-0.0025583417952350796,0.0037912251660719466,0.012600412798809697,-0.0058068565385164155,-0.006649554293359337,0.010741222608280886,-0.08331534640117974,-0.06645606835186275,0.020738858280305784,-0.05385791170082142,-0.0373877333480854,-0.015162027794422009
NR2F1,-0.004876787411995665,0.054908520375590186,0.024171188422544006,0.07982707373348899,-0.0037499100292545232,-0.02103697659953111,0.06435288284613719,-0.05037292294013548,0.04227694245068424,-0.006991822452181954,-0.03880097418153553,0.037601211650273726,0.011122689325262383,-0.0059361401358145275,-0.027938701625578787,0.041095427675334216
OAS1,0.05534433578564727,-0.04291061006655946,-0.002938608660332002,-0.003877890771025283,-0.00832107213673836,0.10596301690936652,-0.0905112755245107,0.05220589353750264,0.04588387579110425,0.02219948198971001,-0.017548030058751368,-0.010032333447942073,0.030270199069834965,-0.07667800304361022,-0.06280139232279137,-0.05226046020811072
OAS2,0.06932527276390761,-0.03748071528251253,0.005809097368826757,-0.0022373372621757705,-0.008825993877615932,0.08332788615435967,-0.04915895050928281,0.06480178682376643,0.05378236812870549,-0.0006049773601102648,-0.01488946871392483,0.003814582629698001,-0.0034668511936328836,-0.09370182150870128,-0.050623003120451565,-0.03421348997950836
OSBPL3,0.05759526322044031,0.0017269977617001514,0.043155608694519634,0.05525805768815565,0.005614915882733025,0.060678241305243616,0.04255883171896251,0.002997411673247115,-0.04503969819904902,0.02978765084502342,0.04290516731374572,-0.028390639045521766,-0.019112045025020744,-0.0688703590985037,0.06410896206051728,-0.011539019441486333
PARP14,0.06410743944950704,-0.03820994348256253,0.01811311792377526,0.024263846245516793,-0.034364495717580254,0.09936144780088647,-0.056508564831902926,0.06344993492207847,-0.007478237749966285,-0.054724914280903925,-0.005540590757125464,-0.005043192094831723,-0.012922041132357096,-0.07281895076338467,-0.05857523124924175,-0.042533708133798274
PARVG,0.10155490684607466,-0.03536331981344487,-0.0036693507656151087,0.06440013239185596,-0.023679876575925463,0.027374544677619194,-0.0867295136964548,-0.02753651905646913,-0.009515899504640088,0.015576177212357335,-0.02286903076827548,-0.0012110421668706176,0.02293866096069503,0.012011998094511853,0.004550636751096484,0.01896684836110288
POLE,-0.07049375244402423,0.001980615588531273,0.013915173757323387,0.1326676635422416,0.019066932577121994,0.06350676811277745,2.4242635897656156e-05,0.02244697121920355,0.005912865948555743,0.017868705164276244,0.023140007926835644,0.008099266486395884,0.022689451590282662,-0.05562635487580918,-0.004170400555060492,-0.023094455560194835
PRKAR2B,0.05169380791196175,-0.014508850391073339,0.01135574420345537,0.00928852084473354,-0.07898190899452916,-0.004578060303431553,0.02948461375636745,0.03842410659227028,-0.09463829722208678,-0.011320720963534902,-0.008641062549466571,0.0646126773581897,0.038840169222430825,0.033193360219721156,0.019371014231004978,-0.03641616902224544
PTK2B,0.08971789027116918,-0.058339666402659265,-0.0011079996627193797,0.033400951984722434,0.026659011675169753,-0.030165730024169224,-0.019757355620635124,-0.03427822476864323,-0.02984434337864739,0.015621228359623254,0.06042818187179089,-0.043640699340189285,-0.07623105718645849,0.030308229071515553,-0.015066258505526533,-0.04632702121661958
PTPRC,0.0967934822343939,-0.056649143303155465,-0.007406967006676647,0.05551485454658392,0.0034032415384092156,-0.006738041588235414,-0.022177240034975898,0.0002880942144284196,-0.05144902502640529,-0.02532430306130572,0.009259843764527117,-0.03846827757042921,-0.014139141393148001,-0.022621318301537442,0.012461963627481911,0.018746944413062933
PTPRO,0.08147941417356026,-0.03565225635632673,0.010876593262138487,0.04962746926153108,-0.05281825739133422,0.009048719918786117,-0.0412989459245907,0.02334773619719635,-0.05207389910331482,-0.03709768582237716,-0.039310430821701825,0.06847297645372909,-0.015913973713937934,0.037598027655369855,0.05281289147418472,0.049435334614260126
RASSF5,0.06172291735905756,-0.03337181853263089,-0.006596607301317671,0.018487933731404328,-0.04233505986942561,0.03446913949089136,-0.04848904549583927,-0.005991582075686822,-0.03217087265259885,0.00849477895513404,0.05825895508703141,-0.021782015837720242,-0.06046666698343922,0.02815738090920607,0.003567020838262922,-0.0014438782638664322
RCOR2,-0.08826491264511273,-0.017517846195016916,0.03952980481362107,0.05228705740709719,-0.0380794869672765,-0.05423644394923113,-0.1043161295217805,0.06020391564434018,0.05188954232824529,0.026269976798543104,0.028748051475351186,-0.007326788078780247,0.01406527594292569,0.010072826913459603,0.03351398851314438,-0.013644373318885298
RELN,0.02703485250558355,0.02214461317027357,0.03684239771770572,0.023487876863335734,-0.03933298515941125,-0.08563457948702087,0.060834307866100765,0.0827418236730111,-0.07581120549183526,0.02368922815538442,-0.015801880330185397,0.04630444525676475,-0.02922889910675871,-0.04704669119984899,0.041696063825378216,0.05014328888743009
RNASEL,0.06307313720768655,-0.03811909705425235,0.05175882092860461,-0.01666853155943789,0.003526216741499846,0.11214287933642611,0.01666044415742557,0.022849592352257482,-0.00856614058935961,0.019647722797875175,0.04141601914533648,0.06209708021694186,0.020444477842142438,-0.019731558393040655,-0.04236504351336367,0.0033320650319931364
SERPINB9,0.058659536058369474,-0.04135360846357245,-0.012787799307634453,-0.0036719697876315873,-0.0805030220348579,0.06402060892551867,0.03563277951947842,0.023750004747157268,-0.05420448587484195,-0.06638281730538623,0.0007767399670061157,0.0009468757019036904,-0.06308118222958022,0.004578074754806141,-0.03780554490421278,-0.01771604705420142
SFRP4,0.07473042376294174,0.027079930431810298,0.05413073413140185,-0.056533151854115754,0.047532811044971035,-0.0007581776105732676,0.0033291128719241214,-0.03315197378119503,-0.01660522474745459,-0.011280324653936429,0.031058603719290992,0.04592967829260298,-0.023590303339618795,0.014307111402439539,-0.03834072308964098,-0.09206233023893215
SLC13A5,-0.055211485803667686,0.00415162282643989,0.040667989258247966,0.062217559287252165,-0.05721572708816364,-0.1045097640635297,-0.07921907590272835,-0.008106008618167794,0.007402437864002442,-0.04258863753230806,0.002206564013390467,-0.049200904978191594,-0.02025545783206365,-0.015685949975968914,0.04318913646068914,-0.03930325112135511
SLC43A2,0.10267578521954218,-0.028952455128734744,-0.003895909507343633,0.06295306864425898,0.007093081113312269,-0.00118277031426627,-0.03522913080634682,-0.019404429256513606,-2.7968021003241325e-05,0.06338842533346091,0.04261133674416556,-0.017510201355874732,0.04866000568498643,0.05824156231026796,-0.006288649231549873,0.052187168294743756
SLCO2B1,0.10170123085657083,-0.02541816969548717,0.008268111220432733,0.07217837432314761,-0.058495036610586366,0.033777967237295856,-0.07882297814046312,-0.0005612367132818802,-0.007756255440314512,-0.04453685781207288,-0.0030964681844331825,0.004821465028235639,-0.009478896268827091,0.0016898697597679986,0.02882225884990289,0.03926118245995411
