,Factor1,Factor2,Factor3,Factor4,Factor5,Factor6,Factor7,Factor8,Factor9
BCL6B,0.121652,0.020832945,0.2532804,-0.04968685,-0.01316247,0.015058216,0.41293398,0.010553686,0.2799614
BIRC3,0.21785377,-0.0144828325,-0.03788217,0.32338667,0.035798606,0.01239002,0.11636872,-0.008426743,-0.044852726
BMP4,-0.075569116,-0.17008646,0.286994,0.0064852447,0.07734568,0.24283594,-0.122166574,-0.07741071,0.0556039
BMP7,-0.091281414,-0.09048469,0.17694627,0.0117402645,0.12956253,-0.13192882,0.002869081,0.1896868,-0.03733687
BNIP3,-0.12440975,0.048191108,-0.07831946,-0.014836796,0.07280582,-0.03031691,-0.005435475,-0.22794072,-0.20517796
C1QB,0.3300927,-0.11066168,0.01336068,-0.17983267,-0.008794751,0.0204653,-0.1766816,0.05960747,0.028783247
C1QTNF1,0.00070735934,0.0031475814,0.41123056,0.08250647,-0.18544808,0.22945237,0.025311971,-0.1889368,-0.002712567
CA12,0.031066597,0.24201173,-0.06349161,-0.09407067,0.00042040713,-0.311778,0.0052697486,-0.17705223,-0.03386607
CA3,-0.057777505,-0.200774,0.34523576,0.02290104,-0.0049365074,-0.13185081,-0.003302952,-0.021773206,-0.064451225
CADPS2,0.1042184,0.120473295,0.17980957,-0.068023436,-0.00014023898,-0.005102609,0.17916857,-0.0048786704,-0.19662565
CARD11,0.2988468,-0.0265725,0.0022931783,-0.09155189,0.00090842886,0.17805733,-0.017423542,0.16267179,0.01391367
CAV2,0.14469181,0.19069742,-0.15625577,-0.14123677,0.006289152,-0.11043656,0.26347762,-0.13098371,0.015861504
CBS,-0.119631596,0.0008272732,0.14702266,-0.064783596,0.23012307,0.07160546,-0.14433789,0.095091574,0.1170102
CCDC68,-0.06209442,0.026280345,0.15755738,-0.07174863,0.004910514,-0.0721838,-0.039819267,-0.01883973,-0.029415518
CD248,0.041128937,0.2625106,0.14238717,-0.07128969,0.00521304,-0.274919,-0.042277057,0.015489668,0.13934726
CD83,0.06620121,-0.013784761,0.017766278,-0.07247437,0.11011341,0.28504303,-0.12428221,0.009161857,-0.0047920668
CD84,0.16021155,0.078252874,0.09938632,0.49563876,-0.0019053317,0.0090459185,0.0011572567,0.06318786,0.0011629795
CDA,0.25191885,-0.014627106,-0.100233726,0.1502719,0.0038057596,-0.012492453,-0.02052342,-0.095649384,0.017089564
CDC42EP5,-0.00029434977,0.17840111,0.12347597,-0.08684428,-0.19173384,-0.06560119,-0.030903216,0.00040489773,0.16922784
CDH15,-0.007991831,-0.16000286,0.4302498,0.10188446,-0.0022298782,0.07534401,-0.026893713,-0.11602444,0.15962195
CDH23,-0.056150656,0.24121447,0.075218946,-0.07810593,0.00392492,0.10874407,-0.014305106,0.15675643,-0.108607076
CDO1,-0.05084749,0.017648023,0.14709568,-0.06455262,-0.008260438,-0.19719148,0.054305453,0.19455336,-0.12909223
CFI,0.18567953,0.08955851,-0.00070422026,0.06326977,-0.04398132,-0.03027551,0.17261308,0.19042796,-0.039941493
CGNL1,0.039607253,0.27053759,0.010561536,-0.13242796,0.02163036,-0.0023319577,0.19546992,0.12548892,-0.03021194
CHAD,-0.004630752,0.042777088,0.36707026,-0.008663188,-0.17559342,-0.008218439,-0.02618195,0.038705543,-0.046980817
CHPF,-0.0145472875,0.21271345,0.012366213,-0.14735483,-0.12487411,-0.016281778,-0.099834904,-0.010888202,0.16390438
CILP,0.0579064,0.19361492,-0.04286076,-0.13761683,0.010960208,0.15646775,0.12565511,0.09958425,-0.044844646
CLDN5,0.17512478,-0.0035372272,0.14211988,-0.063118115,-0.17137535,-0.13225979,0.2751432,0.054121923,0.31106108
CLIC3,0.04754488,0.2494483,0.11193196,0.15185252,-0.06067443,-0.12228814,-0.047491744,-0.11465663,-0.09587294
CNTNAP1,-0.04439432,0.20024706,0.026691675,-0.079986006,0.24924795,0.11709395,-0.014432239,0.2841537,0.1171658
COBLL1,0.008335093,0.04979123,0.09185231,-0.2168219,0.024620427,0.077947855,0.29359767,-0.16780147,-0.17280622
COL11A1,-0.050065316,0.2666599,0.08619073,-0.13220462,0.001184376,-0.20710132,-0.16411796,0.073348686,-0.076568276
COL11A2,-0.14259224,-0.095526524,0.31750497,-0.03364005,-0.015152153,-0.1762996,-0.0061815563,0.09344744,-0.09271372
COL12A1,-0.006895856,0.36986676,0.078144185,-0.0021270514,-0.0006623906,-0.20487472,-0.15611376,-0.068388,-0.03732999
COL13A1,-0.111950025,-0.06627789,0.42784393,0.010649887,0.0021486739,0.16207266,-0.051340934,0.035906363,0.021411818
COL14A1,0.03223585,0.29769203,-0.009958483,-0.22057873,0.020078631,-0.2055421,0.12364181,0.111403674,0.06946076
COL15A1,0.15636836,0.23603082,0.07033185,-0.071997605,0.08825401,-0.005663655,0.25065544,-0.2557548,0.12458967
COL18A1,0.11843907,0.15083624,0.16019854,-0.124553576,-0.022451838,-0.10996624,0.31645542,-0.0033710995,0.33461228
COL1A1,-0.059219055,0.2970835,0.29415238,-0.01298361,-0.093062386,-0.20372638,-0.18837695,-0.18812306,0.054926157
COL22A1,-0.032222494,-0.16810375,0.4725553,0.120844685,-0.046424508,-0.10238337,-0.0057551973,-0.0059678676,-0.033455968
COL2A1,-0.1325304,0.06473291,0.13819772,-0.06975931,0.037419237,-0.17836688,-0.0072540664,0.19541718,-0.024097182
COL3A1,-0.019042218,0.40056458,0.0056022936,-0.12964542,0.0021018495,-0.26253098,-0.0015060671,-0.049974535,0.05419764
COL5A1,-0.048876673,0.4113355,0.164153,-0.03239023,-0.0027447874,-0.10888176,-0.13482936,-0.16601412,0.013261965
COL5A3,0.067410134,0.19315293,0.1798248,-0.05438787,-0.0002773865,0.0085735945,0.2550794,-0.060906667,0.33205038
COL6A1,0.023183374,0.45346934,-0.020475756,-0.10760233,-0.00042879445,0.108062,0.0043411003,-0.1475345,0.16847345
COL6A3,0.00064847624,0.4327229,0.0025185696,-0.0832596,0.06921332,-0.03283853,0.0016345255,-0.12922105,0.099836715
COMP,0.014028353,0.2603863,0.01316695,-0.22415751,-0.0716021,-0.13395333,-0.0013072318,0.12926088,0.0034689277
CPE,-0.1600026,-0.08812422,0.47417146,-0.008285004,0.0016719905,0.041538768,-0.03480838,0.0045310515,-0.080656596
CPNE8,0.0022967507,0.011992162,0.1472595,-0.0014317463,-0.009035826,-0.026648272,-0.049083672,0.02667044,-0.16719674
CRYAB,-0.01629858,0.042395186,0.15465596,0.14891039,-0.02876472,0.03263027,0.14470583,-0.08033389,-0.10497796
CSF1,0.20463654,0.06990557,0.08332155,0.26321995,-0.001264123,0.1809096,-0.09002938,0.020404445,0.10225562
